* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jun 12, 2025 1:32:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Quatio 725
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.494 35.1228
20.600000 88.515 34.1962
20.900000 88.529 33.3657
21.200001 88.540 32.5682
21.400000 88.547 32.0608
21.799999 88.565 31.1009
22.000000 88.575 30.6424
22.400000 88.599 29.7456
22.700001 88.616 29.0717
23.000000 88.630 28.3877
23.299999 88.640 27.6975
23.600000 88.648 27.0065
24.000000 88.659 26.0873
24.299999 88.672 25.3945
24.700001 88.695 24.4589
25.000000 88.714 23.7564
25.400000 88.736 22.8543
25.799999 88.751 22.0517
26.200001 88.760 21.3823
26.500000 88.768 20.9475
26.900000 88.780 20.3908
27.200001 88.790 19.9357
27.600000 88.796 19.2361
28.000000 88.791 18.4503
28.500000 88.769 17.4634
29.000000 88.747 16.6004
29.500000 88.743 15.8723
30.000000 88.752 15.1898
30.400000 88.757 14.6258
30.700001 88.754 14.1875
31.100000 88.741 13.5919
31.500000 88.720 12.9883
32.000000 88.694 12.2166
32.500000 88.676 11.4298
33.000000 88.664 10.6778
33.500000 88.657 10.0208
34.000000 88.653 9.4590
34.500000 88.648 8.9174
35.000000 88.632 8.3302
35.500000 88.603 7.7029
36.000000 88.572 7.0839
36.500000 88.552 6.4865
37.000000 88.545 5.8880
37.500000 88.538 5.3007
38.200001 88.510 4.6182
38.700001 88.486 4.2398
39.500000 88.455 3.5255
40.000000 88.430 2.9299
40.599998 88.388 2.2029
41.200001 88.353 1.5874
41.799999 88.329 1.0226
42.500000 88.295 0.3600
43.099998 88.257 -0.1530
43.700001 88.227 -0.6617
44.400002 88.194 -1.3517
45.000000 88.154 -1.8998
45.500000 88.123 -2.2193
46.200001 88.105 -2.6231
46.799999 88.091 -3.1479
47.500000 88.036 -3.8181
48.200001 87.978 -4.2630
48.700001 87.965 -4.5201
49.400002 87.966 -5.0200
50.000000 87.945 -5.5131
50.799999 87.881 -5.9981
51.500000 87.830 -6.3442
52.200001 87.792 -6.8640
53.000000 87.743 -7.6116
53.799999 87.694 -8.1210
54.500000 87.677 -8.3316
55.200001 87.673 -8.6377
56.000000 87.625 -9.1896
57.000000 87.531 -9.6987
58.000000 87.496 -10.1374
59.000000 87.450 -10.7586
60.000000 87.369 -11.2754
60.799999 87.321 -11.6734
61.500000 87.295 -12.0417
62.200001 87.271 -12.3796
63.000000 87.230 -12.6933
64.000000 87.156 -13.0108
65.000000 87.090 -13.4180
66.000000 87.037 -13.9103
67.000000 86.991 -14.3127
68.000000 86.939 -14.6522
69.000000 86.880 -14.9895
70.000000 86.824 -15.4120
71.000000 86.759 -15.7770
72.000000 86.709 -16.0029
73.000000 86.665 -16.3362
74.000000 86.611 -16.7036
75.000000 86.562 -17.1037
76.199997 86.476 -17.4935
77.500000 86.416 -17.8189
78.800003 86.342 -18.2579
80.000000 86.298 -18.4330
81.199997 86.221 -18.7796
82.500000 86.150 -18.9386
83.800003 86.093 -19.2281
85.000000 86.032 -19.4754
86.199997 85.974 -19.7439
87.500000 85.918 -20.0409
88.500000 85.867 -20.2351
90.000000 85.788 -20.5692
91.199997 85.713 -20.7029
92.500000 85.666 -20.9375
93.800003 85.597 -21.2629
95.000000 85.537 -21.3894
96.199997 85.489 -21.5253
97.500000 85.427 -21.7782
98.800003 85.349 -21.9076
100.000000 85.308 -22.1006
101.500000 85.211 -22.3664
103.000000 85.145 -22.4502
104.400002 85.094 -22.6208
106.000000 85.019 -22.9221
107.500000 84.939 -22.9151
109.000000 84.867 -22.9097
110.599998 84.814 -23.3531
112.000000 84.727 -23.3905
113.800003 84.674 -23.6455
115.000000 84.630 -23.6787
117.199997 84.530 -23.4707
118.000000 84.510 -23.6776
120.599998 84.355 -23.8619
122.000000 84.340 -23.9742
124.099998 84.232 -24.1283
125.000000 84.180 -24.0729
126.500000 84.133 -24.3403
128.000000 84.109 -24.2517
131.500000 83.912 -24.1866
132.000000 83.915 -24.2420
134.000000 83.874 -24.2031
136.000000 83.776 -24.4951
138.000000 83.698 -24.3020
140.000000 83.606 -24.3376
143.000000 83.522 -24.4615
145.000000 83.478 -24.4752
147.500000 83.391 -24.3460
150.000000 83.296 -24.3924
152.500000 83.217 -24.2909
155.000000 83.125 -24.3635
157.500000 83.044 -24.2441
160.000000 82.979 -24.2011
162.500000 82.889 -24.0288
165.000000 82.819 -24.0360
167.500000 82.736 -23.9030
170.000000 82.658 -23.7620
172.500000 82.601 -23.7089
175.000000 82.521 -23.5853
177.500000 82.464 -23.5315
180.000000 82.394 -23.3821
182.500000 82.315 -23.1342
185.000000 82.261 -22.9445
187.500000 82.194 -22.8714
190.000000 82.129 -22.7604
192.500000 82.076 -22.5753
195.000000 82.026 -22.3755
197.500000 81.971 -22.2425
200.000000 81.896 -22.2183
203.000000 81.808 -21.9019
206.000000 81.765 -21.8810
209.000000 81.666 -21.6158
212.000000 81.615 -21.2837
214.000000 81.578 -21.1530
218.000000 81.486 -20.9337
220.000000 81.455 -20.6552
224.000000 81.378 -20.3865
227.000000 81.317 -20.1494
230.000000 81.249 -20.0128
233.000000 81.204 -19.5783
236.000000 81.150 -19.4737
240.000000 81.077 -19.1982
243.000000 81.039 -18.9551
247.000000 80.956 -18.5275
250.000000 80.908 -18.2778
254.000000 80.847 -18.0664
258.000000 80.792 -17.5857
262.000000 80.719 -17.1705
265.000000 80.675 -16.9325
269.000000 80.614 -16.5697
272.000000 80.582 -16.3897
276.000000 80.507 -15.9461
280.000000 80.465 -15.5946
285.000000 80.402 -15.1966
290.000000 80.324 -14.6058
295.000000 80.268 -14.0176
300.000000 80.227 -13.5787
304.000000 80.165 -13.0598
307.000000 80.126 -12.8667
311.000000 80.099 -12.3566
315.000000 80.050 -11.7672
320.000000 80.037 -11.1369
325.000000 80.005 -10.6171
330.000000 80.027 -10.1916
335.000000 80.009 -9.8414
340.000000 80.000 -9.4856
345.000000 79.959 -9.2096
350.000000 79.924 -8.7606
355.000000 79.915 -8.4979
360.000000 79.872 -8.0781
365.000000 79.814 -7.5574
370.000000 79.806 -7.3240
375.000000 79.756 -6.7394
382.000000 79.756 -6.3538
387.000000 79.697 -5.8041
395.000000 79.683 -5.2772
400.000000 79.626 -4.7435
406.000000 79.606 -4.1824
412.000000 79.578 -3.9884
418.000000 79.564 -3.2142
425.000000 79.574 -2.5314
431.000000 79.514 -2.5204
437.000000 79.510 -1.5405
444.000000 79.517 -1.0712
450.000000 79.466 -0.6930
455.000000 79.475 -0.2352
462.000000 79.452 0.2266
468.000000 79.479 0.6414
475.000000 79.469 1.3133
482.000000 79.505 2.1073
487.000000 79.426 2.3547
494.000000 79.502 3.0739
500.000000 79.433 3.6664
508.000000 79.525 3.7121
515.000000 79.505 4.3429
522.000000 79.535 4.9719
530.000000 79.507 5.4926
538.000000 79.514 6.1201
545.000000 79.517 6.7314
552.000000 79.518 7.1920
560.000000 79.530 7.6811
570.000000 79.577 8.4677
580.000000 79.583 9.0392
590.000000 79.612 9.6536
600.000000 79.661 10.3341
608.000000 79.677 10.5140
615.000000 79.758 11.0636
622.000000 79.755 11.6701
630.000000 79.772 11.7047
640.000000 79.781 12.3991
650.000000 79.865 13.2196
660.000000 79.952 13.5245
670.000000 79.964 13.6322
680.000000 79.998 13.9930
690.000000 80.026 14.4551
700.000000 80.072 14.7821
710.000000 80.105 14.9487
720.000000 80.152 15.4239
730.000000 80.189 15.8495
740.000000 80.192 16.1170
750.000000 80.208 16.4936
762.000000 80.246 16.6857
775.000000 80.284 17.2509
788.000000 80.321 17.6306
800.000000 80.339 17.9561
812.000000 80.346 18.4591
825.000000 80.373 18.8776
838.000000 80.425 19.4193
850.000000 80.443 19.8292
862.000000 80.448 20.2026
875.000000 80.477 20.6071
885.000000 80.518 20.9510
900.000000 80.536 21.3710
912.000000 80.563 21.8987
925.000000 80.607 22.4174
938.000000 80.632 22.7696
950.000000 80.671 23.1661
962.000000 80.697 23.6365
975.000000 80.745 24.0267
988.000000 80.786 24.3861
1000.000000 80.880 24.3934
1015.000000 80.863 25.3502
1030.000000 80.896 25.8203
1044.000000 80.940 26.2354
1060.000000 80.967 26.7199
1075.000000 80.993 27.3410
1090.000000 81.039 27.8511
1106.000000 81.077 28.3567
1120.000000 81.113 28.8602
1138.000000 81.181 29.6112
1150.000000 81.202 30.2168
1172.000000 81.253 31.0873
1180.000000 81.293 31.4621
1206.000000 81.377 32.7014
1220.000000 81.430 33.4932
1241.000000 81.505 34.8058
1250.000000 81.567 35.3400
1265.000000 81.668 36.6437
1280.000000 81.862 37.9759
1315.000000 82.424 38.4610
1320.000000 82.476 38.5091
1340.000000 82.653 38.2965
1360.000000 82.812 38.5258
1380.000000 82.981 38.4780
1400.000000 83.151 38.5983
1430.000000 83.406 38.4771
1450.000000 83.562 38.4046
1475.000000 83.749 38.1224
1500.000000 83.923 37.7913
1525.000000 84.092 37.5134
1550.000000 84.240 37.1794
1575.000000 84.391 36.6582
1600.000000 84.511 36.1211
1625.000000 84.616 35.7326
1650.000000 84.752 35.1353
1675.000000 84.827 34.5943
1700.000000 84.924 34.1294
1725.000000 84.994 33.6953
1750.000000 85.058 33.1478
1775.000000 85.126 32.6286
1800.000000 85.178 32.2534
1825.000000 85.225 31.7729
1850.000000 85.269 31.4087
1875.000000 85.301 31.0374
1900.000000 85.347 30.6260
1925.000000 85.377 30.3586
1950.000000 85.411 30.0934
1975.000000 85.423 29.8541
2000.000000 85.483 29.3151
2030.000000 85.455 29.2952
2060.000000 85.482 29.1466
2090.000000 85.509 29.0399
2120.000000 85.532 28.8600
2140.000000 85.555 28.8240
2180.000000 85.596 28.8153
2200.000000 85.611 28.8665
2240.000000 85.663 28.8730
2270.000000 85.712 28.8880
2300.000000 85.762 28.8843
2330.000000 85.839 28.9852
2360.000000 85.909 29.0370
2400.000000 86.002 29.0818
2430.000000 86.093 29.1399
2470.000000 86.233 29.0770
2500.000000 86.322 28.9212
2540.000000 86.461 28.6876
2580.000000 86.617 28.2611
2620.000000 86.760 27.8017
2650.000000 86.859 27.3266
2690.000000 87.002 26.6387
2720.000000 87.111 26.0401
2760.000000 87.226 25.1574
2800.000000 87.339 24.1465
2850.000000 87.473 22.6637
2900.000000 87.576 21.1733
2950.000000 87.650 19.5281
3000.000000 87.742 17.5981
3040.000000 87.734 16.0949
3070.000000 87.725 14.8298
3110.000000 87.688 13.0537
3150.000000 87.593 11.1788
3200.000000 87.406 8.7562
3250.000000 87.065 6.5845
3300.000000 86.604 5.2356
3350.000000 86.073 5.3455
3400.000000 85.640 6.9244
3450.000000 85.407 9.2978
3500.000000 85.380 11.5971
3550.000000 85.438 13.1580
3600.000000 85.541 14.2807
3650.000000 85.682 14.9593
3700.000000 85.769 15.3269
3750.000000 85.866 15.4674
3820.000000 86.003 15.4736
3870.000000 86.061 15.4246
3950.000000 86.190 15.1953
4000.000000 86.276 14.6407
4060.000000 86.304 14.7235
4120.000000 86.378 14.4525
4180.000000 86.445 14.1218
4250.000000 86.478 13.6149
4310.000000 86.534 13.4014
4370.000000 86.584 12.9218
4440.000000 86.636 12.2780
4500.000000 86.674 11.7317
4550.000000 86.690 11.2854
4620.000000 86.727 10.6599
4680.000000 86.741 10.1473
4750.000000 86.754 9.2558
4820.000000 86.732 8.5852
4870.000000 86.716 8.1067
4940.000000 86.679 7.3918
5000.000000 86.614 6.7743
5080.000000 86.575 6.0953
5150.000000 86.495 5.4468
5220.000000 86.409 4.9893
5300.000000 86.320 4.6616
5380.000000 86.186 4.2818
5450.000000 86.087 4.1262
5520.000000 85.985 4.1082
5600.000000 85.864 4.2117
5700.000000 85.746 4.4834
5800.000000 85.639 5.0306
5900.000000 85.549 5.5639
6000.000000 85.512 6.1800
6080.000000 85.501 6.8338
6150.000000 85.461 7.3878
