* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 4, 2025 2:03:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Radius Zone Clear 1160
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.344 33.8044
20.600000 133.348 32.9364
20.900000 133.344 32.1150
21.200001 133.336 31.2683
21.400000 133.330 30.6952
21.799999 133.317 29.5480
22.000000 133.310 28.9862
22.400000 133.300 27.9102
22.700001 133.295 27.1549
23.000000 133.292 26.4435
23.299999 133.290 25.7654
23.600000 133.288 25.1081
24.000000 133.282 24.2449
24.299999 133.274 23.5965
24.700001 133.259 22.7255
25.000000 133.246 22.0683
25.400000 133.228 21.1918
25.799999 133.213 20.3225
26.200001 133.201 19.4684
26.500000 133.194 18.8425
26.900000 133.185 18.0321
27.200001 133.176 17.4441
27.600000 133.160 16.6868
28.000000 133.138 15.9571
28.500000 133.104 15.0743
29.000000 133.069 14.2073
29.500000 133.038 13.3395
30.000000 133.012 12.4653
30.400000 132.994 11.7711
30.700001 132.981 11.2616
31.100000 132.964 10.6048
31.500000 132.946 9.9730
32.000000 132.921 9.2028
32.500000 132.893 8.4331
33.000000 132.862 7.6561
33.500000 132.831 6.8814
34.000000 132.803 6.1205
34.500000 132.779 5.3792
35.000000 132.756 4.6626
35.500000 132.731 3.9777
36.000000 132.704 3.3234
36.500000 132.674 2.6843
37.000000 132.641 2.0420
37.500000 132.605 1.3931
38.200001 132.553 0.4950
38.700001 132.519 -0.1282
39.500000 132.466 -1.0960
40.000000 132.433 -1.6764
40.599998 132.393 -2.3341
41.200001 132.356 -2.9513
41.799999 132.321 -3.5429
42.500000 132.277 -4.2095
43.099998 132.235 -4.7609
43.700001 132.189 -5.3086
44.400002 132.135 -5.9701
45.000000 132.091 -6.5663
45.500000 132.058 -7.0788
46.200001 132.014 -7.8055
46.799999 131.975 -8.4210
47.500000 131.922 -9.1103
48.200001 131.869 -9.7513
48.700001 131.836 -10.1786
49.400002 131.800 -10.7499
50.000000 131.774 -11.2222
50.799999 131.729 -11.8063
51.500000 131.679 -12.2882
52.200001 131.626 -12.8052
53.000000 131.567 -13.4481
53.799999 131.520 -14.0765
54.500000 131.483 -14.5743
55.200001 131.441 -15.0053
56.000000 131.388 -15.4796
57.000000 131.307 -16.1457
58.000000 131.227 -16.7301
59.000000 131.164 -17.3656
60.000000 131.081 -17.9433
60.799999 131.032 -18.3408
61.500000 130.988 -18.8025
62.200001 130.929 -19.2177
63.000000 130.875 -19.5815
64.000000 130.812 -20.1836
65.000000 130.729 -20.5390
66.000000 130.684 -20.8989
67.000000 130.592 -21.4473
68.000000 130.515 -21.7191
69.000000 130.465 -22.2649
70.000000 130.377 -22.6658
71.000000 130.333 -22.9768
72.000000 130.280 -23.5445
73.000000 130.214 -23.8848
74.000000 130.174 -24.2206
75.000000 130.112 -24.6839
76.199997 130.018 -25.0870
77.500000 129.934 -25.4862
78.800003 129.843 -25.9579
80.000000 129.759 -26.2281
81.199997 129.690 -26.4449
82.500000 129.608 -26.7784
83.800003 129.527 -26.9401
85.000000 129.474 -27.1184
86.199997 129.401 -27.3993
87.500000 129.323 -27.7042
88.500000 129.264 -27.9262
90.000000 129.176 -28.2487
91.199997 129.101 -28.6108
92.500000 129.020 -28.9268
93.800003 128.962 -29.1755
95.000000 128.904 -29.4204
96.199997 128.848 -29.6027
97.500000 128.782 -29.7963
98.800003 128.711 -29.8493
100.000000 128.648 -29.8979
101.500000 128.563 -29.9583
103.000000 128.481 -30.0102
104.400002 128.402 -30.1204
106.000000 128.302 -30.3136
107.500000 128.213 -30.5274
109.000000 128.133 -30.6683
110.599998 128.043 -30.8192
112.000000 127.974 -30.8924
113.800003 127.885 -30.8775
115.000000 127.830 -30.8909
117.199997 127.727 -30.9337
118.000000 127.691 -30.9560
120.599998 127.576 -30.9909
122.000000 127.511 -31.0237
124.099998 127.420 -31.0521
125.000000 127.377 -31.0811
126.500000 127.305 -31.0816
128.000000 127.245 -31.0885
131.500000 127.108 -31.1082
132.000000 127.087 -31.0921
134.000000 127.024 -30.9653
136.000000 126.950 -30.8347
138.000000 126.865 -30.7087
140.000000 126.787 -30.5931
143.000000 126.668 -30.5043
145.000000 126.597 -30.4813
147.500000 126.514 -30.3231
150.000000 126.426 -30.1814
152.500000 126.337 -29.9732
155.000000 126.251 -29.8437
157.500000 126.161 -29.5764
160.000000 126.061 -29.3232
162.500000 125.975 -29.0683
165.000000 125.901 -28.8007
167.500000 125.812 -28.5898
170.000000 125.741 -28.3149
172.500000 125.668 -27.9861
175.000000 125.616 -27.7882
177.500000 125.553 -27.4345
180.000000 125.505 -27.1905
182.500000 125.449 -26.8762
185.000000 125.413 -26.5819
187.500000 125.358 -26.3016
190.000000 125.318 -25.9777
192.500000 125.286 -25.6410
195.000000 125.244 -25.3826
197.500000 125.193 -25.0660
200.000000 125.148 -24.8587
203.000000 125.087 -24.5512
206.000000 125.032 -24.3175
209.000000 124.976 -24.1195
212.000000 124.934 -23.9119
214.000000 124.912 -23.8107
218.000000 124.853 -23.4309
220.000000 124.829 -23.2560
224.000000 124.771 -22.7713
227.000000 124.741 -22.4499
230.000000 124.686 -22.0466
233.000000 124.639 -21.7868
236.000000 124.601 -21.4531
240.000000 124.542 -20.9849
243.000000 124.500 -20.7339
247.000000 124.449 -20.3230
250.000000 124.420 -20.0469
254.000000 124.367 -19.7059
258.000000 124.318 -19.3414
262.000000 124.284 -18.9788
265.000000 124.256 -18.7098
269.000000 124.220 -18.2390
272.000000 124.200 -17.9239
276.000000 124.143 -17.5126
280.000000 124.115 -16.9831
285.000000 124.061 -16.3965
290.000000 124.024 -15.7247
295.000000 124.001 -15.0134
300.000000 123.999 -14.5020
304.000000 123.987 -14.1621
307.000000 123.989 -13.8980
311.000000 123.998 -13.6528
315.000000 124.004 -13.4040
320.000000 123.993 -13.1607
325.000000 123.979 -12.8460
330.000000 123.967 -12.6466
335.000000 123.942 -12.2914
340.000000 123.914 -11.9952
345.000000 123.883 -11.6827
350.000000 123.849 -11.3367
355.000000 123.828 -10.9388
360.000000 123.786 -10.6530
365.000000 123.757 -10.2280
370.000000 123.747 -9.8298
375.000000 123.734 -9.5508
382.000000 123.703 -9.0586
387.000000 123.674 -8.7958
395.000000 123.643 -8.1156
400.000000 123.626 -7.7752
406.000000 123.606 -7.4380
412.000000 123.604 -7.0591
418.000000 123.584 -6.6611
425.000000 123.581 -6.2257
431.000000 123.565 -5.8164
437.000000 123.556 -5.3915
444.000000 123.525 -4.9705
450.000000 123.506 -4.5220
455.000000 123.497 -4.1907
462.000000 123.478 -3.7109
468.000000 123.474 -3.3795
475.000000 123.465 -2.9249
482.000000 123.452 -2.5433
487.000000 123.448 -2.2032
494.000000 123.432 -1.7718
500.000000 123.417 -1.3862
508.000000 123.403 -0.8873
515.000000 123.396 -0.3942
522.000000 123.373 0.0220
530.000000 123.373 0.4835
538.000000 123.365 0.8456
545.000000 123.332 1.2411
552.000000 123.326 1.7823
560.000000 123.327 2.3556
570.000000 123.318 2.8730
580.000000 123.299 3.5401
590.000000 123.286 4.0964
600.000000 123.277 4.8189
608.000000 123.274 5.4248
615.000000 123.271 5.9347
622.000000 123.273 6.4288
630.000000 123.279 6.9539
640.000000 123.293 7.6031
650.000000 123.300 8.2058
660.000000 123.317 8.8891
670.000000 123.329 9.4637
680.000000 123.323 10.0673
690.000000 123.347 10.6875
700.000000 123.370 11.3073
710.000000 123.388 11.9237
720.000000 123.397 12.4761
730.000000 123.423 13.0746
740.000000 123.451 13.6677
750.000000 123.460 14.2715
762.000000 123.492 15.0513
775.000000 123.530 15.9084
788.000000 123.579 16.6408
800.000000 123.616 17.3596
812.000000 123.672 18.0893
825.000000 123.714 18.8991
838.000000 123.765 19.6430
850.000000 123.835 20.3778
862.000000 123.881 21.0122
875.000000 123.956 21.7376
885.000000 124.002 22.3513
900.000000 124.079 23.1378
912.000000 124.158 23.7114
925.000000 124.235 24.3766
938.000000 124.317 25.0243
950.000000 124.390 25.5778
962.000000 124.471 26.0408
975.000000 124.568 26.7134
988.000000 124.658 27.1559
1000.000000 124.741 27.8380
1015.000000 124.870 28.1574
1030.000000 124.990 28.6284
1044.000000 125.097 29.0643
1060.000000 125.219 29.4976
1075.000000 125.346 29.8521
1090.000000 125.458 30.1702
1106.000000 125.576 30.4078
1120.000000 125.678 30.6902
1138.000000 125.805 30.9641
1150.000000 125.887 31.0290
1172.000000 126.037 31.3332
1180.000000 126.091 31.4026
1206.000000 126.266 31.5231
1220.000000 126.369 31.5516
1241.000000 126.481 31.6814
1250.000000 126.538 31.6827
1265.000000 126.618 31.7744
1280.000000 126.707 31.7369
1315.000000 126.885 31.7368
1320.000000 126.919 31.7532
1340.000000 127.021 31.7680
1360.000000 127.108 31.7009
1380.000000 127.199 31.7373
1400.000000 127.280 31.7069
1430.000000 127.413 31.6437
1450.000000 127.490 31.5991
1475.000000 127.592 31.5920
1500.000000 127.682 31.5029
1525.000000 127.786 31.4554
1550.000000 127.890 31.3788
1575.000000 127.998 31.3009
1600.000000 128.089 31.2461
1625.000000 128.178 31.1520
1650.000000 128.254 31.0684
1675.000000 128.346 30.9296
1700.000000 128.433 30.8553
1725.000000 128.519 30.7000
1750.000000 128.601 30.5327
1775.000000 128.678 30.4358
1800.000000 128.763 30.2324
1825.000000 128.856 30.0324
1850.000000 128.940 29.7887
1875.000000 129.034 29.5534
1900.000000 129.127 29.2603
1925.000000 129.218 29.0123
1950.000000 129.309 28.7154
1975.000000 129.378 28.3917
2000.000000 129.454 28.0314
2030.000000 129.530 27.6984
2060.000000 129.594 27.2715
2090.000000 129.654 26.8319
2120.000000 129.715 26.3368
2140.000000 129.756 26.0534
2180.000000 129.831 25.4143
2200.000000 129.874 25.0520
2240.000000 129.967 24.4006
2270.000000 130.033 23.8944
2300.000000 130.083 23.3977
2330.000000 130.137 22.9125
2360.000000 130.171 22.3957
2400.000000 130.217 21.7999
2430.000000 130.238 21.2935
2470.000000 130.279 20.5846
2500.000000 130.295 20.0706
2540.000000 130.337 19.3764
2580.000000 130.389 18.6553
2620.000000 130.439 17.8089
2650.000000 130.478 17.1613
2690.000000 130.512 16.2288
2720.000000 130.516 15.4723
2760.000000 130.504 14.4562
2800.000000 130.451 13.6381
2850.000000 130.387 12.7620
2900.000000 130.300 12.1562
2950.000000 130.213 11.6985
3000.000000 130.138 11.4747
3040.000000 130.111 11.2238
3070.000000 130.087 11.1631
3110.000000 130.062 11.0511
3150.000000 130.068 11.0188
3200.000000 130.075 10.9412
3250.000000 130.112 10.8841
3300.000000 130.155 10.7358
3350.000000 130.202 10.5817
3400.000000 130.262 10.3508
3450.000000 130.330 9.9925
3500.000000 130.394 9.5327
3550.000000 130.459 8.9459
3600.000000 130.540 8.3492
3650.000000 130.613 7.5321
3700.000000 130.675 6.6869
3750.000000 130.717 5.6800
3820.000000 130.734 4.3891
3870.000000 130.728 3.5726
3950.000000 130.681 2.2909
4000.000000 130.657 1.5565
4060.000000 130.574 1.2225
4120.000000 130.805 1.5997
4180.000000 130.942 -0.9485
4250.000000 130.878 -3.3941
4310.000000 130.834 -4.9905
4370.000000 130.796 -6.6250
4440.000000 130.708 -8.6080
4500.000000 130.598 -10.3636
4550.000000 130.485 -11.7893
4620.000000 130.277 -13.6149
4680.000000 130.052 -15.0386
4750.000000 129.737 -16.3997
4820.000000 129.407 -17.5221
4870.000000 129.160 -18.0677
4940.000000 128.820 -18.5464
5000.000000 128.495 -18.7398
5080.000000 128.136 -18.5946
5150.000000 127.808 -18.0871
5220.000000 127.497 -17.4636
5300.000000 127.185 -16.4854
5380.000000 126.920 -15.2189
5450.000000 126.686 -14.1568
5520.000000 126.501 -12.8270
5600.000000 126.304 -11.3900
5700.000000 126.084 -9.5544
5800.000000 125.918 -7.5253
5900.000000 125.807 -5.6561
