* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 4, 2025 2:04:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Radius Zone Clear 1161
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.504 33.5345
20.600000 133.484 32.6163
20.900000 133.467 31.8463
21.200001 133.462 31.1069
21.400000 133.465 30.6052
21.799999 133.479 29.5551
22.000000 133.485 29.0038
22.400000 133.487 27.8768
22.700001 133.474 27.0577
23.000000 133.451 26.3052
23.299999 133.424 25.6308
23.600000 133.400 25.0168
24.000000 133.381 24.2334
24.299999 133.377 23.6184
24.700001 133.379 22.7229
25.000000 133.379 22.0060
25.400000 133.371 21.0451
25.799999 133.354 20.1562
26.200001 133.333 19.3818
26.500000 133.321 18.8635
26.900000 133.312 18.2064
27.200001 133.312 17.6974
27.600000 133.313 16.9617
28.000000 133.310 16.1642
28.500000 133.293 15.1493
29.000000 133.262 14.2072
29.500000 133.229 13.3591
30.000000 133.198 12.5382
30.400000 133.176 11.8481
30.700001 133.159 11.3022
31.100000 133.137 10.5518
31.500000 133.117 9.8002
32.000000 133.099 8.8889
32.500000 133.084 8.0298
33.000000 133.061 7.2608
33.500000 133.025 6.6265
34.000000 132.983 6.1072
34.500000 132.949 5.5711
35.000000 132.923 4.8759
35.500000 132.893 4.0069
36.000000 132.855 3.1122
36.500000 132.817 2.3539
37.000000 132.793 1.7671
37.500000 132.778 1.2593
38.200001 132.739 0.5246
38.700001 132.684 -0.0182
39.500000 132.580 -0.8932
40.000000 132.526 -1.4867
40.599998 132.478 -2.2270
41.200001 132.442 -2.8963
41.799999 132.414 -3.4792
42.500000 132.373 -4.1551
43.099998 132.319 -4.7380
43.700001 132.267 -5.2687
44.400002 132.236 -5.9050
45.000000 132.220 -6.5589
45.500000 132.190 -7.1073
46.200001 132.125 -7.7252
46.799999 132.075 -8.1937
47.500000 132.032 -8.9180
48.200001 131.982 -9.7444
48.700001 131.942 -10.2253
49.400002 131.896 -10.6903
50.000000 131.862 -11.0185
50.799999 131.813 -11.4967
51.500000 131.774 -11.9833
52.200001 131.744 -12.5299
53.000000 131.713 -13.1618
53.799999 131.682 -13.7781
54.500000 131.655 -14.3698
55.200001 131.629 -15.0071
56.000000 131.596 -15.6446
57.000000 131.551 -16.1609
58.000000 131.491 -16.6275
59.000000 131.414 -17.2580
60.000000 131.347 -18.0463
60.799999 131.295 -18.6753
61.500000 131.254 -19.1426
62.200001 131.220 -19.6086
63.000000 131.174 -20.1432
64.000000 131.111 -20.5985
65.000000 131.055 -20.9388
66.000000 130.975 -21.3102
67.000000 130.889 -21.6810
68.000000 130.812 -22.0846
69.000000 130.725 -22.4736
70.000000 130.635 -22.8387
71.000000 130.562 -23.3525
72.000000 130.496 -23.9154
73.000000 130.439 -24.3492
74.000000 130.377 -24.7384
75.000000 130.310 -25.0661
76.199997 130.230 -25.4591
77.500000 130.135 -25.9075
78.800003 130.052 -26.3841
80.000000 129.990 -26.7399
81.199997 129.926 -27.1169
82.500000 129.856 -27.5742
83.800003 129.790 -27.9006
85.000000 129.739 -28.1152
86.199997 129.680 -28.3562
87.500000 129.599 -28.6829
88.500000 129.537 -28.9750
90.000000 129.462 -29.5142
91.199997 129.412 -29.8483
92.500000 129.355 -30.1796
93.800003 129.278 -30.4498
95.000000 129.203 -30.6813
96.199997 129.125 -30.8565
97.500000 129.046 -31.0015
98.800003 128.967 -31.1796
100.000000 128.896 -31.2357
101.500000 128.804 -31.2010
103.000000 128.717 -31.3598
104.400002 128.656 -31.5091
106.000000 128.568 -31.7082
107.500000 128.495 -31.9690
109.000000 128.412 -32.1951
110.599998 128.308 -32.4947
112.000000 128.237 -32.6845
113.800003 128.151 -32.8597
115.000000 128.099 -33.0222
117.199997 128.012 -33.0441
118.000000 127.972 -33.0058
120.599998 127.843 -32.8608
122.000000 127.785 -32.6734
124.099998 127.691 -32.5813
125.000000 127.654 -32.5978
126.500000 127.583 -32.6584
128.000000 127.519 -32.8367
131.500000 127.374 -33.1845
132.000000 127.360 -33.2339
134.000000 127.296 -33.2359
136.000000 127.230 -33.0812
138.000000 127.148 -32.8623
140.000000 127.070 -32.8487
143.000000 126.948 -32.5810
145.000000 126.876 -32.4986
147.500000 126.785 -32.5440
150.000000 126.688 -32.5370
152.500000 126.592 -32.6173
155.000000 126.520 -32.6769
157.500000 126.461 -32.6304
160.000000 126.379 -32.4274
162.500000 126.295 -32.0979
165.000000 126.195 -31.8369
167.500000 126.103 -31.6744
170.000000 126.022 -31.4386
172.500000 125.936 -31.2382
175.000000 125.845 -30.9681
177.500000 125.771 -30.7813
180.000000 125.691 -30.5017
182.500000 125.621 -30.3145
185.000000 125.566 -29.9981
187.500000 125.509 -29.6706
190.000000 125.450 -29.3795
192.500000 125.391 -29.2019
195.000000 125.338 -29.0720
197.500000 125.285 -28.8655
200.000000 125.222 -28.6311
203.000000 125.167 -28.3303
206.000000 125.139 -27.9970
209.000000 125.081 -27.7093
212.000000 125.013 -27.3373
214.000000 124.976 -27.1731
218.000000 124.906 -26.7497
220.000000 124.860 -26.5643
224.000000 124.803 -26.3141
227.000000 124.767 -26.1150
230.000000 124.698 -25.7902
233.000000 124.644 -25.3247
236.000000 124.588 -24.8741
240.000000 124.512 -24.4162
243.000000 124.470 -23.9694
247.000000 124.412 -23.3753
250.000000 124.383 -22.9224
254.000000 124.315 -22.3380
258.000000 124.280 -21.9541
262.000000 124.282 -21.5951
265.000000 124.261 -21.3306
269.000000 124.257 -21.0578
272.000000 124.256 -20.8487
276.000000 124.237 -20.6926
280.000000 124.215 -20.4727
285.000000 124.173 -20.1560
290.000000 124.129 -19.6880
295.000000 124.058 -19.3206
300.000000 124.017 -18.8773
304.000000 123.965 -18.5452
307.000000 123.936 -18.3438
311.000000 123.894 -18.1207
315.000000 123.863 -17.7813
320.000000 123.815 -17.3974
325.000000 123.778 -17.0031
330.000000 123.731 -16.5749
335.000000 123.679 -16.1418
340.000000 123.650 -15.7614
345.000000 123.600 -15.3292
350.000000 123.568 -15.0051
355.000000 123.531 -14.5250
360.000000 123.498 -14.1263
365.000000 123.466 -13.7022
370.000000 123.453 -13.3521
375.000000 123.436 -12.9243
382.000000 123.402 -12.3815
387.000000 123.375 -12.0106
395.000000 123.352 -11.3982
400.000000 123.327 -10.9884
406.000000 123.309 -10.5234
412.000000 123.277 -10.0612
418.000000 123.269 -9.5755
425.000000 123.259 -9.1249
431.000000 123.257 -8.6631
437.000000 123.224 -8.2323
444.000000 123.215 -7.6895
450.000000 123.194 -7.2776
455.000000 123.169 -6.8981
462.000000 123.130 -6.4120
468.000000 123.099 -5.9282
475.000000 123.065 -5.3236
482.000000 123.028 -4.8118
487.000000 123.009 -4.4068
494.000000 122.987 -3.9287
500.000000 122.971 -3.4679
508.000000 122.957 -2.8986
515.000000 122.955 -2.3126
522.000000 122.951 -1.7396
530.000000 122.980 -1.1631
538.000000 122.995 -0.6704
545.000000 123.010 -0.4097
552.000000 122.986 -0.1070
560.000000 122.961 0.2554
570.000000 122.897 0.8776
580.000000 122.876 1.6441
590.000000 122.867 2.5296
600.000000 122.884 3.2658
608.000000 122.899 3.8157
615.000000 122.918 4.3421
622.000000 122.933 4.7629
630.000000 122.929 5.2669
640.000000 122.934 5.9261
650.000000 122.936 6.5791
660.000000 122.943 7.2026
670.000000 122.957 7.8495
680.000000 122.954 8.4148
690.000000 122.959 9.1649
700.000000 122.956 9.7941
710.000000 122.948 10.5132
720.000000 122.947 11.2196
730.000000 122.960 11.7990
740.000000 122.975 12.4465
750.000000 123.006 13.0898
762.000000 123.033 13.7478
775.000000 123.066 14.6182
788.000000 123.119 15.5046
800.000000 123.151 16.3383
812.000000 123.201 17.0845
825.000000 123.239 17.9199
838.000000 123.312 18.7725
850.000000 123.361 19.4599
862.000000 123.437 20.2075
875.000000 123.509 20.8715
885.000000 123.572 21.3973
900.000000 123.657 22.3542
912.000000 123.735 22.9866
925.000000 123.804 23.5542
938.000000 123.887 24.2230
950.000000 123.944 24.9335
962.000000 124.024 25.5068
975.000000 124.109 26.1531
988.000000 124.187 26.6739
1000.000000 124.263 26.8551
1015.000000 124.395 27.6476
1030.000000 124.506 28.2389
1044.000000 124.630 28.5850
1060.000000 124.749 29.0223
1075.000000 124.862 29.5495
1090.000000 124.977 29.8428
1106.000000 125.071 30.1679
1120.000000 125.179 30.4967
1138.000000 125.294 30.7843
1150.000000 125.375 30.9830
1172.000000 125.524 31.3426
1180.000000 125.577 31.3813
1206.000000 125.759 31.5394
1220.000000 125.866 31.6515
1241.000000 125.993 31.7494
1250.000000 126.040 31.8861
1265.000000 126.124 31.9837
1280.000000 126.210 32.0715
1315.000000 126.400 32.1067
1320.000000 126.422 32.1714
1340.000000 126.511 32.2933
1360.000000 126.609 32.2240
1380.000000 126.710 32.3266
1400.000000 126.801 32.3226
1430.000000 126.945 32.3249
1450.000000 127.016 32.3754
1475.000000 127.126 32.4233
1500.000000 127.229 32.3943
1525.000000 127.313 32.3906
1550.000000 127.391 32.4861
1575.000000 127.472 32.5100
1600.000000 127.567 32.5033
1625.000000 127.676 32.5203
1650.000000 127.791 32.4290
1675.000000 127.899 32.3647
1700.000000 128.000 32.3450
1725.000000 128.101 32.2628
1750.000000 128.198 32.1374
1775.000000 128.282 32.1091
1800.000000 128.365 31.9332
1825.000000 128.443 31.8300
1850.000000 128.525 31.5634
1875.000000 128.622 31.4191
1900.000000 128.714 31.1524
1925.000000 128.789 30.9058
1950.000000 128.878 30.7095
1975.000000 128.970 30.4361
2000.000000 129.048 30.1287
2030.000000 129.165 29.7372
2060.000000 129.243 29.4136
2090.000000 129.319 29.0660
2120.000000 129.403 28.5411
2140.000000 129.457 28.3204
2180.000000 129.551 27.6729
2200.000000 129.600 27.3784
2240.000000 129.695 26.7712
2270.000000 129.754 26.2218
2300.000000 129.806 25.8085
2330.000000 129.841 25.3018
2360.000000 129.881 24.8120
2400.000000 129.922 24.2025
2430.000000 129.967 23.6615
2470.000000 130.030 23.0283
2500.000000 130.073 22.5200
2540.000000 130.122 21.8453
2580.000000 130.180 21.0539
2620.000000 130.244 20.2891
2650.000000 130.286 19.6285
2690.000000 130.311 18.7429
2720.000000 130.325 18.0135
2760.000000 130.318 16.9831
2800.000000 130.285 16.0371
2850.000000 130.224 14.9841
2900.000000 130.121 14.3471
2950.000000 130.019 13.8189
3000.000000 129.957 13.6230
3040.000000 129.921 13.5533
3070.000000 129.906 13.5556
3110.000000 129.909 13.5095
3150.000000 129.916 13.4653
3200.000000 129.935 13.3685
3250.000000 129.957 13.3118
3300.000000 130.004 13.1837
3350.000000 130.033 13.0229
3400.000000 130.092 12.6895
3450.000000 130.161 12.4275
3500.000000 130.229 11.9583
3550.000000 130.271 11.4936
3600.000000 130.318 11.0224
3650.000000 130.368 10.4525
3700.000000 130.414 9.8446
3750.000000 130.488 9.1064
3820.000000 130.566 8.1602
3870.000000 130.610 7.3355
3950.000000 130.653 6.1467
4000.000000 130.688 5.2005
4060.000000 130.721 4.4249
4120.000000 130.729 3.5485
4180.000000 130.819 2.8670
4250.000000 130.913 0.7778
4310.000000 130.873 -0.9050
4370.000000 130.816 -2.6806
4440.000000 130.735 -4.7173
4500.000000 130.615 -6.3938
4550.000000 130.510 -7.7870
4620.000000 130.303 -9.6309
4680.000000 130.084 -10.8915
4750.000000 129.798 -12.0968
4820.000000 129.499 -13.0986
4870.000000 129.277 -13.5930
4940.000000 128.979 -14.0218
5000.000000 128.746 -14.1419
5080.000000 128.417 -14.1499
5150.000000 128.121 -13.7295
5220.000000 127.845 -13.3030
5300.000000 127.564 -12.4541
5380.000000 127.317 -11.3871
5450.000000 127.108 -10.3224
5520.000000 126.935 -9.2933
5600.000000 126.765 -7.9432
5700.000000 126.589 -6.1946
5800.000000 126.478 -4.2996
5900.000000 126.401 -2.5289
