* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Sep 18, 2025 1:46:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R ROCKIES 817
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 118.463 -175.9277
20.600000 118.456 -176.5800
20.900000 118.443 -177.1220
21.200001 118.438 -177.6311
21.400000 118.440 -177.9821
21.799999 118.455 -178.7524
22.000000 118.463 -179.1778
22.400000 118.467 179.9278
22.700001 118.457 179.2909
23.000000 118.442 178.7452
23.299999 118.429 178.2914
23.600000 118.425 177.8856
24.000000 118.432 177.3263
24.299999 118.438 176.8450
24.700001 118.436 176.1393
25.000000 118.424 175.6146
25.400000 118.403 174.9740
25.799999 118.386 174.3824
26.200001 118.377 173.7794
26.500000 118.371 173.3117
26.900000 118.361 172.7029
27.200001 118.356 172.2778
27.600000 118.357 171.7245
28.000000 118.364 171.0990
28.500000 118.352 170.1917
29.000000 118.301 169.3954
29.500000 118.252 168.9117
30.000000 118.254 168.4721
30.400000 118.270 167.8813
30.700001 118.263 167.3132
31.100000 118.220 166.6254
31.500000 118.164 166.2139
32.000000 118.147 165.9410
32.500000 118.188 165.3558
33.000000 118.190 164.3676
33.500000 118.125 163.6180
34.000000 118.085 163.4117
34.500000 118.122 163.0801
35.000000 118.131 162.1522
35.500000 118.026 161.2601
36.000000 117.914 161.0967
36.500000 117.945 161.0339
37.000000 118.046 159.9719
37.500000 118.036 158.2831
38.200001 117.881 157.2816
38.700001 117.894 157.4248
39.500000 117.929 156.5496
40.000000 117.794 156.5554
40.599998 117.796 157.7768
41.200001 118.038 156.9954
41.799999 117.943 154.0165
42.500000 117.407 153.7527
43.099998 117.577 156.0915
43.700001 118.080 154.1478
44.400002 117.813 149.8541
45.000000 117.256 152.3382
45.500000 117.588 155.9642
46.200001 118.390 152.5884
46.799999 117.946 146.0301
47.500000 116.679 147.6104
48.200001 117.176 154.3282
48.700001 117.989 152.2234
49.400002 117.922 145.0036
50.000000 117.043 144.1786
50.799999 116.965 149.8291
51.500000 117.611 148.1215
52.200001 117.448 143.3068
53.000000 116.692 143.8858
53.799999 116.921 148.5430
54.500000 117.646 147.0715
55.200001 117.775 141.1996
56.000000 116.884 136.9189
57.000000 116.047 143.2956
58.000000 116.897 146.7075
59.000000 117.405 142.3101
60.000000 117.192 137.2349
60.799999 116.622 135.9565
61.500000 116.280 138.0647
62.200001 116.395 140.1277
63.000000 116.660 139.7104
64.000000 116.747 137.6086
65.000000 116.671 135.3990
66.000000 116.330 133.7630
67.000000 115.968 134.7489
68.000000 116.057 135.8348
69.000000 116.079 135.0873
70.000000 116.100 135.7787
71.000000 116.381 134.6497
72.000000 116.318 132.4514
73.000000 116.238 131.7836
74.000000 116.219 130.4733
75.000000 116.088 128.8726
76.199997 115.813 127.6547
77.500000 115.726 128.0219
78.800003 115.730 126.4923
80.000000 115.549 126.0410
81.199997 115.609 126.3397
82.500000 115.705 125.4126
83.800003 115.606 124.6797
85.000000 115.536 124.8224
86.199997 115.520 125.1790
87.500000 115.525 124.6671
88.500000 115.370 124.0118
90.000000 115.003 124.0134
91.199997 114.807 124.2027
92.500000 114.843 122.5999
93.800003 114.912 120.0989
95.000000 114.945 119.2233
96.199997 114.906 120.3654
97.500000 114.672 122.0655
98.800003 114.404 120.9279
100.000000 114.423 117.8258
101.500000 114.758 117.3108
103.000000 114.640 119.4489
104.400002 114.222 117.7457
106.000000 114.231 115.9872
107.500000 114.134 116.3691
109.000000 114.092 115.6367
110.599998 114.075 116.8362
112.000000 113.734 115.6078
113.800003 114.112 114.0342
115.000000 114.051 116.0726
117.199997 113.677 113.3264
118.000000 113.839 113.1022
120.599998 113.604 112.8353
122.000000 113.631 112.7381
124.099998 113.466 112.1825
125.000000 113.492 111.6172
126.500000 113.397 112.2812
128.000000 113.209 111.3188
131.500000 113.010 109.9740
132.000000 112.964 109.4622
134.000000 113.010 108.4377
136.000000 112.997 107.1343
138.000000 113.131 107.2519
140.000000 113.000 108.0146
143.000000 112.669 107.6738
145.000000 112.636 106.0220
147.500000 112.767 104.6815
150.000000 112.599 105.9901
152.500000 112.361 104.8943
155.000000 112.484 103.7293
157.500000 112.312 104.5760
160.000000 112.332 102.8399
162.500000 112.299 103.5902
165.000000 112.064 102.5245
167.500000 112.055 103.1771
170.000000 111.982 99.7396
172.500000 112.057 102.2847
175.000000 111.914 100.3999
177.500000 111.947 100.5668
180.000000 111.824 100.3424
182.500000 111.822 99.5109
185.000000 111.679 98.5557
187.500000 111.761 98.2253
190.000000 111.837 97.2093
192.500000 111.776 98.4424
195.000000 111.663 98.3271
197.500000 111.493 96.7743
200.000000 111.613 96.7543
203.000000 111.545 96.8863
206.000000 111.340 96.4551
209.000000 111.322 94.8481
212.000000 111.482 94.7782
214.000000 111.184 94.8552
218.000000 111.237 93.7559
220.000000 111.301 94.9459
224.000000 111.140 93.8710
227.000000 111.295 92.2479
230.000000 111.167 93.6514
233.000000 111.149 91.8474
236.000000 111.151 92.5264
240.000000 111.069 91.1160
243.000000 111.123 91.3534
247.000000 111.041 90.5749
250.000000 111.015 90.3387
254.000000 111.030 90.0581
258.000000 110.821 89.4600
262.000000 111.005 89.5093
265.000000 110.905 88.5227
269.000000 110.746 89.0860
272.000000 110.988 89.6622
276.000000 111.007 87.7834
280.000000 110.865 87.9945
285.000000 111.049 88.6922
290.000000 111.308 86.6772
295.000000 111.226 85.4010
300.000000 111.213 84.2194
304.000000 111.190 83.8610
307.000000 111.249 83.8358
311.000000 111.187 83.0461
315.000000 111.185 82.4948
320.000000 111.248 81.8638
325.000000 111.177 81.5457
330.000000 111.133 80.7731
335.000000 111.098 79.8857
340.000000 111.170 78.9503
345.000000 111.263 78.8869
350.000000 111.063 78.2584
355.000000 111.150 77.1144
360.000000 111.131 77.2594
365.000000 111.162 76.0234
370.000000 111.199 76.2574
375.000000 111.174 74.8332
382.000000 111.070 74.3099
387.000000 111.135 74.6176
395.000000 111.171 73.3074
400.000000 111.144 72.4993
406.000000 111.245 71.8140
412.000000 111.158 70.6824
418.000000 111.108 70.7201
425.000000 111.145 70.1377
431.000000 111.074 69.8534
437.000000 111.066 69.3202
444.000000 111.129 67.5072
450.000000 111.162 67.9284
455.000000 111.141 67.2033
462.000000 111.213 67.0441
468.000000 111.143 66.3936
475.000000 111.102 66.6819
482.000000 111.138 64.8722
487.000000 111.185 65.3924
494.000000 111.065 64.5998
500.000000 111.122 64.3796
508.000000 111.133 63.1958
515.000000 111.069 63.0861
522.000000 111.090 62.2695
530.000000 111.077 61.6910
538.000000 111.083 61.1791
545.000000 111.083 61.0001
552.000000 111.009 60.4026
560.000000 110.994 59.7131
570.000000 111.023 59.6406
580.000000 111.058 59.2495
590.000000 111.110 58.6644
600.000000 111.103 58.5078
608.000000 110.893 57.1763
615.000000 110.903 57.3017
622.000000 111.020 57.4925
630.000000 110.994 57.0484
640.000000 110.945 56.5137
650.000000 110.925 56.1106
660.000000 110.923 55.9825
670.000000 110.994 55.6663
680.000000 110.869 55.5875
690.000000 110.930 55.5154
700.000000 110.889 54.7457
710.000000 110.887 54.8561
720.000000 110.906 54.8927
730.000000 110.908 54.8370
740.000000 110.882 54.2650
750.000000 110.875 54.6186
762.000000 110.898 54.5746
775.000000 110.959 54.4415
788.000000 110.930 54.5157
800.000000 110.996 54.4471
812.000000 111.055 54.7114
825.000000 111.073 54.8709
838.000000 111.143 54.8022
850.000000 111.188 54.8061
862.000000 111.232 54.3715
875.000000 111.210 53.9882
885.000000 111.291 54.4028
900.000000 111.363 54.0955
912.000000 111.429 54.2303
925.000000 111.487 54.1356
938.000000 111.510 53.8341
950.000000 111.611 53.9255
962.000000 111.668 53.5575
975.000000 111.734 53.4051
988.000000 111.775 53.3981
1000.000000 111.942 52.6826
1015.000000 111.896 53.1651
1030.000000 111.998 52.8077
1044.000000 112.039 52.5817
1060.000000 112.090 52.3586
1075.000000 112.169 51.8410
1090.000000 112.249 51.7497
1106.000000 112.345 51.4102
1120.000000 112.410 51.2111
1138.000000 112.447 50.6870
1150.000000 112.477 50.5221
1172.000000 112.567 49.9080
1180.000000 112.596 49.5823
1206.000000 112.708 48.9101
1220.000000 112.722 48.6943
1241.000000 112.756 47.8725
1250.000000 112.722 47.9147
1265.000000 112.813 47.5039
1280.000000 112.813 47.4667
1315.000000 112.850 46.3172
1320.000000 112.887 46.1407
1340.000000 112.877 45.8816
1360.000000 112.922 45.6602
1380.000000 112.913 45.4404
1400.000000 112.963 44.9984
1430.000000 112.946 44.9045
1450.000000 112.928 44.4440
1475.000000 112.972 44.2691
1500.000000 112.963 44.1192
1525.000000 113.014 43.9385
1550.000000 112.951 43.7756
1575.000000 112.941 43.8617
1600.000000 112.992 43.8546
1625.000000 112.990 43.4908
1650.000000 112.994 43.7397
1675.000000 113.036 43.6680
1700.000000 113.104 43.8278
1725.000000 113.099 44.0783
1750.000000 113.137 44.0183
1775.000000 113.135 44.1703
1800.000000 113.188 44.1168
1825.000000 113.214 44.0336
1850.000000 113.297 44.4644
1875.000000 113.341 44.6165
1900.000000 113.371 44.8776
1925.000000 113.419 45.1777
1950.000000 113.457 45.4775
1975.000000 113.515 45.3893
2000.000000 113.642 45.1104
2030.000000 113.724 45.7929
2060.000000 113.823 45.9177
2090.000000 113.887 46.2251
2120.000000 114.018 46.3675
2140.000000 114.015 46.3625
2180.000000 114.218 46.5611
2200.000000 114.262 46.4806
2240.000000 114.476 46.7920
2270.000000 114.568 46.8186
2300.000000 114.724 46.7276
2330.000000 114.875 46.5231
2360.000000 115.001 46.3991
2400.000000 115.214 46.3615
2430.000000 115.338 46.0089
2470.000000 115.572 45.7683
2500.000000 115.697 45.1603
2540.000000 115.936 44.8327
2580.000000 116.159 44.2161
2620.000000 116.310 43.1468
2650.000000 116.497 42.6591
2690.000000 116.729 41.5102
2720.000000 116.872 40.8345
2760.000000 117.058 39.4265
2800.000000 117.267 38.1163
2850.000000 117.480 36.3580
2900.000000 117.634 34.0149
2950.000000 117.809 31.7681
3000.000000 117.993 29.5523
3040.000000 117.996 27.6310
3070.000000 118.047 26.2618
3110.000000 118.071 24.3469
3150.000000 118.061 22.2258
3200.000000 118.043 20.0027
3250.000000 117.978 17.5421
3300.000000 117.860 15.5370
3350.000000 117.765 13.3190
3400.000000 117.568 11.3031
3450.000000 117.400 9.5026
3500.000000 117.228 8.2697
3550.000000 117.039 6.7049
3600.000000 116.851 5.4182
3650.000000 116.675 4.0038
3700.000000 116.427 3.6028
3750.000000 116.260 2.7544
3820.000000 115.999 1.9094
3870.000000 115.807 1.5175
3950.000000 115.522 0.7059
4000.000000 115.466 1.5052
4060.000000 115.190 0.4988
4120.000000 115.088 0.3049
4180.000000 114.981 0.1740
4250.000000 114.785 0.2531
4310.000000 114.695 0.0810
4370.000000 114.575 0.2148
4440.000000 114.499 -0.2077
4500.000000 114.480 -0.4969
4550.000000 114.344 -0.0203
4620.000000 114.313 -1.0214
4680.000000 114.242 -0.6154
4750.000000 114.242 -1.0532
4820.000000 114.062 -1.7578
4870.000000 113.996 -1.6329
4940.000000 113.985 -1.8109
5000.000000 113.787 -2.0474
5080.000000 113.805 -2.7741
5150.000000 113.722 -2.4399
5220.000000 113.637 -2.2234
5300.000000 113.551 -2.1689
5380.000000 113.624 -1.7872
5450.000000 113.467 -1.8046
5520.000000 113.521 -1.5920
5600.000000 113.484 -1.6857
5700.000000 113.491 -1.6101
5800.000000 113.598 -1.5952
5900.000000 113.610 -1.8740
6000.000000 113.773 -2.1107
6080.000000 113.708 -3.7702
6150.000000 113.792 -3.6976
6220.000000 113.891 -5.0997
6300.000000 113.869 -5.4293
6400.000000 113.905 -6.8530
6500.000000 113.892 -7.9440
6600.000000 113.811 -9.6268
6700.000000 113.680 -10.9579
6800.000000 113.437 -11.6408
6900.000000 113.103 -12.5778
