* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\Fix\Raptgo Bridge s.11 f.G Stock White L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 17, 2023 6:57:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\Fix\Raptgo Bridge s.11 f.G Stock White L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz
* Measurement: s.11 f.G Stock White L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	57.961	125.9475
1.015000	57.806	125.0752
1.030000	57.645	124.1935
1.044000	57.491	123.3613
1.060000	57.310	122.3986
1.075000	57.135	121.4840
1.090000	56.954	120.5569
1.106000	56.756	119.5604
1.120000	56.581	118.7187
1.138000	56.352	117.6812
1.150000	56.198	117.0123
1.172000	55.910	115.8213
1.180000	55.804	115.3962
1.206000	55.452	114.0291
1.220000	55.258	113.2934
1.241000	54.961	112.1764
1.250000	54.830	111.6889
1.265000	54.609	110.8597
1.280000	54.384	110.0039
1.315000	53.836	107.8680
1.320000	53.756	107.5435
1.340000	53.426	106.1875
1.360000	53.085	104.7275
1.380000	52.732	103.1482
1.400000	52.366	101.4345
1.430000	51.793	98.5786
1.450000	51.393	96.4624
1.475000	50.866	93.5609
1.500000	50.264	90.4419
1.525000	49.591	87.1309
1.550000	48.861	83.6352
1.575000	48.090	79.9625
1.600000	47.294	76.1203
1.625000	46.489	72.1162
1.650000	45.689	67.9576
1.675000	44.911	63.6521
1.700000	44.170	59.2073
1.725000	43.482	54.6307
1.750000	42.862	49.9299
1.775000	42.325	45.1123
1.800000	41.889	40.1856
1.825000	41.567	35.1572
1.850000	41.369	29.8942
1.875000	41.279	24.1160
1.900000	41.286	17.9046
1.925000	41.377	11.3573
1.950000	41.540	4.5714
1.975000	41.762	-2.3557
2.000000	42.032	-9.3268
2.030000	42.402	-17.6130
2.060000	42.803	-25.6543
2.090000	43.212	-33.2824
2.120000	43.610	-40.3292
2.140000	43.859	-44.6211
2.180000	44.288	-52.0063
2.200000	44.456	-55.0015
2.240000	44.772	-59.8220
2.270000	45.014	-62.5973
2.300000	45.259	-64.7418
2.330000	45.503	-66.3362
2.360000	45.746	-67.4608
2.400000	46.062	-68.3688
2.430000	46.292	-68.7105
2.470000	46.583	-68.8666
2.500000	46.788	-68.8634
2.540000	47.039	-68.8519
2.580000	47.259	-68.9344
2.620000	47.431	-68.6339
2.650000	47.535	-68.1152
2.690000	47.649	-67.0993
2.720000	47.723	-66.1396
2.760000	47.817	-64.6630
2.800000	47.917	-63.0376
2.850000	48.070	-60.9234
2.900000	48.277	-58.8692
2.950000	48.560	-56.9801
3.000000	48.903	-54.8876
3.040000	49.210	-53.0617
3.070000	49.456	-51.6442
3.110000	49.799	-49.7400
3.150000	50.155	-47.8763
3.200000	50.611	-45.6979
3.250000	51.067	-43.8006
3.300000	51.514	-42.3046
3.350000	51.970	-41.1808
3.400000	52.446	-40.3264
3.450000	52.933	-39.7033
