* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\Fix\Raptgo Bridge s.11 f.S Stock White R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 17, 2023 7:08:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\Fix\Raptgo Bridge s.11 f.S Stock White R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz
* Measurement: s.11 f.S Stock White R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	82.557	-62.4309
1.015000	82.376	-63.3144
1.030000	82.188	-64.1890
1.044000	82.006	-64.9968
1.060000	81.788	-65.9092
1.075000	81.575	-66.7534
1.090000	81.353	-67.5860
1.106000	81.106	-68.4869
1.120000	80.881	-69.4269
1.138000	80.581	-70.8522
1.150000	80.374	-71.9171
1.172000	79.982	-74.0565
1.180000	79.836	-74.8813
1.206000	79.345	-77.6691
1.220000	79.073	-79.2029
1.241000	78.654	-81.4874
1.250000	78.470	-82.4449
1.265000	78.160	-83.9907
1.280000	77.844	-85.4509
1.315000	77.087	-88.3756
1.320000	76.977	-88.7238
1.340000	76.530	-89.9032
1.360000	76.077	-90.6937
1.380000	75.617	-91.0323
1.400000	75.152	-90.8558
1.430000	74.444	-89.4872
1.450000	73.967	-87.7469
1.475000	73.357	-84.4875
1.500000	72.655	-79.6565
1.525000	71.863	-73.3806
1.550000	71.003	-65.8967
1.575000	70.098	-57.4416
1.600000	69.171	-48.2524
1.625000	68.245	-38.5660
1.650000	67.343	-28.6192
1.675000	66.487	-18.6491
1.700000	65.700	-8.8924
1.725000	65.005	0.4137
1.750000	64.425	9.0324
1.775000	63.982	16.7267
1.800000	63.700	23.2598
1.825000	63.601	28.3947
1.850000	63.712	32.1241
1.875000	64.041	34.9258
1.900000	64.560	36.9103
1.925000	65.241	38.1678
1.950000	66.053	38.7882
1.975000	66.970	38.8617
