* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 28, 2024 12:23:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Rose Technics Quiet Sea Ja
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 144.453 -121.0862
20.600000 144.520 -121.9649
20.900000 144.579 -122.7627
21.200001 144.636 -123.5602
21.400000 144.674 -124.0926
21.799999 144.750 -125.1510
22.000000 144.787 -125.6716
22.400000 144.860 -126.6817
22.700001 144.913 -127.4063
23.000000 144.964 -128.1035
23.299999 145.013 -128.7812
23.600000 145.058 -129.4485
24.000000 145.114 -130.3361
24.299999 145.153 -131.0067
24.700001 145.202 -131.9075
25.000000 145.237 -132.5830
25.400000 145.285 -133.4722
25.799999 145.335 -134.3334
26.200001 145.386 -135.1536
26.500000 145.424 -135.7375
26.900000 145.472 -136.4742
27.200001 145.505 -137.0004
27.600000 145.543 -137.6789
28.000000 145.576 -138.3509
28.500000 145.609 -139.2095
29.000000 145.640 -140.0970
29.500000 145.671 -140.9863
30.000000 145.710 -141.8352
30.400000 145.747 -142.4738
30.700001 145.778 -142.9353
31.100000 145.818 -143.5421
31.500000 145.853 -144.1478
32.000000 145.883 -144.8951
32.500000 145.901 -145.6091
33.000000 145.919 -146.2919
33.500000 145.947 -146.9827
34.000000 145.982 -147.7155
34.500000 146.014 -148.4669
35.000000 146.036 -149.1746
35.500000 146.051 -149.7989
36.000000 146.066 -150.3699
36.500000 146.083 -150.9554
37.000000 146.100 -151.5937
37.500000 146.111 -152.2552
38.200001 146.119 -153.0939
38.700001 146.129 -153.5904
39.500000 146.165 -154.3432
40.000000 146.190 -154.8866
40.599998 146.208 -155.6037
41.200001 146.213 -156.2745
41.799999 146.222 -156.8466
42.500000 146.245 -157.5046
43.099998 146.259 -158.1440
43.700001 146.257 -158.7693
44.400002 146.253 -159.3856
45.000000 146.263 -159.8888
45.500000 146.273 -160.3432
46.200001 146.274 -160.9624
46.799999 146.274 -161.4251
47.500000 146.286 -161.9981
48.200001 146.298 -162.6613
48.700001 146.300 -163.1072
49.400002 146.302 -163.6190
50.000000 146.307 -164.0262
50.799999 146.306 -164.6263
51.500000 146.297 -165.1752
52.200001 146.295 -165.7144
53.000000 146.301 -166.3180
53.799999 146.289 -166.8665
54.500000 146.261 -167.2124
55.200001 146.252 -167.4879
56.000000 146.279 -168.0645
57.000000 146.279 -169.0767
58.000000 146.263 -169.5787
59.000000 146.283 -170.1786
60.000000 146.239 -170.8898
60.799999 146.225 -171.1940
61.500000 146.242 -171.6099
62.200001 146.231 -172.1299
63.000000 146.200 -172.4941
64.000000 146.205 -172.9286
65.000000 146.193 -173.6364
66.000000 146.167 -174.0903
67.000000 146.171 -174.5684
68.000000 146.144 -175.1673
69.000000 146.114 -175.5940
70.000000 146.115 -176.0290
71.000000 146.105 -176.5810
72.000000 146.071 -177.0433
73.000000 146.055 -177.4514
74.000000 146.052 -177.8802
75.000000 146.048 -178.3230
76.199997 146.013 -178.9418
77.500000 145.977 -179.4426
78.800003 145.964 -179.8965
80.000000 145.938 179.5887
81.199997 145.901 179.1063
82.500000 145.875 178.7310
83.800003 145.864 178.3337
85.000000 145.853 177.7125
86.199997 145.793 177.1805
87.500000 145.747 176.9906
88.500000 145.755 176.7514
90.000000 145.745 176.0905
91.199997 145.695 175.5663
92.500000 145.649 175.2566
93.800003 145.628 174.9374
95.000000 145.599 174.6149
96.199997 145.568 174.2519
97.500000 145.542 173.9185
98.800003 145.526 173.5096
100.000000 145.503 173.1118
101.500000 145.471 172.6175
103.000000 145.396 172.2566
104.400002 145.343 171.9095
106.000000 145.314 171.6056
107.500000 145.302 171.4306
109.000000 145.230 170.7520
110.599998 145.217 170.6159
112.000000 145.197 170.3334
113.800003 145.064 169.8668
115.000000 145.095 170.2029
117.199997 144.992 169.3988
118.000000 145.036 169.1160
120.599998 144.990 168.7655
122.000000 145.003 168.1060
124.099998 144.934 168.1649
125.000000 144.870 168.0225
126.500000 144.785 167.6857
128.000000 144.767 167.3620
131.500000 144.662 166.6603
132.000000 144.649 166.5740
134.000000 144.612 166.1021
136.000000 144.558 165.9236
138.000000 144.500 165.5665
140.000000 144.453 165.3036
143.000000 144.368 164.8522
145.000000 144.338 164.5569
147.500000 144.266 164.5013
150.000000 144.175 164.0513
152.500000 144.138 163.7402
155.000000 144.052 163.5950
157.500000 144.001 163.3124
160.000000 143.925 163.0406
162.500000 143.884 162.8126
165.000000 143.794 162.5718
167.500000 143.750 162.4824
170.000000 143.677 162.0698
172.500000 143.609 162.1254
175.000000 143.562 161.7708
177.500000 143.483 161.6341
180.000000 143.429 161.4961
182.500000 143.366 161.3327
185.000000 143.304 161.1590
187.500000 143.239 161.1009
190.000000 143.184 160.9083
192.500000 143.117 160.8055
195.000000 143.064 160.6917
197.500000 143.003 160.6116
200.000000 142.942 160.4901
203.000000 142.877 160.4299
206.000000 142.797 160.2588
209.000000 142.746 160.2935
212.000000 142.674 160.2268
214.000000 142.625 160.0448
218.000000 142.545 159.9931
220.000000 142.486 159.9855
224.000000 142.425 159.8892
227.000000 142.327 159.7496
230.000000 142.268 159.9082
233.000000 142.217 160.0278
236.000000 142.117 159.7511
240.000000 142.066 159.8551
243.000000 141.974 159.8850
247.000000 141.923 159.9117
250.000000 141.843 159.9791
254.000000 141.789 159.9919
258.000000 141.701 159.9523
262.000000 141.627 159.9868
265.000000 141.570 160.0956
269.000000 141.493 160.1213
272.000000 141.430 160.2713
276.000000 141.354 160.3788
280.000000 141.282 160.4498
285.000000 141.192 160.5217
290.000000 141.108 160.6365
295.000000 141.007 160.7667
300.000000 140.924 161.0175
304.000000 140.858 161.0821
307.000000 140.807 161.2978
311.000000 140.740 161.3717
315.000000 140.683 161.5185
320.000000 140.599 161.7451
325.000000 140.520 161.9766
330.000000 140.444 162.2662
335.000000 140.358 162.4464
340.000000 140.286 162.6949
345.000000 140.214 162.9503
350.000000 140.142 163.2349
355.000000 140.055 163.5244
360.000000 140.007 163.5876
365.000000 139.945 163.9391
370.000000 139.863 164.1419
375.000000 139.815 164.4210
382.000000 139.713 164.9640
387.000000 139.640 165.2748
395.000000 139.559 165.7325
400.000000 139.522 165.9938
406.000000 139.408 166.2816
412.000000 139.378 166.9108
418.000000 139.277 166.9572
425.000000 139.230 167.4949
431.000000 139.142 168.0371
437.000000 139.113 168.5106
444.000000 139.022 168.8857
450.000000 138.973 169.2608
455.000000 138.915 169.5865
462.000000 138.859 170.1752
468.000000 138.801 170.5780
475.000000 138.741 171.0714
482.000000 138.685 171.5589
487.000000 138.649 171.9273
494.000000 138.584 172.4502
500.000000 138.539 172.8781
508.000000 138.479 173.4919
515.000000 138.429 173.8886
522.000000 138.390 174.5706
530.000000 138.319 175.1777
538.000000 138.268 175.7263
545.000000 138.228 176.3161
552.000000 138.188 176.8951
560.000000 138.129 177.5000
570.000000 138.083 178.2270
580.000000 138.031 179.0977
590.000000 137.984 179.9452
600.000000 137.933 -179.3287
608.000000 137.900 -178.7018
615.000000 137.870 -178.0854
622.000000 137.845 -177.5420
630.000000 137.813 -176.8806
640.000000 137.781 -175.9983
650.000000 137.751 -175.2586
660.000000 137.726 -174.3682
670.000000 137.700 -173.5658
680.000000 137.685 -172.6436
690.000000 137.668 -171.8885
700.000000 137.652 -171.0232
710.000000 137.645 -170.2282
720.000000 137.645 -169.3658
730.000000 137.643 -168.5731
740.000000 137.643 -167.7875
750.000000 137.647 -166.9457
762.000000 137.643 -166.0743
775.000000 137.666 -165.0504
788.000000 137.671 -164.0539
800.000000 137.696 -163.2950
812.000000 137.692 -162.4002
825.000000 137.697 -161.3998
838.000000 137.707 -160.3321
850.000000 137.732 -159.3622
862.000000 137.767 -158.4097
875.000000 137.815 -157.3173
885.000000 137.844 -156.7500
900.000000 137.886 -155.7500
912.000000 137.916 -154.8900
925.000000 137.945 -153.9005
938.000000 138.000 -152.7755
950.000000 138.040 -151.8446
962.000000 138.106 -150.9939
975.000000 138.171 -150.0018
988.000000 138.235 -148.9912
1000.000000 138.292 -148.3834
1015.000000 138.431 -147.1359
1030.000000 138.531 -146.2450
1044.000000 138.611 -145.4017
1060.000000 138.740 -144.4611
1075.000000 138.854 -143.7552
1090.000000 138.975 -142.9876
1106.000000 139.085 -142.2076
1120.000000 139.175 -141.6217
1138.000000 139.315 -140.7918
1150.000000 139.402 -140.2822
1172.000000 139.549 -139.4225
1180.000000 139.605 -139.1682
1206.000000 139.782 -138.2200
1220.000000 139.871 -137.7358
1241.000000 140.023 -137.0107
1250.000000 140.074 -136.7187
1265.000000 140.169 -136.2243
1280.000000 140.254 -135.7490
1315.000000 140.477 -134.6875
1320.000000 140.510 -134.4929
1340.000000 140.634 -133.8546
1360.000000 140.760 -133.2363
1380.000000 140.880 -132.5138
1400.000000 141.014 -131.9714
1430.000000 141.206 -131.0847
1450.000000 141.316 -130.3872
1475.000000 141.495 -129.5746
1500.000000 141.655 -128.7079
1525.000000 141.829 -128.0102
1550.000000 142.001 -127.1308
1575.000000 142.179 -126.3154
1600.000000 142.375 -125.4063
1625.000000 142.588 -124.5638
1650.000000 142.812 -123.6839
1675.000000 143.059 -122.7796
1700.000000 143.318 -121.9279
1725.000000 143.605 -121.1247
1750.000000 143.928 -120.4664
1775.000000 144.266 -119.8973
1800.000000 144.634 -119.6589
1825.000000 145.018 -119.6306
1850.000000 145.400 -120.0134
1875.000000 145.762 -120.6382
1900.000000 146.102 -121.5342
1925.000000 146.410 -122.5935
1950.000000 146.686 -123.7637
1975.000000 146.937 -124.9731
2000.000000 147.136 -126.0452
2030.000000 147.408 -127.6749
2060.000000 147.638 -129.1220
2090.000000 147.854 -130.6116
2120.000000 148.060 -132.0956
2140.000000 148.190 -133.1401
2180.000000 148.433 -135.2666
2200.000000 148.543 -136.3935
2240.000000 148.749 -138.6906
2270.000000 148.877 -140.5050
2300.000000 148.990 -142.3362
2330.000000 149.077 -144.2452
2360.000000 149.144 -146.1562
2400.000000 149.195 -148.6992
2430.000000 149.205 -150.5669
2470.000000 149.181 -153.0284
2500.000000 149.139 -154.7852
2540.000000 149.051 -156.9948
2580.000000 148.937 -159.0359
2620.000000 148.793 -160.8547
2650.000000 148.677 -162.0725
2690.000000 148.504 -163.5451
2720.000000 148.367 -164.5175
2760.000000 148.179 -165.6154
2800.000000 147.990 -166.5464
2850.000000 147.756 -167.4172
2900.000000 147.526 -168.0375
2950.000000 147.301 -168.4178
3000.000000 147.115 -168.4680
3040.000000 146.940 -168.6202
3070.000000 146.830 -168.5527
3110.000000 146.694 -168.3994
3150.000000 146.571 -168.1302
3200.000000 146.430 -167.7384
3250.000000 146.313 -167.2074
3300.000000 146.222 -166.5927
3350.000000 146.138 -165.9456
3400.000000 146.083 -165.2081
3450.000000 146.045 -164.4464
3500.000000 146.030 -163.6447
3550.000000 146.028 -162.8020
3600.000000 146.053 -161.9741
3650.000000 146.099 -161.1282
3700.000000 146.165 -160.3077
3750.000000 146.246 -159.4875
3820.000000 146.403 -158.4375
3870.000000 146.542 -157.7103
3950.000000 146.803 -156.7383
4000.000000 147.005 -156.3411
4060.000000 147.254 -155.7159
4120.000000 147.547 -155.4532
4180.000000 147.864 -155.3626
4250.000000 148.279 -155.6279
4310.000000 148.653 -156.2185
4370.000000 149.049 -157.2150
4440.000000 149.526 -158.9920
4500.000000 149.931 -161.0754
4550.000000 150.256 -163.2757
4620.000000 150.663 -167.0721
4680.000000 150.939 -170.9651
4750.000000 151.140 -176.1823
4820.000000 151.174 178.1676
4870.000000 151.088 174.0683
4940.000000 150.804 168.5426
5000.000000 150.456 164.3043
5080.000000 149.808 159.4526
5150.000000 149.172 156.2045
5220.000000 148.498 153.8310
5300.000000 147.712 152.1011
5380.000000 146.945 151.2590
5450.000000 146.302 151.1422
5520.000000 145.694 151.4800
5600.000000 145.025 152.3730
