* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 3:27:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R hidizs sea anemone 1094
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 134.124 36.0353
20.600000 134.129 35.1418
20.900000 134.126 34.2965
21.200001 134.121 33.4372
21.400000 134.118 32.8634
21.799999 134.114 31.7362
22.000000 134.113 31.1950
22.400000 134.116 30.1780
22.700001 134.123 29.4699
23.000000 134.135 28.7872
23.299999 134.148 28.0998
23.600000 134.159 27.3900
24.000000 134.159 26.4086
24.299999 134.147 25.6747
24.700001 134.116 24.7511
25.000000 134.090 24.1192
25.400000 134.064 23.3371
25.799999 134.053 22.5513
26.200001 134.050 21.7021
26.500000 134.044 21.0340
26.900000 134.027 20.1677
27.200001 134.008 19.5927
27.600000 133.983 18.9619
28.000000 133.974 18.4375
28.500000 133.987 17.7480
29.000000 134.006 16.8540
29.500000 134.000 15.7925
30.000000 133.965 14.7620
30.400000 133.928 14.0695
30.700001 133.904 13.6360
31.100000 133.886 13.1252
31.500000 133.882 12.6200
32.000000 133.880 11.9055
32.500000 133.863 11.0842
33.000000 133.820 10.2312
33.500000 133.763 9.4260
34.000000 133.712 8.6798
34.500000 133.680 7.9428
35.000000 133.663 7.1916
35.500000 133.650 6.4697
36.000000 133.634 5.8268
36.500000 133.611 5.2526
37.000000 133.577 4.7027
37.500000 133.532 4.1622
38.200001 133.470 3.4062
38.700001 133.440 2.7944
39.500000 133.398 1.6484
40.000000 133.363 0.9978
40.599998 133.334 0.3787
41.200001 133.334 -0.2934
41.799999 133.330 -1.1852
42.500000 133.283 -2.2029
43.099998 133.236 -2.7520
43.700001 133.212 -3.1316
44.400002 133.182 -3.6390
45.000000 133.131 -4.1479
45.500000 133.083 -4.6098
46.200001 133.031 -5.3684
46.799999 133.007 -6.0765
47.500000 132.993 -6.7765
48.200001 132.976 -7.2698
48.700001 132.952 -7.5635
49.400002 132.896 -8.0607
50.000000 132.833 -8.6364
50.799999 132.755 -9.4249
51.500000 132.720 -9.9509
52.200001 132.696 -10.3605
53.000000 132.639 -10.6801
53.799999 132.585 -11.0475
54.500000 132.551 -11.7259
55.200001 132.506 -12.4858
56.000000 132.467 -13.1284
57.000000 132.402 -13.9358
58.000000 132.305 -14.4103
59.000000 132.286 -14.9610
60.000000 132.230 -15.4395
60.799999 132.232 -15.5515
61.500000 132.256 -16.1606
62.200001 132.209 -16.9867
63.000000 132.134 -17.4015
64.000000 132.156 -17.8696
65.000000 132.134 -19.0262
66.000000 132.033 -19.5848
67.000000 132.012 -19.7886
68.000000 131.970 -20.5247
69.000000 131.856 -21.0966
70.000000 131.780 -21.3360
71.000000 131.725 -21.8151
72.000000 131.620 -22.3345
73.000000 131.538 -22.4362
74.000000 131.514 -22.5954
75.000000 131.445 -23.0382
76.199997 131.317 -23.5377
77.500000 131.205 -23.7478
78.800003 131.150 -23.8296
80.000000 131.046 -24.4492
81.199997 130.909 -24.9859
82.500000 130.772 -25.2654
83.800003 130.687 -25.7865
85.000000 130.627 -26.6109
86.199997 130.605 -27.1511
87.500000 130.577 -27.2825
88.500000 130.552 -27.2810
90.000000 130.448 -27.3804
91.199997 130.356 -27.9264
92.500000 130.237 -28.6176
93.800003 130.197 -29.0272
95.000000 130.137 -29.0289
96.199997 130.055 -28.8962
97.500000 129.920 -29.3048
98.800003 129.890 -29.8947
100.000000 129.874 -29.9564
101.500000 129.761 -29.6953
103.000000 129.649 -30.3639
104.400002 129.628 -30.4820
106.000000 129.489 -30.3999
107.500000 129.413 -31.0235
109.000000 129.378 -31.1121
110.599998 129.253 -31.3640
112.000000 129.205 -31.5983
113.800003 129.117 -31.5872
115.000000 129.057 -31.6751
117.199997 128.971 -31.8385
118.000000 128.929 -31.8604
120.599998 128.835 -32.1318
122.000000 128.785 -32.2239
124.099998 128.677 -32.2660
125.000000 128.621 -32.2910
126.500000 128.543 -32.4822
128.000000 128.478 -32.6012
131.500000 128.344 -32.5995
132.000000 128.320 -32.5708
134.000000 128.252 -32.6287
136.000000 128.166 -32.4761
138.000000 128.068 -32.5161
140.000000 127.987 -32.5435
143.000000 127.878 -32.6046
145.000000 127.774 -32.6362
147.500000 127.703 -32.6945
150.000000 127.614 -32.6557
152.500000 127.537 -32.4629
155.000000 127.452 -32.2716
157.500000 127.393 -32.2474
160.000000 127.283 -32.0490
162.500000 127.250 -32.0878
165.000000 127.157 -31.8971
167.500000 127.121 -32.0459
170.000000 127.013 -31.8595
172.500000 126.994 -31.5598
175.000000 126.915 -31.6684
177.500000 126.837 -31.3159
180.000000 126.769 -31.2200
182.500000 126.676 -31.0844
185.000000 126.573 -30.8666
187.500000 126.490 -30.6420
190.000000 126.416 -30.3404
192.500000 126.328 -30.1021
195.000000 126.258 -29.8268
197.500000 126.186 -29.4763
200.000000 126.124 -29.5423
203.000000 126.065 -29.2206
206.000000 126.002 -29.0811
209.000000 125.953 -28.9493
212.000000 125.913 -28.7757
214.000000 125.890 -28.6793
218.000000 125.826 -28.3688
220.000000 125.770 -28.0890
224.000000 125.689 -27.6677
227.000000 125.637 -27.3641
230.000000 125.566 -27.0686
233.000000 125.517 -26.8145
236.000000 125.449 -26.6053
240.000000 125.369 -26.1154
243.000000 125.310 -25.8216
247.000000 125.260 -25.6000
250.000000 125.188 -25.2265
254.000000 125.179 -24.7278
258.000000 125.143 -24.4956
262.000000 125.079 -24.2814
265.000000 125.040 -24.0886
269.000000 125.000 -23.7959
272.000000 124.972 -23.4471
276.000000 124.921 -23.0316
280.000000 124.865 -22.6168
285.000000 124.789 -22.0928
290.000000 124.743 -21.6026
295.000000 124.678 -21.2697
300.000000 124.643 -20.8352
304.000000 124.616 -20.5104
307.000000 124.594 -20.3066
311.000000 124.558 -19.9120
315.000000 124.521 -19.5346
320.000000 124.484 -19.1576
325.000000 124.467 -18.7798
330.000000 124.408 -18.3659
335.000000 124.357 -17.9441
340.000000 124.316 -17.4486
345.000000 124.280 -16.9947
350.000000 124.235 -16.5653
355.000000 124.211 -16.1431
360.000000 124.168 -15.7713
365.000000 124.141 -15.4004
370.000000 124.130 -15.0739
375.000000 124.122 -14.6618
382.000000 124.088 -14.0981
387.000000 124.063 -13.7296
395.000000 124.033 -13.1735
400.000000 123.994 -12.7197
406.000000 123.952 -12.2506
412.000000 123.940 -11.6775
418.000000 123.903 -11.2410
425.000000 123.870 -10.8453
431.000000 123.843 -10.3851
437.000000 123.819 -9.9183
444.000000 123.803 -9.4974
450.000000 123.780 -9.0136
455.000000 123.758 -8.6424
462.000000 123.728 -8.0520
468.000000 123.715 -7.6875
475.000000 123.693 -7.1057
482.000000 123.712 -6.5539
487.000000 123.688 -6.3040
494.000000 123.668 -5.8290
500.000000 123.657 -5.3796
508.000000 123.636 -4.7660
515.000000 123.596 -4.2511
522.000000 123.587 -3.5825
530.000000 123.576 -2.9988
538.000000 123.569 -2.5586
545.000000 123.580 -1.9877
552.000000 123.575 -1.7544
560.000000 123.557 -1.3973
570.000000 123.537 -0.8737
580.000000 123.492 -0.3704
590.000000 123.483 0.2783
600.000000 123.494 1.1182
608.000000 123.482 1.6855
615.000000 123.506 2.2883
622.000000 123.518 2.8647
630.000000 123.513 3.3102
640.000000 123.513 3.9101
650.000000 123.526 4.6403
660.000000 123.533 5.1894
670.000000 123.546 5.9249
680.000000 123.537 6.5031
690.000000 123.552 7.0627
700.000000 123.585 7.7733
710.000000 123.592 8.4174
720.000000 123.607 9.0714
730.000000 123.627 9.7110
740.000000 123.632 10.3759
750.000000 123.667 10.9638
762.000000 123.686 11.7846
775.000000 123.724 12.5706
788.000000 123.759 13.5077
800.000000 123.799 14.2167
812.000000 123.834 15.0738
825.000000 123.889 15.8815
838.000000 123.936 16.6684
850.000000 123.992 17.3639
862.000000 124.043 18.1295
875.000000 124.117 18.8758
885.000000 124.182 19.4544
900.000000 124.285 20.2613
912.000000 124.355 21.0102
925.000000 124.425 21.6524
938.000000 124.513 22.3903
950.000000 124.586 22.9199
962.000000 124.668 23.4825
975.000000 124.759 24.0323
988.000000 124.841 24.5779
1000.000000 124.940 25.1324
1015.000000 125.044 25.6337
1030.000000 125.154 26.1401
1044.000000 125.270 26.6194
1060.000000 125.411 27.0088
1075.000000 125.538 27.3735
1090.000000 125.675 27.6153
1106.000000 125.808 28.1314
1120.000000 125.901 28.2690
1138.000000 126.039 28.5094
1150.000000 126.116 28.6481
1172.000000 126.279 28.9871
1180.000000 126.341 28.9871
1206.000000 126.514 29.1426
1220.000000 126.608 29.2601
1241.000000 126.738 29.2693
1250.000000 126.797 29.2219
1265.000000 126.906 29.2772
1280.000000 126.981 29.3309
1315.000000 127.177 29.2742
1320.000000 127.198 29.2209
1340.000000 127.286 29.2500
1360.000000 127.381 29.2229
1380.000000 127.471 29.1387
1400.000000 127.580 29.0892
1430.000000 127.715 28.9813
1450.000000 127.801 28.9482
1475.000000 127.908 28.9073
1500.000000 128.015 28.7962
1525.000000 128.104 28.6993
1550.000000 128.209 28.6067
1575.000000 128.309 28.5473
1600.000000 128.378 28.4302
1625.000000 128.476 28.3087
1650.000000 128.565 28.2168
1675.000000 128.653 28.1511
1700.000000 128.750 27.9025
1725.000000 128.841 27.7778
1750.000000 128.925 27.6416
1775.000000 129.014 27.4301
1800.000000 129.091 27.2487
1825.000000 129.183 26.9203
1850.000000 129.253 26.8359
1875.000000 129.344 26.6509
1900.000000 129.434 26.3202
1925.000000 129.504 26.1737
1950.000000 129.563 25.6421
1975.000000 129.684 25.4505
2000.000000 129.771 24.9274
2030.000000 129.877 24.5343
2060.000000 129.970 24.1633
2090.000000 130.029 23.5513
2120.000000 130.094 23.3373
2140.000000 130.170 22.8617
2180.000000 130.219 22.1487
2200.000000 130.268 21.8059
2240.000000 130.384 21.0071
2270.000000 130.422 20.4871
2300.000000 130.479 19.9756
2330.000000 130.528 19.3020
2360.000000 130.569 18.7592
2400.000000 130.625 17.9970
2430.000000 130.668 17.3848
2470.000000 130.715 16.6441
2500.000000 130.742 16.0231
2540.000000 130.787 15.1882
2580.000000 130.833 14.4023
2620.000000 130.884 13.4327
2650.000000 130.928 12.6892
2690.000000 130.976 11.6336
2720.000000 131.001 10.7508
2760.000000 131.009 9.5775
2800.000000 130.984 8.3452
2850.000000 130.924 7.0034
2900.000000 130.839 5.8219
2950.000000 130.729 4.8954
3000.000000 130.622 4.2189
3040.000000 130.547 3.9050
3070.000000 130.498 3.6531
3110.000000 130.438 3.4060
3150.000000 130.394 3.2281
3200.000000 130.375 2.9231
3250.000000 130.368 2.7150
3300.000000 130.358 2.5813
3350.000000 130.359 2.3900
3400.000000 130.367 2.1347
3450.000000 130.391 1.8501
3500.000000 130.421 1.5166
3550.000000 130.445 0.9977
3600.000000 130.473 0.5026
3650.000000 130.507 -0.1341
3700.000000 130.549 -0.7810
3750.000000 130.565 -1.5466
3820.000000 130.581 -2.7499
3870.000000 130.540 -3.5269
3950.000000 130.551 -5.1830
4000.000000 130.597 -6.0949
4060.000000 130.555 -7.3097
4120.000000 130.544 -8.5482
4180.000000 130.521 -9.5040
4250.000000 130.592 -11.3241
4310.000000 130.546 -13.2925
4370.000000 130.458 -14.9787
4440.000000 130.336 -16.9558
4500.000000 130.217 -18.6715
4550.000000 130.075 -20.0686
4620.000000 129.833 -21.8788
4680.000000 129.584 -23.2455
4750.000000 129.256 -24.6685
4820.000000 128.902 -25.8760
4870.000000 128.639 -26.4995
4940.000000 128.266 -27.0487
5000.000000 127.924 -27.3350
5080.000000 127.525 -27.5036
5150.000000 127.183 -27.2433
5220.000000 126.810 -26.6538
5300.000000 126.425 -25.9159
5380.000000 126.041 -24.7253
5450.000000 125.733 -23.4001
5520.000000 125.445 -22.1397
5600.000000 125.147 -20.4809
5700.000000 124.806 -18.1834
5800.000000 124.515 -15.5918
