* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\SGOR Venus Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jun 1, 2023 6:27:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\SGOR Venus Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: SGOR Venus Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	64.065	-65.1211
1.015000	63.878	-66.0378
1.030000	63.683	-66.9438
1.044000	63.492	-67.7788
1.060000	63.264	-68.7198
1.075000	63.039	-69.5881
1.090000	62.804	-70.4422
1.106000	62.541	-71.3643
1.120000	62.294	-72.3297
1.138000	61.957	-73.7977
1.150000	61.720	-74.8963
1.172000	61.264	-77.1055
1.180000	61.092	-77.9575
1.206000	60.512	-80.8372
1.220000	60.188	-82.4207
1.241000	59.691	-84.7771
1.250000	59.474	-85.7635
1.265000	59.109	-87.3539
1.280000	58.742	-88.8530
1.315000	57.878	-91.8380
1.320000	57.754	-92.1906
1.340000	57.263	-93.3747
1.360000	56.778	-94.1471
1.380000	56.303	-94.4412
1.400000	55.839	-94.1907
1.430000	55.174	-92.6483
1.450000	54.756	-90.7452
1.475000	54.258	-87.2169
1.500000	53.729	-81.9899
1.525000	53.164	-75.1986
1.550000	52.576	-67.1037
1.575000	51.980	-57.9660
1.600000	51.387	-48.0463
1.625000	50.810	-37.6054
1.650000	50.265	-26.9040
1.675000	49.762	-16.2029
1.700000	49.316	-5.7629
1.725000	48.939	4.1553
1.750000	48.645	13.2908
1.775000	48.447	21.3830
1.800000	48.357	28.1710
1.825000	48.390	33.3940
1.850000	48.568	37.0235
1.875000	48.909	39.5445
1.900000	49.393	41.0918
1.925000	49.997	41.7799
1.950000	50.700	41.7234
1.975000	51.480	41.0371
2.000000	52.316	39.8355
2.030000	53.360	37.8748
2.060000	54.415	35.5353
2.090000	55.441	33.0150
2.120000	56.403	30.5120
2.140000	56.989	28.9508
2.180000	57.978	26.3503
2.200000	58.360	25.4246
2.240000	58.984	23.6446
2.270000	59.372	22.1479
2.300000	59.701	20.5361
2.330000	59.977	18.8303
2.360000	60.210	17.0515
2.400000	60.465	14.6028
2.430000	60.626	12.7358
2.470000	60.813	10.2460
2.500000	60.943	8.4057
2.540000	61.118	6.0281
2.580000	61.307	3.7663
2.620000	61.469	1.5107
2.650000	61.569	-0.1900
2.690000	61.677	-2.4586
2.720000	61.740	-4.1535
2.760000	61.803	-6.3939
