* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 5, 2024 10:44:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R SHOZY P20 Mar 5
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 139.881 -140.5995
20.600000 139.918 -141.3114
20.900000 139.948 -141.9485
21.200001 139.977 -142.5816
21.400000 139.996 -143.0042
21.799999 140.034 -143.8481
22.000000 140.054 -144.2665
22.400000 140.094 -145.0875
22.700001 140.124 -145.6850
23.000000 140.155 -146.2672
23.299999 140.185 -146.8381
23.600000 140.214 -147.4005
24.000000 140.248 -148.1391
24.299999 140.270 -148.6821
24.700001 140.296 -149.3870
25.000000 140.314 -149.9012
25.400000 140.337 -150.5726
25.799999 140.359 -151.2367
26.200001 140.380 -151.8956
26.500000 140.395 -152.3808
26.900000 140.413 -153.0055
27.200001 140.426 -153.4538
27.600000 140.445 -154.0296
28.000000 140.466 -154.5971
28.500000 140.492 -155.3186
29.000000 140.513 -156.0499
29.500000 140.527 -156.7603
30.000000 140.539 -157.4283
30.400000 140.551 -157.9407
30.700001 140.561 -158.3223
31.100000 140.576 -158.8354
31.500000 140.590 -159.3510
32.000000 140.604 -159.9832
32.500000 140.615 -160.5872
33.000000 140.624 -161.1669
33.500000 140.632 -161.7366
34.000000 140.638 -162.3039
34.500000 140.642 -162.8655
35.000000 140.645 -163.4145
35.500000 140.647 -163.9445
36.000000 140.650 -164.4528
36.500000 140.654 -164.9445
37.000000 140.659 -165.4330
37.500000 140.664 -165.9286
38.200001 140.668 -166.6189
38.700001 140.669 -167.0860
39.500000 140.672 -167.7850
40.000000 140.674 -168.2175
40.599998 140.672 -168.7472
41.200001 140.667 -169.2813
41.799999 140.660 -169.8128
42.500000 140.655 -170.4200
43.099998 140.652 -170.9116
43.700001 140.652 -171.3786
44.400002 140.650 -171.9235
45.000000 140.642 -172.3943
45.500000 140.631 -172.7695
46.200001 140.618 -173.2664
46.799999 140.613 -173.6971
47.500000 140.607 -174.2147
48.200001 140.596 -174.7059
48.700001 140.587 -175.0314
49.400002 140.576 -175.4768
50.000000 140.567 -175.8664
50.799999 140.555 -176.3958
51.500000 140.541 -176.8519
52.200001 140.527 -177.2813
53.000000 140.514 -177.7603
53.799999 140.501 -178.2655
54.500000 140.483 -178.6806
55.200001 140.468 -179.0484
56.000000 140.458 -179.5142
57.000000 140.430 179.8561
58.000000 140.405 179.3864
59.000000 140.390 178.8902
60.000000 140.358 178.3682
60.799999 140.339 177.9665
61.500000 140.324 177.5782
62.200001 140.303 177.2216
63.000000 140.279 176.8937
64.000000 140.255 176.4571
65.000000 140.225 176.0052
66.000000 140.203 175.5959
67.000000 140.179 175.1284
68.000000 140.144 174.6934
69.000000 140.117 174.2968
70.000000 140.090 173.8669
71.000000 140.058 173.4733
72.000000 140.030 173.0920
73.000000 140.001 172.7266
74.000000 139.972 172.3699
75.000000 139.941 172.0023
76.199997 139.904 171.5941
77.500000 139.862 171.1559
78.800003 139.814 170.7026
80.000000 139.780 170.3076
81.199997 139.749 169.9208
82.500000 139.705 169.5041
83.800003 139.660 169.1300
85.000000 139.630 168.7973
86.199997 139.589 168.4239
87.500000 139.541 168.0648
88.500000 139.514 167.8089
90.000000 139.463 167.4147
91.199997 139.414 167.0895
92.500000 139.388 166.7832
93.800003 139.354 166.4801
95.000000 139.293 166.2013
96.199997 139.242 165.8788
97.500000 139.211 165.6354
98.800003 139.182 165.4704
100.000000 139.138 165.2123
101.500000 139.092 164.8249
103.000000 139.051 164.5233
104.400002 139.001 164.2570
106.000000 138.946 163.9565
107.500000 138.893 163.7050
109.000000 138.841 163.4433
110.599998 138.785 163.1443
112.000000 138.740 162.8958
113.800003 138.680 162.5620
115.000000 138.643 162.3846
117.199997 138.578 162.0598
118.000000 138.549 161.9820
120.599998 138.472 161.6871
122.000000 138.413 161.4581
124.099998 138.358 161.1555
125.000000 138.333 161.0581
126.500000 138.282 160.9424
128.000000 138.229 160.7403
131.500000 138.126 160.3796
132.000000 138.111 160.3311
134.000000 138.046 160.1101
136.000000 137.989 159.9128
138.000000 137.930 159.7729
140.000000 137.865 159.5706
143.000000 137.777 159.3514
145.000000 137.716 159.1600
147.500000 137.641 159.0073
150.000000 137.573 158.8220
152.500000 137.503 158.7235
155.000000 137.430 158.5760
157.500000 137.361 158.4473
160.000000 137.287 158.3299
162.500000 137.223 158.1513
165.000000 137.159 158.1179
167.500000 137.090 158.0149
170.000000 137.021 157.9578
172.500000 136.955 157.8986
175.000000 136.891 157.8267
177.500000 136.826 157.7628
180.000000 136.768 157.6994
182.500000 136.704 157.6539
185.000000 136.637 157.6473
187.500000 136.586 157.6076
190.000000 136.518 157.5260
192.500000 136.466 157.5823
195.000000 136.401 157.5419
197.500000 136.341 157.5449
200.000000 136.289 157.5698
203.000000 136.219 157.5728
206.000000 136.149 157.5944
209.000000 136.079 157.6197
212.000000 136.018 157.6180
214.000000 135.981 157.6447
218.000000 135.888 157.7158
220.000000 135.852 157.7315
224.000000 135.771 157.8233
227.000000 135.707 157.8907
230.000000 135.649 157.9231
233.000000 135.585 158.0020
236.000000 135.536 158.1075
240.000000 135.463 158.1946
243.000000 135.403 158.2839
247.000000 135.327 158.4367
250.000000 135.274 158.4841
254.000000 135.207 158.6282
258.000000 135.133 158.7438
262.000000 135.068 158.9242
265.000000 135.019 159.0169
269.000000 134.955 159.1852
272.000000 134.902 159.2914
276.000000 134.841 159.4434
280.000000 134.777 159.5899
285.000000 134.708 159.8139
290.000000 134.630 160.0574
295.000000 134.556 160.2590
300.000000 134.486 160.4920
304.000000 134.431 160.7084
307.000000 134.382 160.8143
311.000000 134.342 160.9881
315.000000 134.285 161.2404
320.000000 134.227 161.4477
325.000000 134.156 161.7521
330.000000 134.093 161.9922
335.000000 134.036 162.2399
340.000000 133.987 162.5250
345.000000 133.923 162.7868
350.000000 133.864 163.0660
355.000000 133.818 163.3832
360.000000 133.765 163.6689
365.000000 133.708 163.9214
370.000000 133.663 164.2020
375.000000 133.607 164.4501
382.000000 133.545 164.8794
387.000000 133.501 165.1631
395.000000 133.426 165.5651
400.000000 133.383 165.8758
406.000000 133.332 166.2485
412.000000 133.292 166.5986
418.000000 133.236 166.9528
425.000000 133.175 167.3993
431.000000 133.138 167.7552
437.000000 133.094 168.1263
444.000000 133.041 168.5012
450.000000 133.012 168.9348
455.000000 132.962 169.2265
462.000000 132.917 169.6209
468.000000 132.882 170.0201
475.000000 132.841 170.4047
482.000000 132.794 170.8725
487.000000 132.774 171.1890
494.000000 132.736 171.6407
500.000000 132.692 171.9960
508.000000 132.659 172.4981
515.000000 132.623 172.9527
522.000000 132.599 173.3741
530.000000 132.555 173.8083
538.000000 132.519 174.3325
545.000000 132.488 174.8435
552.000000 132.469 175.2593
560.000000 132.437 175.7404
570.000000 132.401 176.4231
580.000000 132.365 177.0148
590.000000 132.325 177.6151
600.000000 132.300 178.3374
608.000000 132.281 178.7939
615.000000 132.258 179.2482
622.000000 132.243 179.7462
630.000000 132.223 -179.7312
640.000000 132.217 -179.0818
650.000000 132.197 -178.4164
660.000000 132.174 -177.6867
670.000000 132.167 -177.1265
680.000000 132.146 -176.4770
690.000000 132.153 -175.8056
700.000000 132.140 -175.2036
710.000000 132.146 -174.5132
720.000000 132.155 -173.8058
730.000000 132.155 -173.1946
740.000000 132.152 -172.5332
750.000000 132.161 -171.9010
762.000000 132.180 -171.1293
775.000000 132.220 -170.2058
788.000000 132.202 -169.2649
800.000000 132.247 -168.6239
812.000000 132.272 -167.8533
825.000000 132.319 -167.0897
838.000000 132.363 -166.1527
850.000000 132.408 -165.4944
862.000000 132.448 -164.8097
875.000000 132.498 -164.0462
885.000000 132.553 -163.4778
900.000000 132.631 -162.7095
912.000000 132.677 -161.9796
925.000000 132.769 -161.2627
938.000000 132.846 -160.6958
950.000000 132.913 -160.0729
962.000000 133.002 -159.5458
975.000000 133.086 -159.1184
988.000000 133.165 -158.5097
1000.000000 133.244 -158.1424
1015.000000 133.362 -157.4619
1030.000000 133.453 -157.1035
1044.000000 133.574 -156.5506
1060.000000 133.660 -156.1793
1075.000000 133.776 -155.9465
1090.000000 133.884 -155.5264
1106.000000 133.985 -155.2658
1120.000000 134.082 -155.0793
1138.000000 134.203 -154.8327
1150.000000 134.287 -154.7156
1172.000000 134.407 -154.4673
1180.000000 134.460 -154.3616
1206.000000 134.620 -154.2548
1220.000000 134.693 -154.1470
1241.000000 134.800 -154.0562
1250.000000 134.850 -154.0890
1265.000000 134.924 -153.9843
1280.000000 135.004 -153.9133
1315.000000 135.162 -153.8030
1320.000000 135.183 -153.8307
1340.000000 135.274 -153.7610
1360.000000 135.352 -153.7544
1380.000000 135.433 -153.7767
1400.000000 135.505 -153.7780
1430.000000 135.616 -153.7272
1450.000000 135.683 -153.6847
1475.000000 135.773 -153.6848
1500.000000 135.866 -153.5984
1525.000000 135.944 -153.4914
1550.000000 136.025 -153.4611
1575.000000 136.113 -153.3707
1600.000000 136.198 -153.2350
1625.000000 136.284 -153.1074
1650.000000 136.382 -152.9496
1675.000000 136.476 -152.7672
1700.000000 136.590 -152.6664
1725.000000 136.693 -152.5883
1750.000000 136.808 -152.4565
1775.000000 136.923 -152.3827
1800.000000 137.061 -152.2989
1825.000000 137.190 -152.4102
1850.000000 137.325 -152.4552
1875.000000 137.453 -152.6098
1900.000000 137.593 -152.7943
1925.000000 137.734 -152.9747
1950.000000 137.865 -153.2660
1975.000000 138.001 -153.7087
2000.000000 138.139 -154.0609
2030.000000 138.296 -154.6264
2060.000000 138.449 -155.3033
2090.000000 138.594 -156.0425
2120.000000 138.737 -156.8208
2140.000000 138.819 -157.3994
2180.000000 138.978 -158.6926
2200.000000 139.055 -159.3622
2240.000000 139.180 -160.7651
2270.000000 139.251 -161.8441
2300.000000 139.309 -162.9778
2330.000000 139.343 -164.0913
2360.000000 139.372 -165.1208
2400.000000 139.383 -166.4655
2430.000000 139.384 -167.3394
2470.000000 139.382 -168.4863
2500.000000 139.382 -169.2325
2540.000000 139.371 -170.2474
2580.000000 139.370 -171.2042
2620.000000 139.366 -172.1009
2650.000000 139.360 -172.8422
2690.000000 139.362 -173.7035
2720.000000 139.363 -174.4458
2760.000000 139.352 -175.4810
2800.000000 139.346 -176.4813
2850.000000 139.320 -177.8169
2900.000000 139.273 -179.1398
2950.000000 139.207 179.5149
3000.000000 139.116 178.2144
3040.000000 139.045 177.2675
3070.000000 138.975 176.5434
3110.000000 138.874 175.6793
3150.000000 138.773 174.8535
3200.000000 138.637 173.9629
3250.000000 138.496 173.1573
3300.000000 138.342 172.5219
3350.000000 138.196 171.9271
3400.000000 138.070 171.4400
3450.000000 137.916 171.0391
3500.000000 137.781 170.7249
3550.000000 137.660 170.4430
3600.000000 137.537 170.3220
3650.000000 137.424 170.0861
3700.000000 137.310 169.9397
3750.000000 137.212 169.8181
3820.000000 137.073 169.7532
3870.000000 136.991 169.6675
3950.000000 136.852 169.5948
4000.000000 136.809 169.4857
4060.000000 136.692 169.4358
4120.000000 136.613 169.3421
4180.000000 136.531 169.3055
4250.000000 136.433 169.0969
4310.000000 136.357 168.9330
4370.000000 136.280 168.7949
4440.000000 136.183 168.5591
4500.000000 136.103 168.3241
4550.000000 136.023 168.0753
4620.000000 135.893 167.7337
4680.000000 135.785 167.4629
4750.000000 135.633 167.1249
4820.000000 135.466 166.8795
4870.000000 135.341 166.7792
4940.000000 135.149 166.6777
5000.000000 134.959 166.6270
5080.000000 134.724 166.9806
5150.000000 134.500 167.2344
5220.000000 134.299 167.8554
5300.000000 134.082 168.5456
5380.000000 133.875 169.5521
5450.000000 133.718 170.2744
5520.000000 133.563 171.0156
5600.000000 133.386 171.8739
5700.000000 133.169 172.9137
5800.000000 132.906 174.2464
5900.000000 132.654 175.6561
6000.000000 132.401 177.3800
6080.000000 132.219 178.7808
