* Measurement data measured by REW V5.31.1
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 28, 2025 10:41:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L SIGMA 533
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.013 -172.1807
20.600000 84.987 -172.7188
20.900000 84.956 -173.1900
21.200001 84.925 -173.6484
21.400000 84.905 -173.9514
21.799999 84.872 -174.5550
22.000000 84.857 -174.8559
22.400000 84.829 -175.4519
22.700001 84.808 -175.8867
23.000000 84.786 -176.3046
23.299999 84.761 -176.7027
23.600000 84.735 -177.0819
24.000000 84.698 -177.5631
24.299999 84.670 -177.9118
24.700001 84.632 -178.3667
25.000000 84.605 -178.7020
25.400000 84.571 -179.1392
25.799999 84.540 -179.5610
26.200001 84.509 -179.9642
26.500000 84.485 179.7458
26.900000 84.453 179.3745
27.200001 84.426 179.1069
27.600000 84.388 178.7646
28.000000 84.349 178.4373
28.500000 84.302 178.0417
29.000000 84.258 177.6476
29.500000 84.219 177.2483
30.000000 84.178 176.8574
30.400000 84.145 176.5688
30.700001 84.119 176.3734
31.100000 84.084 176.1389
31.500000 84.052 175.9212
32.000000 84.014 175.6435
32.500000 83.977 175.3416
33.000000 83.937 175.0327
33.500000 83.894 174.7535
34.000000 83.853 174.5231
34.500000 83.816 174.3210
35.000000 83.783 174.1122
35.500000 83.749 173.8820
36.000000 83.712 173.6486
36.500000 83.674 173.4366
37.000000 83.640 173.2513
37.500000 83.609 173.0788
38.200001 83.565 172.8384
38.700001 83.530 172.6724
39.500000 83.469 172.4320
40.000000 83.433 172.2889
40.599998 83.396 172.1090
41.200001 83.362 171.9189
41.799999 83.328 171.7402
42.500000 83.284 171.5804
43.099998 83.248 171.4744
43.700001 83.215 171.3517
44.400002 83.175 171.1741
45.000000 83.138 171.0372
45.500000 83.110 170.9539
46.200001 83.076 170.8472
46.799999 83.046 170.7297
47.500000 83.004 170.5968
48.200001 82.963 170.5175
48.700001 82.939 170.4738
49.400002 82.913 170.3740
50.000000 82.886 170.2557
50.799999 82.844 170.1252
51.500000 82.810 170.0471
52.200001 82.779 169.9633
53.000000 82.742 169.8927
53.799999 82.710 169.8747
54.500000 82.689 169.8122
55.200001 82.662 169.6973
56.000000 82.625 169.6246
57.000000 82.587 169.5803
58.000000 82.540 169.4916
59.000000 82.498 169.4574
60.000000 82.470 169.3305
60.799999 82.437 169.2599
61.500000 82.410 169.2841
62.200001 82.392 169.3006
63.000000 82.370 169.2589
64.000000 82.337 169.1906
65.000000 82.301 169.1558
66.000000 82.268 169.1162
67.000000 82.234 169.0448
68.000000 82.202 169.0427
69.000000 82.181 169.0193
70.000000 82.147 168.9478
71.000000 82.111 168.9614
72.000000 82.091 168.9579
73.000000 82.068 168.9068
74.000000 82.042 168.9277
75.000000 82.022 168.9258
76.199997 81.987 168.9269
77.500000 81.963 168.8995
78.800003 81.929 168.8715
80.000000 81.902 168.8977
81.199997 81.871 168.9028
82.500000 81.838 168.9016
83.800003 81.821 168.9030
85.000000 81.790 168.8785
86.199997 81.765 168.9351
87.500000 81.749 168.8843
88.500000 81.734 168.9142
90.000000 81.697 168.9348
91.199997 81.676 168.9232
92.500000 81.659 168.8636
93.800003 81.628 168.9212
95.000000 81.608 168.8714
96.199997 81.587 168.8668
97.500000 81.567 168.8704
98.800003 81.551 169.0135
100.000000 81.541 169.0348
101.500000 81.501 169.0028
103.000000 81.478 168.9910
104.400002 81.472 169.0502
106.000000 81.438 168.9997
107.500000 81.422 169.0316
109.000000 81.409 169.1010
110.599998 81.377 169.1158
112.000000 81.351 169.0501
113.800003 81.338 169.1724
115.000000 81.329 169.1039
117.199997 81.294 169.2593
118.000000 81.287 169.2915
120.599998 81.250 169.1283
122.000000 81.228 169.2733
124.099998 81.209 169.2004
125.000000 81.207 169.2648
126.500000 81.191 169.2431
128.000000 81.173 169.2753
131.500000 81.131 169.3489
132.000000 81.131 169.3426
134.000000 81.115 169.3712
136.000000 81.091 169.3478
138.000000 81.076 169.4487
140.000000 81.058 169.4409
143.000000 81.018 169.4258
145.000000 81.014 169.4572
147.500000 80.977 169.4962
150.000000 80.961 169.5189
152.500000 80.932 169.5887
155.000000 80.923 169.6282
157.500000 80.889 169.6276
160.000000 80.872 169.6591
162.500000 80.854 169.7082
165.000000 80.829 169.7144
167.500000 80.815 169.7103
170.000000 80.795 169.7807
172.500000 80.782 169.8198
175.000000 80.754 169.7880
177.500000 80.736 169.8296
180.000000 80.724 169.8805
182.500000 80.698 169.9623
185.000000 80.687 169.9526
187.500000 80.664 169.9842
190.000000 80.648 169.9739
192.500000 80.625 170.1005
195.000000 80.618 169.9802
197.500000 80.583 170.0707
200.000000 80.578 170.1108
203.000000 80.562 170.2090
206.000000 80.537 170.1074
209.000000 80.520 170.2383
212.000000 80.502 170.2381
214.000000 80.481 170.2083
218.000000 80.452 170.3040
220.000000 80.438 170.3639
224.000000 80.418 170.3322
227.000000 80.401 170.4643
230.000000 80.376 170.4801
233.000000 80.359 170.5545
236.000000 80.333 170.5289
240.000000 80.308 170.5082
243.000000 80.306 170.6049
247.000000 80.269 170.5845
250.000000 80.255 170.6514
254.000000 80.219 170.7020
258.000000 80.186 170.7290
262.000000 80.184 170.8353
265.000000 80.165 170.8236
269.000000 80.144 170.8889
272.000000 80.112 170.9256
276.000000 80.086 171.0347
280.000000 80.073 171.1079
285.000000 80.022 171.1320
290.000000 80.007 171.1836
295.000000 79.974 171.2969
300.000000 79.951 171.3156
304.000000 79.938 171.3625
307.000000 79.916 171.3871
311.000000 79.888 171.5093
315.000000 79.855 171.5217
320.000000 79.828 171.5576
325.000000 79.799 171.7528
330.000000 79.772 171.7985
335.000000 79.747 171.8655
340.000000 79.719 171.9576
345.000000 79.677 171.9979
350.000000 79.653 172.0760
355.000000 79.639 172.2094
360.000000 79.597 172.3466
365.000000 79.576 172.3279
370.000000 79.548 172.4994
375.000000 79.521 172.4652
382.000000 79.480 172.7836
387.000000 79.443 172.7845
395.000000 79.405 173.0636
400.000000 79.384 173.0638
406.000000 79.343 173.2398
412.000000 79.314 173.4299
418.000000 79.272 173.5329
425.000000 79.246 173.8024
431.000000 79.214 173.8588
437.000000 79.181 174.0287
444.000000 79.139 174.1700
450.000000 79.094 174.4371
455.000000 79.080 174.5551
462.000000 79.045 174.6962
468.000000 79.019 174.8405
475.000000 78.969 175.0493
482.000000 78.944 175.2067
487.000000 78.928 175.4662
494.000000 78.877 175.7638
500.000000 78.839 175.7139
508.000000 78.796 175.9877
515.000000 78.779 176.3620
522.000000 78.723 176.6155
530.000000 78.696 176.7363
538.000000 78.647 177.1106
545.000000 78.618 177.3846
552.000000 78.583 177.5524
560.000000 78.566 177.8059
570.000000 78.492 178.2583
580.000000 78.458 178.6840
590.000000 78.401 179.1370
600.000000 78.362 179.4739
608.000000 78.347 179.8033
615.000000 78.306 -179.8962
622.000000 78.295 -179.5253
630.000000 78.267 -179.1739
640.000000 78.235 -178.8210
650.000000 78.160 -178.2615
660.000000 78.147 -177.8774
670.000000 78.104 -177.1792
680.000000 78.075 -177.0079
690.000000 78.040 -176.2363
700.000000 78.021 -175.7788
710.000000 77.991 -175.3049
720.000000 77.971 -174.6704
730.000000 77.960 -174.1946
740.000000 77.934 -173.6703
750.000000 77.894 -173.1731
762.000000 77.905 -172.3183
775.000000 77.882 -171.7152
788.000000 77.877 -170.9931
800.000000 77.859 -170.3265
812.000000 77.878 -169.6459
825.000000 77.859 -168.8270
838.000000 77.876 -168.1122
850.000000 77.867 -167.4463
862.000000 77.904 -166.8835
875.000000 77.941 -166.0818
885.000000 77.947 -165.4403
900.000000 77.975 -164.6687
912.000000 78.001 -164.1343
925.000000 78.033 -163.4242
938.000000 78.077 -162.7317
950.000000 78.137 -162.0502
962.000000 78.188 -161.6924
975.000000 78.232 -161.1048
988.000000 78.256 -160.4507
1000.000000 78.363 -159.2626
1015.000000 78.377 -159.3881
1030.000000 78.452 -158.8917
1044.000000 78.530 -158.3278
1060.000000 78.591 -157.9369
1075.000000 78.661 -157.3366
1090.000000 78.749 -156.9332
1106.000000 78.787 -156.8719
1120.000000 78.849 -156.3225
1138.000000 78.923 -155.8626
1150.000000 78.954 -155.7326
1172.000000 79.056 -155.2614
1180.000000 79.074 -155.0554
1206.000000 79.175 -154.7976
1220.000000 79.183 -154.4829
1241.000000 79.250 -154.1311
1250.000000 79.286 -154.0672
1265.000000 79.334 -153.7908
1280.000000 79.365 -153.5343
1315.000000 79.440 -152.9690
1320.000000 79.452 -152.7289
1340.000000 79.496 -152.4995
1360.000000 79.518 -152.1190
1380.000000 79.585 -151.7852
1400.000000 79.612 -151.2605
1430.000000 79.664 -150.7044
1450.000000 79.704 -150.1132
1475.000000 79.736 -149.5091
1500.000000 79.788 -149.0758
1525.000000 79.845 -148.4745
1550.000000 79.896 -147.8533
1575.000000 79.977 -147.1358
1600.000000 80.028 -146.4603
1625.000000 80.099 -145.6171
1650.000000 80.166 -145.0604
1675.000000 80.257 -144.5203
1700.000000 80.322 -143.7306
1725.000000 80.430 -142.9959
1750.000000 80.537 -142.2692
1775.000000 80.613 -141.6704
1800.000000 80.724 -140.9955
1825.000000 80.826 -140.2848
1850.000000 80.965 -139.5431
1875.000000 81.075 -138.8913
1900.000000 81.212 -138.2412
1925.000000 81.326 -137.5929
1950.000000 81.472 -137.0701
1975.000000 81.606 -136.4196
2000.000000 81.830 -135.8403
2030.000000 81.958 -135.2026
2060.000000 82.142 -134.5224
2090.000000 82.351 -134.0678
2120.000000 82.571 -133.4783
2140.000000 82.719 -133.1736
2180.000000 83.000 -132.5640
2200.000000 83.161 -132.4227
2240.000000 83.472 -131.9120
2270.000000 83.726 -131.6779
2300.000000 83.971 -131.4527
2330.000000 84.253 -131.4488
2360.000000 84.529 -131.4892
2400.000000 84.877 -131.5907
2430.000000 85.158 -131.7975
2470.000000 85.549 -132.2433
2500.000000 85.838 -132.7985
2540.000000 86.204 -133.5442
2580.000000 86.584 -134.6940
2620.000000 86.962 -135.9600
2650.000000 87.225 -137.0759
2690.000000 87.567 -138.7248
2720.000000 87.813 -140.1905
2760.000000 88.118 -142.1710
2800.000000 88.385 -144.3696
2850.000000 88.691 -147.2984
2900.000000 88.928 -150.2923
2950.000000 89.121 -153.3356
3000.000000 89.302 -156.2843
3040.000000 89.374 -158.6269
3070.000000 89.442 -160.2731
3110.000000 89.523 -162.5525
3150.000000 89.607 -164.8273
3200.000000 89.702 -167.6647
3250.000000 89.782 -170.6285
3300.000000 89.845 -173.8551
3350.000000 89.857 -177.3409
3400.000000 89.828 179.0461
3450.000000 89.722 175.3767
3500.000000 89.539 171.8122
3550.000000 89.279 168.6144
3600.000000 88.966 165.6067
3650.000000 88.620 163.0885
3700.000000 88.246 161.0060
3750.000000 87.888 159.3760
3820.000000 87.376 157.6413
3870.000000 87.023 156.7920
3950.000000 86.500 155.7305
4000.000000 86.223 155.0112
4060.000000 85.885 155.0971
4120.000000 85.602 154.9003
4180.000000 85.322 154.8594
4250.000000 85.043 154.7626
4310.000000 84.846 154.6817
4370.000000 84.640 154.6914
4440.000000 84.427 154.7322
4500.000000 84.246 154.7712
4550.000000 84.118 154.5786
4620.000000 83.925 154.4209
4680.000000 83.792 154.2812
4750.000000 83.606 154.0561
4820.000000 83.435 153.8181
4870.000000 83.330 153.5788
4940.000000 83.127 153.4336
5000.000000 83.008 153.5256
5080.000000 82.736 152.8682
5150.000000 82.566 152.6340
5220.000000 82.321 152.2465
5300.000000 82.058 151.9878
5380.000000 81.812 151.8935
5450.000000 81.581 152.0191
5520.000000 81.340 152.0225
5600.000000 81.048 151.9646
5700.000000 80.709 152.3353
5800.000000 80.372 152.6888
5900.000000 80.005 153.0990
6000.000000 79.592 153.7177
6080.000000 79.314 154.1325
6150.000000 78.924 154.8604
6220.000000 78.673 155.7142
6300.000000 78.296 156.9693
