* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 1:03:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L stock black 1064
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.258 35.5929
20.600000 133.251 34.7391
20.900000 133.234 33.8483
21.200001 133.212 32.8971
21.400000 133.198 32.2559
21.799999 133.175 31.0009
22.000000 133.168 30.4078
22.400000 133.167 29.3167
22.700001 133.176 28.5852
23.000000 133.191 27.9208
23.299999 133.211 27.3025
23.600000 133.233 26.7005
24.000000 133.262 25.8678
24.299999 133.279 25.1848
24.700001 133.286 24.1888
25.000000 133.276 23.4125
25.400000 133.243 22.4196
25.799999 133.199 21.5635
26.200001 133.164 20.8626
26.500000 133.151 20.3937
26.900000 133.152 19.7589
27.200001 133.160 19.2304
27.600000 133.167 18.4492
28.000000 133.162 17.6387
28.500000 133.138 16.6916
29.000000 133.112 15.8435
29.500000 133.092 15.0086
30.000000 133.070 14.1045
30.400000 133.046 13.3396
30.700001 133.026 12.7647
31.100000 133.001 12.0195
31.500000 132.981 11.3025
32.000000 132.966 10.4386
32.500000 132.952 9.6306
33.000000 132.931 8.9337
33.500000 132.904 8.3580
34.000000 132.873 7.8112
34.500000 132.832 7.1710
35.000000 132.770 6.4237
35.500000 132.693 5.6834
36.000000 132.628 5.0464
36.500000 132.602 4.4592
37.000000 132.610 3.7809
37.500000 132.621 2.9837
38.200001 132.594 1.9376
38.700001 132.555 1.3919
39.500000 132.502 0.6384
40.000000 132.469 0.0847
40.599998 132.423 -0.5934
41.200001 132.387 -1.1854
41.799999 132.369 -1.7848
42.500000 132.338 -2.6143
43.099998 132.283 -3.3360
43.700001 132.224 -3.9801
44.400002 132.183 -4.7073
45.000000 132.173 -5.3667
45.500000 132.171 -5.9113
46.200001 132.158 -6.5981
46.799999 132.122 -7.0717
47.500000 132.056 -7.5101
48.200001 131.985 -7.9975
48.700001 131.934 -8.4441
49.400002 131.867 -9.0929
50.000000 131.830 -9.5639
50.799999 131.809 -10.2152
51.500000 131.769 -10.8814
52.200001 131.700 -11.4576
53.000000 131.640 -12.0758
53.799999 131.591 -12.8410
54.500000 131.532 -13.3203
55.200001 131.492 -13.5295
56.000000 131.461 -13.9123
57.000000 131.361 -14.5767
58.000000 131.280 -15.0153
59.000000 131.236 -15.6422
60.000000 131.181 -16.1932
60.799999 131.156 -16.7008
61.500000 131.117 -17.2847
62.200001 131.054 -17.7474
63.000000 131.004 -18.0675
64.000000 130.986 -18.7115
65.000000 130.916 -19.4520
66.000000 130.842 -19.8132
67.000000 130.788 -20.4107
68.000000 130.714 -20.8955
69.000000 130.686 -21.2223
70.000000 130.631 -21.6502
71.000000 130.565 -21.9979
72.000000 130.511 -22.3760
73.000000 130.471 -22.6409
74.000000 130.398 -22.9807
75.000000 130.313 -23.0657
76.199997 130.274 -23.6177
77.500000 130.130 -24.1090
78.800003 130.065 -24.3759
80.000000 130.004 -25.0599
81.199997 129.938 -25.4251
82.500000 129.881 -25.7763
83.800003 129.813 -26.1304
85.000000 129.773 -26.5346
86.199997 129.692 -26.8475
87.500000 129.617 -27.0356
88.500000 129.547 -27.4072
90.000000 129.430 -27.7297
91.199997 129.363 -27.8069
92.500000 129.264 -27.9872
93.800003 129.174 -28.1203
95.000000 129.143 -28.2413
96.199997 129.087 -28.5061
97.500000 128.983 -28.6396
98.800003 128.914 -28.7095
100.000000 128.865 -28.9162
101.500000 128.744 -29.0508
103.000000 128.672 -29.1316
104.400002 128.614 -29.3765
106.000000 128.564 -29.7963
107.500000 128.483 -30.1684
109.000000 128.427 -30.1366
110.599998 128.392 -30.3028
112.000000 128.338 -30.5150
113.800003 128.239 -30.3740
115.000000 128.182 -30.1855
117.199997 128.050 -30.4940
118.000000 128.016 -30.6006
120.599998 127.888 -30.5056
122.000000 127.823 -30.4115
124.099998 127.739 -30.5602
125.000000 127.702 -30.5040
126.500000 127.638 -30.2923
128.000000 127.575 -30.2535
131.500000 127.423 -30.5649
132.000000 127.405 -30.5734
134.000000 127.340 -30.5941
136.000000 127.255 -30.6218
138.000000 127.202 -30.6397
140.000000 127.127 -30.5193
143.000000 126.985 -30.2841
145.000000 126.912 -30.1821
147.500000 126.829 -29.7545
150.000000 126.724 -29.5346
152.500000 126.653 -29.3411
155.000000 126.594 -29.2977
157.500000 126.490 -29.1478
160.000000 126.419 -29.2111
162.500000 126.354 -29.2332
165.000000 126.275 -29.1251
167.500000 126.240 -28.6950
170.000000 126.154 -28.2558
172.500000 126.045 -28.0453
175.000000 125.952 -27.5972
177.500000 125.872 -27.0658
180.000000 125.799 -26.9577
182.500000 125.788 -26.7960
185.000000 125.748 -26.4636
187.500000 125.700 -26.4941
190.000000 125.690 -26.4057
192.500000 125.625 -26.2254
195.000000 125.619 -26.2429
197.500000 125.573 -25.9055
200.000000 125.563 -25.6299
203.000000 125.505 -24.9947
206.000000 125.424 -24.8110
209.000000 125.383 -24.1948
212.000000 125.313 -23.9100
214.000000 125.253 -23.4302
218.000000 125.205 -23.2777
220.000000 125.204 -23.1799
224.000000 125.170 -22.9320
227.000000 125.124 -22.3800
230.000000 125.106 -22.2420
233.000000 125.093 -22.1375
236.000000 125.043 -21.6608
240.000000 124.997 -21.3113
243.000000 124.976 -21.0753
247.000000 124.894 -20.4333
250.000000 124.850 -20.0322
254.000000 124.806 -19.6213
258.000000 124.736 -19.3262
262.000000 124.699 -18.8625
265.000000 124.672 -18.5296
269.000000 124.643 -18.1983
272.000000 124.636 -18.0239
276.000000 124.612 -17.6365
280.000000 124.593 -17.3212
285.000000 124.553 -16.9196
290.000000 124.496 -16.4367
295.000000 124.451 -15.9729
300.000000 124.400 -15.3471
304.000000 124.359 -14.9224
307.000000 124.332 -14.5776
311.000000 124.313 -14.2880
315.000000 124.295 -14.0540
320.000000 124.269 -13.6066
325.000000 124.253 -13.2195
330.000000 124.261 -12.8689
335.000000 124.233 -12.4127
340.000000 124.212 -11.9786
345.000000 124.193 -11.6782
350.000000 124.154 -11.1880
355.000000 124.154 -10.8065
360.000000 124.118 -10.3620
365.000000 124.073 -9.9021
370.000000 124.052 -9.5696
375.000000 124.032 -9.1005
382.000000 124.024 -8.6955
387.000000 124.004 -8.1636
395.000000 124.008 -7.6016
400.000000 124.019 -7.2972
406.000000 123.990 -7.0045
412.000000 123.996 -6.5827
418.000000 123.973 -6.0921
425.000000 123.944 -5.6047
431.000000 123.922 -5.0862
437.000000 123.908 -4.6768
444.000000 123.886 -4.2262
450.000000 123.879 -3.7953
455.000000 123.880 -3.5959
462.000000 123.894 -3.1359
468.000000 123.887 -2.7906
475.000000 123.909 -2.3235
482.000000 123.904 -1.9768
487.000000 123.891 -1.6234
494.000000 123.876 -1.1940
500.000000 123.866 -0.8297
508.000000 123.851 -0.2451
515.000000 123.840 0.2290
522.000000 123.814 0.5958
530.000000 123.806 0.9766
538.000000 123.813 1.5230
545.000000 123.800 1.9279
552.000000 123.812 2.3162
560.000000 123.825 2.8290
570.000000 123.847 3.3911
580.000000 123.842 3.8803
590.000000 123.831 4.4079
600.000000 123.804 5.0767
608.000000 123.786 5.6731
615.000000 123.777 6.0691
622.000000 123.769 6.5553
630.000000 123.772 7.1165
640.000000 123.804 7.6068
650.000000 123.818 8.2628
660.000000 123.834 8.7454
670.000000 123.851 9.4492
680.000000 123.879 10.1109
690.000000 123.894 10.5226
700.000000 123.896 11.0310
710.000000 123.911 11.5330
720.000000 123.905 12.2289
730.000000 123.912 12.9402
740.000000 123.932 13.4089
750.000000 123.954 13.9207
762.000000 123.984 14.5684
775.000000 124.018 15.3957
788.000000 124.019 16.1940
800.000000 124.058 16.8790
812.000000 124.120 17.5038
825.000000 124.178 18.1592
838.000000 124.238 18.8742
850.000000 124.289 19.6013
862.000000 124.326 20.4051
875.000000 124.378 21.0681
885.000000 124.443 21.5480
900.000000 124.518 22.2029
912.000000 124.580 22.9092
925.000000 124.629 23.6462
938.000000 124.686 24.3241
950.000000 124.776 24.8706
962.000000 124.869 25.2837
975.000000 124.971 25.7977
988.000000 125.078 26.3202
1000.000000 125.188 26.8626
1015.000000 125.268 27.3801
1030.000000 125.387 27.8733
1044.000000 125.478 28.3034
1060.000000 125.593 28.8027
1075.000000 125.711 29.2382
1090.000000 125.817 29.5163
1106.000000 125.969 29.8069
1120.000000 126.107 30.0719
1138.000000 126.260 30.2668
1150.000000 126.356 30.4426
1172.000000 126.548 30.6611
1180.000000 126.600 30.7125
1206.000000 126.795 30.9085
1220.000000 126.870 30.9318
1241.000000 126.979 31.0347
1250.000000 127.029 31.0970
1265.000000 127.091 31.1201
1280.000000 127.158 31.1815
1315.000000 127.331 31.1453
1320.000000 127.352 31.1802
1340.000000 127.449 31.0820
1360.000000 127.560 30.9887
1380.000000 127.649 30.9795
1400.000000 127.749 30.9232
1430.000000 127.884 30.8156
1450.000000 127.976 30.7595
1475.000000 128.067 30.6318
1500.000000 128.147 30.5923
1525.000000 128.229 30.5108
1550.000000 128.299 30.3775
1575.000000 128.390 30.3355
1600.000000 128.494 30.1308
1625.000000 128.588 29.9606
1650.000000 128.695 29.8600
1675.000000 128.788 29.7582
1700.000000 128.909 29.5139
1725.000000 128.998 29.2747
1750.000000 129.055 29.1001
1775.000000 129.114 29.0521
1800.000000 129.161 28.7595
1825.000000 129.237 28.4753
1850.000000 129.330 28.3569
1875.000000 129.416 27.9447
1900.000000 129.499 27.6103
1925.000000 129.571 27.4029
1950.000000 129.645 27.1471
1975.000000 129.728 26.7191
2000.000000 129.812 26.3863
2030.000000 129.901 25.9950
2060.000000 130.000 25.4504
2090.000000 130.065 25.0019
2120.000000 130.121 24.5707
2140.000000 130.162 24.1971
2180.000000 130.275 23.3958
2200.000000 130.324 23.0752
2240.000000 130.397 22.4498
2270.000000 130.431 21.7689
2300.000000 130.441 21.2433
2330.000000 130.443 20.8864
2360.000000 130.465 20.2355
2400.000000 130.531 19.4858
2430.000000 130.588 18.8810
2470.000000 130.642 18.1366
2500.000000 130.702 17.6010
2540.000000 130.767 16.7006
2580.000000 130.816 15.9541
2620.000000 130.857 15.0002
2650.000000 130.882 14.3012
2690.000000 130.912 13.1585
2720.000000 130.912 12.2838
2760.000000 130.883 11.1950
2800.000000 130.838 10.0224
2850.000000 130.728 8.8047
2900.000000 130.594 7.9525
2950.000000 130.505 7.3081
3000.000000 130.437 6.8852
3040.000000 130.416 6.6352
3070.000000 130.401 6.4496
3110.000000 130.387 6.4086
3150.000000 130.369 6.3089
3200.000000 130.361 6.2518
3250.000000 130.348 6.1437
3300.000000 130.346 6.1302
3350.000000 130.347 5.9320
3400.000000 130.357 5.8208
3450.000000 130.380 5.5367
3500.000000 130.433 5.1704
3550.000000 130.495 4.6820
3600.000000 130.551 4.0870
3650.000000 130.632 3.2654
3700.000000 130.714 2.4211
3750.000000 130.780 1.4438
3820.000000 130.875 -0.1142
3870.000000 130.919 -1.1105
3950.000000 130.916 -2.7932
4000.000000 130.914 -3.7309
4060.000000 130.879 -4.5960
4120.000000 131.027 -4.5034
4180.000000 131.182 -7.0004
4250.000000 131.041 -9.9169
4310.000000 130.943 -11.9365
4370.000000 130.849 -13.8706
4440.000000 130.722 -16.2460
4500.000000 130.607 -18.2629
4550.000000 130.476 -20.0535
4620.000000 130.158 -22.1978
4680.000000 129.841 -23.9679
4750.000000 129.458 -25.8331
4820.000000 129.068 -27.3381
4870.000000 128.765 -28.1591
4940.000000 128.342 -28.8772
5000.000000 127.972 -28.9244
5080.000000 127.557 -28.5093
5150.000000 127.179 -27.7268
5220.000000 126.800 -26.8725
5300.000000 126.355 -25.5594
5380.000000 125.988 -24.2718
5450.000000 125.670 -23.0212
5520.000000 125.402 -21.7435
5600.000000 125.110 -20.4187
5700.000000 124.742 -18.2291
5800.000000 124.433 -16.1409
5900.000000 124.230 -14.0950
