* Measurement data measured by REW V5.31.1
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 5, 2025 11:36:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L SLA3 546
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.007 -175.2554
20.600000 86.009 -175.8266
20.900000 86.007 -176.3318
21.200001 86.005 -176.8291
21.400000 86.005 -177.1598
21.799999 86.006 -177.8181
22.000000 86.007 -178.1434
22.400000 86.009 -178.7776
22.700001 86.010 -179.2337
23.000000 86.011 -179.6730
23.299999 86.013 179.8975
23.600000 86.014 179.4697
24.000000 86.014 178.8914
24.299999 86.013 178.4494
24.700001 86.009 177.8560
25.000000 86.004 177.4170
25.400000 85.997 176.8503
25.799999 85.989 176.3080
26.200001 85.981 175.7848
26.500000 85.975 175.4005
26.900000 85.964 174.8963
27.200001 85.955 174.5249
27.600000 85.942 174.0393
28.000000 85.929 173.5602
28.500000 85.915 172.9542
29.000000 85.903 172.3262
29.500000 85.889 171.6877
30.000000 85.872 171.0731
30.400000 85.858 170.6135
30.700001 85.848 170.2841
31.100000 85.838 169.8501
31.500000 85.827 169.4088
32.000000 85.810 168.8475
32.500000 85.788 168.3031
33.000000 85.765 167.7989
33.500000 85.745 167.3206
34.000000 85.727 166.8340
34.500000 85.706 166.3279
35.000000 85.681 165.8210
35.500000 85.654 165.3291
36.000000 85.628 164.8415
36.500000 85.604 164.3443
37.000000 85.577 163.8505
37.500000 85.550 163.3881
38.200001 85.517 162.7997
38.700001 85.496 162.3870
39.500000 85.458 161.7022
40.000000 85.429 161.2750
40.599998 85.393 160.7643
41.200001 85.357 160.2424
41.799999 85.319 159.7298
42.500000 85.276 159.1784
43.099998 85.244 158.7172
43.700001 85.209 158.2359
44.400002 85.160 157.6907
45.000000 85.119 157.2658
45.500000 85.090 156.9089
46.200001 85.049 156.3717
46.799999 85.008 155.9272
47.500000 84.960 155.4796
48.200001 84.917 155.0287
48.700001 84.884 154.6713
49.400002 84.829 154.1716
50.000000 84.784 153.7751
50.799999 84.735 153.2388
51.500000 84.690 152.7599
52.200001 84.636 152.3352
53.000000 84.574 151.9125
53.799999 84.525 151.4393
54.500000 84.491 150.8866
55.200001 84.440 150.2952
56.000000 84.361 149.8769
57.000000 84.292 149.6314
58.000000 84.226 149.0655
59.000000 84.131 148.4491
60.000000 84.055 147.9795
60.799999 84.000 147.6225
61.500000 83.946 147.3010
62.200001 83.885 146.9577
63.000000 83.816 146.5929
64.000000 83.745 146.1642
65.000000 83.667 145.7175
66.000000 83.583 145.2993
67.000000 83.499 144.8322
68.000000 83.419 144.4642
69.000000 83.353 144.0812
70.000000 83.265 143.6340
71.000000 83.179 143.3136
72.000000 83.101 142.9124
73.000000 83.007 142.6428
74.000000 82.951 142.3325
75.000000 82.859 141.8102
76.199997 82.743 141.6903
77.500000 82.656 141.1965
78.800003 82.525 140.8807
80.000000 82.442 140.5852
81.199997 82.340 140.2180
82.500000 82.238 140.0059
83.800003 82.125 139.5688
85.000000 81.999 139.3806
86.199997 81.938 139.1277
87.500000 81.805 138.8047
88.500000 81.721 138.7770
90.000000 81.619 138.3655
91.199997 81.498 138.3035
92.500000 81.398 138.1929
93.800003 81.284 137.8984
95.000000 81.176 137.8076
96.199997 81.086 137.6891
97.500000 80.967 137.4272
98.800003 80.865 137.4658
100.000000 80.782 137.3516
101.500000 80.650 137.3314
103.000000 80.537 137.2772
104.400002 80.433 137.1441
106.000000 80.290 137.0238
107.500000 80.194 137.0729
109.000000 80.067 136.9980
110.599998 79.972 136.9677
112.000000 79.827 137.2176
113.800003 79.714 136.9854
115.000000 79.613 137.3592
117.199997 79.441 137.2793
118.000000 79.404 137.4995
120.599998 79.203 137.6270
122.000000 79.126 137.7867
124.099998 78.964 138.0449
125.000000 78.909 138.1668
126.500000 78.795 138.1533
128.000000 78.695 138.3654
131.500000 78.470 138.7778
132.000000 78.439 138.9000
134.000000 78.345 139.3237
136.000000 78.213 139.6043
138.000000 78.080 139.9789
140.000000 77.979 140.2616
143.000000 77.813 140.7911
145.000000 77.696 141.2771
147.500000 77.580 141.6315
150.000000 77.425 142.4965
152.500000 77.314 142.7756
155.000000 77.207 143.2750
157.500000 77.088 143.9269
160.000000 77.007 144.5795
162.500000 76.884 145.0617
165.000000 76.791 145.8643
167.500000 76.700 146.3393
170.000000 76.616 146.9879
172.500000 76.509 147.5931
175.000000 76.437 148.0783
177.500000 76.385 148.6733
180.000000 76.315 149.6771
182.500000 76.218 149.9680
185.000000 76.180 150.5764
187.500000 76.162 151.2962
190.000000 76.043 151.9974
192.500000 76.002 152.4866
195.000000 75.997 153.0356
197.500000 75.902 153.6105
200.000000 75.859 154.3552
203.000000 75.889 155.0953
206.000000 75.809 155.3923
209.000000 75.729 156.3181
212.000000 75.697 157.1467
214.000000 75.696 157.7024
218.000000 75.662 158.3148
220.000000 75.606 158.9081
224.000000 75.609 159.4910
227.000000 75.615 160.2173
230.000000 75.613 160.6820
233.000000 75.577 161.3648
236.000000 75.547 161.8506
240.000000 75.549 162.4323
243.000000 75.544 163.0615
247.000000 75.553 163.7131
250.000000 75.524 164.3654
254.000000 75.534 164.8670
258.000000 75.526 165.4383
262.000000 75.520 165.9995
265.000000 75.525 166.5179
269.000000 75.529 167.0085
272.000000 75.539 167.7029
276.000000 75.534 168.0727
280.000000 75.547 168.5742
285.000000 75.550 168.9374
290.000000 75.593 169.8036
295.000000 75.587 170.0772
300.000000 75.598 170.8252
304.000000 75.611 171.4099
307.000000 75.604 171.6405
311.000000 75.601 172.0192
315.000000 75.634 172.4064
320.000000 75.666 172.7857
325.000000 75.667 173.2857
330.000000 75.677 173.6298
335.000000 75.672 174.2680
340.000000 75.693 174.5354
345.000000 75.710 174.8531
350.000000 75.720 175.1769
355.000000 75.747 175.4791
360.000000 75.751 175.9748
365.000000 75.776 176.3010
370.000000 75.781 176.6156
375.000000 75.785 176.8769
382.000000 75.820 177.3410
387.000000 75.802 177.6618
395.000000 75.838 178.1714
400.000000 75.848 178.4466
406.000000 75.847 178.8817
412.000000 75.858 179.2096
418.000000 75.880 179.3781
425.000000 75.895 179.7686
431.000000 75.880 -179.8567
437.000000 75.888 -179.4758
444.000000 75.911 -179.2488
450.000000 75.921 -178.9798
455.000000 75.931 -178.6637
462.000000 75.937 -178.4139
468.000000 75.941 -177.9881
475.000000 75.945 -177.6645
482.000000 75.939 -177.3604
487.000000 75.952 -177.2038
494.000000 75.952 -176.8417
500.000000 75.981 -176.6866
508.000000 75.984 -176.2152
515.000000 75.984 -175.8995
522.000000 75.975 -175.7137
530.000000 75.990 -175.5058
538.000000 75.990 -175.0011
545.000000 75.985 -174.5948
552.000000 75.983 -174.2868
560.000000 75.993 -174.0718
570.000000 76.007 -173.5410
580.000000 76.006 -173.0691
590.000000 75.978 -172.7291
600.000000 76.011 -172.3979
608.000000 76.011 -171.8668
615.000000 75.986 -171.7086
622.000000 75.981 -171.3402
630.000000 75.991 -170.8295
640.000000 75.980 -170.6571
650.000000 76.005 -169.9910
660.000000 76.010 -169.7310
670.000000 75.995 -169.0540
680.000000 76.003 -168.5876
690.000000 76.030 -167.9442
700.000000 76.014 -167.5131
710.000000 76.007 -166.9980
720.000000 76.027 -166.5109
730.000000 76.036 -166.0834
740.000000 76.070 -165.3361
750.000000 76.094 -164.8861
762.000000 76.086 -164.2470
775.000000 76.124 -163.6028
788.000000 76.126 -162.8785
800.000000 76.175 -162.3331
812.000000 76.195 -161.7160
825.000000 76.262 -160.9359
838.000000 76.267 -160.1820
850.000000 76.328 -159.5269
862.000000 76.371 -158.9198
875.000000 76.402 -158.3529
885.000000 76.435 -157.9276
900.000000 76.526 -156.9845
912.000000 76.580 -156.6293
925.000000 76.633 -155.8521
938.000000 76.744 -155.3735
950.000000 76.780 -154.7929
962.000000 76.847 -154.3434
975.000000 76.943 -153.8326
988.000000 76.992 -153.4750
1000.000000 77.012 -153.7201
1015.000000 77.167 -152.4031
1030.000000 77.270 -151.8983
1044.000000 77.343 -151.4837
1060.000000 77.454 -151.0516
1075.000000 77.514 -150.8477
1090.000000 77.619 -150.3561
1106.000000 77.737 -150.2200
1120.000000 77.781 -149.6798
1138.000000 77.888 -149.3735
1150.000000 77.964 -149.1704
1172.000000 78.089 -148.9206
1180.000000 78.113 -148.8132
1206.000000 78.229 -148.4618
1220.000000 78.328 -148.2458
1241.000000 78.400 -148.0107
1250.000000 78.450 -147.9639
1265.000000 78.530 -147.8416
1280.000000 78.569 -147.5853
1315.000000 78.730 -147.3923
1320.000000 78.757 -147.1742
1340.000000 78.804 -147.0107
1360.000000 78.866 -146.6395
1380.000000 78.950 -146.4686
1400.000000 79.020 -146.3253
1430.000000 79.140 -145.7003
1450.000000 79.200 -145.5262
1475.000000 79.282 -145.0818
1500.000000 79.351 -144.5315
1525.000000 79.466 -144.3213
1550.000000 79.570 -143.9221
1575.000000 79.650 -143.5002
1600.000000 79.758 -143.0916
1625.000000 79.856 -142.8717
1650.000000 79.965 -142.3594
1675.000000 80.073 -141.9890
1700.000000 80.201 -141.6113
1725.000000 80.294 -141.1103
1750.000000 80.449 -140.7650
1775.000000 80.574 -140.2944
1800.000000 80.709 -140.1274
1825.000000 80.838 -139.6051
1850.000000 80.957 -139.3678
1875.000000 81.114 -139.1159
1900.000000 81.307 -138.8291
1925.000000 81.428 -138.4631
1950.000000 81.605 -138.3588
1975.000000 81.788 -138.1396
2000.000000 82.030 -137.8760
2030.000000 82.169 -137.9686
2060.000000 82.394 -137.9620
2090.000000 82.603 -137.9455
2120.000000 82.867 -138.0598
2140.000000 83.022 -138.2005
2180.000000 83.345 -138.6488
2200.000000 83.497 -138.9867
2240.000000 83.842 -139.6758
2270.000000 84.089 -140.4193
2300.000000 84.339 -141.1980
2330.000000 84.588 -142.1818
2360.000000 84.831 -143.3010
2400.000000 85.137 -144.9489
2430.000000 85.351 -146.3179
2470.000000 85.610 -148.5915
2500.000000 85.787 -150.2676
2540.000000 85.993 -152.8804
2580.000000 86.158 -155.5739
2620.000000 86.267 -158.3760
2650.000000 86.297 -160.6492
2690.000000 86.318 -163.4872
2720.000000 86.282 -165.6397
2760.000000 86.212 -168.4518
2800.000000 86.082 -171.1513
2850.000000 85.868 -174.1930
2900.000000 85.611 -176.8048
2950.000000 85.288 -179.1769
3000.000000 84.939 178.8098
3040.000000 84.692 177.6193
3070.000000 84.478 176.8660
3110.000000 84.208 175.9794
3150.000000 83.931 175.4440
3200.000000 83.601 174.9104
3250.000000 83.289 174.7231
3300.000000 82.973 174.6815
3350.000000 82.683 174.8393
3400.000000 82.425 175.1885
3450.000000 82.165 175.7773
3500.000000 81.944 176.4346
3550.000000 81.744 177.3652
3600.000000 81.563 178.2297
3650.000000 81.393 179.3810
3700.000000 81.302 -179.7245
3750.000000 81.161 -178.3350
3820.000000 81.052 -176.9816
3870.000000 80.978 -175.4352
3950.000000 80.939 -173.4876
4000.000000 80.975 -172.4561
4060.000000 80.999 -170.4716
4120.000000 81.067 -168.9941
4180.000000 81.183 -167.6426
4250.000000 81.375 -165.9717
4310.000000 81.520 -164.8449
4370.000000 81.747 -163.8400
4440.000000 82.083 -162.7411
4500.000000 82.352 -162.2768
4550.000000 82.612 -162.0958
4620.000000 83.006 -162.1427
4680.000000 83.339 -162.4951
4750.000000 83.735 -163.5642
4820.000000 84.102 -165.1510
4870.000000 84.335 -166.5286
4940.000000 84.613 -168.9785
5000.000000 84.789 -171.5288
5080.000000 84.972 -174.6992
5150.000000 85.010 -177.9119
5220.000000 84.983 178.9271
5300.000000 84.829 175.2785
5380.000000 84.553 171.8441
5450.000000 84.237 169.3142
5520.000000 83.864 167.2529
5600.000000 83.366 165.3202
5700.000000 82.757 163.9388
5800.000000 82.128 163.6659
5900.000000 81.521 163.9174
6000.000000 80.931 165.0153
6080.000000 80.644 166.2051
6150.000000 80.324 167.3336
