* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 26, 2026 11:01:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L sm100 azla foamax 1907
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.668 -153.6444
20.600000 86.682 -154.2794
20.900000 86.690 -154.8647
21.200001 86.697 -155.4633
21.400000 86.701 -155.8689
21.799999 86.711 -156.6829
22.000000 86.716 -157.0833
22.400000 86.728 -157.8552
22.700001 86.737 -158.4046
23.000000 86.748 -158.9333
23.299999 86.757 -159.4503
23.600000 86.765 -159.9616
24.000000 86.771 -160.6381
24.299999 86.772 -161.1389
24.700001 86.772 -161.7929
25.000000 86.773 -162.2730
25.400000 86.775 -162.9046
25.799999 86.780 -163.5316
26.200001 86.784 -164.1486
26.500000 86.784 -164.5954
26.900000 86.782 -165.1591
27.200001 86.779 -165.5580
27.600000 86.776 -166.0703
28.000000 86.774 -166.5840
28.500000 86.770 -167.2509
29.000000 86.760 -167.9269
29.500000 86.747 -168.5654
30.000000 86.735 -169.1438
30.400000 86.730 -169.5834
30.700001 86.728 -169.9175
31.100000 86.726 -170.3836
31.500000 86.719 -170.8684
32.000000 86.704 -171.4646
32.500000 86.686 -172.0096
33.000000 86.673 -172.5048
33.500000 86.667 -172.9916
34.000000 86.662 -173.4998
34.500000 86.652 -174.0112
35.000000 86.636 -174.4914
35.500000 86.622 -174.9403
36.000000 86.609 -175.3976
36.500000 86.595 -175.8883
37.000000 86.574 -176.3848
37.500000 86.549 -176.8390
38.200001 86.522 -177.4022
38.700001 86.512 -177.8123
39.500000 86.492 -178.5102
40.000000 86.471 -178.9018
40.599998 86.448 -179.2995
41.200001 86.430 -179.6971
41.799999 86.408 179.8551
42.500000 86.372 179.3419
43.099998 86.346 178.9611
43.700001 86.333 178.5646
44.400002 86.318 178.0185
45.000000 86.291 177.5583
45.500000 86.265 177.2458
46.200001 86.236 176.8678
46.799999 86.218 176.4991
47.500000 86.191 176.0246
48.200001 86.160 175.6101
48.700001 86.142 175.3502
49.400002 86.121 174.9645
50.000000 86.097 174.6112
50.799999 86.058 174.1743
51.500000 86.030 173.7965
52.200001 86.001 173.3886
53.000000 85.959 172.9825
53.799999 85.924 172.6497
54.500000 85.897 172.3030
55.200001 85.861 171.9340
56.000000 85.820 171.5921
57.000000 85.780 171.1576
58.000000 85.726 170.6801
59.000000 85.678 170.2437
60.000000 85.637 169.7819
60.799999 85.602 169.5021
61.500000 85.577 169.2808
62.200001 85.548 169.0111
63.000000 85.506 168.7113
64.000000 85.465 168.3757
65.000000 85.422 167.9669
66.000000 85.366 167.6187
67.000000 85.320 167.3006
68.000000 85.277 166.9753
69.000000 85.235 166.7203
70.000000 85.188 166.4553
71.000000 85.136 166.1728
72.000000 85.090 165.8424
73.000000 85.046 165.5372
74.000000 85.004 165.3121
75.000000 84.959 165.0526
76.199997 84.896 164.7204
77.500000 84.838 164.4191
78.800003 84.784 164.1523
80.000000 84.740 163.8543
81.199997 84.691 163.5994
82.500000 84.629 163.3486
83.800003 84.555 163.0999
85.000000 84.518 162.8577
86.199997 84.463 162.6241
87.500000 84.397 162.4674
88.500000 84.353 162.2486
90.000000 84.290 162.0006
91.199997 84.245 161.8235
92.500000 84.188 161.6152
93.800003 84.137 161.4676
95.000000 84.085 161.2930
96.199997 84.031 161.1315
97.500000 83.980 160.9756
98.800003 83.930 160.8331
100.000000 83.880 160.6830
101.500000 83.816 160.5327
103.000000 83.756 160.4327
104.400002 83.714 160.2611
106.000000 83.635 160.1190
107.500000 83.583 160.0280
109.000000 83.526 159.8729
110.599998 83.458 159.7010
112.000000 83.412 159.6591
113.800003 83.351 159.5244
115.000000 83.298 159.4250
117.199997 83.219 159.3705
118.000000 83.191 159.2992
120.599998 83.092 159.2473
122.000000 83.046 159.1224
124.099998 82.960 159.0571
125.000000 82.935 159.0382
126.500000 82.879 158.9532
128.000000 82.844 159.0079
131.500000 82.727 158.9062
132.000000 82.708 158.8926
134.000000 82.636 158.8761
136.000000 82.573 158.8621
138.000000 82.508 158.7259
140.000000 82.453 158.8493
143.000000 82.350 158.7989
145.000000 82.305 158.8481
147.500000 82.218 158.7934
150.000000 82.153 158.8519
152.500000 82.071 158.9298
155.000000 82.004 158.8881
157.500000 81.934 159.0193
160.000000 81.864 159.1076
162.500000 81.790 159.1099
165.000000 81.749 159.2639
167.500000 81.668 159.2807
170.000000 81.613 159.4664
172.500000 81.558 159.5255
175.000000 81.488 159.6227
177.500000 81.426 159.7048
180.000000 81.372 159.7809
182.500000 81.313 159.9637
185.000000 81.257 160.0687
187.500000 81.202 160.2014
190.000000 81.134 160.3339
192.500000 81.112 160.4625
195.000000 81.042 160.6587
197.500000 80.989 160.7453
200.000000 80.948 160.7425
203.000000 80.851 161.0522
206.000000 80.811 161.1956
209.000000 80.759 161.5023
212.000000 80.714 161.6558
214.000000 80.672 161.7389
218.000000 80.598 161.9348
220.000000 80.574 162.1485
224.000000 80.515 162.2675
227.000000 80.459 162.5615
230.000000 80.419 162.7571
233.000000 80.361 162.9951
236.000000 80.314 163.1534
240.000000 80.252 163.4048
243.000000 80.205 163.7405
247.000000 80.157 163.9045
250.000000 80.103 164.2328
254.000000 80.054 164.4348
258.000000 80.024 164.5888
262.000000 79.933 164.8568
265.000000 79.913 165.2051
269.000000 79.858 165.5923
272.000000 79.845 165.6575
276.000000 79.762 165.9432
280.000000 79.709 166.4681
285.000000 79.675 166.7749
290.000000 79.628 167.1474
295.000000 79.589 167.4809
300.000000 79.546 167.8442
304.000000 79.488 168.2064
307.000000 79.449 168.4448
311.000000 79.407 168.6850
315.000000 79.378 168.9295
320.000000 79.346 169.4900
325.000000 79.314 169.9194
330.000000 79.280 170.1278
335.000000 79.214 170.6094
340.000000 79.191 170.9695
345.000000 79.152 171.3026
350.000000 79.107 171.7354
355.000000 79.087 172.0222
360.000000 79.052 172.5080
365.000000 79.027 172.8479
370.000000 78.996 173.2244
375.000000 78.958 173.6379
382.000000 78.937 174.0552
387.000000 78.910 174.4911
395.000000 78.849 175.0746
400.000000 78.844 175.5209
406.000000 78.800 175.8948
412.000000 78.770 176.3162
418.000000 78.771 176.7629
425.000000 78.726 177.2896
431.000000 78.723 177.6353
437.000000 78.698 178.0638
444.000000 78.681 178.5433
450.000000 78.635 179.0656
455.000000 78.625 179.4187
462.000000 78.607 179.8327
468.000000 78.611 -179.7914
475.000000 78.582 -179.2034
482.000000 78.569 -178.7226
487.000000 78.561 -178.4006
494.000000 78.539 -177.9798
500.000000 78.522 -177.4436
508.000000 78.504 -177.1053
515.000000 78.485 -176.5438
522.000000 78.465 -175.9643
530.000000 78.461 -175.5466
538.000000 78.456 -175.0683
545.000000 78.442 -174.4833
552.000000 78.442 -174.1754
560.000000 78.441 -173.5004
570.000000 78.411 -172.8260
580.000000 78.399 -172.1412
590.000000 78.403 -171.5463
600.000000 78.376 -170.8856
608.000000 78.399 -170.3428
615.000000 78.399 -169.8774
622.000000 78.368 -169.3026
630.000000 78.384 -168.8030
640.000000 78.365 -168.1585
650.000000 78.358 -167.3676
660.000000 78.380 -166.6312
670.000000 78.390 -165.9737
680.000000 78.391 -165.1740
690.000000 78.404 -164.4091
700.000000 78.393 -163.6262
710.000000 78.424 -162.7551
720.000000 78.439 -162.0945
730.000000 78.471 -161.3906
740.000000 78.504 -160.5394
750.000000 78.546 -159.8489
762.000000 78.588 -158.8834
775.000000 78.645 -158.0102
788.000000 78.727 -157.0643
800.000000 78.793 -156.2333
812.000000 78.863 -155.5216
825.000000 78.921 -154.6312
838.000000 79.007 -153.7361
850.000000 79.073 -153.0529
862.000000 79.153 -152.2015
875.000000 79.215 -151.4870
885.000000 79.319 -150.7752
900.000000 79.424 -149.9241
912.000000 79.515 -149.2765
925.000000 79.595 -148.5230
938.000000 79.706 -147.8587
950.000000 79.810 -147.2696
962.000000 79.906 -146.6736
975.000000 80.033 -146.0226
988.000000 80.147 -145.4713
1000.000000 80.197 -144.9341
1015.000000 80.382 -144.3983
1030.000000 80.546 -143.8367
1044.000000 80.653 -143.3625
1060.000000 80.810 -142.8335
1075.000000 80.955 -142.4652
1090.000000 81.102 -142.0187
1106.000000 81.236 -141.6413
1120.000000 81.386 -141.4310
1138.000000 81.538 -140.9353
1150.000000 81.650 -140.8464
1172.000000 81.869 -140.4515
1180.000000 81.938 -140.4098
1206.000000 82.169 -140.0380
1220.000000 82.305 -140.0344
1241.000000 82.476 -139.7576
1250.000000 82.553 -139.7216
1265.000000 82.665 -139.6060
1280.000000 82.813 -139.4823
1315.000000 83.105 -139.5050
1320.000000 83.139 -139.3963
1340.000000 83.315 -139.3761
1360.000000 83.473 -139.3374
1380.000000 83.658 -139.4086
1400.000000 83.815 -139.4618
1430.000000 84.066 -139.5830
1450.000000 84.215 -139.7459
1475.000000 84.420 -139.9168
1500.000000 84.620 -140.1731
1525.000000 84.811 -140.3190
1550.000000 85.025 -140.7280
1575.000000 85.223 -141.0856
1600.000000 85.425 -141.4613
1625.000000 85.633 -141.9164
1650.000000 85.832 -142.4505
1675.000000 86.023 -142.9196
1700.000000 86.217 -143.5438
1725.000000 86.415 -144.3265
1750.000000 86.602 -145.0719
1775.000000 86.801 -145.8102
1800.000000 86.983 -146.7323
1825.000000 87.160 -147.6940
1850.000000 87.335 -148.7360
1875.000000 87.506 -149.7874
1900.000000 87.667 -150.9977
1925.000000 87.813 -152.1820
1950.000000 87.966 -153.4616
1975.000000 88.101 -154.8083
2000.000000 88.167 -155.9356
2030.000000 88.344 -157.9919
2060.000000 88.452 -159.7349
2090.000000 88.541 -161.5886
2120.000000 88.608 -163.4568
2140.000000 88.644 -164.7942
2180.000000 88.680 -167.2876
2200.000000 88.690 -168.5574
2240.000000 88.671 -171.0493
2270.000000 88.637 -172.8946
2300.000000 88.589 -174.6419
2330.000000 88.519 -176.3136
2360.000000 88.434 -177.9279
2400.000000 88.298 -179.9888
2430.000000 88.187 178.6873
2470.000000 88.035 176.8950
2500.000000 87.899 175.7457
2540.000000 87.710 174.3259
2580.000000 87.534 173.0761
2620.000000 87.340 171.9227
2650.000000 87.184 171.1948
2690.000000 87.003 170.3110
2720.000000 86.859 169.7217
2760.000000 86.681 169.1391
2800.000000 86.509 168.5094
2850.000000 86.286 168.0136
2900.000000 86.083 167.6621
2950.000000 85.907 167.1797
3000.000000 85.692 167.0479
3040.000000 85.590 166.9320
3070.000000 85.496 166.8287
3110.000000 85.391 166.8698
3150.000000 85.258 166.8646
3200.000000 85.128 166.9145
3250.000000 85.027 166.9141
3300.000000 84.932 167.1294
3350.000000 84.859 167.1569
3400.000000 84.766 167.2100
3450.000000 84.713 167.3929
3500.000000 84.660 167.5237
3550.000000 84.633 167.6895
3600.000000 84.597 167.6978
3650.000000 84.572 167.6666
3700.000000 84.555 167.7232
3750.000000 84.537 167.5998
3820.000000 84.562 167.3248
3870.000000 84.577 167.1960
3950.000000 84.597 166.9351
4000.000000 84.561 166.5136
4060.000000 84.644 166.0037
4120.000000 84.645 165.3381
4180.000000 84.669 164.5970
4250.000000 84.687 163.4846
4310.000000 84.683 162.6151
4370.000000 84.654 161.5251
4440.000000 84.622 160.2042
4500.000000 84.549 159.0239
4550.000000 84.487 158.0078
4620.000000 84.388 156.5362
4680.000000 84.231 155.1963
4750.000000 84.099 153.8821
4820.000000 83.857 152.5867
4870.000000 83.697 151.5901
4940.000000 83.453 150.5917
5000.000000 83.269 149.5784
5080.000000 82.890 148.8212
5150.000000 82.567 148.1392
5220.000000 82.257 147.8830
5300.000000 81.901 147.6787
5380.000000 81.551 147.8478
5450.000000 81.223 147.9149
5520.000000 80.891 148.3946
5600.000000 80.580 148.9723
5700.000000 80.150 150.0243
5800.000000 79.775 151.2700
5900.000000 79.365 152.8732
6000.000000 79.049 154.7382
6080.000000 78.737 156.1136
