* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 26, 2026 1:27:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L soda treble 1879
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.786 -124.3635
20.600000 83.862 -125.2844
20.900000 83.927 -126.0969
21.200001 83.987 -126.8867
21.400000 84.026 -127.4055
21.799999 84.102 -128.4328
22.000000 84.141 -128.9454
22.400000 84.219 -129.9755
22.700001 84.278 -130.7556
23.000000 84.337 -131.5423
23.299999 84.394 -132.3300
23.600000 84.447 -133.1103
24.000000 84.514 -134.1235
24.299999 84.559 -134.8539
24.700001 84.617 -135.7874
25.000000 84.659 -136.4643
25.400000 84.712 -137.3495
25.799999 84.763 -138.2245
26.200001 84.812 -139.0892
26.500000 84.848 -139.7294
26.900000 84.897 -140.5758
27.200001 84.935 -141.2126
27.600000 84.984 -142.0730
28.000000 85.028 -142.9400
28.500000 85.071 -143.9914
29.000000 85.105 -144.9561
29.500000 85.142 -145.8435
30.000000 85.187 -146.7294
30.400000 85.225 -147.4783
30.700001 85.250 -148.0613
31.100000 85.279 -148.8391
31.500000 85.302 -149.5889
32.000000 85.331 -150.4749
32.500000 85.361 -151.3342
33.000000 85.389 -152.1970
33.500000 85.411 -153.0524
34.000000 85.428 -153.8766
34.500000 85.445 -154.6759
35.000000 85.462 -155.4724
35.500000 85.476 -156.2629
36.000000 85.485 -157.0182
36.500000 85.493 -157.7299
37.000000 85.504 -158.4317
37.500000 85.515 -159.1572
38.200001 85.523 -160.1935
38.700001 85.525 -160.9121
39.500000 85.530 -162.0278
40.000000 85.528 -162.7008
40.599998 85.517 -163.4402
41.200001 85.508 -164.1215
41.799999 85.504 -164.8376
42.500000 85.491 -165.7204
43.099998 85.476 -166.3797
43.700001 85.471 -166.9142
44.400002 85.478 -167.4926
45.000000 85.486 -168.0202
45.500000 85.496 -168.5513
46.200001 85.507 -169.5804
46.799999 85.483 -170.6028
47.500000 85.435 -171.4068
48.200001 85.454 -171.7608
48.700001 85.506 -172.1129
49.400002 85.541 -172.9037
50.000000 85.509 -173.4974
50.799999 85.462 -174.1194
51.500000 85.433 -174.9307
52.200001 85.394 -175.7380
53.000000 85.414 -176.3869
53.799999 85.469 -177.3230
54.500000 85.422 -178.1057
55.200001 85.336 -178.3623
56.000000 85.298 -178.7007
57.000000 85.245 -179.8190
58.000000 85.190 179.3874
59.000000 85.174 178.6908
60.000000 85.118 177.9726
60.799999 85.075 177.4275
61.500000 85.046 176.9058
62.200001 85.020 176.3870
63.000000 84.987 175.8312
64.000000 84.942 175.1830
65.000000 84.895 174.5250
66.000000 84.847 173.9305
67.000000 84.814 173.3023
68.000000 84.754 172.6596
69.000000 84.697 172.1969
70.000000 84.652 171.5776
71.000000 84.587 171.0028
72.000000 84.546 170.5417
73.000000 84.503 169.9811
74.000000 84.449 169.5195
75.000000 84.402 169.0523
76.199997 84.339 168.5388
77.500000 84.298 167.9695
78.800003 84.192 167.4074
80.000000 84.114 166.9164
81.199997 84.049 166.3237
82.500000 84.015 165.6902
83.800003 83.889 165.4434
85.000000 83.874 165.1959
86.199997 83.777 164.5082
87.500000 83.711 164.1404
88.500000 83.663 163.7407
90.000000 83.569 163.3163
91.199997 83.464 162.8632
92.500000 83.422 162.8026
93.800003 83.395 162.5640
95.000000 83.306 162.2102
96.199997 83.247 161.7760
97.500000 83.229 161.3655
98.800003 83.135 160.8286
100.000000 83.037 160.6853
101.500000 82.959 160.5256
103.000000 82.868 160.0445
104.400002 82.799 159.7749
106.000000 82.735 159.7256
107.500000 82.621 159.2659
109.000000 82.536 159.0245
110.599998 82.499 158.7014
112.000000 82.432 158.6856
113.800003 82.303 158.4357
115.000000 82.269 157.9706
117.199997 82.176 158.0819
118.000000 82.127 157.9401
120.599998 81.962 156.6703
122.000000 81.925 157.3192
124.099998 81.819 157.0693
125.000000 81.715 156.7945
126.500000 81.711 157.2994
128.000000 81.573 156.9783
131.500000 81.410 156.5814
132.000000 81.409 157.0817
134.000000 81.413 155.8013
136.000000 81.206 156.1418
138.000000 81.271 156.5800
140.000000 81.214 155.4090
143.000000 80.882 156.3884
145.000000 80.940 156.2172
147.500000 80.770 156.3569
150.000000 80.643 156.4099
152.500000 80.481 156.5439
155.000000 80.476 155.8059
157.500000 80.349 156.0237
160.000000 80.539 156.2372
162.500000 80.369 156.7927
165.000000 80.223 157.5234
167.500000 79.985 156.6226
170.000000 79.980 157.4297
172.500000 79.845 157.6475
175.000000 79.780 157.4280
177.500000 79.701 157.2592
180.000000 79.625 158.0181
182.500000 79.563 157.5942
185.000000 79.450 158.4304
187.500000 79.326 158.6669
190.000000 79.280 158.7512
192.500000 79.214 159.0777
195.000000 79.108 159.2043
197.500000 79.075 159.1409
200.000000 78.965 159.8637
203.000000 78.925 160.5247
206.000000 78.875 160.4789
209.000000 78.784 160.4431
212.000000 78.659 161.0371
214.000000 78.577 161.3140
218.000000 78.466 161.9633
220.000000 78.487 162.4753
224.000000 78.170 163.1068
227.000000 78.311 164.9214
230.000000 78.348 165.6750
233.000000 78.411 166.1088
236.000000 78.481 166.2559
240.000000 78.508 166.5778
243.000000 78.525 166.3116
247.000000 78.471 166.3405
250.000000 78.477 166.5546
254.000000 78.367 166.0970
258.000000 78.401 167.0090
262.000000 78.324 167.0623
265.000000 78.284 167.1850
269.000000 78.281 167.5460
272.000000 78.178 167.4325
276.000000 78.061 168.2405
280.000000 78.172 168.0822
285.000000 78.061 168.5132
290.000000 78.044 168.8540
295.000000 77.999 169.0485
300.000000 77.961 169.6298
304.000000 77.930 170.0125
307.000000 77.965 170.3368
311.000000 77.901 170.5405
315.000000 77.890 170.9059
320.000000 77.840 171.2876
325.000000 77.821 171.5896
330.000000 77.839 172.1542
335.000000 77.801 172.2418
340.000000 77.742 172.6163
345.000000 77.727 173.4967
350.000000 77.726 173.5858
355.000000 77.716 173.7983
360.000000 77.689 174.1523
365.000000 77.689 174.2408
370.000000 77.629 175.0046
375.000000 77.640 175.3748
382.000000 77.626 175.9016
387.000000 77.615 175.7798
395.000000 77.600 176.2166
400.000000 77.455 176.9499
406.000000 77.549 177.8035
412.000000 77.599 177.9825
418.000000 77.544 178.1837
425.000000 77.517 178.4944
431.000000 77.485 178.5588
437.000000 77.515 178.9169
444.000000 77.503 179.5551
450.000000 77.452 179.6948
455.000000 77.467 179.9828
462.000000 77.479 -179.5516
468.000000 77.466 -179.3831
475.000000 77.427 -179.0481
482.000000 77.429 -178.5106
487.000000 77.418 -178.3533
494.000000 77.426 -177.8199
500.000000 77.403 -177.5872
508.000000 77.383 -177.1242
515.000000 77.368 -176.8728
522.000000 77.388 -176.4432
530.000000 77.394 -175.9787
538.000000 77.378 -175.7075
545.000000 77.340 -175.1865
552.000000 77.343 -174.8332
560.000000 77.345 -174.3620
570.000000 77.329 -173.9519
580.000000 77.324 -173.5894
590.000000 77.336 -172.9042
600.000000 77.314 -172.3157
608.000000 77.333 -171.9131
615.000000 77.311 -171.4568
622.000000 77.304 -171.2764
630.000000 77.302 -170.9365
640.000000 77.306 -170.3498
650.000000 77.286 -169.8119
660.000000 77.262 -169.1698
670.000000 77.278 -168.7180
680.000000 77.253 -168.0090
690.000000 77.277 -167.2592
700.000000 77.280 -167.0190
710.000000 77.295 -166.3530
720.000000 77.294 -165.7175
730.000000 77.321 -165.1847
740.000000 77.361 -164.3806
750.000000 77.359 -163.8839
762.000000 77.352 -163.1814
775.000000 77.378 -162.5470
788.000000 77.436 -161.5749
800.000000 77.466 -160.7243
812.000000 77.491 -160.1278
825.000000 77.544 -159.3917
838.000000 77.594 -158.5262
850.000000 77.651 -157.8486
862.000000 77.690 -157.0758
875.000000 77.772 -156.3351
885.000000 77.807 -155.7731
900.000000 77.934 -155.1314
912.000000 77.973 -154.2662
925.000000 78.056 -153.7184
938.000000 78.152 -153.0189
950.000000 78.222 -152.5288
962.000000 78.301 -152.1014
975.000000 78.440 -151.4974
988.000000 78.489 -150.9278
1000.000000 78.544 -150.3228
1015.000000 78.732 -149.8102
1030.000000 78.853 -149.5340
1044.000000 78.976 -149.2358
1060.000000 79.083 -148.7804
1075.000000 79.200 -148.4501
1090.000000 79.336 -148.2020
1106.000000 79.457 -148.0463
1120.000000 79.567 -147.7474
1138.000000 79.698 -147.6542
1150.000000 79.771 -147.6631
1172.000000 79.930 -147.4689
1180.000000 79.976 -147.3458
1206.000000 80.159 -147.4069
1220.000000 80.239 -147.3936
1241.000000 80.351 -147.4988
1250.000000 80.406 -147.3143
1265.000000 80.483 -147.3524
1280.000000 80.551 -147.4936
1315.000000 80.727 -147.6437
1320.000000 80.739 -147.6111
1340.000000 80.816 -147.5557
1360.000000 80.892 -147.7646
1380.000000 80.980 -147.8698
1400.000000 81.053 -147.9161
1430.000000 81.156 -148.1302
1450.000000 81.216 -147.9669
1475.000000 81.306 -148.0251
1500.000000 81.362 -147.9301
1525.000000 81.436 -147.8688
1550.000000 81.521 -147.9630
1575.000000 81.583 -147.8169
1600.000000 81.653 -147.8372
1625.000000 81.721 -147.7504
1650.000000 81.810 -147.6311
1675.000000 81.884 -147.7083
1700.000000 81.959 -147.5908
1725.000000 82.034 -147.4714
1750.000000 82.125 -147.1981
1775.000000 82.188 -147.1604
1800.000000 82.276 -147.0999
1825.000000 82.361 -146.9514
1850.000000 82.440 -146.9943
1875.000000 82.535 -146.8803
1900.000000 82.625 -146.7000
1925.000000 82.722 -146.7366
1950.000000 82.836 -146.5850
1975.000000 82.921 -146.6705
2000.000000 82.937 -146.3464
2030.000000 83.128 -146.6263
2060.000000 83.273 -146.6261
2090.000000 83.397 -146.6129
2120.000000 83.533 -146.8134
2140.000000 83.617 -146.7418
2180.000000 83.787 -146.9358
2200.000000 83.878 -147.0163
2240.000000 84.060 -147.3175
2270.000000 84.197 -147.6947
2300.000000 84.338 -147.8569
2330.000000 84.464 -148.2989
2360.000000 84.625 -148.5775
2400.000000 84.791 -149.1808
2430.000000 84.935 -149.6741
2470.000000 85.121 -150.4285
2500.000000 85.258 -151.0392
2540.000000 85.410 -152.0167
2580.000000 85.586 -152.8740
2620.000000 85.751 -153.9257
2650.000000 85.860 -154.7595
2690.000000 85.998 -156.0277
2720.000000 86.097 -156.9120
2760.000000 86.224 -158.1797
2800.000000 86.327 -159.5890
2850.000000 86.450 -161.3013
2900.000000 86.559 -163.1341
2950.000000 86.650 -165.0984
3000.000000 86.647 -166.9806
3040.000000 86.708 -168.6719
3070.000000 86.708 -169.8412
3110.000000 86.689 -171.5049
3150.000000 86.680 -173.0847
3200.000000 86.616 -175.0553
3250.000000 86.525 -176.9212
3300.000000 86.423 -178.6124
3350.000000 86.284 179.7503
3400.000000 86.132 178.2478
3450.000000 85.972 176.9099
3500.000000 85.815 175.6281
3550.000000 85.654 174.3999
3600.000000 85.482 173.4455
3650.000000 85.320 172.5533
3700.000000 85.144 171.7440
3750.000000 84.977 171.0265
3820.000000 84.733 170.0872
3870.000000 84.579 169.6087
3950.000000 84.285 168.8225
4000.000000 84.079 168.9694
4060.000000 83.945 168.3357
4120.000000 83.765 167.9773
4180.000000 83.577 167.9991
4250.000000 83.402 167.9414
4310.000000 83.241 167.8789
4370.000000 83.051 167.8577
4440.000000 82.888 168.0895
4500.000000 82.739 168.3183
4550.000000 82.645 168.4120
4620.000000 82.479 168.8239
4680.000000 82.352 169.1267
4750.000000 82.227 169.4872
4820.000000 82.098 169.9682
4870.000000 81.996 170.3602
4940.000000 81.875 170.7903
5000.000000 81.823 171.0349
5080.000000 81.682 171.9182
5150.000000 81.580 172.6161
5220.000000 81.479 173.3232
5300.000000 81.393 173.8271
5380.000000 81.303 174.9185
5450.000000 81.250 175.7589
5520.000000 81.195 176.6810
5600.000000 81.168 177.4867
5700.000000 81.186 178.4861
5800.000000 81.148 179.5798
5900.000000 81.185 -179.2563
