* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 4:27:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L SOFTEARS STOCK BLACK 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.100 34.0373
20.600000 94.101 33.1560
20.900000 94.096 32.3436
21.200001 94.090 31.5247
21.400000 94.086 30.9771
21.799999 94.079 29.8888
22.000000 94.076 29.3548
22.400000 94.071 28.3194
22.700001 94.068 27.5741
23.000000 94.065 26.8510
23.299999 94.063 26.1405
23.600000 94.059 25.4353
24.000000 94.051 24.4968
24.299999 94.043 23.7959
24.700001 94.030 22.8742
25.000000 94.020 22.1986
25.400000 94.008 21.3213
25.799999 93.999 20.4669
26.200001 93.991 19.6300
26.500000 93.984 19.0137
26.900000 93.972 18.2109
27.200001 93.961 17.6260
27.600000 93.944 16.8690
28.000000 93.926 16.1310
28.500000 93.905 15.2174
29.000000 93.883 14.3027
29.500000 93.859 13.3942
30.000000 93.834 12.5094
30.400000 93.813 11.8246
30.700001 93.798 11.3233
31.100000 93.780 10.6667
31.500000 93.762 10.0189
32.000000 93.740 9.2167
32.500000 93.717 8.4238
33.000000 93.691 7.6476
33.500000 93.662 6.8970
34.000000 93.632 6.1725
34.500000 93.603 5.4621
35.000000 93.576 4.7522
35.500000 93.548 4.0432
36.000000 93.518 3.3494
36.500000 93.488 2.6814
37.000000 93.457 2.0343
37.500000 93.427 1.3963
38.200001 93.384 0.5187
38.700001 93.354 -0.0871
39.500000 93.310 -1.0317
40.000000 93.282 -1.6241
40.599998 93.244 -2.3307
41.200001 93.203 -3.0097
41.799999 93.163 -3.6626
42.500000 93.120 -4.4183
43.099998 93.082 -5.0573
43.700001 93.042 -5.6633
44.400002 92.998 -6.3379
45.000000 92.961 -6.9280
45.500000 92.929 -7.4352
46.200001 92.879 -8.1290
46.799999 92.837 -8.6817
47.500000 92.793 -9.3039
48.200001 92.747 -9.9238
48.700001 92.712 -10.3512
49.400002 92.664 -10.9227
50.000000 92.626 -11.4144
50.799999 92.573 -12.0776
51.500000 92.523 -12.6243
52.200001 92.476 -13.1454
53.000000 92.424 -13.7549
53.799999 92.369 -14.3642
54.500000 92.319 -14.8669
55.200001 92.271 -15.3479
56.000000 92.217 -15.8984
57.000000 92.148 -16.5794
58.000000 92.082 -17.2220
59.000000 92.014 -17.8483
60.000000 91.941 -18.4243
60.799999 91.887 -18.8887
61.500000 91.839 -19.3096
62.200001 91.791 -19.7005
63.000000 91.738 -20.1129
64.000000 91.669 -20.6263
65.000000 91.600 -21.1397
66.000000 91.532 -21.6659
67.000000 91.466 -22.1533
68.000000 91.402 -22.6080
69.000000 91.333 -23.0503
70.000000 91.264 -23.5066
71.000000 91.195 -23.9622
72.000000 91.131 -24.3934
73.000000 91.064 -24.8116
74.000000 90.992 -25.1820
75.000000 90.922 -25.5296
76.199997 90.840 -25.9331
77.500000 90.756 -26.3599
78.800003 90.668 -26.7439
80.000000 90.586 -27.0781
81.199997 90.506 -27.4053
82.500000 90.423 -27.7658
83.800003 90.342 -28.1439
85.000000 90.265 -28.4702
86.199997 90.194 -28.7876
87.500000 90.110 -29.1267
88.500000 90.049 -29.3566
90.000000 89.956 -29.7033
91.199997 89.884 -29.9539
92.500000 89.808 -30.2104
93.800003 89.739 -30.4358
95.000000 89.668 -30.6102
96.199997 89.595 -30.7562
97.500000 89.516 -30.9385
98.800003 89.445 -31.0878
100.000000 89.379 -31.2373
101.500000 89.292 -31.4299
103.000000 89.217 -31.6282
104.400002 89.146 -31.8055
106.000000 89.066 -31.9823
107.500000 88.993 -32.1598
109.000000 88.922 -32.3095
110.599998 88.848 -32.3847
112.000000 88.787 -32.5028
113.800003 88.709 -32.6189
115.000000 88.654 -32.6887
117.199997 88.558 -32.8096
118.000000 88.519 -32.8278
120.599998 88.395 -32.8786
122.000000 88.326 -32.9124
124.099998 88.225 -32.9523
125.000000 88.183 -32.9344
126.500000 88.113 -32.9192
128.000000 88.032 -32.9703
131.500000 87.876 -32.8146
132.000000 87.853 -32.8042
134.000000 87.753 -32.7711
136.000000 87.667 -32.7303
138.000000 87.573 -32.6779
140.000000 87.485 -32.6450
143.000000 87.356 -32.5236
145.000000 87.275 -32.4223
147.500000 87.178 -32.2989
150.000000 87.091 -32.1059
152.500000 86.995 -31.9448
155.000000 86.910 -31.8049
157.500000 86.823 -31.6386
160.000000 86.742 -31.4837
162.500000 86.667 -31.2767
165.000000 86.604 -31.1065
167.500000 86.526 -30.9040
170.000000 86.456 -30.7341
172.500000 86.392 -30.4752
175.000000 86.316 -30.2662
177.500000 86.259 -30.0178
180.000000 86.178 -29.7782
182.500000 86.116 -29.5608
185.000000 86.065 -29.3477
187.500000 85.999 -29.0212
190.000000 85.927 -28.7660
192.500000 85.860 -28.5726
195.000000 85.815 -28.2768
197.500000 85.748 -27.9681
200.000000 85.702 -27.7858
203.000000 85.642 -27.5107
206.000000 85.582 -27.0202
209.000000 85.512 -26.8703
212.000000 85.473 -26.5747
214.000000 85.440 -26.3493
218.000000 85.376 -26.0322
220.000000 85.330 -25.7716
224.000000 85.296 -25.3395
227.000000 85.216 -25.1004
230.000000 85.176 -24.7181
233.000000 85.130 -24.3240
236.000000 85.083 -24.0817
240.000000 85.014 -23.6125
243.000000 84.966 -23.2839
247.000000 84.899 -22.8696
250.000000 84.868 -22.5672
254.000000 84.828 -22.1621
258.000000 84.754 -21.7383
262.000000 84.712 -21.3872
265.000000 84.688 -21.0508
269.000000 84.636 -20.6406
272.000000 84.614 -20.3149
276.000000 84.558 -20.0127
280.000000 84.531 -19.4723
285.000000 84.483 -19.0425
290.000000 84.436 -18.5457
295.000000 84.404 -17.9936
300.000000 84.351 -17.4915
304.000000 84.327 -17.1292
307.000000 84.296 -16.8336
311.000000 84.266 -16.4101
315.000000 84.248 -16.0583
320.000000 84.222 -15.5789
325.000000 84.193 -15.0697
330.000000 84.173 -14.5931
335.000000 84.142 -14.2259
340.000000 84.130 -13.7447
345.000000 84.102 -13.3150
350.000000 84.086 -12.9315
355.000000 84.070 -12.5552
360.000000 84.051 -12.1684
365.000000 84.027 -11.7788
370.000000 84.005 -11.3634
375.000000 83.989 -10.9953
382.000000 83.969 -10.4446
387.000000 83.953 -10.0557
395.000000 83.919 -9.4623
400.000000 83.905 -9.0762
406.000000 83.883 -8.6706
412.000000 83.857 -8.2966
418.000000 83.837 -7.8100
425.000000 83.818 -7.4130
431.000000 83.801 -6.9892
437.000000 83.781 -6.5426
444.000000 83.755 -6.0931
450.000000 83.731 -5.6239
455.000000 83.714 -5.3175
462.000000 83.702 -4.8523
468.000000 83.686 -4.3785
475.000000 83.655 -3.9818
482.000000 83.644 -3.4511
487.000000 83.635 -3.1379
494.000000 83.627 -2.5978
500.000000 83.606 -2.1857
508.000000 83.588 -1.5202
515.000000 83.578 -1.0438
522.000000 83.565 -0.6393
530.000000 83.557 -0.0024
538.000000 83.547 0.5550
545.000000 83.540 1.1560
552.000000 83.546 1.6080
560.000000 83.570 2.0817
570.000000 83.566 2.6904
580.000000 83.561 3.1900
590.000000 83.546 3.8174
600.000000 83.538 4.5314
608.000000 83.534 5.0327
615.000000 83.526 5.5917
622.000000 83.518 6.0236
630.000000 83.528 6.5322
640.000000 83.530 7.2591
650.000000 83.548 7.8496
660.000000 83.557 8.5754
670.000000 83.577 9.2413
680.000000 83.584 9.7758
690.000000 83.603 10.4420
700.000000 83.616 11.0694
710.000000 83.631 11.6836
720.000000 83.648 12.2254
730.000000 83.658 12.8611
740.000000 83.688 13.5770
750.000000 83.705 14.1243
762.000000 83.729 14.8508
775.000000 83.773 15.6868
788.000000 83.816 16.5317
800.000000 83.836 17.2789
812.000000 83.886 18.0058
825.000000 83.933 18.8448
838.000000 83.981 19.5880
850.000000 84.034 20.3364
862.000000 84.092 21.0772
875.000000 84.162 21.8506
885.000000 84.214 22.3316
900.000000 84.301 23.1847
912.000000 84.374 23.9296
925.000000 84.451 24.5001
938.000000 84.525 25.2261
950.000000 84.619 25.7799
962.000000 84.704 26.3457
975.000000 84.789 26.8881
988.000000 84.892 27.4170
1000.000000 84.942 27.7100
1015.000000 85.081 28.4520
1030.000000 85.201 28.9123
1044.000000 85.305 29.3925
1060.000000 85.432 29.8325
1075.000000 85.542 30.2584
1090.000000 85.644 30.5393
1106.000000 85.782 30.9040
1120.000000 85.878 31.1550
1138.000000 86.003 31.4168
1150.000000 86.078 31.6543
1172.000000 86.238 31.8083
1180.000000 86.282 31.9694
1206.000000 86.465 32.1570
1220.000000 86.553 32.2411
1241.000000 86.677 32.3786
1250.000000 86.735 32.3723
1265.000000 86.814 32.4378
1280.000000 86.896 32.5341
1315.000000 87.080 32.5357
1320.000000 87.100 32.6106
1340.000000 87.194 32.6145
1360.000000 87.291 32.6978
1380.000000 87.378 32.6774
1400.000000 87.479 32.7496
1430.000000 87.604 32.7322
1450.000000 87.692 32.7598
1475.000000 87.792 32.7263
1500.000000 87.896 32.8246
1525.000000 88.003 32.7560
1550.000000 88.102 32.8124
1575.000000 88.200 32.7653
1600.000000 88.296 32.7010
1625.000000 88.399 32.7473
1650.000000 88.490 32.6503
1675.000000 88.579 32.6151
1700.000000 88.669 32.5635
1725.000000 88.766 32.4622
1750.000000 88.866 32.3730
1775.000000 88.953 32.2562
1800.000000 89.054 32.1926
1825.000000 89.144 31.9610
1850.000000 89.233 31.8056
1875.000000 89.313 31.5876
1900.000000 89.396 31.3914
1925.000000 89.493 31.2062
1950.000000 89.571 30.9176
1975.000000 89.654 30.6446
2000.000000 89.718 30.4884
2030.000000 89.812 30.0405
2060.000000 89.903 29.6719
2090.000000 89.987 29.2332
2120.000000 90.073 28.8404
2140.000000 90.123 28.5216
2180.000000 90.220 27.9564
2200.000000 90.271 27.5979
2240.000000 90.358 27.0375
2270.000000 90.412 26.5459
2300.000000 90.469 26.0622
2330.000000 90.519 25.5572
2360.000000 90.569 25.1253
2400.000000 90.626 24.4270
2430.000000 90.675 23.9523
2470.000000 90.734 23.3073
2500.000000 90.776 22.7703
2540.000000 90.837 22.1348
2580.000000 90.901 21.4011
2620.000000 90.956 20.6332
2650.000000 90.987 19.9800
2690.000000 91.031 19.0663
2720.000000 91.041 18.2812
2760.000000 91.050 17.2869
2800.000000 91.012 16.2007
2850.000000 90.952 15.0872
2900.000000 90.857 14.2596
2950.000000 90.758 13.7290
3000.000000 90.666 13.5124
3040.000000 90.623 13.2821
3070.000000 90.587 13.2021
3110.000000 90.557 13.2714
3150.000000 90.526 13.2662
3200.000000 90.527 13.3411
3250.000000 90.531 13.4481
3300.000000 90.555 13.5690
3350.000000 90.589 13.6074
3400.000000 90.655 13.6440
3450.000000 90.716 13.5980
3500.000000 90.798 13.4659
3550.000000 90.881 13.2320
3600.000000 90.977 12.8666
3650.000000 91.074 12.3878
3700.000000 91.170 11.8080
3750.000000 91.267 11.0821
3820.000000 91.374 9.9742
3870.000000 91.436 9.0643
3950.000000 91.496 7.5539
4000.000000 91.522 6.7724
4060.000000 91.508 5.9384
4120.000000 91.579 6.2655
4180.000000 91.887 4.4344
4250.000000 91.913 1.5386
4310.000000 91.871 -0.2684
4370.000000 91.833 -2.1060
4440.000000 91.754 -4.3266
4500.000000 91.660 -6.2122
4550.000000 91.553 -7.7943
4620.000000 91.357 -9.9558
4680.000000 91.148 -11.5841
4750.000000 90.865 -13.3090
4820.000000 90.532 -14.6835
4870.000000 90.271 -15.4260
4940.000000 89.892 -16.0655
5000.000000 89.576 -16.1972
5080.000000 89.134 -15.9775
5150.000000 88.793 -15.3354
5220.000000 88.478 -14.5152
5300.000000 88.175 -13.2422
5380.000000 87.897 -11.7789
5450.000000 87.708 -10.3637
5520.000000 87.555 -9.0403
5600.000000 87.384 -7.3532
5700.000000 87.250 -5.3482
5800.000000 87.166 -3.3065
