* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 15, 2024 10:24:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R SOGNO 2 285
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 128.407 25.2563
20.600000 128.405 23.8454
20.900000 128.410 22.6678
21.200001 128.425 21.6962
21.400000 128.440 21.2133
21.799999 128.481 20.6855
22.000000 128.508 20.6264
22.400000 128.581 20.7758
22.700001 128.652 20.8774
23.000000 128.725 20.6972
23.299999 128.777 20.0767
23.600000 128.789 19.0068
24.000000 128.730 17.0787
24.299999 128.637 15.5778
24.700001 128.494 13.9830
25.000000 128.418 13.3240
25.400000 128.413 13.1505
25.799999 128.527 13.3337
26.200001 128.692 13.2923
26.500000 128.786 12.9349
26.900000 128.811 12.0848
27.200001 128.746 11.3451
27.600000 128.580 10.4815
28.000000 128.401 9.9172
28.500000 128.267 9.5179
29.000000 128.249 9.1350
29.500000 128.277 8.6949
30.000000 128.304 8.2407
30.400000 128.331 7.6423
30.700001 128.357 6.8307
31.100000 128.375 5.0859
31.500000 128.338 2.7798
32.000000 128.184 0.1213
32.500000 127.984 -0.8236
33.000000 127.927 0.3751
33.500000 128.106 2.2069
34.000000 128.341 2.7910
34.500000 128.393 1.9813
35.000000 128.251 0.9005
35.500000 128.145 0.3563
36.000000 128.268 -0.2698
36.500000 128.505 -1.9549
37.000000 128.555 -4.3060
37.500000 128.281 -5.6916
38.200001 127.800 -4.0122
38.700001 127.844 -2.3457
39.500000 128.200 -5.0471
40.000000 128.103 -8.1931
40.599998 127.700 -9.1906
41.200001 127.585 -6.7118
41.799999 127.894 -5.4295
42.500000 128.040 -7.6217
43.099998 127.778 -8.9517
43.700001 127.651 -7.9446
44.400002 127.929 -7.3162
45.000000 128.033 -9.0194
45.500000 127.809 -10.4225
46.200001 127.355 -10.3976
46.799999 127.236 -9.8110
47.500000 127.276 -10.9399
48.200001 127.172 -12.5326
48.700001 127.060 -12.7032
49.400002 127.051 -12.0040
50.000000 127.145 -11.7562
50.799999 127.204 -12.2028
51.500000 127.142 -12.8112
52.200001 127.000 -13.5369
53.000000 126.787 -14.2365
53.799999 126.663 -14.4241
54.500000 126.687 -14.5167
55.200001 126.744 -14.8823
56.000000 126.733 -15.4047
57.000000 126.606 -15.6097
58.000000 126.509 -15.3778
59.000000 126.481 -15.9467
60.000000 126.386 -16.7817
60.799999 126.389 -16.9090
61.500000 126.424 -17.3165
62.200001 126.352 -17.7861
63.000000 126.228 -17.8145
64.000000 126.142 -18.4141
65.000000 125.987 -18.8972
66.000000 126.000 -18.7261
67.000000 125.975 -19.4693
68.000000 125.862 -19.2995
69.000000 125.852 -19.5233
70.000000 125.699 -20.2457
71.000000 125.602 -19.9241
72.000000 125.671 -20.0364
73.000000 125.584 -20.8386
74.000000 125.408 -20.8035
75.000000 125.428 -20.6563
76.199997 125.411 -21.3179
77.500000 125.216 -21.1079
78.800003 125.169 -21.4141
80.000000 125.130 -22.1391
81.199997 125.012 -22.1265
82.500000 124.949 -21.8320
83.800003 124.906 -22.3033
85.000000 124.823 -22.5837
86.199997 124.738 -22.5227
87.500000 124.709 -22.6350
88.500000 124.647 -22.9234
90.000000 124.542 -22.9656
91.199997 124.459 -22.9296
92.500000 124.384 -23.0362
93.800003 124.350 -23.1434
95.000000 124.290 -23.2312
96.199997 124.207 -23.2971
97.500000 124.144 -23.3668
98.800003 124.097 -23.3340
100.000000 124.037 -23.3271
101.500000 123.963 -23.4190
103.000000 123.892 -23.3552
104.400002 123.817 -23.5123
106.000000 123.737 -23.5453
107.500000 123.659 -23.5306
109.000000 123.592 -23.4909
110.599998 123.539 -23.4011
112.000000 123.467 -23.4950
113.800003 123.403 -23.5264
115.000000 123.363 -23.5670
117.199997 123.247 -23.3304
118.000000 123.211 -23.3817
120.599998 123.119 -23.2697
122.000000 123.071 -23.2762
124.099998 122.962 -22.9791
125.000000 122.934 -23.0001
126.500000 122.877 -23.1675
128.000000 122.842 -22.8968
131.500000 122.708 -22.8024
132.000000 122.690 -22.7575
134.000000 122.611 -22.6302
136.000000 122.569 -22.5926
138.000000 122.487 -22.2358
140.000000 122.425 -22.3295
143.000000 122.310 -21.9694
145.000000 122.289 -21.9497
147.500000 122.217 -21.5442
150.000000 122.124 -21.4359
152.500000 122.042 -21.3781
155.000000 121.985 -21.0334
157.500000 121.906 -20.7998
160.000000 121.845 -20.7210
162.500000 121.777 -20.3587
165.000000 121.713 -20.0840
167.500000 121.653 -19.8708
170.000000 121.590 -19.7985
172.500000 121.537 -19.3056
175.000000 121.460 -19.3087
177.500000 121.407 -18.9314
180.000000 121.361 -18.8988
182.500000 121.305 -18.5378
185.000000 121.286 -18.1871
187.500000 121.211 -17.7931
190.000000 121.128 -17.7401
192.500000 121.090 -17.4456
195.000000 121.051 -17.2009
197.500000 120.974 -16.9361
200.000000 120.948 -16.5307
203.000000 120.883 -16.0688
206.000000 120.791 -15.7176
209.000000 120.710 -15.2090
212.000000 120.658 -14.4207
214.000000 120.628 -13.9705
218.000000 120.614 -12.9317
220.000000 120.631 -12.4156
224.000000 120.673 -11.6425
227.000000 120.753 -11.4941
230.000000 120.796 -11.3677
233.000000 120.816 -11.4148
236.000000 120.790 -11.6434
240.000000 120.769 -11.5701
243.000000 120.744 -11.5560
247.000000 120.705 -11.2975
250.000000 120.656 -11.1222
254.000000 120.608 -10.9387
258.000000 120.573 -10.6798
262.000000 120.536 -10.2366
265.000000 120.518 -10.1490
269.000000 120.465 -9.9315
272.000000 120.437 -9.7048
276.000000 120.419 -9.2140
280.000000 120.386 -8.9868
285.000000 120.330 -8.6445
290.000000 120.304 -8.3656
295.000000 120.280 -7.7488
300.000000 120.227 -7.3581
304.000000 120.214 -7.2557
307.000000 120.197 -6.9556
311.000000 120.165 -6.5234
315.000000 120.153 -6.1277
320.000000 120.133 -5.7267
325.000000 120.120 -5.4325
330.000000 120.108 -5.0334
335.000000 120.064 -4.6203
340.000000 120.044 -4.2189
345.000000 120.052 -3.8890
350.000000 120.043 -3.4834
355.000000 119.997 -3.1858
360.000000 119.990 -2.8162
365.000000 119.983 -2.4337
370.000000 119.991 -2.1793
375.000000 119.993 -1.6976
382.000000 119.939 -1.2728
387.000000 119.934 -0.9505
395.000000 119.953 -0.4543
400.000000 119.943 -0.0900
406.000000 119.935 0.2846
412.000000 119.898 0.6332
418.000000 119.923 0.9794
425.000000 119.900 1.3699
431.000000 119.886 1.7823
437.000000 119.876 2.1548
444.000000 119.885 2.3886
450.000000 119.870 2.8024
455.000000 119.852 3.1014
462.000000 119.861 3.4444
468.000000 119.853 3.8774
475.000000 119.848 4.3009
482.000000 119.836 4.6163
487.000000 119.835 4.9272
494.000000 119.812 5.2482
500.000000 119.810 5.6582
508.000000 119.801 6.1653
515.000000 119.779 6.5580
522.000000 119.784 6.9393
530.000000 119.779 7.4986
538.000000 119.787 7.7668
545.000000 119.770 8.2462
552.000000 119.788 8.7083
560.000000 119.786 9.0329
570.000000 119.784 9.7991
580.000000 119.770 10.3534
590.000000 119.787 10.8541
600.000000 119.755 11.6221
608.000000 119.743 12.0230
615.000000 119.760 12.4161
622.000000 119.774 12.8712
630.000000 119.780 13.3596
640.000000 119.784 14.0764
650.000000 119.797 14.6768
660.000000 119.807 15.2480
670.000000 119.813 15.9877
680.000000 119.831 16.5487
690.000000 119.867 17.3147
700.000000 119.876 17.9261
710.000000 119.911 18.7559
720.000000 119.929 19.3237
730.000000 119.983 19.9515
740.000000 120.019 20.5237
750.000000 120.072 21.0343
762.000000 120.131 21.9105
775.000000 120.196 22.7774
788.000000 120.264 23.5705
800.000000 120.331 24.1183
812.000000 120.401 24.8454
825.000000 120.494 25.5747
838.000000 120.568 26.0743
850.000000 120.646 26.7069
862.000000 120.724 27.2256
875.000000 120.823 27.7863
885.000000 120.895 28.1243
900.000000 121.003 28.5816
912.000000 121.092 29.0003
925.000000 121.171 29.3855
938.000000 121.275 29.9052
950.000000 121.360 30.1890
962.000000 121.435 30.4388
975.000000 121.533 30.8029
988.000000 121.613 31.2236
1000.000000 121.744 31.3373
1015.000000 121.801 31.7841
1030.000000 121.932 31.9360
1044.000000 121.998 32.3009
1060.000000 122.120 32.5870
1075.000000 122.222 32.7698
1090.000000 122.321 32.8734
1106.000000 122.424 32.9767
1120.000000 122.503 33.2022
1138.000000 122.602 33.2800
1150.000000 122.687 33.2599
1172.000000 122.813 33.4043
1180.000000 122.860 33.4583
1206.000000 122.988 33.4377
1220.000000 123.059 33.4928
1241.000000 123.162 33.4131
1250.000000 123.211 33.5096
1265.000000 123.263 33.3967
1280.000000 123.333 33.4071
1315.000000 123.474 33.3683
1320.000000 123.478 33.4302
1340.000000 123.551 33.4954
1360.000000 123.605 33.3867
1380.000000 123.679 33.4903
1400.000000 123.722 33.4609
1430.000000 123.830 33.5508
1450.000000 123.897 33.5306
1475.000000 123.982 33.6440
1500.000000 124.046 33.7238
1525.000000 124.116 33.9399
1550.000000 124.185 33.9770
1575.000000 124.259 34.1367
1600.000000 124.314 34.3359
1625.000000 124.391 34.3063
1650.000000 124.466 34.6280
1675.000000 124.532 34.8075
1700.000000 124.614 34.8652
1725.000000 124.703 35.0217
1750.000000 124.778 35.1872
1775.000000 124.869 35.4001
1800.000000 124.960 35.4882
1825.000000 125.052 35.6266
1850.000000 125.157 35.7689
1875.000000 125.245 35.9406
1900.000000 125.321 36.0540
1925.000000 125.407 36.2037
1950.000000 125.516 36.3473
1975.000000 125.618 36.3177
2000.000000 125.743 36.3792
2030.000000 125.853 36.5367
2060.000000 125.997 36.4771
2090.000000 126.134 36.4956
2120.000000 126.267 36.5001
2140.000000 126.361 36.4608
2180.000000 126.549 36.3240
2200.000000 126.654 36.2189
2240.000000 126.852 35.9807
2270.000000 126.989 35.7257
2300.000000 127.142 35.5215
2330.000000 127.283 35.1892
2360.000000 127.443 34.7639
2400.000000 127.665 34.1040
2430.000000 127.797 33.6150
2470.000000 127.996 32.8597
2500.000000 128.134 32.2140
2540.000000 128.326 31.2021
2580.000000 128.496 30.1706
2620.000000 128.663 28.9351
2650.000000 128.794 28.0615
2690.000000 128.937 26.6568
2720.000000 129.040 25.5776
2760.000000 129.162 24.2251
2800.000000 129.261 22.6915
2850.000000 129.371 20.7246
2900.000000 129.439 18.6506
2950.000000 129.470 16.6698
3000.000000 129.504 14.7829
3040.000000 129.490 13.0267
3070.000000 129.467 11.9029
3110.000000 129.430 10.3288
3150.000000 129.378 8.8358
3200.000000 129.292 7.1433
3250.000000 129.214 5.4477
3300.000000 129.112 3.8734
3350.000000 128.974 2.4323
3400.000000 128.830 1.1348
3450.000000 128.700 -0.1455
3500.000000 128.541 -1.3172
3550.000000 128.380 -2.2687
3600.000000 128.223 -3.2556
3650.000000 128.065 -4.1172
3700.000000 127.897 -4.7064
3750.000000 127.746 -5.4513
3820.000000 127.520 -6.1055
3870.000000 127.377 -6.5256
3950.000000 127.155 -7.1190
4000.000000 127.097 -7.4395
4060.000000 126.860 -7.5795
4120.000000 126.720 -7.7029
4180.000000 126.594 -7.9683
4250.000000 126.444 -7.9722
4310.000000 126.316 -7.9184
4370.000000 126.202 -8.0253
4440.000000 126.112 -8.0697
4500.000000 126.019 -8.1251
4550.000000 125.916 -8.1761
4620.000000 125.825 -8.1437
4680.000000 125.737 -8.1543
4750.000000 125.639 -8.1823
4820.000000 125.557 -8.3034
4870.000000 125.485 -8.3921
4940.000000 125.393 -8.4423
5000.000000 125.275 -8.8809
5080.000000 125.197 -8.7326
5150.000000 125.107 -8.7903
5220.000000 125.024 -8.8986
5300.000000 124.899 -8.9997
5380.000000 124.786 -9.3303
5450.000000 124.661 -9.5270
5520.000000 124.534 -9.8722
5600.000000 124.380 -10.0151
5700.000000 124.148 -10.3233
5800.000000 123.886 -10.5185
5900.000000 123.566 -10.3733
