* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: May 6, 2025 12:47:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L SPAHIENDMAX 637
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.204 -131.9149
20.600000 91.256 -132.7534
20.900000 91.300 -133.5020
21.200001 91.341 -134.2365
21.400000 91.368 -134.7220
21.799999 91.424 -135.6867
22.000000 91.451 -136.1667
22.400000 91.506 -137.1200
22.700001 91.547 -137.8248
23.000000 91.585 -138.5162
23.299999 91.622 -139.1915
23.600000 91.658 -139.8503
24.000000 91.703 -140.7048
24.299999 91.735 -141.3315
24.700001 91.776 -142.1521
25.000000 91.804 -142.7570
25.400000 91.839 -143.5467
25.799999 91.872 -144.3130
26.200001 91.904 -145.0566
26.500000 91.929 -145.6046
26.900000 91.963 -146.3308
27.200001 91.988 -146.8757
27.600000 92.018 -147.5997
28.000000 92.043 -148.3094
28.500000 92.067 -149.1626
29.000000 92.089 -149.9897
29.500000 92.112 -150.8214
30.000000 92.136 -151.6654
30.400000 92.153 -152.3249
30.700001 92.167 -152.7940
31.100000 92.185 -153.3770
31.500000 92.204 -153.9240
32.000000 92.224 -154.5986
32.500000 92.233 -155.3008
33.000000 92.234 -156.0359
33.500000 92.237 -156.7953
34.000000 92.258 -157.5834
34.500000 92.299 -158.3985
35.000000 92.346 -159.1987
35.500000 92.384 -159.9080
36.000000 92.402 -160.4814
36.500000 92.399 -160.9455
37.000000 92.380 -161.3809
37.500000 92.355 -161.8579
38.200001 92.328 -162.6335
38.700001 92.322 -163.2280
39.500000 92.328 -164.1229
40.000000 92.333 -164.6188
40.599998 92.334 -165.1938
41.200001 92.328 -165.8120
41.799999 92.319 -166.4670
42.500000 92.317 -167.1983
43.099998 92.323 -167.7657
43.700001 92.325 -168.2930
44.400002 92.310 -168.8795
45.000000 92.291 -169.4079
45.500000 92.278 -169.9098
46.200001 92.266 -170.6686
46.799999 92.261 -171.2615
47.500000 92.261 -171.8465
48.200001 92.252 -172.3899
48.700001 92.234 -172.7467
49.400002 92.208 -173.1797
50.000000 92.203 -173.5857
50.799999 92.201 -174.2897
51.500000 92.180 -174.8882
52.200001 92.157 -175.3549
53.000000 92.146 -175.9029
53.799999 92.130 -176.5278
54.500000 92.110 -177.0213
55.200001 92.091 -177.4662
56.000000 92.067 -177.9634
57.000000 92.038 -178.5677
58.000000 92.016 -179.2217
59.000000 91.987 -179.8677
60.000000 91.955 179.5409
60.799999 91.930 179.0693
61.500000 91.909 178.6619
62.200001 91.887 178.2684
63.000000 91.861 177.8348
64.000000 91.829 177.2876
65.000000 91.795 176.7518
66.000000 91.765 176.2698
67.000000 91.734 175.7683
68.000000 91.695 175.2592
69.000000 91.658 174.7677
70.000000 91.625 174.3059
71.000000 91.593 173.8715
72.000000 91.556 173.4491
73.000000 91.523 173.0396
74.000000 91.488 172.6053
75.000000 91.452 172.1955
76.199997 91.409 171.6574
77.500000 91.358 171.1689
78.800003 91.316 170.6857
80.000000 91.267 170.2127
81.199997 91.223 169.7883
82.500000 91.177 169.3555
83.800003 91.126 168.9107
85.000000 91.079 168.4601
86.199997 91.039 168.1361
87.500000 90.992 167.6887
88.500000 90.943 167.3891
90.000000 90.889 166.9864
91.199997 90.841 166.6173
92.500000 90.797 166.2575
93.800003 90.742 165.9664
95.000000 90.688 165.6779
96.199997 90.642 165.2518
97.500000 90.608 165.0046
98.800003 90.567 164.8045
100.000000 90.503 164.4874
101.500000 90.462 164.1372
103.000000 90.406 163.6884
104.400002 90.349 163.4609
106.000000 90.290 163.0667
107.500000 90.242 162.8018
109.000000 90.187 162.5079
110.599998 90.113 162.2227
112.000000 90.067 161.9447
113.800003 89.997 161.6568
115.000000 89.955 161.4392
117.199997 89.874 161.0855
118.000000 89.841 160.9342
120.599998 89.755 160.4411
122.000000 89.706 160.4312
124.099998 89.626 160.1198
125.000000 89.597 159.9724
126.500000 89.533 159.8249
128.000000 89.486 159.6045
131.500000 89.361 159.1994
132.000000 89.343 159.1533
134.000000 89.276 158.9243
136.000000 89.210 158.7210
138.000000 89.131 158.5766
140.000000 89.063 158.4218
143.000000 88.964 158.1341
145.000000 88.904 157.9491
147.500000 88.816 157.7911
150.000000 88.744 157.6678
152.500000 88.648 157.4774
155.000000 88.574 157.3409
157.500000 88.503 157.1893
160.000000 88.417 157.1271
162.500000 88.336 156.9456
165.000000 88.262 156.8902
167.500000 88.187 156.8030
170.000000 88.108 156.6622
172.500000 88.037 156.6322
175.000000 87.959 156.5433
177.500000 87.890 156.5354
180.000000 87.818 156.4742
182.500000 87.752 156.4900
185.000000 87.683 156.4207
187.500000 87.597 156.4985
190.000000 87.540 156.3835
192.500000 87.466 156.4192
195.000000 87.395 156.4810
197.500000 87.333 156.4338
200.000000 87.257 156.4415
203.000000 87.182 156.4959
206.000000 87.113 156.5811
209.000000 87.028 156.5502
212.000000 86.953 156.6402
214.000000 86.901 156.6912
218.000000 86.810 156.7890
220.000000 86.753 156.8318
224.000000 86.645 156.9626
227.000000 86.568 157.1260
230.000000 86.510 157.2680
233.000000 86.427 157.3897
236.000000 86.361 157.5785
240.000000 86.272 157.8442
243.000000 86.212 158.0881
247.000000 86.106 158.4220
250.000000 86.055 158.6804
254.000000 86.016 159.1873
258.000000 85.979 159.4236
262.000000 85.945 159.5557
265.000000 85.924 159.5723
269.000000 85.875 159.6213
272.000000 85.822 159.6667
276.000000 85.748 159.8764
280.000000 85.657 159.9276
285.000000 85.585 160.2133
290.000000 85.481 160.3538
295.000000 85.410 160.5988
300.000000 85.314 160.7587
304.000000 85.275 161.0214
307.000000 85.202 161.1569
311.000000 85.150 161.5031
315.000000 85.090 161.6671
320.000000 85.008 161.9855
325.000000 84.935 162.3414
330.000000 84.862 162.7415
335.000000 84.789 163.0739
340.000000 84.728 163.3632
345.000000 84.653 163.7197
350.000000 84.596 164.1121
355.000000 84.544 164.4165
360.000000 84.474 164.8334
365.000000 84.411 165.1324
370.000000 84.374 165.4804
375.000000 84.315 165.9171
382.000000 84.234 166.3514
387.000000 84.181 166.7306
395.000000 84.110 167.3423
400.000000 84.058 167.6702
406.000000 83.995 168.1162
412.000000 83.938 168.6099
418.000000 83.884 169.0299
425.000000 83.819 169.6425
431.000000 83.766 170.0262
437.000000 83.712 170.4710
444.000000 83.653 170.9918
450.000000 83.622 171.4882
455.000000 83.567 171.8568
462.000000 83.506 172.4909
468.000000 83.475 172.8165
475.000000 83.435 173.4460
482.000000 83.374 174.0910
487.000000 83.379 174.4979
494.000000 83.330 175.0727
500.000000 83.273 175.5841
508.000000 83.233 176.2034
515.000000 83.195 176.7549
522.000000 83.164 177.2690
530.000000 83.121 177.8928
538.000000 83.079 178.5017
545.000000 83.053 179.1067
552.000000 83.025 179.6695
560.000000 82.991 -179.8133
570.000000 82.942 -178.9458
580.000000 82.913 -178.1091
590.000000 82.881 -177.2943
600.000000 82.850 -176.5269
608.000000 82.833 -175.8067
615.000000 82.801 -175.3306
622.000000 82.792 -174.6644
630.000000 82.754 -174.0878
640.000000 82.733 -173.0535
650.000000 82.726 -172.4053
660.000000 82.710 -171.4913
670.000000 82.690 -170.8214
680.000000 82.660 -170.0104
690.000000 82.681 -169.1328
700.000000 82.662 -168.2866
710.000000 82.675 -167.5011
720.000000 82.678 -166.7002
730.000000 82.671 -165.8813
740.000000 82.665 -165.0648
750.000000 82.678 -164.2420
762.000000 82.707 -163.2420
775.000000 82.733 -162.0113
788.000000 82.738 -160.9959
800.000000 82.764 -160.1260
812.000000 82.791 -159.1457
825.000000 82.861 -158.1342
838.000000 82.877 -156.9310
850.000000 82.941 -156.1711
862.000000 82.988 -155.1340
875.000000 83.044 -154.2560
885.000000 83.094 -153.5457
900.000000 83.180 -152.2651
912.000000 83.229 -151.6716
925.000000 83.326 -150.8110
938.000000 83.399 -149.9183
950.000000 83.463 -149.2977
962.000000 83.545 -148.6513
975.000000 83.641 -148.1389
988.000000 83.645 -148.0030
1000.000000 83.501 -146.1776
1015.000000 83.763 -144.6142
1030.000000 83.933 -143.8914
1044.000000 84.059 -143.2591
1060.000000 84.207 -142.5545
1075.000000 84.323 -142.0123
1090.000000 84.467 -141.4632
1106.000000 84.583 -140.9372
1120.000000 84.704 -140.4792
1138.000000 84.825 -139.8140
1150.000000 84.908 -139.4236
1172.000000 85.067 -138.7312
1180.000000 85.147 -138.5287
1206.000000 85.334 -137.8078
1220.000000 85.411 -137.5497
1241.000000 85.548 -137.0374
1250.000000 85.620 -136.8231
1265.000000 85.720 -136.5436
1280.000000 85.810 -136.1202
1315.000000 86.020 -135.3415
1320.000000 86.053 -135.3342
1340.000000 86.164 -134.9359
1360.000000 86.290 -134.3758
1380.000000 86.408 -134.0980
1400.000000 86.516 -133.7224
1430.000000 86.699 -133.1240
1450.000000 86.803 -132.8241
1475.000000 86.959 -132.2401
1500.000000 87.102 -131.9387
1525.000000 87.252 -131.4620
1550.000000 87.392 -131.0038
1575.000000 87.544 -130.6126
1600.000000 87.692 -130.2134
1625.000000 87.857 -129.7879
1650.000000 88.015 -129.5161
1675.000000 88.174 -129.1653
1700.000000 88.319 -128.8680
1725.000000 88.490 -128.5827
1750.000000 88.654 -128.3346
1775.000000 88.825 -128.1363
1800.000000 88.985 -127.9158
1825.000000 89.157 -127.7156
1850.000000 89.330 -127.6451
1875.000000 89.501 -127.5625
1900.000000 89.670 -127.5458
1925.000000 89.847 -127.5002
1950.000000 90.025 -127.5709
1975.000000 90.196 -127.6281
2000.000000 90.352 -127.6148
2030.000000 90.582 -128.0087
2060.000000 90.783 -128.2971
2090.000000 90.997 -128.5997
2120.000000 91.198 -129.0503
2140.000000 91.325 -129.3090
2180.000000 91.584 -130.0677
2200.000000 91.709 -130.4887
2240.000000 91.956 -131.3606
2270.000000 92.129 -132.1021
2300.000000 92.294 -132.8581
2330.000000 92.457 -133.7350
2360.000000 92.609 -134.6593
2400.000000 92.791 -135.8801
2430.000000 92.913 -136.8933
2470.000000 93.070 -138.2114
2500.000000 93.184 -139.2244
2540.000000 93.321 -140.5875
2580.000000 93.447 -142.0328
2620.000000 93.560 -143.4958
2650.000000 93.640 -144.6924
2690.000000 93.731 -146.4488
2720.000000 93.777 -147.8709
2760.000000 93.784 -149.8946
2800.000000 93.722 -151.7141
2850.000000 93.597 -153.5765
2900.000000 93.470 -154.9374
2950.000000 93.346 -155.9637
3000.000000 93.210 -156.7081
3040.000000 93.145 -157.3317
3070.000000 93.094 -157.6480
3110.000000 93.016 -158.0544
3150.000000 92.957 -158.3510
3200.000000 92.878 -158.6539
3250.000000 92.813 -158.8886
3300.000000 92.774 -159.0151
3350.000000 92.735 -159.0839
3400.000000 92.706 -159.0907
3450.000000 92.692 -159.1290
3500.000000 92.688 -159.0070
3550.000000 92.697 -158.9366
3600.000000 92.736 -158.8304
3650.000000 92.781 -158.7735
3700.000000 92.844 -158.7275
3750.000000 92.915 -158.7836
3820.000000 93.034 -158.8596
3870.000000 93.141 -158.9631
3950.000000 93.313 -159.3768
4000.000000 93.428 -159.6230
4060.000000 93.607 -160.2611
4120.000000 93.771 -161.0564
4180.000000 93.937 -161.9900
4250.000000 94.136 -163.3522
4310.000000 94.294 -164.8015
4370.000000 94.449 -166.4960
4440.000000 94.583 -168.7097
4500.000000 94.683 -170.8640
4550.000000 94.728 -172.8614
4620.000000 94.743 -175.7335
4680.000000 94.698 -178.3587
4750.000000 94.586 178.5891
4820.000000 94.385 175.6480
4870.000000 94.201 173.6334
4940.000000 93.893 171.1321
5000.000000 93.589 169.1150
5080.000000 93.061 167.0862
5150.000000 92.522 165.9366
5220.000000 92.035 167.8440
5300.000000 92.010 166.5420
5380.000000 91.540 165.3032
5450.000000 91.102 165.0479
5520.000000 90.699 165.3475
5600.000000 90.234 166.0862
5700.000000 89.726 167.3838
5800.000000 89.260 169.1209
