* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2025 12:04:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R spinfit omni 899
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.975 34.5238
20.600000 133.955 33.7757
20.900000 133.958 33.3952
21.200001 133.986 33.0886
21.400000 134.010 32.8176
21.799999 134.052 32.0156
22.000000 134.059 31.4715
22.400000 134.031 30.1932
22.700001 133.977 29.2455
23.000000 133.914 28.4890
23.299999 133.874 27.9868
23.600000 133.883 27.6461
24.000000 133.990 27.0955
24.299999 134.117 26.2739
24.700001 134.274 24.4054
25.000000 134.323 22.5600
25.400000 134.259 20.0362
25.799999 134.083 18.2557
26.200001 133.919 17.7497
26.500000 133.888 18.0264
26.900000 133.992 18.5501
27.200001 134.119 18.5695
27.600000 134.227 17.9688
28.000000 134.177 17.1919
28.500000 133.976 16.8987
29.000000 133.898 16.9674
29.500000 134.033 15.6821
30.000000 134.149 12.6890
30.400000 134.091 10.4314
30.700001 133.976 9.6805
31.100000 133.865 10.3090
31.500000 133.918 11.9053
32.000000 134.117 12.9296
32.500000 134.115 12.0893
33.000000 133.797 11.0092
33.500000 133.492 10.9185
34.000000 133.556 10.4448
34.500000 133.822 7.8739
35.000000 133.903 4.4336
35.500000 133.730 3.0585
36.000000 133.682 4.5780
36.500000 134.010 5.9350
37.000000 134.368 4.2198
37.500000 134.341 0.5325
38.200001 133.762 -2.2572
38.700001 133.552 -1.0577
39.500000 133.985 -0.3572
40.000000 134.167 -2.0428
40.599998 134.037 -3.5586
41.200001 133.841 -2.9677
41.799999 133.825 -1.8173
42.500000 133.844 -1.8679
43.099998 133.707 -2.8944
43.700001 133.487 -4.3189
44.400002 133.292 -6.1225
45.000000 133.289 -7.4051
45.500000 133.370 -8.1264
46.200001 133.417 -8.3535
46.799999 133.287 -7.4800
47.500000 133.081 -5.8936
48.200001 132.994 -5.8927
48.700001 132.992 -7.3766
49.400002 133.016 -10.1161
50.000000 133.054 -11.4761
50.799999 133.153 -11.5423
51.500000 133.240 -11.6939
52.200001 133.215 -12.9574
53.000000 133.077 -14.4618
53.799999 133.017 -14.6493
54.500000 132.987 -14.3601
55.200001 132.829 -14.1674
56.000000 132.607 -14.3014
57.000000 132.554 -15.7650
58.000000 132.634 -16.7533
59.000000 132.665 -16.7886
60.000000 132.433 -17.7219
60.799999 132.259 -18.6730
61.500000 132.253 -19.5074
62.200001 132.256 -20.0239
63.000000 132.150 -19.7232
64.000000 131.944 -19.1604
65.000000 131.770 -19.8693
66.000000 131.681 -21.1227
67.000000 131.562 -22.0850
68.000000 131.430 -22.3849
69.000000 131.489 -23.1240
70.000000 131.535 -24.4072
71.000000 131.502 -24.3199
72.000000 131.562 -24.1353
73.000000 131.504 -24.5871
74.000000 131.371 -24.4494
75.000000 131.211 -24.7987
76.199997 130.910 -25.1949
77.500000 130.773 -25.5935
78.800003 130.621 -26.5177
80.000000 130.639 -27.1564
81.199997 130.733 -27.5435
82.500000 130.877 -26.9991
83.800003 130.862 -27.1487
85.000000 130.706 -27.1756
86.199997 130.536 -28.3506
87.500000 130.455 -29.7734
88.500000 130.462 -30.8657
90.000000 130.425 -30.5262
91.199997 130.378 -30.8801
92.500000 130.432 -31.4510
93.800003 130.410 -31.0275
95.000000 130.379 -30.3049
96.199997 130.283 -31.3786
97.500000 130.299 -31.3396
98.800003 130.135 -30.8287
100.000000 129.966 -31.4299
101.500000 129.855 -32.2713
103.000000 129.518 -31.5755
104.400002 129.432 -33.4616
106.000000 129.582 -32.7645
107.500000 129.257 -32.7792
109.000000 129.200 -33.4134
110.599998 129.178 -32.0776
112.000000 128.952 -32.2747
113.800003 128.961 -32.5917
115.000000 128.777 -31.8129
117.199997 128.646 -33.2973
118.000000 128.647 -33.6807
120.599998 128.504 -34.4679
122.000000 128.567 -35.0465
124.099998 128.453 -34.7708
125.000000 128.428 -34.9865
126.500000 128.431 -35.3474
128.000000 128.368 -34.7512
131.500000 128.106 -34.7965
132.000000 128.060 -34.6281
134.000000 127.925 -34.4758
136.000000 127.901 -34.0429
138.000000 127.709 -34.0445
140.000000 127.649 -34.1437
143.000000 127.535 -33.9835
145.000000 127.454 -34.8823
147.500000 127.404 -34.9904
150.000000 127.327 -34.7668
152.500000 127.238 -34.1887
155.000000 127.211 -33.8812
157.500000 127.170 -34.0219
160.000000 127.129 -33.8589
162.500000 127.106 -33.8818
165.000000 126.973 -34.3056
167.500000 126.859 -34.6602
170.000000 126.755 -34.3414
172.500000 126.664 -34.1660
175.000000 126.587 -33.7397
177.500000 126.353 -32.9754
180.000000 126.297 -32.1948
182.500000 126.191 -31.5390
185.000000 125.972 -31.5766
187.500000 125.924 -31.6478
190.000000 125.888 -31.7128
192.500000 125.864 -32.2044
195.000000 125.931 -32.0795
197.500000 125.904 -31.8310
200.000000 125.878 -32.0552
203.000000 125.882 -31.8579
206.000000 125.868 -31.5788
209.000000 125.737 -31.7487
212.000000 125.642 -31.2305
214.000000 125.565 -30.9782
218.000000 125.385 -30.1807
220.000000 125.273 -29.8377
224.000000 125.096 -29.1061
227.000000 125.052 -28.4879
230.000000 124.973 -28.0122
233.000000 124.874 -28.2290
236.000000 124.947 -28.2035
240.000000 124.950 -28.3897
243.000000 124.890 -28.4765
247.000000 125.038 -28.5932
250.000000 124.997 -28.3196
254.000000 124.885 -27.6626
258.000000 124.829 -26.8959
262.000000 124.756 -25.9337
265.000000 124.694 -25.8175
269.000000 124.643 -25.5549
272.000000 124.538 -25.4647
276.000000 124.476 -25.8292
280.000000 124.385 -25.2380
285.000000 124.296 -24.9713
290.000000 124.182 -24.0690
295.000000 124.017 -23.0519
300.000000 123.880 -22.8191
304.000000 123.735 -22.3561
307.000000 123.682 -22.3152
311.000000 123.726 -21.5967
315.000000 123.747 -21.2767
320.000000 123.699 -21.3023
325.000000 123.777 -21.0617
330.000000 123.670 -21.0675
335.000000 123.688 -20.6740
340.000000 123.596 -19.9623
345.000000 123.435 -19.3885
350.000000 123.257 -17.7844
355.000000 123.252 -16.9522
360.000000 123.186 -17.3670
365.000000 123.104 -17.5386
370.000000 123.055 -16.5899
375.000000 123.039 -16.7106
382.000000 123.010 -16.5324
387.000000 122.887 -15.2694
395.000000 122.801 -14.0622
400.000000 122.737 -14.0176
406.000000 122.715 -14.0633
412.000000 122.842 -13.4008
418.000000 122.783 -12.7125
425.000000 122.873 -12.9606
431.000000 123.064 -11.9147
437.000000 123.068 -11.5803
444.000000 123.011 -11.7724
450.000000 123.147 -11.0008
455.000000 123.137 -10.1882
462.000000 123.129 -9.8159
468.000000 123.114 -9.2253
475.000000 123.136 -8.6251
482.000000 123.129 -8.6197
487.000000 123.120 -8.3143
494.000000 123.119 -7.4463
500.000000 123.056 -6.8589
508.000000 123.028 -6.3902
515.000000 122.997 -5.8296
522.000000 122.925 -5.3060
530.000000 122.845 -4.6634
538.000000 122.848 -3.9979
545.000000 122.854 -3.4205
552.000000 122.841 -3.0715
560.000000 122.816 -2.8411
570.000000 122.787 -2.4900
580.000000 122.807 -1.5951
590.000000 122.709 -1.2519
600.000000 122.690 -0.1129
608.000000 122.766 0.3394
615.000000 122.705 0.6714
622.000000 122.646 1.1579
630.000000 122.578 2.1516
640.000000 122.566 3.1051
650.000000 122.544 3.7913
660.000000 122.411 4.4675
670.000000 122.464 4.6894
680.000000 122.556 5.8587
690.000000 122.482 6.4582
700.000000 122.552 6.9348
710.000000 122.634 7.4884
720.000000 122.704 8.3615
730.000000 122.725 8.9152
740.000000 122.840 9.3895
750.000000 122.895 10.1104
762.000000 122.946 10.9311
775.000000 122.998 11.6445
788.000000 123.011 12.6137
800.000000 123.021 13.4725
812.000000 123.038 14.3721
825.000000 123.072 15.1919
838.000000 123.119 15.7894
850.000000 123.159 16.6349
862.000000 123.218 17.5044
875.000000 123.301 18.2546
885.000000 123.334 18.6517
900.000000 123.406 19.4970
912.000000 123.480 20.3586
925.000000 123.510 21.0389
938.000000 123.584 21.6807
950.000000 123.641 22.1117
962.000000 123.674 22.9238
975.000000 123.798 23.7564
988.000000 123.917 23.9458
1000.000000 123.992 23.8808
1015.000000 124.092 24.9845
1030.000000 124.257 25.9306
1044.000000 124.312 25.9794
1060.000000 124.425 25.9567
1075.000000 124.563 26.8768
1090.000000 124.625 27.3222
1106.000000 124.686 27.1996
1120.000000 124.790 27.5628
1138.000000 124.864 28.1046
1150.000000 124.909 28.3948
1172.000000 125.119 28.4524
1180.000000 125.220 28.4973
1206.000000 125.416 28.2995
1220.000000 125.503 28.6957
1241.000000 125.599 29.0431
1250.000000 125.633 28.9140
1265.000000 125.682 28.8462
1280.000000 125.743 28.8826
1315.000000 125.891 29.2859
1320.000000 125.913 29.1997
1340.000000 126.019 29.1357
1360.000000 126.115 29.3074
1380.000000 126.167 29.5385
1400.000000 126.288 29.4785
1430.000000 126.383 29.6753
1450.000000 126.479 30.0914
1475.000000 126.581 30.2086
1500.000000 126.704 30.0499
1525.000000 126.804 30.2229
1550.000000 126.908 29.9737
1575.000000 127.018 29.7049
1600.000000 127.136 29.7147
1625.000000 127.199 29.7708
1650.000000 127.387 29.8039
1675.000000 127.539 29.4439
1700.000000 127.693 29.4163
1725.000000 127.778 29.6112
1750.000000 127.887 29.3659
1775.000000 127.970 29.3129
1800.000000 128.048 29.3817
1825.000000 128.106 29.3786
1850.000000 128.192 29.2304
1875.000000 128.261 29.3633
1900.000000 128.329 28.9385
1925.000000 128.347 28.6758
1950.000000 128.388 28.5090
1975.000000 128.425 28.2733
2000.000000 128.559 27.6732
2030.000000 128.693 27.0277
2060.000000 128.801 26.8286
2090.000000 128.865 26.3572
2120.000000 128.960 25.7663
2140.000000 129.016 25.4418
2180.000000 129.101 24.8848
2200.000000 129.138 24.6110
2240.000000 129.209 24.0383
2270.000000 129.234 23.6684
2300.000000 129.284 23.4673
2330.000000 129.351 22.9519
2360.000000 129.453 22.9476
2400.000000 129.673 22.1267
2430.000000 129.827 21.3056
2470.000000 129.928 20.8677
2500.000000 129.992 20.1046
2540.000000 130.069 19.5593
2580.000000 130.090 18.8061
2620.000000 130.134 18.2250
2650.000000 130.133 17.0021
2690.000000 129.855 17.0883
2720.000000 129.795 16.1405
2760.000000 129.760 13.7518
2800.000000 129.860 13.4425
2850.000000 129.909 11.3027
2900.000000 129.822 10.4304
2950.000000 129.772 9.4447
3000.000000 129.720 9.0517
3040.000000 129.680 8.6415
3070.000000 129.616 8.4722
3110.000000 129.501 8.7084
3150.000000 129.397 8.8057
3200.000000 129.334 8.7355
3250.000000 129.272 8.8226
3300.000000 129.230 8.8112
3350.000000 129.247 9.3543
3400.000000 129.380 9.3200
3450.000000 129.458 9.6927
3500.000000 129.466 10.1853
3550.000000 129.587 9.7700
3600.000000 129.689 9.4781
3650.000000 129.744 9.2326
3700.000000 129.850 8.5486
3750.000000 129.960 7.9746
3820.000000 130.120 7.0765
3870.000000 130.264 6.0485
3950.000000 130.430 4.6616
4000.000000 130.509 3.5174
4060.000000 130.649 2.4561
4120.000000 130.714 1.3305
4180.000000 130.732 0.2493
4250.000000 130.864 -1.1848
4310.000000 130.887 -2.8785
4370.000000 130.900 -4.7967
4440.000000 130.904 -6.9337
4500.000000 130.787 -8.8555
4550.000000 130.621 -10.0701
4620.000000 130.426 -12.2586
4680.000000 130.203 -13.8493
4750.000000 129.842 -15.3252
4820.000000 129.499 -16.5956
4870.000000 129.258 -17.5912
4940.000000 128.784 -17.8740
5000.000000 128.421 -18.1887
5080.000000 128.072 -18.4014
5150.000000 127.776 -18.0869
5220.000000 127.531 -17.6730
5300.000000 127.209 -16.6998
5380.000000 126.879 -15.4235
5450.000000 126.638 -14.1771
5520.000000 126.434 -12.9349
5600.000000 126.236 -11.0008
5700.000000 126.101 -8.7497
5800.000000 126.044 -6.2637
