* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 3, 2026 4:56:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L omni 1674
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.986 33.7548
20.600000 93.975 32.9353
20.900000 93.966 32.1573
21.200001 93.965 31.3179
21.400000 93.967 30.7114
21.799999 93.971 29.4100
22.000000 93.971 28.7410
22.400000 93.961 27.4478
22.700001 93.950 26.5731
23.000000 93.942 25.7968
23.299999 93.942 25.0855
23.600000 93.946 24.4007
24.000000 93.952 23.4934
24.299999 93.949 22.8326
24.700001 93.934 22.0362
25.000000 93.922 21.5226
25.400000 93.919 20.8968
25.799999 93.933 20.1847
26.200001 93.950 19.2597
26.500000 93.949 18.4453
26.900000 93.922 17.3327
27.200001 93.889 16.5971
27.600000 93.851 15.8332
28.000000 93.846 15.2448
28.500000 93.884 14.4699
29.000000 93.913 13.4778
29.500000 93.885 12.4665
30.000000 93.816 11.7331
30.400000 93.773 11.3250
30.700001 93.762 11.0025
31.100000 93.769 10.3828
31.500000 93.775 9.5052
32.000000 93.748 8.2373
32.500000 93.682 7.1326
33.000000 93.615 6.3757
33.500000 93.581 5.8397
34.000000 93.574 5.3052
34.500000 93.572 4.6994
35.000000 93.561 4.0714
35.500000 93.541 3.4412
36.000000 93.506 2.7662
36.500000 93.447 2.0487
37.000000 93.368 1.3988
37.500000 93.297 0.9293
38.200001 93.271 0.4852
38.700001 93.310 0.0742
39.500000 93.365 -1.0074
40.000000 93.339 -1.7948
40.599998 93.248 -2.6391
41.200001 93.136 -3.3184
41.799999 93.050 -3.8833
42.500000 93.011 -4.4470
43.099998 93.023 -4.9000
43.700001 93.044 -5.4335
44.400002 93.035 -6.2371
45.000000 92.992 -7.0307
45.500000 92.953 -7.7111
46.200001 92.919 -8.6802
46.799999 92.900 -9.5071
47.500000 92.859 -10.3322
48.200001 92.788 -10.9247
48.700001 92.730 -11.2861
49.400002 92.645 -11.8588
50.000000 92.569 -12.4018
50.799999 92.475 -13.0560
51.500000 92.411 -13.5398
52.200001 92.364 -13.9963
53.000000 92.329 -14.5324
53.799999 92.295 -15.0756
54.500000 92.250 -15.4483
55.200001 92.196 -15.6914
56.000000 92.132 -16.0124
57.000000 92.032 -16.6713
58.000000 91.922 -17.4216
59.000000 91.833 -18.1816
60.000000 91.770 -18.8911
60.799999 91.733 -19.4171
61.500000 91.697 -19.8455
62.200001 91.658 -20.2299
63.000000 91.621 -20.6878
64.000000 91.577 -21.3411
65.000000 91.527 -21.8740
66.000000 91.476 -22.2626
67.000000 91.409 -22.6168
68.000000 91.329 -22.9795
69.000000 91.237 -23.4278
70.000000 91.134 -23.9172
71.000000 91.047 -24.4837
72.000000 90.984 -25.1218
73.000000 90.942 -25.5870
74.000000 90.911 -25.7558
75.000000 90.858 -25.7748
76.199997 90.738 -25.9374
77.500000 90.620 -26.5023
78.800003 90.574 -27.0658
80.000000 90.523 -27.0949
81.199997 90.385 -27.3480
82.500000 90.296 -28.3669
83.800003 90.280 -28.8357
85.000000 90.188 -28.7782
86.199997 90.052 -29.2827
87.500000 90.017 -29.7537
88.500000 89.979 -29.6647
90.000000 89.870 -29.8381
91.199997 89.816 -30.2199
92.500000 89.745 -30.3456
93.800003 89.650 -30.7481
95.000000 89.593 -31.0231
96.199997 89.510 -31.1060
97.500000 89.392 -31.3502
98.800003 89.326 -31.6336
100.000000 89.261 -31.7566
101.500000 89.183 -32.0253
103.000000 89.111 -32.1646
104.400002 89.037 -32.3379
106.000000 88.952 -32.4631
107.500000 88.864 -32.5412
109.000000 88.773 -32.6388
110.599998 88.691 -32.6270
112.000000 88.611 -32.7935
113.800003 88.499 -32.9085
115.000000 88.436 -33.0420
117.199997 88.347 -33.2833
118.000000 88.320 -33.3513
120.599998 88.196 -33.2629
122.000000 88.109 -33.2341
124.099998 87.988 -33.1371
125.000000 87.939 -33.2024
126.500000 87.859 -33.2412
128.000000 87.800 -33.2470
131.500000 87.673 -33.1680
132.000000 87.656 -33.1181
134.000000 87.539 -33.0681
136.000000 87.463 -33.1481
138.000000 87.367 -33.1381
140.000000 87.250 -33.1549
143.000000 87.141 -32.8941
145.000000 87.034 -32.7900
147.500000 86.948 -32.4625
150.000000 86.837 -32.1041
152.500000 86.746 -31.8055
155.000000 86.668 -31.4876
157.500000 86.609 -31.4443
160.000000 86.560 -31.4428
162.500000 86.498 -31.4738
165.000000 86.431 -31.3410
167.500000 86.360 -31.0915
170.000000 86.294 -30.6444
172.500000 86.204 -30.0937
175.000000 86.102 -29.5322
177.500000 85.989 -28.9584
180.000000 85.898 -28.6018
182.500000 85.812 -28.1915
185.000000 85.759 -27.7895
187.500000 85.734 -27.5370
190.000000 85.699 -27.4224
192.500000 85.701 -27.1350
195.000000 85.695 -26.9703
197.500000 85.650 -26.9047
200.000000 85.613 -26.8219
203.000000 85.549 -26.4685
206.000000 85.504 -26.1836
209.000000 85.449 -26.0168
212.000000 85.391 -25.8308
214.000000 85.339 -25.6992
218.000000 85.273 -25.4643
220.000000 85.244 -25.4721
224.000000 85.186 -25.1761
227.000000 85.147 -24.9376
230.000000 85.131 -24.7076
233.000000 85.084 -24.4759
236.000000 85.031 -24.1900
240.000000 84.932 -23.7877
243.000000 84.864 -23.4054
247.000000 84.799 -23.0111
250.000000 84.741 -22.5429
254.000000 84.682 -22.0879
258.000000 84.650 -21.7041
262.000000 84.594 -21.3555
265.000000 84.561 -21.3086
269.000000 84.546 -21.0898
272.000000 84.519 -20.7712
276.000000 84.472 -20.3441
280.000000 84.437 -19.7211
285.000000 84.383 -19.1643
290.000000 84.334 -18.7108
295.000000 84.281 -18.2895
300.000000 84.258 -17.9952
304.000000 84.240 -17.6869
307.000000 84.226 -17.4283
311.000000 84.205 -17.0480
315.000000 84.174 -16.7438
320.000000 84.121 -16.2083
325.000000 84.086 -15.7466
330.000000 84.057 -15.3590
335.000000 84.020 -14.8026
340.000000 83.992 -14.4171
345.000000 83.989 -14.0927
350.000000 83.953 -13.7387
355.000000 83.929 -13.3698
360.000000 83.905 -12.9809
365.000000 83.877 -12.4366
370.000000 83.842 -11.9486
375.000000 83.838 -11.6084
382.000000 83.815 -11.1572
387.000000 83.800 -10.8659
395.000000 83.778 -10.3661
400.000000 83.772 -10.0124
406.000000 83.748 -9.5451
412.000000 83.713 -9.0837
418.000000 83.681 -8.6021
425.000000 83.649 -8.1744
431.000000 83.628 -7.7700
437.000000 83.612 -7.3665
444.000000 83.585 -6.8503
450.000000 83.581 -6.5813
455.000000 83.573 -6.2557
462.000000 83.554 -5.7381
468.000000 83.549 -5.3293
475.000000 83.533 -4.8758
482.000000 83.520 -4.4946
487.000000 83.515 -4.1119
494.000000 83.489 -3.6136
500.000000 83.495 -3.3074
508.000000 83.474 -2.7971
515.000000 83.448 -2.3330
522.000000 83.439 -1.8723
530.000000 83.418 -1.3318
538.000000 83.411 -0.8648
545.000000 83.389 -0.4789
552.000000 83.377 -0.0256
560.000000 83.390 0.5624
570.000000 83.373 1.0449
580.000000 83.374 1.6175
590.000000 83.360 2.3618
600.000000 83.352 3.0294
608.000000 83.322 3.5802
615.000000 83.313 4.0569
622.000000 83.304 4.6625
630.000000 83.302 5.1504
640.000000 83.309 5.9441
650.000000 83.325 6.4609
660.000000 83.339 6.9895
670.000000 83.356 7.6290
680.000000 83.383 8.1676
690.000000 83.411 8.9514
700.000000 83.410 9.5025
710.000000 83.424 10.1127
720.000000 83.454 10.7694
730.000000 83.464 11.4151
740.000000 83.489 11.9275
750.000000 83.522 12.6615
762.000000 83.554 13.3042
775.000000 83.593 14.0803
788.000000 83.642 14.9067
800.000000 83.666 15.5135
812.000000 83.695 16.3173
825.000000 83.710 17.1261
838.000000 83.756 17.9473
850.000000 83.810 18.6433
862.000000 83.870 19.1779
875.000000 83.944 19.9308
885.000000 84.007 20.4804
900.000000 84.073 21.2849
912.000000 84.149 21.9758
925.000000 84.228 22.5925
938.000000 84.314 23.1125
950.000000 84.382 23.6838
962.000000 84.472 24.3079
975.000000 84.553 24.8602
988.000000 84.651 25.3570
1000.000000 84.702 25.5256
1015.000000 84.868 26.2065
1030.000000 84.972 26.6538
1044.000000 85.079 27.1208
1060.000000 85.200 27.6185
1075.000000 85.317 27.8538
1090.000000 85.425 28.1309
1106.000000 85.557 28.5194
1120.000000 85.647 28.6525
1138.000000 85.752 28.9472
1150.000000 85.834 29.1403
1172.000000 85.984 29.3903
1180.000000 86.033 29.3919
1206.000000 86.209 29.5380
1220.000000 86.295 29.6423
1241.000000 86.418 29.6810
1250.000000 86.466 29.7160
1265.000000 86.542 29.7857
1280.000000 86.611 29.8604
1315.000000 86.804 29.8090
1320.000000 86.828 29.8544
1340.000000 86.927 29.8464
1360.000000 87.014 29.8751
1380.000000 87.103 29.9283
1400.000000 87.180 29.8777
1430.000000 87.275 29.9411
1450.000000 87.355 29.9818
1475.000000 87.430 30.0971
1500.000000 87.527 30.3228
1525.000000 87.647 30.5222
1550.000000 87.786 30.5192
1575.000000 87.904 30.4307
1600.000000 88.011 30.2007
1625.000000 88.106 30.0425
1650.000000 88.189 29.8858
1675.000000 88.260 29.8327
1700.000000 88.350 29.8112
1725.000000 88.443 29.6739
1750.000000 88.542 29.6361
1775.000000 88.643 29.4540
1800.000000 88.742 29.3061
1825.000000 88.843 29.0446
1850.000000 88.938 28.7839
1875.000000 89.024 28.5157
1900.000000 89.088 28.3121
1925.000000 89.181 28.0554
1950.000000 89.256 27.7654
1975.000000 89.333 27.5471
2000.000000 89.377 27.3710
2030.000000 89.488 26.8927
2060.000000 89.565 26.4531
2090.000000 89.648 26.0009
2120.000000 89.733 25.5216
2140.000000 89.794 25.1655
2180.000000 89.888 24.4464
2200.000000 89.928 24.1937
2240.000000 89.987 23.5586
2270.000000 90.029 23.0000
2300.000000 90.061 22.6060
2330.000000 90.101 22.2662
2360.000000 90.143 21.8606
2400.000000 90.214 21.2527
2430.000000 90.277 20.7378
2470.000000 90.372 19.9642
2500.000000 90.423 19.3194
2540.000000 90.494 18.4658
2580.000000 90.568 17.5674
2620.000000 90.613 16.5861
2650.000000 90.647 15.8818
2690.000000 90.681 14.7669
2720.000000 90.688 13.9099
2760.000000 90.676 12.7405
2800.000000 90.640 11.5634
2850.000000 90.568 10.1917
2900.000000 90.473 9.1929
2950.000000 90.359 8.4984
3000.000000 90.231 8.2868
3040.000000 90.158 7.8995
3070.000000 90.099 7.7354
3110.000000 90.027 7.6924
3150.000000 89.972 7.6240
3200.000000 89.903 7.6177
3250.000000 89.866 7.6799
3300.000000 89.828 7.8285
3350.000000 89.827 8.1316
3400.000000 89.885 8.3750
3450.000000 89.960 8.5617
3500.000000 90.050 8.4332
3550.000000 90.113 8.2156
3600.000000 90.188 7.7503
3650.000000 90.249 7.1468
3700.000000 90.308 6.4976
3750.000000 90.348 5.8910
3820.000000 90.405 4.9049
3870.000000 90.443 4.3415
3950.000000 90.498 3.2864
4000.000000 90.553 2.4270
4060.000000 90.513 2.0137
4120.000000 90.584 2.5288
4180.000000 90.843 0.6964
4250.000000 90.837 -1.9281
4310.000000 90.787 -3.5033
4370.000000 90.739 -5.0545
4440.000000 90.653 -6.8047
4500.000000 90.563 -8.3485
4550.000000 90.459 -9.6003
4620.000000 90.281 -11.2887
4680.000000 90.107 -12.6147
4750.000000 89.868 -13.9985
4820.000000 89.596 -15.1570
4870.000000 89.370 -15.7781
4940.000000 89.066 -16.3988
5000.000000 88.810 -16.6024
5080.000000 88.434 -16.7579
5150.000000 88.098 -16.5145
5220.000000 87.801 -15.8788
5300.000000 87.507 -15.0670
5380.000000 87.194 -13.9991
5450.000000 86.991 -12.7444
5520.000000 86.767 -11.5034
5600.000000 86.569 -9.8240
5700.000000 86.364 -7.5829
5800.000000 86.228 -5.3771
5900.000000 86.134 -3.0382
