* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2025 2:56:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L spinfit w1 946
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.038 33.5390
20.600000 133.035 32.7213
20.900000 133.031 31.9893
21.200001 133.031 31.2472
21.400000 133.032 30.7389
21.799999 133.034 29.6940
22.000000 133.034 29.1638
22.400000 133.028 28.1092
22.700001 133.020 27.3382
23.000000 133.009 26.5903
23.299999 132.997 25.8616
23.600000 132.986 25.1457
24.000000 132.974 24.2020
24.299999 132.970 23.4998
24.700001 132.968 22.5763
25.000000 132.968 21.9047
25.400000 132.968 21.0595
25.799999 132.965 20.2979
26.200001 132.958 19.6255
26.500000 132.952 19.1589
26.900000 132.941 18.5372
27.200001 132.931 18.0335
27.600000 132.911 17.2872
28.000000 132.883 16.4797
28.500000 132.845 15.4723
29.000000 132.823 14.5160
29.500000 132.824 13.5452
30.000000 132.825 12.4995
30.400000 132.807 11.6659
30.700001 132.780 11.1002
31.100000 132.738 10.4665
31.500000 132.704 9.9323
32.000000 132.682 9.2518
32.500000 132.667 8.4517
33.000000 132.638 7.6307
33.500000 132.601 6.9341
34.000000 132.577 6.3164
34.500000 132.563 5.5909
35.000000 132.533 4.7267
35.500000 132.480 3.9287
36.000000 132.438 3.3610
36.500000 132.440 2.8981
37.000000 132.468 2.2656
37.500000 132.470 1.4172
38.200001 132.383 0.3505
38.700001 132.301 -0.0696
39.500000 132.248 -0.6459
40.000000 132.246 -1.3179
40.599998 132.219 -2.3390
41.200001 132.158 -3.1864
41.799999 132.104 -3.7241
42.500000 132.081 -4.2663
43.099998 132.068 -4.9051
43.700001 132.027 -5.6047
44.400002 131.954 -6.2306
45.000000 131.903 -6.5909
45.500000 131.879 -6.9184
46.200001 131.850 -7.5780
46.799999 131.809 -8.2767
47.500000 131.743 -9.0489
48.200001 131.687 -9.7034
48.700001 131.658 -10.1423
49.400002 131.620 -10.7553
50.000000 131.580 -11.2248
50.799999 131.527 -11.7238
51.500000 131.493 -12.1939
52.200001 131.456 -12.8145
53.000000 131.397 -13.5675
53.799999 131.339 -14.2145
54.500000 131.295 -14.7060
55.200001 131.248 -15.1151
56.000000 131.197 -15.4888
57.000000 131.134 -15.9460
58.000000 131.066 -16.4233
59.000000 131.013 -17.0092
60.000000 130.972 -17.7900
60.799999 130.933 -18.4268
61.500000 130.890 -18.8713
62.200001 130.846 -19.2538
63.000000 130.781 -19.7493
64.000000 130.680 -20.3420
65.000000 130.622 -20.8752
66.000000 130.583 -21.4679
67.000000 130.528 -21.9220
68.000000 130.453 -22.3972
69.000000 130.370 -22.7956
70.000000 130.306 -23.1919
71.000000 130.224 -23.5170
72.000000 130.158 -23.8299
73.000000 130.083 -24.2987
74.000000 130.011 -24.4653
75.000000 129.967 -24.6099
76.199997 129.891 -24.9832
77.500000 129.817 -25.3267
78.800003 129.739 -25.6342
80.000000 129.639 -25.7908
81.199997 129.571 -26.3010
82.500000 129.452 -26.8726
83.800003 129.407 -27.3464
85.000000 129.342 -27.9253
86.199997 129.282 -28.1235
87.500000 129.224 -28.3221
88.500000 129.146 -28.4664
90.000000 129.034 -28.5984
91.199997 128.959 -29.0510
92.500000 128.930 -29.3335
93.800003 128.870 -29.3340
95.000000 128.775 -29.2624
96.199997 128.677 -29.5994
97.500000 128.628 -29.8824
98.800003 128.544 -30.0392
100.000000 128.452 -30.3629
101.500000 128.385 -30.6215
103.000000 128.316 -30.5862
104.400002 128.229 -30.7559
106.000000 128.166 -30.9000
107.500000 128.074 -30.8970
109.000000 128.005 -31.1006
110.599998 127.926 -30.9867
112.000000 127.834 -31.1209
113.800003 127.749 -31.3222
115.000000 127.699 -31.3532
117.199997 127.610 -31.4999
118.000000 127.566 -31.4955
120.599998 127.462 -31.7445
122.000000 127.397 -31.7235
124.099998 127.317 -31.6894
125.000000 127.273 -31.6772
126.500000 127.197 -31.7080
128.000000 127.132 -31.6651
131.500000 126.957 -31.5742
132.000000 126.933 -31.5548
134.000000 126.848 -31.4306
136.000000 126.768 -31.3759
138.000000 126.681 -31.2498
140.000000 126.608 -31.2165
143.000000 126.496 -31.0696
145.000000 126.418 -31.0670
147.500000 126.344 -30.9540
150.000000 126.251 -30.8711
152.500000 126.181 -30.6725
155.000000 126.104 -30.5592
157.500000 126.023 -30.2832
160.000000 125.928 -30.0993
162.500000 125.862 -29.8524
165.000000 125.790 -29.6275
167.500000 125.701 -29.3511
170.000000 125.636 -29.1915
172.500000 125.589 -28.9914
175.000000 125.516 -28.8209
177.500000 125.452 -28.6199
180.000000 125.393 -28.4057
182.500000 125.317 -28.1616
185.000000 125.263 -27.8851
187.500000 125.188 -27.5887
190.000000 125.125 -27.2766
192.500000 125.063 -26.9710
195.000000 125.007 -26.5791
197.500000 124.951 -26.3769
200.000000 124.888 -26.1282
203.000000 124.835 -25.7234
206.000000 124.782 -25.4849
209.000000 124.720 -25.0819
212.000000 124.675 -24.6614
214.000000 124.635 -24.4331
218.000000 124.589 -23.7855
220.000000 124.567 -23.4643
224.000000 124.520 -22.9687
227.000000 124.490 -22.6326
230.000000 124.468 -22.2656
233.000000 124.442 -22.0348
236.000000 124.415 -21.8010
240.000000 124.383 -21.4279
243.000000 124.348 -21.2465
247.000000 124.309 -20.9264
250.000000 124.272 -20.6068
254.000000 124.232 -20.3174
258.000000 124.195 -20.0241
262.000000 124.145 -19.6613
265.000000 124.116 -19.3878
269.000000 124.070 -19.0929
272.000000 124.040 -18.7923
276.000000 124.008 -18.5271
280.000000 123.968 -18.1656
285.000000 123.943 -17.7553
290.000000 123.892 -17.3053
295.000000 123.860 -16.9277
300.000000 123.810 -16.4662
304.000000 123.773 -16.1567
307.000000 123.760 -15.8799
311.000000 123.728 -15.5755
315.000000 123.697 -15.1929
320.000000 123.653 -14.7662
325.000000 123.620 -14.3393
330.000000 123.591 -13.9144
335.000000 123.564 -13.5100
340.000000 123.537 -13.1179
345.000000 123.508 -12.8038
350.000000 123.494 -12.4119
355.000000 123.474 -11.9909
360.000000 123.437 -11.5794
365.000000 123.408 -11.2011
370.000000 123.396 -10.7494
375.000000 123.362 -10.3703
382.000000 123.332 -9.8897
387.000000 123.300 -9.4609
395.000000 123.270 -8.9250
400.000000 123.262 -8.5706
406.000000 123.238 -8.0768
412.000000 123.209 -7.6224
418.000000 123.202 -7.2639
425.000000 123.162 -6.6576
431.000000 123.151 -6.1942
437.000000 123.138 -5.8583
444.000000 123.119 -5.3260
450.000000 123.120 -4.8961
455.000000 123.108 -4.5457
462.000000 123.098 -4.0024
468.000000 123.079 -3.6167
475.000000 123.066 -3.1934
482.000000 123.067 -2.7173
487.000000 123.051 -2.3772
494.000000 123.034 -1.8840
500.000000 123.025 -1.4244
508.000000 123.016 -1.0132
515.000000 123.004 -0.5208
522.000000 122.993 -0.0512
530.000000 122.998 0.3832
538.000000 122.980 0.8235
545.000000 122.983 1.2878
552.000000 122.950 1.7249
560.000000 122.953 2.2292
570.000000 122.941 2.8605
580.000000 122.930 3.4996
590.000000 122.923 4.1488
600.000000 122.910 4.8211
608.000000 122.899 5.4014
615.000000 122.890 5.8967
622.000000 122.899 6.3874
630.000000 122.911 6.9385
640.000000 122.920 7.5577
650.000000 122.936 8.1969
660.000000 122.947 8.8467
670.000000 122.972 9.4697
680.000000 122.971 10.1532
690.000000 122.981 10.6362
700.000000 123.005 11.3315
710.000000 123.017 11.9893
720.000000 123.035 12.5472
730.000000 123.057 13.2120
740.000000 123.062 13.7810
750.000000 123.104 14.4929
762.000000 123.131 15.1564
775.000000 123.163 15.9482
788.000000 123.213 16.8522
800.000000 123.249 17.5561
812.000000 123.291 18.2618
825.000000 123.328 19.1192
838.000000 123.401 19.8821
850.000000 123.439 20.5692
862.000000 123.502 21.2524
875.000000 123.567 21.9369
885.000000 123.621 22.5697
900.000000 123.707 23.4517
912.000000 123.783 23.9531
925.000000 123.869 24.6878
938.000000 123.951 25.3467
950.000000 124.029 25.8830
962.000000 124.102 26.4642
975.000000 124.185 27.0498
988.000000 124.282 27.6094
1000.000000 124.341 27.9734
1015.000000 124.470 28.5603
1030.000000 124.595 29.0805
1044.000000 124.703 29.5346
1060.000000 124.827 29.9848
1075.000000 124.943 30.2935
1090.000000 125.073 30.5962
1106.000000 125.189 30.9299
1120.000000 125.281 31.2164
1138.000000 125.414 31.5378
1150.000000 125.498 31.7468
1172.000000 125.634 31.9507
1180.000000 125.679 32.0319
1206.000000 125.863 32.2201
1220.000000 125.953 32.2718
1241.000000 126.073 32.4350
1250.000000 126.147 32.4073
1265.000000 126.221 32.4518
1280.000000 126.296 32.6026
1315.000000 126.499 32.6070
1320.000000 126.519 32.5440
1340.000000 126.608 32.6524
1360.000000 126.708 32.6777
1380.000000 126.807 32.6111
1400.000000 126.888 32.6418
1430.000000 127.007 32.6804
1450.000000 127.103 32.6508
1475.000000 127.201 32.5919
1500.000000 127.296 32.6943
1525.000000 127.403 32.5611
1550.000000 127.506 32.6321
1575.000000 127.602 32.5807
1600.000000 127.703 32.5615
1625.000000 127.796 32.4615
1650.000000 127.890 32.3754
1675.000000 127.988 32.3947
1700.000000 128.068 32.2682
1725.000000 128.158 32.1571
1750.000000 128.246 32.0530
1775.000000 128.342 31.9091
1800.000000 128.432 31.8020
1825.000000 128.524 31.6067
1850.000000 128.624 31.3888
1875.000000 128.707 31.2070
1900.000000 128.794 31.0724
1925.000000 128.864 30.7859
1950.000000 128.946 30.5150
1975.000000 129.020 30.2468
2000.000000 129.082 29.9956
2030.000000 129.175 29.5900
2060.000000 129.260 29.1266
2090.000000 129.348 28.7228
2120.000000 129.423 28.3244
2140.000000 129.471 28.0283
2180.000000 129.556 27.4157
2200.000000 129.604 27.0788
2240.000000 129.686 26.3620
2270.000000 129.743 25.9106
2300.000000 129.799 25.4373
2330.000000 129.857 24.8856
2360.000000 129.899 24.4387
2400.000000 129.951 23.8143
2430.000000 129.993 23.3435
2470.000000 130.042 22.6114
2500.000000 130.078 22.1424
2540.000000 130.110 21.4667
2580.000000 130.156 20.7374
2620.000000 130.199 19.9649
2650.000000 130.228 19.3296
2690.000000 130.251 18.5212
2720.000000 130.254 17.8946
2760.000000 130.251 17.0490
2800.000000 130.215 16.4414
2850.000000 130.203 15.6123
2900.000000 130.179 14.8109
2950.000000 130.102 14.0730
3000.000000 130.038 13.7147
3040.000000 129.985 13.3771
3070.000000 129.964 13.1725
3110.000000 129.946 13.1150
3150.000000 129.925 13.1052
3200.000000 129.934 13.1061
3250.000000 129.958 13.0457
3300.000000 129.988 12.9864
3350.000000 130.040 12.9433
3400.000000 130.110 12.7112
3450.000000 130.181 12.4368
3500.000000 130.261 12.0870
3550.000000 130.345 11.6105
3600.000000 130.439 11.0527
3650.000000 130.515 10.1781
3700.000000 130.579 9.3213
3750.000000 130.627 8.2456
3820.000000 130.658 6.6248
3870.000000 130.648 5.4414
3950.000000 130.561 4.0827
4000.000000 130.490 3.4982
4060.000000 130.407 3.3735
4120.000000 130.603 4.2033
4180.000000 130.778 1.8893
4250.000000 130.730 -0.4931
4310.000000 130.667 -2.1324
4370.000000 130.585 -3.5351
4440.000000 130.473 -5.0875
4500.000000 130.374 -6.3621
4550.000000 130.280 -7.4506
4620.000000 130.129 -8.9065
4680.000000 129.962 -10.1184
4750.000000 129.731 -11.3361
4820.000000 129.460 -12.4070
4870.000000 129.252 -13.0472
4940.000000 128.951 -13.6379
5000.000000 128.706 -13.8919
5080.000000 128.370 -13.9158
5150.000000 128.093 -13.6716
5220.000000 127.819 -13.0566
5300.000000 127.550 -12.3638
5380.000000 127.277 -11.2200
5450.000000 127.099 -10.0263
5520.000000 126.913 -8.7897
5600.000000 126.753 -7.3517
5700.000000 126.632 -5.4614
5800.000000 126.531 -3.6104
5900.000000 126.481 -1.9768
