* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2025 2:57:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R spinfit w1 947
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.312 34.1976
20.600000 133.309 33.3436
20.900000 133.300 32.5883
21.200001 133.292 31.8465
21.400000 133.288 31.3504
21.799999 133.282 30.3431
22.000000 133.278 29.8279
22.400000 133.268 28.7735
22.700001 133.258 27.9670
23.000000 133.245 27.1538
23.299999 133.231 26.3407
23.600000 133.219 25.5336
24.000000 133.206 24.4769
24.299999 133.201 23.7076
24.700001 133.198 22.7262
25.000000 133.197 22.0350
25.400000 133.193 21.1889
25.799999 133.182 20.4412
26.200001 133.166 19.7843
26.500000 133.152 19.3281
26.900000 133.134 18.7211
27.200001 133.122 18.2289
27.600000 133.107 17.4884
28.000000 133.090 16.6543
28.500000 133.062 15.5617
29.000000 133.030 14.5512
29.500000 133.004 13.6961
30.000000 132.989 12.9505
30.400000 132.982 12.3594
30.700001 132.975 11.8911
31.100000 132.960 11.2255
31.500000 132.936 10.5295
32.000000 132.901 9.6592
32.500000 132.869 8.8266
33.000000 132.847 8.0456
33.500000 132.834 7.3105
34.000000 132.822 6.6097
34.500000 132.807 5.9321
35.000000 132.786 5.2648
35.500000 132.762 4.5861
36.000000 132.737 3.8709
36.500000 132.712 3.1134
37.000000 132.682 2.3498
37.500000 132.648 1.6416
38.200001 132.597 0.8116
38.700001 132.563 0.3074
39.500000 132.509 -0.4709
40.000000 132.476 -0.9784
40.599998 132.437 -1.6309
41.200001 132.399 -2.3378
41.799999 132.361 -3.0565
42.500000 132.322 -3.8413
43.099998 132.297 -4.4828
43.700001 132.273 -5.1261
44.400002 132.236 -5.8329
45.000000 132.199 -6.3671
45.500000 132.168 -6.7959
46.200001 132.117 -7.4213
46.799999 132.068 -7.9668
47.500000 132.014 -8.6012
48.200001 131.969 -9.2635
48.700001 131.938 -9.7355
49.400002 131.895 -10.3393
50.000000 131.865 -10.8225
50.799999 131.828 -11.4915
51.500000 131.793 -12.0707
52.200001 131.759 -12.6083
53.000000 131.715 -13.2120
53.799999 131.656 -13.7873
54.500000 131.601 -14.2566
55.200001 131.549 -14.7581
56.000000 131.489 -15.3515
57.000000 131.421 -16.0010
58.000000 131.356 -16.6065
59.000000 131.290 -17.1676
60.000000 131.234 -17.8375
60.799999 131.184 -18.4030
61.500000 131.147 -18.8206
62.200001 131.115 -19.2093
63.000000 131.068 -19.5983
64.000000 131.001 -20.0035
65.000000 130.924 -20.5647
66.000000 130.837 -21.0982
67.000000 130.777 -21.5816
68.000000 130.715 -22.1113
69.000000 130.647 -22.5312
70.000000 130.597 -22.9849
71.000000 130.540 -23.4814
72.000000 130.488 -23.7694
73.000000 130.458 -24.1427
74.000000 130.389 -24.6625
75.000000 130.312 -24.9519
76.199997 130.250 -25.4148
77.500000 130.142 -26.0301
78.800003 130.057 -26.4449
80.000000 130.001 -26.8948
81.199997 129.911 -27.2749
82.500000 129.844 -27.4854
83.800003 129.798 -27.8413
85.000000 129.718 -28.1809
86.199997 129.634 -28.3852
87.500000 129.574 -28.5992
88.500000 129.516 -28.9085
90.000000 129.398 -29.3297
91.199997 129.327 -29.5628
92.500000 129.264 -29.8584
93.800003 129.200 -30.2391
95.000000 129.130 -30.5582
96.199997 129.066 -30.7754
97.500000 129.006 -30.9440
98.800003 128.951 -31.0977
100.000000 128.893 -31.2585
101.500000 128.794 -31.4102
103.000000 128.702 -31.5963
104.400002 128.625 -31.8699
106.000000 128.538 -31.9618
107.500000 128.459 -32.1527
109.000000 128.389 -32.3727
110.599998 128.312 -32.5056
112.000000 128.235 -32.6628
113.800003 128.145 -32.7812
115.000000 128.073 -32.8059
117.199997 127.950 -33.0028
118.000000 127.915 -33.0114
120.599998 127.792 -33.0192
122.000000 127.723 -33.0951
124.099998 127.641 -33.1575
125.000000 127.600 -33.1690
126.500000 127.531 -33.1897
128.000000 127.456 -33.2107
131.500000 127.328 -33.4002
132.000000 127.309 -33.4132
134.000000 127.215 -33.3791
136.000000 127.150 -33.4321
138.000000 127.074 -33.3776
140.000000 126.988 -33.2458
143.000000 126.880 -33.1413
145.000000 126.800 -32.9767
147.500000 126.698 -32.9505
150.000000 126.613 -32.9354
152.500000 126.535 -32.8111
155.000000 126.435 -32.6442
157.500000 126.357 -32.6185
160.000000 126.282 -32.4181
162.500000 126.189 -32.2407
165.000000 126.113 -32.1132
167.500000 126.043 -31.8537
170.000000 125.958 -31.6478
172.500000 125.880 -31.4965
175.000000 125.807 -31.3375
177.500000 125.747 -31.1457
180.000000 125.672 -30.9947
182.500000 125.610 -30.7392
185.000000 125.545 -30.5950
187.500000 125.472 -30.2424
190.000000 125.414 -30.0706
192.500000 125.348 -29.7968
195.000000 125.286 -29.5903
197.500000 125.232 -29.4112
200.000000 125.169 -29.1245
203.000000 125.100 -28.8888
206.000000 125.026 -28.5897
209.000000 124.965 -28.3005
212.000000 124.898 -27.9496
214.000000 124.857 -27.6959
218.000000 124.763 -27.2573
220.000000 124.740 -27.0057
224.000000 124.659 -26.5410
227.000000 124.594 -26.3109
230.000000 124.550 -25.9836
233.000000 124.500 -25.6592
236.000000 124.460 -25.2778
240.000000 124.397 -24.7946
243.000000 124.352 -24.3798
247.000000 124.303 -23.8092
250.000000 124.265 -23.5359
254.000000 124.218 -23.0844
258.000000 124.181 -22.7312
262.000000 124.144 -22.2574
265.000000 124.120 -21.9826
269.000000 124.090 -21.6238
272.000000 124.057 -21.3679
276.000000 124.020 -21.1285
280.000000 123.985 -20.8185
285.000000 123.936 -20.3775
290.000000 123.884 -19.9236
295.000000 123.836 -19.4484
300.000000 123.775 -18.9531
304.000000 123.740 -18.6732
307.000000 123.717 -18.3390
311.000000 123.688 -18.0682
315.000000 123.653 -17.7408
320.000000 123.595 -17.2544
325.000000 123.557 -16.7890
330.000000 123.525 -16.2856
335.000000 123.504 -15.7087
340.000000 123.476 -15.2653
345.000000 123.446 -14.9190
350.000000 123.420 -14.5457
355.000000 123.389 -14.0969
360.000000 123.374 -13.6889
365.000000 123.339 -13.1964
370.000000 123.319 -12.8076
375.000000 123.284 -12.4230
382.000000 123.262 -11.9385
387.000000 123.245 -11.5564
395.000000 123.213 -10.9181
400.000000 123.195 -10.5453
406.000000 123.172 -10.1063
412.000000 123.136 -9.5976
418.000000 123.104 -9.0061
425.000000 123.079 -8.5179
431.000000 123.063 -8.0699
437.000000 123.033 -7.6291
444.000000 123.016 -7.1019
450.000000 123.017 -6.7237
455.000000 122.990 -6.2609
462.000000 122.967 -5.7090
468.000000 122.951 -5.3184
475.000000 122.942 -4.7064
482.000000 122.921 -4.2079
487.000000 122.908 -3.8131
494.000000 122.895 -3.2751
500.000000 122.879 -2.7624
508.000000 122.879 -2.1437
515.000000 122.884 -1.6831
522.000000 122.892 -1.0712
530.000000 122.907 -0.4715
538.000000 122.938 0.0167
545.000000 122.961 0.2231
552.000000 122.948 0.4382
560.000000 122.895 0.7575
570.000000 122.830 1.3554
580.000000 122.778 2.1449
590.000000 122.753 3.0005
600.000000 122.780 3.8773
608.000000 122.777 4.4921
615.000000 122.802 4.9831
622.000000 122.823 5.4954
630.000000 122.859 5.9620
640.000000 122.876 6.5671
650.000000 122.907 7.1196
660.000000 122.905 7.7550
670.000000 122.917 8.5152
680.000000 122.927 9.0325
690.000000 122.914 9.6996
700.000000 122.908 10.2728
710.000000 122.916 10.9911
720.000000 122.929 11.6814
730.000000 122.939 12.2756
740.000000 122.966 12.8344
750.000000 123.005 13.4055
762.000000 123.036 14.2301
775.000000 123.069 15.0895
788.000000 123.112 15.8632
800.000000 123.133 16.6213
812.000000 123.164 17.4054
825.000000 123.210 18.1580
838.000000 123.253 18.9667
850.000000 123.314 19.6728
862.000000 123.370 20.2762
875.000000 123.436 21.0714
885.000000 123.500 21.5834
900.000000 123.567 22.4819
912.000000 123.634 23.0944
925.000000 123.718 23.7993
938.000000 123.807 24.5318
950.000000 123.875 25.0070
962.000000 123.957 25.6005
975.000000 124.041 26.1727
988.000000 124.130 26.7532
1000.000000 124.195 27.1756
1015.000000 124.331 27.7530
1030.000000 124.418 28.2822
1044.000000 124.544 28.7239
1060.000000 124.654 29.1965
1075.000000 124.770 29.5999
1090.000000 124.866 29.9837
1106.000000 124.979 30.3322
1120.000000 125.082 30.6522
1138.000000 125.210 31.0027
1150.000000 125.296 31.0855
1172.000000 125.452 31.4867
1180.000000 125.495 31.5113
1206.000000 125.659 31.8059
1220.000000 125.752 31.9410
1241.000000 125.878 32.0846
1250.000000 125.927 32.1539
1265.000000 126.010 32.2298
1280.000000 126.101 32.3114
1315.000000 126.281 32.4323
1320.000000 126.309 32.4426
1340.000000 126.405 32.4959
1360.000000 126.502 32.5393
1380.000000 126.581 32.6195
1400.000000 126.680 32.6937
1430.000000 126.812 32.7521
1450.000000 126.904 32.7269
1475.000000 127.006 32.8517
1500.000000 127.109 32.7999
1525.000000 127.215 32.7869
1550.000000 127.300 32.9105
1575.000000 127.396 32.8716
1600.000000 127.498 32.8547
1625.000000 127.597 32.8506
1650.000000 127.677 32.8742
1675.000000 127.775 32.8014
1700.000000 127.871 32.7440
1725.000000 127.969 32.6417
1750.000000 128.053 32.6363
1775.000000 128.157 32.4965
1800.000000 128.252 32.3723
1825.000000 128.346 32.2504
1850.000000 128.440 32.1322
1875.000000 128.534 31.9578
1900.000000 128.616 31.7441
1925.000000 128.713 31.5936
1950.000000 128.796 31.4442
1975.000000 128.868 31.1891
2000.000000 128.949 30.9201
2030.000000 129.058 30.4996
2060.000000 129.137 30.1417
2090.000000 129.217 29.6856
2120.000000 129.302 29.2224
2140.000000 129.359 28.9409
2180.000000 129.458 28.3290
2200.000000 129.501 28.0176
2240.000000 129.600 27.3596
2270.000000 129.662 26.8552
2300.000000 129.712 26.3509
2330.000000 129.755 25.9127
2360.000000 129.786 25.3932
2400.000000 129.850 24.7432
2430.000000 129.891 24.2917
2470.000000 129.948 23.6375
2500.000000 129.986 23.1429
2540.000000 130.032 22.5351
2580.000000 130.065 21.9153
2620.000000 130.105 21.3080
2650.000000 130.131 20.8707
2690.000000 130.178 20.2524
2720.000000 130.210 19.8619
2760.000000 130.274 19.0651
2800.000000 130.327 18.1086
2850.000000 130.328 16.7335
2900.000000 130.281 15.5648
2950.000000 130.205 14.7000
3000.000000 130.120 14.3041
3040.000000 130.051 13.8920
3070.000000 130.008 13.6880
3110.000000 129.968 13.6814
3150.000000 129.943 13.5915
3200.000000 129.940 13.5194
3250.000000 129.941 13.4413
3300.000000 129.963 13.4635
3350.000000 130.014 13.3972
3400.000000 130.075 13.2423
3450.000000 130.141 13.0552
3500.000000 130.210 12.7832
3550.000000 130.283 12.4098
3600.000000 130.366 11.8379
3650.000000 130.445 11.2267
3700.000000 130.521 10.4487
3750.000000 130.593 9.5854
3820.000000 130.649 8.2186
3870.000000 130.654 7.1709
3950.000000 130.664 5.8503
4000.000000 130.688 5.0905
4060.000000 130.709 4.1351
4120.000000 130.728 3.1423
4180.000000 130.779 2.1921
4250.000000 130.869 0.0415
4310.000000 130.802 -1.8616
4370.000000 130.700 -3.6321
4440.000000 130.537 -5.4045
4500.000000 130.374 -6.7460
4550.000000 130.245 -7.7719
4620.000000 130.045 -9.1224
4680.000000 129.852 -10.0698
4750.000000 129.611 -11.1472
4820.000000 129.363 -12.0631
4870.000000 129.163 -12.5408
4940.000000 128.883 -12.9618
5000.000000 128.647 -13.2295
5080.000000 128.300 -12.9244
5150.000000 128.025 -12.5921
5220.000000 127.769 -12.0319
5300.000000 127.517 -11.1522
5380.000000 127.258 -10.0208
5450.000000 127.093 -8.8967
5520.000000 126.945 -7.5724
5600.000000 126.801 -6.1506
5700.000000 126.680 -4.2921
5800.000000 126.628 -2.5286
5900.000000 126.596 -0.8193
