* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 27, 2025 7:34:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R STA silver 591
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 124.077 92.9778
20.600000 124.236 60.5406
20.900000 124.359 30.6904
21.200001 124.475 0.8521
21.400000 124.557 -18.9756
21.799999 124.728 -58.3678
22.000000 124.812 -77.9036
22.400000 124.960 -116.6906
22.700001 125.051 -145.6323
23.000000 125.134 -174.5149
23.299999 125.215 156.6682
23.600000 125.294 127.9330
24.000000 125.392 89.7415
24.299999 125.458 61.1515
24.700001 125.541 23.0645
25.000000 125.604 -5.4566
25.400000 125.687 -43.3678
25.799999 125.756 -81.1341
26.200001 125.805 -118.8337
26.500000 125.834 -147.1080
26.900000 125.874 175.2029
27.200001 125.908 146.9823
27.600000 125.957 109.4521
28.000000 126.007 72.0186
28.500000 126.079 25.3453
29.000000 126.172 -21.0934
29.500000 126.266 -67.2020
30.000000 126.340 -113.0819
30.400000 126.389 -149.7375
30.700001 126.429 -177.2113
31.100000 126.495 146.2513
31.500000 126.566 109.9033
32.000000 126.642 64.7521
32.500000 126.685 19.7500
33.000000 126.717 -25.2797
33.500000 126.769 -70.2633
34.000000 126.836 -114.9667
34.500000 126.881 -159.3694
35.000000 126.889 156.2704
35.500000 126.898 111.7621
36.000000 126.949 67.2834
36.500000 127.032 23.1409
37.000000 127.102 -20.6061
37.500000 127.139 -64.1509
38.200001 127.162 -125.0554
38.700001 127.182 -168.4757
39.500000 127.207 122.3403
40.000000 127.210 79.1467
40.599998 127.235 27.2391
41.200001 127.322 -24.4452
41.799999 127.423 -75.4756
42.500000 127.441 -134.4553
43.099998 127.381 174.6465
43.700001 127.380 123.3154
44.400002 127.504 63.9307
45.000000 127.591 13.9766
45.500000 127.572 -27.4871
46.200001 127.497 -86.1567
46.799999 127.529 -136.6990
47.500000 127.638 165.2495
48.200001 127.653 107.9080
48.700001 127.613 66.7505
49.400002 127.604 8.7405
50.000000 127.674 -40.7246
50.799999 127.739 -105.7717
51.500000 127.676 -162.6289
52.200001 127.638 139.9448
53.000000 127.733 75.0210
53.799999 127.738 11.0974
54.500000 127.716 -45.2354
55.200001 127.773 -101.2725
56.000000 127.767 -164.8987
57.000000 127.807 115.0649
58.000000 127.829 36.0874
59.000000 127.831 -43.3879
60.000000 127.869 -121.6140
60.799999 127.809 175.4253
61.500000 127.871 120.5269
62.200001 127.874 66.4255
63.000000 127.808 4.0713
64.000000 127.878 -73.5283
65.000000 127.848 -150.3940
66.000000 127.854 132.4729
67.000000 127.875 55.9595
68.000000 127.856 -20.2842
69.000000 127.854 -96.5400
70.000000 127.883 -172.1172
71.000000 127.833 112.2891
72.000000 127.884 36.8794
73.000000 127.856 -37.7939
74.000000 127.842 -112.9043
75.000000 127.875 172.7915
76.199997 127.811 83.6665
77.500000 127.859 -12.4541
78.800003 127.790 -108.1323
80.000000 127.835 163.6826
81.199997 127.772 76.1787
82.500000 127.815 -18.7192
83.800003 127.759 -112.7236
85.000000 127.789 160.3164
86.199997 127.739 74.2881
87.500000 127.753 -19.3848
88.500000 127.740 -90.4668
90.000000 127.718 162.2573
91.199997 127.701 77.6084
92.500000 127.663 -14.7881
93.800003 127.672 -105.9443
95.000000 127.626 169.4043
96.199997 127.655 85.7764
97.500000 127.579 -5.2041
98.800003 127.617 -95.3511
100.000000 127.548 -178.7422
101.500000 127.580 78.0752
103.000000 127.527 -25.5840
104.400002 127.513 -121.0498
106.000000 127.503 129.4512
107.500000 127.421 27.6826
109.000000 127.466 -73.9795
110.599998 127.374 177.7339
112.000000 127.427 84.1406
113.800003 127.349 -36.7949
115.000000 127.291 -116.5923
117.199997 127.341 97.0049
118.000000 127.267 43.9385
120.599998 127.175 -127.6387
122.000000 127.268 140.3374
124.099998 127.142 2.9385
125.000000 127.138 -55.5889
126.500000 127.137 -153.7871
128.000000 127.113 109.7588
131.500000 126.922 -116.4014
132.000000 126.971 -148.8193
134.000000 126.932 82.9668
136.000000 126.887 -43.3018
138.000000 126.925 -170.7822
140.000000 126.901 62.0215
143.000000 126.805 -126.2754
145.000000 126.754 108.1475
147.500000 126.694 -47.6289
150.000000 126.618 157.1387
152.500000 126.569 2.9521
155.000000 126.518 -150.8057
157.500000 126.470 56.4922
160.000000 126.431 -95.6416
162.500000 126.355 113.0605
165.000000 126.326 -37.8311
167.500000 126.284 172.0566
170.000000 126.271 22.7373
172.500000 126.225 -126.1045
175.000000 126.165 85.6201
177.500000 126.163 -61.9238
180.000000 126.111 151.1387
182.500000 126.052 4.6484
185.000000 126.022 -140.9443
187.500000 125.956 73.7744
190.000000 125.910 -70.9160
192.500000 125.809 145.3086
195.000000 125.784 1.7412
197.500000 125.716 -140.8057
200.000000 125.670 76.7139
203.000000 125.594 -92.9541
206.000000 125.602 98.0967
209.000000 125.515 -69.9453
212.000000 125.349 122.8076
214.000000 125.430 11.0928
218.000000 125.286 149.2559
220.000000 125.221 39.2432
224.000000 125.242 179.5459
227.000000 125.203 16.0088
230.000000 125.086 -146.7900
233.000000 124.981 50.4326
236.000000 124.900 -111.5742
240.000000 124.933 33.3652
243.000000 124.861 -126.3398
247.000000 124.749 20.3662
250.000000 124.736 -138.4482
254.000000 124.601 11.7773
258.000000 124.611 161.2207
262.000000 124.381 -46.3262
265.000000 124.368 157.4834
269.000000 124.442 -48.5039
272.000000 124.336 157.5371
276.000000 124.254 -47.9648
280.000000 124.198 109.0352
285.000000 124.144 -144.2617
290.000000 124.029 -35.8242
295.000000 123.944 73.8691
300.000000 123.824 -174.7578
304.000000 123.683 -12.0957
307.000000 123.639 -160.6621
311.000000 123.679 3.4746
315.000000 123.531 167.3496
320.000000 123.323 -74.5254
325.000000 123.309 44.7734
330.000000 123.335 165.1465
335.000000 123.286 -73.7539
340.000000 123.312 48.9570
345.000000 123.267 172.7793
350.000000 123.202 -62.1328
355.000000 123.153 63.9395
360.000000 123.033 -168.2266
365.000000 122.929 -39.7773
370.000000 122.853 90.0312
375.000000 122.816 -138.7578
382.000000 122.734 -96.6250
387.000000 122.746 37.1309
395.000000 122.618 38.1992
400.000000 122.583 174.5059
406.000000 122.471 -91.0898
412.000000 122.483 4.2695
418.000000 122.457 101.3535
425.000000 122.237 156.3672
431.000000 122.169 -103.9492
437.000000 122.159 -1.8770
444.000000 122.123 58.3594
450.000000 122.006 164.1699
455.000000 122.022 -48.0195
462.000000 121.907 17.1992
468.000000 121.870 126.2832
475.000000 121.763 -165.1113
482.000000 121.694 -93.6816
487.000000 121.694 60.6289
494.000000 121.669 134.4062
500.000000 121.543 -109.4043
508.000000 121.452 -72.8203
515.000000 121.434 5.7422
522.000000 121.279 85.8984
530.000000 121.343 128.6836
538.000000 121.212 174.1719
545.000000 121.161 -100.0410
552.000000 121.139 -13.0977
560.000000 121.157 38.4961
570.000000 121.065 13.6484
580.000000 121.036 -7.7871
590.000000 120.860 -24.9941
600.000000 120.881 -40.1445
608.000000 120.832 22.2930
615.000000 120.780 123.1641
622.000000 120.758 -134.7266
630.000000 120.697 -67.3516
640.000000 120.651 -70.9805
650.000000 120.583 -71.7031
660.000000 120.553 -69.8242
670.000000 120.556 -65.1758
680.000000 120.542 -57.9688
690.000000 120.518 -47.8594
700.000000 120.406 -35.0273
710.000000 120.374 -20.4219
720.000000 120.418 -3.2695
730.000000 120.341 16.7852
740.000000 120.401 39.7930
750.000000 120.308 62.8047
762.000000 120.334 24.6719
775.000000 120.255 -44.5039
788.000000 120.230 -109.2266
800.000000 120.218 -139.0703
812.000000 120.260 -164.8516
825.000000 120.270 141.0703
838.000000 120.351 89.9414
850.000000 120.255 74.1953
862.000000 120.299 61.4102
875.000000 120.280 20.0234
885.000000 120.463 73.8516
900.000000 120.338 -22.0586
912.000000 120.397 -23.3672
925.000000 120.466 -51.5039
938.000000 120.578 -76.1797
950.000000 120.511 -68.8086
962.000000 120.673 -58.8711
975.000000 120.649 -74.8594
988.000000 120.832 -87.8086
1000.000000 120.876 -70.5469
1015.000000 120.947 -133.5156
1030.000000 121.099 166.4219
1044.000000 121.113 138.2461
1060.000000 121.255 57.8945
1075.000000 121.389 9.3594
1090.000000 121.518 -35.4844
1106.000000 121.605 -103.7891
1120.000000 121.702 -114.8789
1138.000000 121.876 132.3984
1150.000000 121.976 179.8477
1172.000000 122.186 -27.5391
1180.000000 122.240 128.0938
1206.000000 122.481 -170.1211
1220.000000 122.597 -160.6172
1241.000000 122.795 39.0234
1250.000000 122.888 178.0234
1265.000000 123.013 171.8047
1280.000000 123.129 169.0312
1315.000000 123.403 53.9570
1320.000000 123.446 -63.9648
1340.000000 123.610 -172.3320
1360.000000 123.766 84.4141
1380.000000 123.925 -13.7266
1400.000000 124.079 -106.7461
1430.000000 124.335 -56.9531
1450.000000 124.478 -137.7227
1475.000000 124.689 38.2422
1500.000000 124.890 -138.5039
1525.000000 125.094 51.9297
1550.000000 125.275 -110.4258
1575.000000 125.468 94.2812
1600.000000 125.663 -54.0000
1625.000000 125.845 164.4609
1650.000000 126.014 29.6680
1675.000000 126.204 -98.3945
1700.000000 126.397 139.9219
1725.000000 126.582 24.7812
1750.000000 126.774 -84.1172
1775.000000 126.972 173.2539
1800.000000 127.153 76.7539
1825.000000 127.344 -13.6406
1850.000000 127.541 -98.1289
1875.000000 127.735 -176.7031
1900.000000 127.945 110.5742
1925.000000 128.142 43.5156
1950.000000 128.343 -17.8633
1975.000000 128.548 -73.7422
2000.000000 128.741 -124.1523
2030.000000 128.990 110.6484
2060.000000 129.234 -6.9375
2090.000000 129.472 -116.9688
2120.000000 129.710 140.4297
2140.000000 129.858 -163.8984
2180.000000 130.157 -42.8750
2200.000000 130.295 22.3672
2240.000000 130.555 162.3438
2270.000000 130.735 95.3906
2300.000000 130.896 35.2969
2330.000000 131.041 -18.0000
2360.000000 131.161 -64.5625
2400.000000 131.278 123.6016
2430.000000 131.345 92.3906
2470.000000 131.389 -59.1719
2500.000000 131.389 -75.2578
2540.000000 131.362 153.0469
2580.000000 131.300 32.5312
2620.000000 131.195 -76.9141
2650.000000 131.100 -61.7969
2690.000000 130.961 -152.2969
2720.000000 130.832 -123.1875
2760.000000 130.658 164.8359
2800.000000 130.474 103.1953
2850.000000 130.233 -49.5469
2900.000000 129.985 173.4531
2950.000000 129.736 51.7109
3000.000000 129.484 -54.7969
3040.000000 129.295 -57.3828
3070.000000 129.151 36.8359
3110.000000 128.969 50.5781
3150.000000 128.789 73.5000
3200.000000 128.595 24.6953
3250.000000 128.400 -10.2031
3300.000000 128.223 -31.4531
3350.000000 128.051 -39.3750
3400.000000 127.906 -34.0469
3450.000000 127.768 -15.7422
3500.000000 127.652 15.5156
3550.000000 127.567 59.0156
3600.000000 127.495 115.1797
3650.000000 127.436 -176.5859
3700.000000 127.384 -96.2188
3750.000000 127.367 -3.9844
3820.000000 127.357 0.8750
3870.000000 127.391 121.0156
3950.000000 127.463 120.4922
4000.000000 127.541 -90.3828
4060.000000 127.641 30.9609
4120.000000 127.780 167.8047
4180.000000 127.918 -40.1641
4250.000000 128.129 96.1953
4310.000000 128.320 -79.5703
4370.000000 128.539 119.2500
4440.000000 128.815 -50.8906
4500.000000 129.071 178.5781
4550.000000 129.293 80.2656
4620.000000 129.644 -41.4531
4680.000000 129.928 -131.3594
4750.000000 130.264 140.3672
4820.000000 130.578 69.6562
4870.000000 130.780 29.6562
4940.000000 131.018 -11.5859
5000.000000 131.158 -33.4844
5080.000000 131.218 -43.6406
5150.000000 131.150 -34.4766
5220.000000 130.958 -8.5938
5300.000000 130.575 41.3438
5380.000000 130.091 113.2812
5450.000000 129.564 -166.2344
5520.000000 129.006 -69.2344
5600.000000 128.323 61.3750
5700.000000 127.471 -106.2812
5800.000000 126.629 117.8828
5900.000000 125.829 12.8828
6000.000000 125.055 -61.5078
