* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 1:08:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L stock black blue 1071
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.291 35.3279
20.600000 133.281 34.5743
20.900000 133.264 33.8526
21.200001 133.246 33.0782
21.400000 133.231 32.5366
21.799999 133.200 31.4274
22.000000 133.184 30.8796
22.400000 133.159 29.8337
22.700001 133.148 29.0942
23.000000 133.147 28.3703
23.299999 133.152 27.6321
23.600000 133.157 26.8671
24.000000 133.157 25.8180
24.299999 133.147 25.0471
24.700001 133.126 24.0956
25.000000 133.111 23.4548
25.400000 133.100 22.6698
25.799999 133.100 21.8893
26.200001 133.103 21.0543
26.500000 133.098 20.3953
26.900000 133.078 19.5162
27.200001 133.053 18.8937
27.600000 133.017 18.1377
28.000000 132.988 17.4451
28.500000 132.969 16.5894
29.000000 132.961 15.6926
29.500000 132.949 14.7998
30.000000 132.928 13.9979
30.400000 132.906 13.4370
30.700001 132.890 13.0413
31.100000 132.870 12.4931
31.500000 132.851 11.8708
32.000000 132.823 10.9574
32.500000 132.787 9.9529
33.000000 132.747 8.9940
33.500000 132.712 8.1869
34.000000 132.693 7.5396
34.500000 132.686 6.9659
35.000000 132.678 6.3754
35.500000 132.657 5.7295
36.000000 132.620 5.0438
36.500000 132.576 4.3434
37.000000 132.538 3.6417
37.500000 132.509 2.9461
38.200001 132.476 2.0150
38.700001 132.451 1.4079
39.500000 132.404 0.5292
40.000000 132.374 -0.0148
40.599998 132.339 -0.7084
41.200001 132.306 -1.4230
41.799999 132.274 -2.1085
42.500000 132.238 -2.8671
43.099998 132.201 -3.4944
43.700001 132.156 -4.0615
44.400002 132.114 -4.6387
45.000000 132.093 -5.1443
45.500000 132.079 -5.6155
46.200001 132.045 -6.3160
46.799999 132.003 -6.9257
47.500000 131.945 -7.6684
48.200001 131.886 -8.4227
48.700001 131.849 -8.9359
49.400002 131.805 -9.5934
50.000000 131.766 -10.0700
50.799999 131.706 -10.5714
51.500000 131.650 -10.9874
52.200001 131.588 -11.4152
53.000000 131.530 -11.8727
53.799999 131.497 -12.4529
54.500000 131.455 -13.0483
55.200001 131.399 -13.4843
56.000000 131.366 -13.8665
57.000000 131.337 -14.6517
58.000000 131.256 -15.3867
59.000000 131.192 -15.7634
60.000000 131.163 -16.3653
60.799999 131.108 -17.0924
61.500000 131.039 -17.6254
62.200001 130.989 -17.9965
63.000000 130.967 -18.4414
64.000000 130.941 -19.0936
65.000000 130.914 -19.6829
66.000000 130.871 -20.2660
67.000000 130.796 -20.5878
68.000000 130.745 -20.7823
69.000000 130.689 -21.1764
70.000000 130.616 -21.5305
71.000000 130.537 -22.0022
72.000000 130.429 -22.4231
73.000000 130.346 -22.6983
74.000000 130.290 -22.9805
75.000000 130.266 -23.4254
76.199997 130.211 -24.1446
77.500000 130.161 -24.7034
78.800003 130.065 -25.1353
80.000000 130.000 -25.3724
81.199997 129.902 -25.6813
82.500000 129.817 -25.9654
83.800003 129.723 -26.4143
85.000000 129.674 -26.7336
86.199997 129.615 -27.0221
87.500000 129.544 -27.0589
88.500000 129.504 -27.2888
90.000000 129.399 -27.4609
91.199997 129.359 -27.6997
92.500000 129.245 -28.0834
93.800003 129.173 -28.2493
95.000000 129.104 -28.5930
96.199997 129.027 -28.7928
97.500000 128.962 -28.8873
98.800003 128.887 -29.1937
100.000000 128.814 -29.3382
101.500000 128.752 -29.5592
103.000000 128.668 -29.9294
104.400002 128.590 -30.1637
106.000000 128.554 -30.3487
107.500000 128.495 -30.5504
109.000000 128.433 -30.5478
110.599998 128.397 -30.4243
112.000000 128.293 -30.5416
113.800003 128.151 -30.7104
115.000000 128.120 -31.0368
117.199997 128.087 -31.2394
118.000000 128.033 -31.0388
120.599998 127.879 -30.9541
122.000000 127.851 -31.2798
124.099998 127.788 -31.0716
125.000000 127.716 -30.9477
126.500000 127.612 -30.9742
128.000000 127.611 -31.3880
131.500000 127.457 -31.0712
132.000000 127.437 -31.2176
134.000000 127.405 -31.2261
136.000000 127.266 -31.1343
138.000000 127.246 -31.1850
140.000000 127.142 -30.9095
143.000000 127.082 -30.7812
145.000000 126.982 -30.7624
147.500000 126.892 -30.6617
150.000000 126.822 -30.4671
152.500000 126.728 -30.4228
155.000000 126.633 -30.2892
157.500000 126.561 -30.2902
160.000000 126.499 -30.0348
162.500000 126.424 -29.9296
165.000000 126.384 -29.6686
167.500000 126.320 -29.2698
170.000000 126.244 -29.0712
172.500000 126.162 -28.8265
175.000000 126.095 -28.7453
177.500000 126.043 -28.6406
180.000000 126.003 -28.4886
182.500000 125.970 -28.1575
185.000000 125.904 -27.7741
187.500000 125.829 -27.6400
190.000000 125.787 -27.5975
192.500000 125.747 -27.1298
195.000000 125.666 -26.9415
197.500000 125.645 -26.7657
200.000000 125.588 -26.4714
203.000000 125.515 -26.3151
206.000000 125.467 -25.8473
209.000000 125.402 -25.6739
212.000000 125.346 -25.2642
214.000000 125.310 -25.1763
218.000000 125.240 -24.6134
220.000000 125.207 -24.7002
224.000000 125.126 -24.2122
227.000000 125.094 -23.7431
230.000000 125.065 -23.4878
233.000000 125.017 -23.2614
236.000000 124.962 -23.0042
240.000000 124.916 -22.6630
243.000000 124.872 -22.3221
247.000000 124.809 -21.8520
250.000000 124.783 -21.5502
254.000000 124.762 -21.2180
258.000000 124.710 -20.7888
262.000000 124.665 -20.5086
265.000000 124.622 -20.2981
269.000000 124.566 -19.9555
272.000000 124.538 -19.6380
276.000000 124.517 -19.1452
280.000000 124.466 -18.7291
285.000000 124.423 -18.3369
290.000000 124.369 -17.9557
295.000000 124.339 -17.6402
300.000000 124.306 -17.2186
304.000000 124.276 -16.7299
307.000000 124.237 -16.4085
311.000000 124.206 -16.0096
315.000000 124.169 -15.6966
320.000000 124.128 -15.3736
325.000000 124.115 -15.0293
330.000000 124.080 -14.5648
335.000000 124.053 -14.1314
340.000000 124.040 -13.7823
345.000000 124.025 -13.3647
350.000000 124.011 -12.9761
355.000000 124.010 -12.5633
360.000000 124.006 -12.2933
365.000000 124.010 -11.9070
370.000000 123.983 -11.5787
375.000000 123.977 -11.1230
382.000000 123.930 -10.6119
387.000000 123.903 -10.2628
395.000000 123.850 -9.6103
400.000000 123.824 -9.2632
406.000000 123.804 -8.8366
412.000000 123.780 -8.3934
418.000000 123.765 -7.9526
425.000000 123.756 -7.5698
431.000000 123.755 -7.1293
437.000000 123.735 -6.7806
444.000000 123.711 -6.2884
450.000000 123.700 -5.8373
455.000000 123.695 -5.5701
462.000000 123.660 -5.0276
468.000000 123.646 -4.7300
475.000000 123.636 -4.1893
482.000000 123.617 -3.7881
487.000000 123.611 -3.4737
494.000000 123.606 -3.0007
500.000000 123.593 -2.5547
508.000000 123.583 -2.0726
515.000000 123.576 -1.6745
522.000000 123.560 -1.2491
530.000000 123.556 -0.7761
538.000000 123.535 -0.2757
545.000000 123.530 0.2522
552.000000 123.522 0.7282
560.000000 123.530 1.1969
570.000000 123.534 1.7500
580.000000 123.506 2.3037
590.000000 123.480 3.0160
600.000000 123.454 3.6503
608.000000 123.442 4.1954
615.000000 123.446 4.6317
622.000000 123.452 5.1458
630.000000 123.451 5.6271
640.000000 123.464 6.3189
650.000000 123.481 6.9916
660.000000 123.506 7.5654
670.000000 123.514 8.1869
680.000000 123.523 8.6876
690.000000 123.540 9.3070
700.000000 123.529 10.0376
710.000000 123.537 10.6449
720.000000 123.553 11.2448
730.000000 123.572 11.8203
740.000000 123.587 12.4394
750.000000 123.626 12.9681
762.000000 123.651 13.7470
775.000000 123.685 14.5421
788.000000 123.719 15.3613
800.000000 123.762 16.1462
812.000000 123.813 16.8032
825.000000 123.866 17.5912
838.000000 123.921 18.2738
850.000000 123.989 18.9715
862.000000 124.046 19.6781
875.000000 124.098 20.3944
885.000000 124.162 20.8485
900.000000 124.237 21.7102
912.000000 124.300 22.3404
925.000000 124.377 23.0062
938.000000 124.459 23.6330
950.000000 124.542 24.1798
962.000000 124.630 24.7197
975.000000 124.713 25.2426
988.000000 124.812 25.7084
1000.000000 124.923 26.3364
1015.000000 125.010 26.6500
1030.000000 125.120 27.1671
1044.000000 125.224 27.5953
1060.000000 125.355 28.0446
1075.000000 125.467 28.3902
1090.000000 125.586 28.6271
1106.000000 125.707 29.0423
1120.000000 125.814 29.2460
1138.000000 125.955 29.4761
1150.000000 126.022 29.5479
1172.000000 126.180 29.8793
1180.000000 126.226 29.9254
1206.000000 126.393 29.9691
1220.000000 126.488 30.0776
1241.000000 126.612 30.0900
1250.000000 126.676 30.1458
1265.000000 126.760 30.1058
1280.000000 126.838 30.1351
1315.000000 127.014 30.1864
1320.000000 127.047 30.1149
1340.000000 127.134 30.0974
1360.000000 127.233 30.0260
1380.000000 127.315 30.0203
1400.000000 127.411 29.9313
1430.000000 127.548 29.8034
1450.000000 127.620 29.7616
1475.000000 127.734 29.6523
1500.000000 127.825 29.5341
1525.000000 127.920 29.5104
1550.000000 127.999 29.3716
1575.000000 128.091 29.2173
1600.000000 128.196 29.1389
1625.000000 128.281 29.0115
1650.000000 128.367 28.9200
1675.000000 128.444 28.7989
1700.000000 128.527 28.6214
1725.000000 128.620 28.4053
1750.000000 128.695 28.2338
1775.000000 128.765 28.0511
1800.000000 128.826 27.8605
1825.000000 128.909 27.6395
1850.000000 128.985 27.4165
1875.000000 129.073 27.1568
1900.000000 129.155 26.8293
1925.000000 129.239 26.5169
1950.000000 129.310 26.3119
1975.000000 129.379 25.9548
2000.000000 129.476 25.5909
2030.000000 129.528 25.1122
2060.000000 129.602 24.7486
2090.000000 129.670 24.3188
2120.000000 129.738 23.7423
2140.000000 129.782 23.4622
2180.000000 129.864 22.7344
2200.000000 129.898 22.3716
2240.000000 129.975 21.6794
2270.000000 130.023 21.1332
2300.000000 130.074 20.5714
2330.000000 130.118 20.0382
2360.000000 130.163 19.4525
2400.000000 130.214 18.7102
2430.000000 130.250 18.1424
2470.000000 130.294 17.4213
2500.000000 130.326 16.8429
2540.000000 130.370 16.0895
2580.000000 130.418 15.3261
2620.000000 130.467 14.3168
2650.000000 130.498 13.6673
2690.000000 130.528 12.6052
2720.000000 130.547 11.7224
2760.000000 130.542 10.5498
2800.000000 130.512 9.3816
2850.000000 130.422 8.0567
2900.000000 130.321 7.0355
2950.000000 130.199 6.2822
3000.000000 130.108 5.7820
3040.000000 130.032 5.4483
3070.000000 129.985 5.3310
3110.000000 129.926 5.2049
3150.000000 129.885 5.0213
3200.000000 129.849 4.9073
3250.000000 129.825 4.7667
3300.000000 129.811 4.6945
3350.000000 129.813 4.5197
3400.000000 129.841 4.3705
3450.000000 129.891 4.0375
3500.000000 129.940 3.6826
3550.000000 129.999 3.1565
3600.000000 130.063 2.6343
3650.000000 130.105 1.9179
3700.000000 130.143 1.1193
3750.000000 130.164 0.1728
3820.000000 130.155 -1.1115
3870.000000 130.136 -2.0114
3950.000000 130.100 -3.4463
4000.000000 130.077 -4.0314
4060.000000 129.979 -4.7716
4120.000000 130.066 -4.2108
4180.000000 130.307 -6.3426
4250.000000 130.245 -8.8957
4310.000000 130.164 -10.5511
4370.000000 130.076 -12.1142
4440.000000 129.957 -13.9900
4500.000000 129.823 -15.5718
4550.000000 129.689 -16.9735
4620.000000 129.430 -18.6249
4680.000000 129.182 -20.0358
4750.000000 128.888 -21.4493
4820.000000 128.575 -22.5438
4870.000000 128.326 -23.2112
4940.000000 127.976 -23.8305
5000.000000 127.651 -24.1713
5080.000000 127.245 -24.0840
5150.000000 126.891 -23.7851
5220.000000 126.553 -23.2758
5300.000000 126.171 -22.3826
5380.000000 125.818 -21.2021
5450.000000 125.524 -19.9834
5520.000000 125.257 -18.6569
5600.000000 125.003 -16.8678
5700.000000 124.719 -14.6459
5800.000000 124.499 -12.2543
5900.000000 124.308 -9.7079
