* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 1:09:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R stock black blue 1072
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.510 36.1293
20.600000 133.501 35.2431
20.900000 133.484 34.3793
21.200001 133.461 33.4873
21.400000 133.444 32.9037
21.799999 133.413 31.8100
22.000000 133.403 31.3131
22.400000 133.403 30.4055
22.700001 133.420 29.7390
23.000000 133.444 29.0162
23.299999 133.461 28.2123
23.600000 133.460 27.3523
24.000000 133.421 26.2119
24.299999 133.370 25.4510
24.700001 133.294 24.6250
25.000000 133.252 24.1179
25.400000 133.229 23.4788
25.799999 133.241 22.7470
26.200001 133.267 21.8871
26.500000 133.281 21.2072
26.900000 133.287 20.3386
27.200001 133.283 19.7514
27.600000 133.270 19.0443
28.000000 133.252 18.3622
28.500000 133.220 17.4682
29.000000 133.182 16.5292
29.500000 133.150 15.5763
30.000000 133.132 14.5967
30.400000 133.121 13.7932
30.700001 133.109 13.2060
31.100000 133.084 12.5062
31.500000 133.055 11.9398
32.000000 133.029 11.3702
32.500000 133.020 10.7801
33.000000 133.010 10.0399
33.500000 132.982 9.2088
34.000000 132.939 8.4249
34.500000 132.902 7.7126
35.000000 132.876 6.9833
35.500000 132.851 6.2074
36.000000 132.815 5.5056
36.500000 132.779 5.0056
37.000000 132.762 4.6621
37.500000 132.758 4.2827
38.200001 132.726 3.4659
38.700001 132.664 2.7596
39.500000 132.562 1.6605
40.000000 132.537 0.9482
40.599998 132.547 0.0324
41.200001 132.567 -0.8094
41.799999 132.575 -1.4661
42.500000 132.553 -2.0989
43.099998 132.500 -2.6580
43.700001 132.428 -3.2358
44.400002 132.358 -3.8973
45.000000 132.324 -4.4436
45.500000 132.305 -4.8701
46.200001 132.279 -5.4326
46.799999 132.248 -5.9389
47.500000 132.203 -6.5888
48.200001 132.171 -7.2819
48.700001 132.162 -7.8126
49.400002 132.147 -8.5703
50.000000 132.116 -9.1151
50.799999 132.061 -9.6382
51.500000 132.020 -10.0849
52.200001 131.985 -10.6142
53.000000 131.950 -11.2209
53.799999 131.912 -11.7580
54.500000 131.870 -12.2083
55.200001 131.820 -12.7322
56.000000 131.756 -13.4175
57.000000 131.698 -14.1714
58.000000 131.674 -14.8618
59.000000 131.633 -15.4558
60.000000 131.598 -16.0094
60.799999 131.563 -16.5252
61.500000 131.525 -16.9098
62.200001 131.483 -17.2583
63.000000 131.419 -17.7116
64.000000 131.320 -18.3580
65.000000 131.236 -19.0082
66.000000 131.193 -19.5741
67.000000 131.148 -20.1075
68.000000 131.092 -20.4396
69.000000 131.052 -20.9232
70.000000 130.992 -21.2395
71.000000 130.976 -21.4154
72.000000 130.916 -21.9389
73.000000 130.835 -22.2660
74.000000 130.780 -22.7674
75.000000 130.689 -23.1171
76.199997 130.609 -23.6124
77.500000 130.479 -24.2044
78.800003 130.455 -24.6708
80.000000 130.366 -25.3625
81.199997 130.332 -25.5438
82.500000 130.339 -26.0733
83.800003 130.242 -26.0875
85.000000 130.171 -26.2605
86.199997 130.096 -26.9140
87.500000 130.065 -27.3408
88.500000 130.033 -27.6288
90.000000 129.914 -27.9003
91.199997 129.851 -28.4059
92.500000 129.789 -29.0291
93.800003 129.708 -29.1300
95.000000 129.645 -29.3102
96.199997 129.596 -29.5725
97.500000 129.528 -29.5938
98.800003 129.417 -29.5495
100.000000 129.370 -29.7592
101.500000 129.307 -29.8139
103.000000 129.203 -29.9526
104.400002 129.162 -30.2537
106.000000 129.101 -30.5176
107.500000 129.024 -31.0188
109.000000 128.971 -31.2280
110.599998 128.909 -31.7151
112.000000 128.881 -32.0026
113.800003 128.788 -32.3662
115.000000 128.723 -32.4547
117.199997 128.610 -32.5315
118.000000 128.569 -32.4965
120.599998 128.406 -32.2318
122.000000 128.292 -32.1741
124.099998 128.186 -32.0158
125.000000 128.126 -31.9309
126.500000 128.044 -31.6244
128.000000 127.982 -31.8335
131.500000 127.892 -32.3040
132.000000 127.886 -32.3782
134.000000 127.850 -32.7633
136.000000 127.802 -33.1278
138.000000 127.763 -33.3277
140.000000 127.719 -33.4071
143.000000 127.626 -33.3413
145.000000 127.564 -33.0525
147.500000 127.473 -32.6561
150.000000 127.369 -32.4026
152.500000 127.265 -32.1895
155.000000 127.155 -32.0989
157.500000 127.065 -32.0710
160.000000 126.998 -32.1627
162.500000 126.952 -32.3944
165.000000 126.912 -32.3004
167.500000 126.856 -32.1813
170.000000 126.762 -31.9186
172.500000 126.654 -31.9238
175.000000 126.589 -31.6202
177.500000 126.486 -31.3211
180.000000 126.393 -30.9724
182.500000 126.314 -30.8382
185.000000 126.246 -30.4177
187.500000 126.176 -30.2727
190.000000 126.105 -30.2038
192.500000 126.048 -30.1052
195.000000 126.000 -30.1620
197.500000 125.979 -30.0618
200.000000 125.912 -29.8152
203.000000 125.866 -29.5212
206.000000 125.824 -29.1596
209.000000 125.766 -28.8814
212.000000 125.719 -28.5215
214.000000 125.675 -28.4031
218.000000 125.600 -28.1857
220.000000 125.549 -27.9744
224.000000 125.475 -27.7660
227.000000 125.403 -27.4028
230.000000 125.358 -27.1655
233.000000 125.289 -26.8180
236.000000 125.219 -26.3453
240.000000 125.136 -26.0014
243.000000 125.084 -25.7615
247.000000 125.001 -25.4050
250.000000 124.962 -25.1077
254.000000 124.936 -24.7461
258.000000 124.903 -24.4549
262.000000 124.861 -24.2312
265.000000 124.819 -24.0735
269.000000 124.768 -23.6213
272.000000 124.727 -23.3724
276.000000 124.666 -22.8945
280.000000 124.610 -22.4451
285.000000 124.547 -21.8725
290.000000 124.474 -21.3721
295.000000 124.412 -21.0334
300.000000 124.392 -20.7066
304.000000 124.380 -20.3640
307.000000 124.371 -20.0382
311.000000 124.330 -19.7324
315.000000 124.308 -19.4861
320.000000 124.284 -18.9980
325.000000 124.255 -18.5031
330.000000 124.229 -18.1275
335.000000 124.203 -17.7006
340.000000 124.161 -17.2457
345.000000 124.129 -16.7735
350.000000 124.110 -16.4582
355.000000 124.091 -15.9891
360.000000 124.076 -15.6099
365.000000 124.040 -15.2717
370.000000 124.019 -14.8775
375.000000 123.992 -14.5156
382.000000 123.949 -13.9486
387.000000 123.911 -13.4726
395.000000 123.850 -12.8424
400.000000 123.799 -12.4221
406.000000 123.757 -11.9263
412.000000 123.723 -11.4854
418.000000 123.703 -11.0388
425.000000 123.681 -10.5865
431.000000 123.659 -10.1883
437.000000 123.654 -9.7683
444.000000 123.614 -9.1866
450.000000 123.605 -8.7291
455.000000 123.574 -8.3262
462.000000 123.543 -7.8167
468.000000 123.538 -7.4226
475.000000 123.519 -6.8360
482.000000 123.511 -6.3976
487.000000 123.506 -6.0767
494.000000 123.503 -5.5224
500.000000 123.495 -5.0611
508.000000 123.488 -4.4892
515.000000 123.485 -4.0105
522.000000 123.475 -3.4875
530.000000 123.471 -2.7737
538.000000 123.491 -2.2580
545.000000 123.498 -1.8466
552.000000 123.476 -1.6619
560.000000 123.446 -1.3950
570.000000 123.397 -0.8086
580.000000 123.353 -0.0207
590.000000 123.297 0.6469
600.000000 123.298 1.3888
608.000000 123.300 2.0511
615.000000 123.299 2.5805
622.000000 123.294 3.0803
630.000000 123.299 3.6279
640.000000 123.311 4.1641
650.000000 123.312 4.7929
660.000000 123.325 5.5158
670.000000 123.335 6.1402
680.000000 123.333 6.7521
690.000000 123.337 7.3247
700.000000 123.349 8.0442
710.000000 123.350 8.6527
720.000000 123.368 9.3957
730.000000 123.373 10.0416
740.000000 123.399 10.6609
750.000000 123.431 11.2883
762.000000 123.457 12.0306
775.000000 123.494 12.8337
788.000000 123.549 13.7085
800.000000 123.583 14.5601
812.000000 123.626 15.2679
825.000000 123.664 16.0751
838.000000 123.716 16.9564
850.000000 123.774 17.6072
862.000000 123.834 18.3098
875.000000 123.895 19.0404
885.000000 123.962 19.3383
900.000000 124.034 20.5237
912.000000 124.092 21.1578
925.000000 124.184 21.7858
938.000000 124.270 22.4209
950.000000 124.349 22.9943
962.000000 124.412 23.6516
975.000000 124.496 24.2325
988.000000 124.576 24.8048
1000.000000 124.678 25.2878
1015.000000 124.774 25.8390
1030.000000 124.905 26.3011
1044.000000 125.021 26.7109
1060.000000 125.150 27.2414
1075.000000 125.269 27.6192
1090.000000 125.383 27.9594
1106.000000 125.482 28.2889
1120.000000 125.572 28.5356
1138.000000 125.694 28.9152
1150.000000 125.784 29.0346
1172.000000 125.924 29.2990
1180.000000 125.989 29.3376
1206.000000 126.163 29.6567
1220.000000 126.241 29.7586
1241.000000 126.375 29.7862
1250.000000 126.437 29.7756
1265.000000 126.533 29.8483
1280.000000 126.624 29.8315
1315.000000 126.793 29.9413
1320.000000 126.825 29.9781
1340.000000 126.925 29.9667
1360.000000 127.021 29.8800
1380.000000 127.114 29.9296
1400.000000 127.202 29.9006
1430.000000 127.343 29.8274
1450.000000 127.439 29.8571
1475.000000 127.548 29.7173
1500.000000 127.652 29.6724
1525.000000 127.753 29.6444
1550.000000 127.840 29.5134
1575.000000 127.935 29.4282
1600.000000 128.023 29.3855
1625.000000 128.103 29.2410
1650.000000 128.175 29.1290
1675.000000 128.263 29.0276
1700.000000 128.352 28.9134
1725.000000 128.459 28.7659
1750.000000 128.557 28.5973
1775.000000 128.662 28.3854
1800.000000 128.760 28.1658
1825.000000 128.850 28.0051
1850.000000 128.931 27.7817
1875.000000 129.002 27.4883
1900.000000 129.075 27.3108
1925.000000 129.156 27.0259
1950.000000 129.233 26.7192
1975.000000 129.305 26.4329
2000.000000 129.393 26.0591
2030.000000 129.457 25.6898
2060.000000 129.528 25.2302
2090.000000 129.586 24.7901
2120.000000 129.643 24.2912
2140.000000 129.687 24.0069
2180.000000 129.770 23.2423
2200.000000 129.820 22.9295
2240.000000 129.896 22.1974
2270.000000 129.956 21.6554
2300.000000 130.019 21.0591
2330.000000 130.078 20.5564
2360.000000 130.116 19.9483
2400.000000 130.175 19.2444
2430.000000 130.217 18.6410
2470.000000 130.268 17.8782
2500.000000 130.303 17.3620
2540.000000 130.359 16.5019
2580.000000 130.415 15.6549
2620.000000 130.451 14.8491
2650.000000 130.473 14.1260
2690.000000 130.496 13.0427
2720.000000 130.504 12.1875
2760.000000 130.505 10.9838
2800.000000 130.467 9.7700
2850.000000 130.401 8.4526
2900.000000 130.319 7.2360
2950.000000 130.189 6.3358
3000.000000 130.058 5.7773
3040.000000 129.971 5.4076
3070.000000 129.912 5.1659
3110.000000 129.856 4.9902
3150.000000 129.825 4.8477
3200.000000 129.805 4.6311
3250.000000 129.794 4.5656
3300.000000 129.800 4.3130
3350.000000 129.806 4.1084
3400.000000 129.805 3.9446
3450.000000 129.829 3.6029
3500.000000 129.818 3.4218
3550.000000 129.837 3.0640
3600.000000 129.894 2.5341
3650.000000 129.958 1.9218
3700.000000 129.998 1.3531
3750.000000 130.028 0.6637
3820.000000 130.082 -0.4645
3870.000000 130.097 -1.3517
3950.000000 130.145 -2.7797
4000.000000 130.161 -3.7911
4060.000000 130.154 -4.8393
4120.000000 130.132 -5.8985
4180.000000 130.145 -6.8199
4250.000000 130.224 -8.6090
4310.000000 130.158 -10.4777
4370.000000 130.056 -12.1264
4440.000000 129.904 -14.0826
4500.000000 129.774 -15.7490
4550.000000 129.642 -17.1075
4620.000000 129.426 -18.9161
4680.000000 129.201 -20.2420
4750.000000 128.917 -21.6439
4820.000000 128.583 -22.7281
4870.000000 128.332 -23.3273
4940.000000 127.942 -23.8221
5000.000000 127.582 -24.0550
5080.000000 127.204 -24.0047
5150.000000 126.861 -23.8361
5220.000000 126.505 -23.2458
5300.000000 126.080 -22.3998
5380.000000 125.711 -21.1533
5450.000000 125.430 -19.9032
5520.000000 125.172 -18.4833
5600.000000 124.935 -16.7897
5700.000000 124.648 -14.3176
5800.000000 124.352 -11.8206
