* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 1:00:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R stock white wide 1061
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 131.323 50.2094
20.600000 131.355 49.0309
20.900000 131.359 47.9822
21.200001 131.355 47.0525
21.400000 131.358 46.5045
21.799999 131.383 45.5133
22.000000 131.409 45.0236
22.400000 131.477 43.9512
22.700001 131.526 43.0378
23.000000 131.560 42.0693
23.299999 131.575 41.1282
23.600000 131.577 40.2784
24.000000 131.578 39.3296
24.299999 131.590 38.7153
24.700001 131.628 37.9077
25.000000 131.665 37.2395
25.400000 131.706 36.2530
25.799999 131.722 35.2514
26.200001 131.717 34.3535
26.500000 131.710 33.7708
26.900000 131.708 33.0652
27.200001 131.716 32.5248
27.600000 131.730 31.7267
28.000000 131.737 30.8509
28.500000 131.722 29.7817
29.000000 131.691 28.8980
29.500000 131.666 28.2118
30.000000 131.664 27.5876
30.400000 131.679 27.0248
30.700001 131.697 26.5296
31.100000 131.724 25.7584
31.500000 131.747 24.8864
32.000000 131.758 23.7639
32.500000 131.746 22.7764
33.000000 131.725 22.0321
33.500000 131.714 21.4564
34.000000 131.713 20.8517
34.500000 131.706 20.1010
35.000000 131.680 19.2683
35.500000 131.642 18.4983
36.000000 131.615 17.8425
36.500000 131.607 17.2350
37.000000 131.607 16.6040
37.500000 131.601 15.9533
38.200001 131.583 15.0476
38.700001 131.573 14.3621
39.500000 131.561 13.1468
40.000000 131.550 12.4268
40.599998 131.537 11.7269
41.200001 131.529 11.1672
41.799999 131.515 10.6259
42.500000 131.473 9.9608
43.099998 131.428 9.3998
43.700001 131.397 8.8295
44.400002 131.387 8.0521
45.000000 131.377 7.2845
45.500000 131.353 6.6834
46.200001 131.311 6.0489
46.799999 131.301 5.6058
47.500000 131.313 4.9065
48.200001 131.301 4.0720
48.700001 131.269 3.6111
49.400002 131.232 3.2283
50.000000 131.222 2.8789
50.799999 131.198 2.1317
51.500000 131.142 1.4642
52.200001 131.082 0.9771
53.000000 131.035 0.4569
53.799999 131.003 -0.2192
54.500000 130.986 -0.9096
55.200001 130.978 -1.5938
56.000000 130.962 -2.2162
57.000000 130.924 -2.7218
58.000000 130.877 -3.2812
59.000000 130.837 -4.0159
60.000000 130.804 -4.7250
60.799999 130.765 -5.2661
61.500000 130.718 -5.7714
62.200001 130.672 -6.2943
63.000000 130.640 -6.8095
64.000000 130.625 -7.2442
65.000000 130.585 -7.6346
66.000000 130.515 -8.0932
67.000000 130.481 -8.6511
68.000000 130.450 -9.2859
69.000000 130.379 -9.6576
70.000000 130.326 -10.0904
71.000000 130.279 -10.7752
72.000000 130.246 -11.2993
73.000000 130.202 -11.8011
74.000000 130.140 -12.1969
75.000000 130.099 -12.6560
76.199997 130.032 -13.0321
77.500000 129.988 -13.5623
78.800003 129.925 -14.2645
80.000000 129.897 -14.7420
81.199997 129.836 -14.9250
82.500000 129.781 -15.4057
83.800003 129.719 -15.9246
85.000000 129.672 -16.4308
86.199997 129.580 -16.6633
87.500000 129.532 -17.0015
88.500000 129.483 -17.4106
90.000000 129.421 -17.8406
91.199997 129.364 -18.1911
92.500000 129.314 -18.5351
93.800003 129.254 -18.7708
95.000000 129.190 -19.1234
96.199997 129.139 -19.3014
97.500000 129.111 -19.5483
98.800003 129.033 -19.8294
100.000000 128.972 -20.1780
101.500000 128.936 -20.6316
103.000000 128.850 -20.9410
104.400002 128.794 -21.3249
106.000000 128.731 -21.5082
107.500000 128.682 -21.8012
109.000000 128.635 -21.9396
110.599998 128.541 -22.2047
112.000000 128.486 -22.4725
113.800003 128.423 -22.5934
115.000000 128.376 -22.6421
117.199997 128.265 -23.0363
118.000000 128.234 -23.0354
120.599998 128.121 -23.4071
122.000000 128.082 -23.6497
124.099998 127.995 -23.7776
125.000000 127.951 -23.8330
126.500000 127.908 -24.0655
128.000000 127.848 -24.1520
131.500000 127.725 -24.3770
132.000000 127.711 -24.4038
134.000000 127.633 -24.5157
136.000000 127.557 -24.6727
138.000000 127.501 -24.6186
140.000000 127.418 -24.7363
143.000000 127.317 -24.8139
145.000000 127.262 -24.8855
147.500000 127.174 -24.8719
150.000000 127.097 -24.9643
152.500000 127.023 -25.0912
155.000000 126.956 -25.1457
157.500000 126.890 -25.1984
160.000000 126.810 -25.1767
162.500000 126.747 -25.1028
165.000000 126.656 -25.0779
167.500000 126.585 -24.9044
170.000000 126.495 -24.7866
172.500000 126.449 -24.7182
175.000000 126.373 -24.7003
177.500000 126.301 -24.6623
180.000000 126.255 -24.5653
182.500000 126.188 -24.5492
185.000000 126.133 -24.5539
187.500000 126.067 -24.4310
190.000000 126.014 -24.2488
192.500000 125.958 -24.0907
195.000000 125.908 -23.9846
197.500000 125.839 -23.7064
200.000000 125.784 -23.6151
203.000000 125.727 -23.4742
206.000000 125.651 -23.3702
209.000000 125.595 -23.2677
212.000000 125.540 -23.0642
214.000000 125.514 -22.9062
218.000000 125.440 -22.6718
220.000000 125.413 -22.6678
224.000000 125.344 -22.3228
227.000000 125.287 -22.0858
230.000000 125.232 -21.9254
233.000000 125.187 -21.8715
236.000000 125.145 -21.5612
240.000000 125.089 -21.1933
243.000000 125.042 -21.0100
247.000000 124.978 -20.7961
250.000000 124.932 -20.5308
254.000000 124.875 -20.3383
258.000000 124.835 -20.0460
262.000000 124.785 -19.7293
265.000000 124.745 -19.5626
269.000000 124.689 -19.2145
272.000000 124.666 -18.9988
276.000000 124.628 -18.7442
280.000000 124.581 -18.4878
285.000000 124.527 -18.0983
290.000000 124.480 -17.8143
295.000000 124.433 -17.4487
300.000000 124.374 -17.0761
304.000000 124.349 -16.7474
307.000000 124.316 -16.5151
311.000000 124.270 -16.3144
315.000000 124.232 -16.0766
320.000000 124.194 -15.6220
325.000000 124.162 -15.2514
330.000000 124.116 -14.8469
335.000000 124.064 -14.6778
340.000000 124.025 -14.3580
345.000000 123.989 -13.9067
350.000000 123.958 -13.5594
355.000000 123.911 -13.1470
360.000000 123.883 -12.7517
365.000000 123.857 -12.3777
370.000000 123.836 -12.1799
375.000000 123.829 -11.9304
382.000000 123.815 -11.5056
387.000000 123.798 -11.2245
395.000000 123.771 -10.6507
400.000000 123.745 -10.2489
406.000000 123.699 -9.8862
412.000000 123.672 -9.4239
418.000000 123.637 -9.0739
425.000000 123.603 -8.6283
431.000000 123.581 -8.2553
437.000000 123.549 -7.8645
444.000000 123.525 -7.3673
450.000000 123.504 -7.0596
455.000000 123.495 -6.7257
462.000000 123.479 -6.2477
468.000000 123.454 -5.9078
475.000000 123.433 -5.4696
482.000000 123.419 -4.9923
487.000000 123.396 -4.7346
494.000000 123.371 -4.2591
500.000000 123.338 -3.9095
508.000000 123.325 -3.3234
515.000000 123.303 -2.7855
522.000000 123.280 -2.3355
530.000000 123.295 -1.7350
538.000000 123.313 -1.2611
545.000000 123.326 -0.9773
552.000000 123.322 -0.8132
560.000000 123.319 -0.5629
570.000000 123.265 0.0030
580.000000 123.205 0.6059
590.000000 123.185 1.3080
600.000000 123.166 2.0439
608.000000 123.173 2.5965
615.000000 123.190 3.0139
622.000000 123.198 3.3858
630.000000 123.202 3.8878
640.000000 123.205 4.4905
650.000000 123.197 5.1095
660.000000 123.175 5.7017
670.000000 123.166 6.2911
680.000000 123.177 6.8697
690.000000 123.174 7.5257
700.000000 123.167 8.1069
710.000000 123.178 8.6309
720.000000 123.201 9.2424
730.000000 123.218 9.8478
740.000000 123.227 10.4694
750.000000 123.257 11.0531
762.000000 123.299 11.7014
775.000000 123.339 12.5145
788.000000 123.358 13.3009
800.000000 123.395 13.9734
812.000000 123.423 14.8048
825.000000 123.459 15.5588
838.000000 123.502 16.2621
850.000000 123.544 16.9584
862.000000 123.613 17.6405
875.000000 123.672 18.3350
885.000000 123.719 18.9124
900.000000 123.799 19.6782
912.000000 123.863 20.3136
925.000000 123.935 20.9429
938.000000 124.014 21.5413
950.000000 124.089 22.0623
962.000000 124.174 22.6355
975.000000 124.248 23.0891
988.000000 124.320 23.6680
1000.000000 124.399 24.0789
1015.000000 124.521 24.6188
1030.000000 124.632 25.1312
1044.000000 124.739 25.5649
1060.000000 124.856 25.9601
1075.000000 124.973 26.2731
1090.000000 125.085 26.5836
1106.000000 125.199 26.9389
1120.000000 125.299 27.1593
1138.000000 125.418 27.3570
1150.000000 125.486 27.5567
1172.000000 125.619 27.7697
1180.000000 125.664 27.8291
1206.000000 125.825 28.0621
1220.000000 125.913 28.0252
1241.000000 126.057 28.1111
1250.000000 126.105 28.0952
1265.000000 126.183 28.1359
1280.000000 126.282 28.1583
1315.000000 126.452 28.1464
1320.000000 126.475 28.1729
1340.000000 126.566 28.1320
1360.000000 126.655 28.0460
1380.000000 126.736 28.0694
1400.000000 126.827 27.9977
1430.000000 126.951 27.9395
1450.000000 127.039 27.8391
1475.000000 127.139 27.8728
1500.000000 127.226 27.8121
1525.000000 127.322 27.6603
1550.000000 127.403 27.6436
1575.000000 127.499 27.5376
1600.000000 127.591 27.4694
1625.000000 127.680 27.3561
1650.000000 127.763 27.1957
1675.000000 127.856 27.1341
1700.000000 127.935 27.0045
1725.000000 128.009 26.8429
1750.000000 128.097 26.6393
1775.000000 128.182 26.4908
1800.000000 128.273 26.2745
1825.000000 128.360 26.0731
1850.000000 128.442 25.8429
1875.000000 128.531 25.6524
1900.000000 128.610 25.2962
1925.000000 128.683 25.0670
1950.000000 128.775 24.7907
1975.000000 128.843 24.3935
2000.000000 128.895 24.2015
2030.000000 128.976 23.7201
2060.000000 129.049 23.3039
2090.000000 129.124 22.8677
2120.000000 129.219 22.2983
2140.000000 129.260 21.9528
2180.000000 129.349 21.2974
2200.000000 129.405 20.9554
2240.000000 129.492 20.1976
2270.000000 129.538 19.6279
2300.000000 129.585 19.1576
2330.000000 129.629 18.5187
2360.000000 129.676 17.9475
2400.000000 129.720 17.2092
2430.000000 129.756 16.6476
2470.000000 129.805 15.8529
2500.000000 129.842 15.2954
2540.000000 129.886 14.5198
2580.000000 129.953 13.6628
2620.000000 130.001 12.8396
2650.000000 130.033 12.1269
2690.000000 130.072 11.0770
2720.000000 130.103 10.1947
2760.000000 130.116 9.0579
2800.000000 130.095 7.8962
2850.000000 130.022 6.4839
2900.000000 129.939 5.2381
2950.000000 129.833 4.4172
3000.000000 129.756 3.6280
3040.000000 129.669 3.2540
3070.000000 129.632 2.9545
3110.000000 129.584 2.5007
3150.000000 129.531 2.2038
3200.000000 129.467 1.9276
3250.000000 129.414 1.5511
3300.000000 129.380 1.3114
3350.000000 129.357 1.0176
3400.000000 129.378 0.7561
3450.000000 129.404 0.4273
3500.000000 129.439 -0.0250
3550.000000 129.469 -0.3986
3600.000000 129.493 -0.9248
3650.000000 129.534 -1.5348
3700.000000 129.554 -2.0987
3750.000000 129.571 -2.8740
3820.000000 129.588 -3.9527
3870.000000 129.585 -4.7589
3950.000000 129.564 -6.1370
4000.000000 129.531 -7.1795
4060.000000 129.521 -7.9930
4120.000000 129.498 -9.1304
4180.000000 129.479 -9.9330
4250.000000 129.535 -11.5458
4310.000000 129.468 -13.2542
4370.000000 129.373 -14.7981
4440.000000 129.242 -16.6653
4500.000000 129.098 -18.2589
4550.000000 128.937 -19.4539
4620.000000 128.716 -21.1050
4680.000000 128.512 -22.4601
4750.000000 128.219 -23.7989
4820.000000 127.911 -24.9327
4870.000000 127.677 -25.6250
4940.000000 127.318 -26.2324
5000.000000 127.014 -26.6273
5080.000000 126.558 -26.4988
5150.000000 126.179 -26.1886
5220.000000 125.809 -25.5069
5300.000000 125.395 -24.6021
5380.000000 125.036 -23.3663
5450.000000 124.733 -22.0475
5520.000000 124.445 -20.7136
5600.000000 124.150 -18.8155
5700.000000 123.855 -16.1978
5800.000000 123.579 -13.4695
5900.000000 123.381 -10.6004
