* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 7, 2024 10:07:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L D13 MOD SILVER NO TAPE Mar 7
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 151.957 -145.9566
20.600000 151.977 -146.7387
20.900000 151.992 -147.4376
21.200001 152.008 -148.1303
21.400000 152.019 -148.5927
21.799999 152.044 -149.5187
22.000000 152.056 -149.9799
22.400000 152.081 -150.8893
22.700001 152.097 -151.5512
23.000000 152.112 -152.1896
23.299999 152.125 -152.8048
23.600000 152.138 -153.4006
24.000000 152.155 -154.1757
24.299999 152.167 -154.7520
24.700001 152.181 -155.5208
25.000000 152.190 -156.0958
25.400000 152.197 -156.8491
25.799999 152.201 -157.5701
26.200001 152.203 -158.2517
26.500000 152.206 -158.7445
26.900000 152.213 -159.3959
27.200001 152.219 -159.8929
27.600000 152.226 -160.5707
28.000000 152.230 -161.2484
28.500000 152.229 -162.0504
29.000000 152.227 -162.7755
29.500000 152.230 -163.4519
30.000000 152.233 -164.1330
30.400000 152.231 -164.6948
30.700001 152.227 -165.1191
31.100000 152.218 -165.6740
31.500000 152.209 -166.2095
32.000000 152.202 -166.8591
32.500000 152.198 -167.5026
33.000000 152.193 -168.1383
33.500000 152.186 -168.7496
34.000000 152.177 -169.3307
34.500000 152.167 -169.8964
35.000000 152.156 -170.4606
35.500000 152.145 -171.0209
36.000000 152.133 -171.5672
36.500000 152.122 -172.1008
37.000000 152.112 -172.6330
37.500000 152.099 -173.1663
38.200001 152.075 -173.8841
38.700001 152.056 -174.3574
39.500000 152.032 -175.0805
40.000000 152.020 -175.5453
40.599998 152.003 -176.1180
41.200001 151.981 -176.6747
41.799999 151.958 -177.1977
42.500000 151.934 -177.7888
43.099998 151.913 -178.3035
43.700001 151.889 -178.8106
44.400002 151.859 -179.3569
45.000000 151.837 -179.7937
45.500000 151.821 179.8362
46.200001 151.797 179.2958
46.799999 151.770 178.8391
47.500000 151.738 178.3344
48.200001 151.709 177.8437
48.700001 151.688 177.5074
49.400002 151.662 177.0714
50.000000 151.643 176.6996
50.799999 151.612 176.1590
51.500000 151.574 175.6972
52.200001 151.539 175.2812
53.000000 151.506 174.8025
53.799999 151.469 174.3328
54.500000 151.436 173.9648
55.200001 151.407 173.5860
56.000000 151.370 173.1219
57.000000 151.324 172.5829
58.000000 151.283 172.0821
59.000000 151.238 171.6102
60.000000 151.193 171.1208
60.799999 151.153 170.7260
61.500000 151.118 170.4092
62.200001 151.086 170.1027
63.000000 151.049 169.7459
64.000000 151.001 169.3014
65.000000 150.952 168.8849
66.000000 150.906 168.5045
67.000000 150.861 168.1110
68.000000 150.810 167.7372
69.000000 150.763 167.3829
70.000000 150.716 167.0023
71.000000 150.666 166.6513
72.000000 150.619 166.3311
73.000000 150.573 166.0023
74.000000 150.526 165.6790
75.000000 150.479 165.3826
76.199997 150.422 165.0247
77.500000 150.362 164.6551
78.800003 150.303 164.2962
80.000000 150.242 163.9519
81.199997 150.184 163.6497
82.500000 150.132 163.3416
83.800003 150.068 163.0391
85.000000 150.011 162.7606
86.199997 149.958 162.4933
87.500000 149.902 162.2352
88.500000 149.855 162.0239
90.000000 149.787 161.7253
91.199997 149.734 161.4949
92.500000 149.676 161.2780
93.800003 149.618 161.0479
95.000000 149.567 160.8462
96.199997 149.514 160.6421
97.500000 149.458 160.4581
98.800003 149.401 160.2618
100.000000 149.350 160.0911
101.500000 149.285 159.8881
103.000000 149.220 159.6926
104.400002 149.163 159.5157
106.000000 149.099 159.3293
107.500000 149.037 159.1782
109.000000 148.974 159.0183
110.599998 148.907 158.8550
112.000000 148.852 158.7300
113.800003 148.781 158.5884
115.000000 148.732 158.4860
117.199997 148.643 158.3123
118.000000 148.610 158.2642
120.599998 148.516 157.9891
122.000000 148.462 158.0280
124.099998 148.385 157.9007
125.000000 148.353 157.8682
126.500000 148.295 157.8111
128.000000 148.243 157.7199
131.500000 148.118 157.6416
132.000000 148.102 157.6137
134.000000 148.029 157.5211
136.000000 147.960 157.4792
138.000000 147.892 157.4469
140.000000 147.824 157.3952
143.000000 147.726 157.3547
145.000000 147.662 157.3623
147.500000 147.580 157.3600
150.000000 147.505 157.3553
152.500000 147.425 157.3699
155.000000 147.351 157.3804
157.500000 147.279 157.4338
160.000000 147.202 157.4828
162.500000 147.129 157.5230
165.000000 147.062 157.5835
167.500000 146.990 157.6388
170.000000 146.923 157.7127
172.500000 146.855 157.7744
175.000000 146.788 157.8752
177.500000 146.725 157.9673
180.000000 146.662 158.0509
182.500000 146.599 158.1663
185.000000 146.537 158.2658
187.500000 146.479 158.4010
190.000000 146.416 158.5093
192.500000 146.362 158.6038
195.000000 146.303 158.7510
197.500000 146.249 158.8719
200.000000 146.191 159.0078
203.000000 146.128 159.1717
206.000000 146.061 159.3359
209.000000 146.002 159.5269
212.000000 145.939 159.7045
214.000000 145.899 159.8277
218.000000 145.820 160.0695
220.000000 145.783 160.2081
224.000000 145.710 160.4404
227.000000 145.657 160.6617
230.000000 145.601 160.8504
233.000000 145.548 161.0481
236.000000 145.497 161.2545
240.000000 145.430 161.5544
243.000000 145.383 161.7308
247.000000 145.319 162.0411
250.000000 145.271 162.2496
254.000000 145.208 162.5354
258.000000 145.153 162.8467
262.000000 145.094 163.1287
265.000000 145.051 163.3566
269.000000 144.997 163.6525
272.000000 144.958 163.8800
276.000000 144.907 164.1858
280.000000 144.854 164.5068
285.000000 144.795 164.8882
290.000000 144.732 165.2537
295.000000 144.676 165.6597
300.000000 144.622 166.0391
304.000000 144.577 166.3657
307.000000 144.546 166.5932
311.000000 144.509 166.9117
315.000000 144.466 167.2027
320.000000 144.418 167.6040
325.000000 144.371 167.9915
330.000000 144.326 168.4073
335.000000 144.282 168.7878
340.000000 144.243 169.1801
345.000000 144.202 169.5805
350.000000 144.162 169.9709
355.000000 144.126 170.3640
360.000000 144.086 170.7415
365.000000 144.054 171.1342
370.000000 144.020 171.5408
375.000000 143.986 171.9250
382.000000 143.943 172.4619
387.000000 143.910 172.8589
395.000000 143.866 173.4747
400.000000 143.840 173.8358
406.000000 143.806 174.3108
412.000000 143.778 174.7781
418.000000 143.751 175.2295
425.000000 143.718 175.7750
431.000000 143.691 176.2165
437.000000 143.667 176.6876
444.000000 143.639 177.2179
450.000000 143.618 177.6598
455.000000 143.600 178.0366
462.000000 143.578 178.5612
468.000000 143.557 179.0110
475.000000 143.538 179.5363
482.000000 143.520 -179.9532
487.000000 143.504 -179.5714
494.000000 143.487 -179.0626
500.000000 143.473 -178.6108
508.000000 143.458 -178.0511
515.000000 143.441 -177.5343
522.000000 143.431 -176.9989
530.000000 143.418 -176.4201
538.000000 143.407 -175.8466
545.000000 143.399 -175.3322
552.000000 143.393 -174.8454
560.000000 143.384 -174.2569
570.000000 143.378 -173.5402
580.000000 143.374 -172.8412
590.000000 143.370 -172.1199
600.000000 143.369 -171.3991
608.000000 143.370 -170.8498
615.000000 143.372 -170.3416
622.000000 143.374 -169.8512
630.000000 143.379 -169.2816
640.000000 143.387 -168.5664
650.000000 143.399 -167.8623
660.000000 143.413 -167.1621
670.000000 143.427 -166.4691
680.000000 143.440 -165.7661
690.000000 143.462 -165.0651
700.000000 143.480 -164.3858
710.000000 143.508 -163.6653
720.000000 143.531 -162.9773
730.000000 143.564 -162.2993
740.000000 143.591 -161.6097
750.000000 143.627 -160.9338
762.000000 143.671 -160.1099
775.000000 143.726 -159.2390
788.000000 143.782 -158.3946
800.000000 143.839 -157.6054
812.000000 143.903 -156.8175
825.000000 143.976 -156.0232
838.000000 144.055 -155.2471
850.000000 144.137 -154.5784
862.000000 144.223 -153.9410
875.000000 144.326 -153.3731
885.000000 144.406 -153.1344
900.000000 144.427 -153.3506
912.000000 144.296 -151.9213
925.000000 144.478 -150.3385
938.000000 144.654 -149.6916
950.000000 144.802 -149.3868
962.000000 144.926 -149.5358
975.000000 144.860 -150.2057
988.000000 144.715 -148.2205
1000.000000 144.901 -146.6474
1015.000000 145.113 -145.7881
1030.000000 145.293 -145.2151
1044.000000 145.441 -144.7836
1060.000000 145.603 -144.3405
1075.000000 145.748 -143.9692
1090.000000 145.888 -143.6288
1106.000000 146.036 -143.3172
1120.000000 146.159 -143.0623
1138.000000 146.318 -142.7713
1150.000000 146.418 -142.6012
1172.000000 146.604 -142.3086
1180.000000 146.667 -142.2202
1206.000000 146.879 -141.9585
1220.000000 146.989 -141.8494
1241.000000 147.151 -141.6712
1250.000000 147.219 -141.6183
1265.000000 147.334 -141.5203
1280.000000 147.446 -141.4552
1315.000000 147.704 -141.3187
1320.000000 147.739 -141.2917
1340.000000 147.882 -141.2501
1360.000000 148.027 -141.2177
1380.000000 148.168 -141.1854
1400.000000 148.308 -141.2071
1430.000000 148.524 -141.2227
1450.000000 148.661 -141.2774
1475.000000 148.840 -141.3641
1500.000000 149.016 -141.4911
1525.000000 149.195 -141.6693
1550.000000 149.370 -141.8634
1575.000000 149.549 -142.1068
1600.000000 149.728 -142.3980
1625.000000 149.905 -142.7611
1650.000000 150.082 -143.1539
1675.000000 150.257 -143.6075
1700.000000 150.430 -144.1282
1725.000000 150.603 -144.7032
1750.000000 150.774 -145.3376
1775.000000 150.937 -146.0381
1800.000000 151.099 -146.7993
1825.000000 151.256 -147.6424
1850.000000 151.408 -148.5411
1875.000000 151.549 -149.4880
1900.000000 151.685 -150.5275
1925.000000 151.815 -151.6089
1950.000000 151.933 -152.7343
1975.000000 152.040 -153.9270
2000.000000 152.139 -155.1722
2030.000000 152.239 -156.6950
2060.000000 152.323 -158.2788
2090.000000 152.386 -159.8843
2120.000000 152.434 -161.5284
2140.000000 152.455 -162.6134
2180.000000 152.472 -164.7914
2200.000000 152.467 -165.8587
2240.000000 152.436 -167.9579
2270.000000 152.393 -169.4636
2300.000000 152.334 -170.9252
2330.000000 152.263 -172.3102
2360.000000 152.180 -173.6353
2400.000000 152.054 -175.2361
2430.000000 151.945 -176.3600
2470.000000 151.793 -177.7221
2500.000000 151.671 -178.6280
2540.000000 151.505 -179.7279
2580.000000 151.335 179.3190
2620.000000 151.160 178.5053
2650.000000 151.031 177.9949
2690.000000 150.859 177.3895
2720.000000 150.732 177.0418
2760.000000 150.568 176.6664
2800.000000 150.410 176.3476
2850.000000 150.214 176.1060
2900.000000 150.034 175.9908
2950.000000 149.865 175.9797
3000.000000 149.703 176.0291
3040.000000 149.590 176.1507
3070.000000 149.505 176.2881
3110.000000 149.403 176.4709
3150.000000 149.306 176.6974
3200.000000 149.202 177.0043
3250.000000 149.108 177.3568
3300.000000 149.030 177.7313
3350.000000 148.957 178.1148
3400.000000 148.899 178.5134
3450.000000 148.856 178.9059
3500.000000 148.823 179.3103
3550.000000 148.798 179.6975
3600.000000 148.789 -179.9298
3650.000000 148.786 -179.5734
3700.000000 148.799 -179.2772
3750.000000 148.810 -179.0068
3820.000000 148.851 -178.6952
3870.000000 148.888 -178.5265
3950.000000 148.959 -178.4086
4000.000000 149.013 -178.3890
4060.000000 149.081 -178.4888
4120.000000 149.157 -178.7112
4180.000000 149.232 -179.0278
4250.000000 149.317 -179.6028
4310.000000 149.381 179.8148
4370.000000 149.442 179.0735
4440.000000 149.498 178.0408
4500.000000 149.531 177.0433
4550.000000 149.542 176.1436
4620.000000 149.539 174.7354
4680.000000 149.505 173.4875
4750.000000 149.437 171.9608
4820.000000 149.327 170.3929
4870.000000 149.232 169.2833
4940.000000 149.060 167.7380
5000.000000 148.873 166.4655
5080.000000 148.582 164.7332
5150.000000 148.252 163.2237
5220.000000 147.804 161.7144
5300.000000 146.993 160.7824
5380.000000 146.010 165.6223
5450.000000 146.306 170.4295
5520.000000 146.270 169.1519
5600.000000 145.676 174.4832
5700.000000 146.459 176.2874
5800.000000 146.492 175.1307
5900.000000 146.357 174.9070
6000.000000 146.200 175.1675
