* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Shortbus Eru Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 3, 2023 9:27:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Shortbus Eru Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Shortbus Eru Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	66.582	120.4623
1.015000	66.413	119.5464
1.030000	66.238	118.6267
1.044000	66.070	117.7647
1.060000	65.870	116.7751
1.075000	65.676	115.8426
1.090000	65.475	114.9053
1.106000	65.255	113.9113
1.120000	65.070	113.1085
1.138000	64.843	112.1718
1.150000	64.697	111.5978
1.172000	64.436	110.6282
1.180000	64.343	110.2963
1.206000	64.039	109.2649
1.220000	63.872	108.7240
1.241000	63.612	107.9059
1.250000	63.497	107.5458
1.265000	63.297	106.9238
1.280000	63.085	106.2643
1.315000	62.536	104.5136
1.320000	62.450	104.2329
1.340000	62.084	103.0165
1.360000	61.679	101.6292
1.380000	61.231	100.0433
1.400000	60.734	98.2310
1.430000	59.886	95.0274
1.450000	59.246	92.5276
1.475000	58.338	88.9612
1.500000	57.196	85.0221
1.525000	55.834	80.7568
1.550000	54.298	76.1807
1.575000	52.632	71.3089
1.600000	50.882	66.1568
1.625000	49.095	60.7398
1.650000	47.316	55.0732
1.675000	45.591	49.1722
1.700000	43.965	43.0522
1.725000	42.484	36.7285
1.750000	41.194	30.2164
1.775000	40.141	23.5313
1.800000	39.371	16.6884
1.825000	38.928	9.7031
1.850000	38.851	2.3840
1.875000	39.123	-5.6823
1.900000	39.697	-14.3795
1.925000	40.529	-23.5692
1.950000	41.573	-33.1129
1.975000	42.784	-42.8721
2.000000	44.117	-52.7083
2.030000	45.815	-64.4184
2.060000	47.546	-75.8007
2.090000	49.231	-86.6159
2.120000	50.793	-96.6246
2.140000	51.727	-102.7311
2.180000	53.235	-113.2658
2.200000	53.763	-117.5538
2.240000	54.562	-124.3290
2.270000	55.022	-128.0927
2.300000	55.378	-130.9047
2.330000	55.641	-132.9252
2.360000	55.823	-134.3143
