* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.130
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Oct 26, 2023 9:04:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Glamdring Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	60.429	145.4230
1.015000	60.331	144.7438
1.030000	60.231	144.0500
1.044000	60.134	143.3885
1.060000	60.020	142.6149
1.075000	59.910	141.8718
1.090000	59.797	141.1104
1.106000	59.672	140.2816
1.120000	59.560	139.5663
1.138000	59.413	138.6625
1.150000	59.312	138.0671
1.172000	59.123	136.9831
1.180000	59.053	136.5895
1.206000	58.820	135.3031
1.220000	58.691	134.6010
1.241000	58.493	133.5271
1.250000	58.407	133.0570
1.265000	58.261	132.2576
1.280000	58.113	131.4347
1.315000	57.758	129.4031
1.320000	57.706	129.0981
1.340000	57.497	127.8353
1.360000	57.284	126.4979
1.380000	57.066	125.0768
1.400000	56.845	123.5632
1.430000	56.507	121.1000
1.450000	56.278	119.3164
1.475000	55.983	116.9178
1.500000	55.655	114.3729
1.525000	55.296	111.6963
1.550000	54.912	108.8918
1.575000	54.511	105.9630
1.600000	54.100	102.9138
1.625000	53.687	99.7478
1.650000	53.279	96.4688
1.675000	52.884	93.0804
1.700000	52.509	89.5865
1.725000	52.162	85.9907
1.750000	51.849	82.2968
1.775000	51.579	78.5085
1.800000	51.359	74.6295
1.825000	51.196	70.6635
1.850000	51.092	66.5314
1.875000	51.034	62.0676
1.900000	51.019	57.3214
1.925000	51.042	52.3509
1.950000	51.099	47.2144
1.975000	51.187	41.9701
2.000000	51.302	36.6762
2.030000	51.470	30.3401
2.060000	51.664	24.1171
2.090000	51.879	18.1077
2.120000	52.107	12.4126
2.140000	52.263	8.8401
2.180000	52.576	2.3676
2.200000	52.730	-0.4740
2.240000	53.076	-5.5476
2.270000	53.377	-8.9302
2.300000	53.706	-11.9899
2.330000	54.056	-14.7621
2.360000	54.421	-17.2823
2.400000	54.917	-20.3118
2.430000	55.287	-22.3817
2.470000	55.767	-24.9394
2.500000	56.107	-26.7519
2.540000	56.520	-29.0949
2.580000	56.876	-31.3989
2.620000	57.198	-33.4541
2.650000	57.423	-34.8137
2.690000	57.703	-36.4133
2.720000	57.900	-37.4732
2.760000	58.147	-38.7291
2.800000	58.380	-39.8389
2.850000	58.655	-41.0762
2.900000	58.919	-42.2136
2.950000	59.176	-43.3016
3.000000	59.408	-44.2125
3.040000	59.576	-44.8030
3.070000	59.695	-45.1749
3.110000	59.845	-45.5877
3.150000	59.990	-45.9192
3.200000	60.167	-46.2416
3.250000	60.346	-46.4883
3.300000	60.533	-46.6877
3.350000	60.721	-46.7820
3.400000	60.904	-46.7401
3.450000	61.085	-46.5957
3.500000	61.267	-46.3822
3.550000	61.451	-46.1331
3.600000	61.641	-45.8820
3.650000	61.838	-45.6623
3.700000	62.046	-45.4683
3.750000	62.262	-45.2332
3.820000	62.573	-44.8695
3.870000	62.801	-44.6144
3.950000	63.168	-44.2737
4.000000	63.397	-44.1365
4.060000	63.671	-44.0737
4.120000	63.950	-44.0836
4.180000	64.233	-44.1572
4.250000	64.561	-44.3217
4.310000	64.837	-44.5285
4.370000	65.103	-44.7944
4.440000	65.400	-45.1873
4.500000	65.648	-45.6112
4.550000	65.850	-46.0148
4.620000	66.123	-46.6363
4.680000	66.348	-47.2028
4.750000	66.596	-47.8787
4.820000	66.829	-48.5772
4.870000	66.986	-49.1104
4.940000	67.195	-49.8878
5.000000	67.365	-50.5663
5.080000	67.579	-51.4612
5.150000	67.756	-52.2128
5.220000	67.921	-52.9582
5.300000	68.094	-53.8050
5.380000	68.256	-54.6317
5.450000	68.392	-55.3267
5.520000	68.526	-55.9854
5.600000	68.669	-56.6980
5.700000	68.838	-57.5406
5.800000	69.003	-58.3419
5.900000	69.169	-59.1107
6.000000	69.334	-59.8261
6.080000	69.464	-60.3752
6.150000	69.579	-60.8537
6.220000	69.695	-61.3428
6.300000	69.830	-61.9097
6.400000	70.001	-62.6152
6.500000	70.172	-63.3380
6.600000	70.342	-64.1001
6.700000	70.511	-64.9057
6.800000	70.680	-65.7446
6.900000	70.845	-66.6127
7.000000	71.003	-67.5080
7.100000	71.157	-68.4414
7.200000	71.306	-69.3984
7.300000	71.448	-70.3591
7.400000	71.584	-71.3165
7.500000	71.713	-72.2838
7.620000	71.860	-73.4351
7.750000	72.014	-74.6429
7.880000	72.159	-75.8188
8.000000	72.290	-76.8744
8.120000	72.420	-77.8949
8.250000	72.559	-78.9589
8.380000	72.697	-79.9969
8.500000	72.827	-80.9423
8.620000	72.958	-81.8679
8.750000	73.100	-82.8656
8.850000	73.209	-83.6399
9.000000	73.374	-84.8038
9.120000	73.504	-85.7389
9.250000	73.641	-86.7607
9.380000	73.775	-87.7903
9.500000	73.894	-88.7351
9.620000	74.010	-89.6711
9.750000	74.132	-90.6788
9.880000	74.240	-91.6630
10.000000	74.323	-92.5448
10.150000	74.409	-93.6164
10.300000	74.487	-94.6449
10.440000	74.551	-95.5629
10.600000	74.620	-96.5735
10.750000	74.686	-97.4874
10.900000	74.750	-98.3707
11.060000	74.818	-99.2988
11.200000	74.877	-100.0963
11.380000	74.950	-101.1123
11.500000	74.996	-101.7874
11.720000	75.076	-103.0139
11.800000	75.103	-103.4563
12.060000	75.180	-104.8767
12.200000	75.215	-105.6226
12.410000	75.262	-106.7166
12.500000	75.287	-107.1739
12.650000	75.335	-107.9207
12.800000	75.384	-108.6512
13.150000	75.489	-110.2977
13.200000	75.503	-110.5285
13.400000	75.557	-111.4406
13.600000	75.607	-112.3417
13.800000	75.654	-113.2347
14.000000	75.696	-114.1199
14.300000	75.753	-115.4326
14.500000	75.787	-116.2959
14.750000	75.825	-117.3625
15.000000	75.860	-118.4157
15.250000	75.892	-119.4589
15.500000	75.921	-120.4931
15.750000	75.947	-121.5179
16.000000	75.973	-122.5313
16.250000	76.003	-123.5303
16.500000	76.035	-124.5142
16.750000	76.065	-125.4833
17.000000	76.095	-126.4407
17.250000	76.124	-127.3871
17.500000	76.151	-128.3232
17.750000	76.176	-129.2428
18.000000	76.199	-130.1404
18.250000	76.220	-131.0099
18.500000	76.240	-131.8465
18.750000	76.260	-132.6541
19.000000	76.281	-133.4362
19.250000	76.302	-134.2045
19.500000	76.324	-134.9638
19.750000	76.344	-135.7174
20.000000	76.361	-136.4620
20.299999	76.379	-137.3316
20.600000	76.393	-138.1647
20.900000	76.405	-138.9557
21.200001	76.417	-139.7113
21.400000	76.427	-140.2067
21.799999	76.446	-141.1996
22.000000	76.456	-141.7051
22.400000	76.469	-142.7366
22.700001	76.471	-143.5125
23.000000	76.468	-144.2687
23.299999	76.461	-144.9914
23.600000	76.453	-145.6786
24.000000	76.445	-146.5514
24.299999	76.441	-147.1907
24.700001	76.440	-148.0432
25.000000	76.440	-148.6879
25.400000	76.439	-149.5480
25.799999	76.435	-150.3910
26.200001	76.430	-151.2004
26.500000	76.427	-151.7822
26.900000	76.425	-152.5293
27.200001	76.425	-153.0767
27.600000	76.429	-153.8016
28.000000	76.433	-154.5302
28.500000	76.434	-155.4467
29.000000	76.430	-156.3537
29.500000	76.419	-157.2314
30.000000	76.403	-158.0681
30.400000	76.389	-158.7098
30.700001	76.378	-159.1787
31.100000	76.363	-159.7925
31.500000	76.347	-160.3951
32.000000	76.327	-161.1291
32.500000	76.308	-161.8413
33.000000	76.291	-162.5472
33.500000	76.276	-163.2653
34.000000	76.258	-163.9881
34.500000	76.237	-164.6817
35.000000	76.216	-165.3274
35.500000	76.201	-165.9483
36.000000	76.188	-166.5795
36.500000	76.174	-167.2208
37.000000	76.155	-167.8404
37.500000	76.135	-168.4249
38.200001	76.110	-169.2233
38.700001	76.090	-169.7935
39.500000	76.054	-170.6510
40.000000	76.036	-171.1610
40.599998	76.018	-171.8026
41.200001	75.994	-172.4719
