* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 11, 2024 2:17:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L SIMGOT EA1000 BLACK Jan 11
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 147.839 -119.6405
20.600000 147.901 -120.5754
20.900000 147.955 -121.4165
21.200001 148.008 -122.2545
21.400000 148.044 -122.8164
21.799999 148.116 -123.9457
22.000000 148.151 -124.5093
22.400000 148.220 -125.6198
22.700001 148.269 -126.4263
23.000000 148.317 -127.2043
23.299999 148.363 -127.9567
23.600000 148.408 -128.6900
24.000000 148.464 -129.6499
24.299999 148.504 -130.3633
24.700001 148.554 -131.3079
25.000000 148.590 -132.0085
25.400000 148.635 -132.9263
25.799999 148.678 -133.8196
26.200001 148.721 -134.6852
26.500000 148.751 -135.3162
26.900000 148.790 -136.1356
27.200001 148.817 -136.7372
27.600000 148.851 -137.5282
28.000000 148.881 -138.3129
28.500000 148.915 -139.2865
29.000000 148.945 -140.2431
29.500000 148.975 -141.1717
30.000000 149.006 -142.0720
30.400000 149.032 -142.7769
30.700001 149.051 -143.2980
31.100000 149.074 -143.9810
31.500000 149.093 -144.6473
32.000000 149.114 -145.4577
32.500000 149.133 -146.2535
33.000000 149.150 -147.0460
33.500000 149.166 -147.8322
34.000000 149.182 -148.5984
34.500000 149.197 -149.3376
35.000000 149.211 -150.0560
35.500000 149.223 -150.7632
36.000000 149.232 -151.4603
36.500000 149.239 -152.1435
37.000000 149.245 -152.8119
37.500000 149.253 -153.4685
38.200001 149.263 -154.3651
38.700001 149.268 -154.9825
39.500000 149.274 -155.9358
40.000000 149.277 -156.5249
40.599998 149.278 -157.2308
41.200001 149.277 -157.9234
41.799999 149.276 -158.5905
42.500000 149.276 -159.3434
43.099998 149.275 -159.9843
43.700001 149.270 -160.6238
44.400002 149.262 -161.3495
45.000000 149.256 -161.9445
45.500000 149.253 -162.4285
46.200001 149.247 -163.0981
46.799999 149.240 -163.6578
47.500000 149.230 -164.2892
48.200001 149.220 -164.9181
48.700001 149.212 -165.3700
49.400002 149.199 -165.9841
50.000000 149.188 -166.4811
50.799999 149.175 -167.1280
51.500000 149.162 -167.6959
52.200001 149.147 -168.2487
53.000000 149.129 -168.8605
53.799999 149.112 -169.4711
54.500000 149.095 -169.9928
55.200001 149.078 -170.4917
56.000000 149.059 -171.0503
57.000000 149.034 -171.7412
58.000000 149.009 -172.4135
59.000000 148.984 -173.0654
60.000000 148.958 -173.6875
60.799999 148.937 -174.1842
61.500000 148.916 -174.6166
62.200001 148.894 -175.0324
63.000000 148.870 -175.4920
64.000000 148.842 -176.0611
65.000000 148.813 -176.6164
66.000000 148.783 -177.1457
67.000000 148.753 -177.6586
68.000000 148.721 -178.1642
69.000000 148.689 -178.6487
70.000000 148.657 -179.1445
71.000000 148.621 -179.6154
72.000000 148.591 179.9430
73.000000 148.561 179.4755
74.000000 148.526 179.0378
75.000000 148.494 178.6161
76.199997 148.454 178.1183
77.500000 148.411 177.6050
78.800003 148.365 177.1042
80.000000 148.326 176.6580
81.199997 148.284 176.2147
82.500000 148.240 175.7717
83.800003 148.196 175.3269
85.000000 148.154 174.9476
86.199997 148.114 174.5520
87.500000 148.066 174.1362
88.500000 148.033 173.8448
90.000000 147.982 173.3984
91.199997 147.941 173.0525
92.500000 147.896 172.6898
93.800003 147.851 172.3545
95.000000 147.810 172.0443
96.199997 147.769 171.7326
97.500000 147.724 171.4198
98.800003 147.680 171.1257
100.000000 147.638 170.8461
101.500000 147.588 170.5233
103.000000 147.536 170.2112
104.400002 147.489 169.9217
106.000000 147.436 169.6112
107.500000 147.385 169.3263
109.000000 147.335 169.0474
110.599998 147.281 168.7708
112.000000 147.235 168.5304
113.800003 147.178 168.2444
115.000000 147.141 168.0532
117.199997 147.070 167.7217
118.000000 147.043 167.6129
120.599998 146.958 167.2450
122.000000 146.917 167.0662
124.099998 146.849 166.8082
125.000000 146.821 166.7123
126.500000 146.774 166.5505
128.000000 146.726 166.3779
131.500000 146.618 166.0283
132.000000 146.604 165.9830
134.000000 146.543 165.8120
136.000000 146.483 165.6180
138.000000 146.422 165.4636
140.000000 146.365 165.2997
143.000000 146.275 165.1150
145.000000 146.220 164.9785
147.500000 146.149 164.8253
150.000000 146.080 164.7060
152.500000 146.011 164.5775
155.000000 145.944 164.4700
157.500000 145.877 164.3748
160.000000 145.813 164.2963
162.500000 145.745 164.2173
165.000000 145.680 164.1505
167.500000 145.618 164.0931
170.000000 145.556 164.0524
172.500000 145.492 164.0213
175.000000 145.433 164.0008
177.500000 145.373 163.9822
180.000000 145.313 163.9544
182.500000 145.255 163.9704
185.000000 145.196 163.9603
187.500000 145.137 163.9769
190.000000 145.084 163.9843
192.500000 145.028 164.0107
195.000000 144.975 164.0428
197.500000 144.923 164.0932
200.000000 144.870 164.1215
203.000000 144.808 164.1914
206.000000 144.745 164.2461
209.000000 144.688 164.3207
212.000000 144.627 164.4022
214.000000 144.590 164.4677
218.000000 144.514 164.5805
220.000000 144.477 164.6430
224.000000 144.403 164.7854
227.000000 144.353 164.9019
230.000000 144.299 165.0007
233.000000 144.246 165.1243
236.000000 144.193 165.2464
240.000000 144.130 165.4111
243.000000 144.081 165.5402
247.000000 144.018 165.7271
250.000000 143.971 165.8530
254.000000 143.909 166.0787
258.000000 143.851 166.2717
262.000000 143.789 166.4543
265.000000 143.746 166.6323
269.000000 143.688 166.8457
272.000000 143.650 167.0195
276.000000 143.594 167.2300
280.000000 143.543 167.4420
285.000000 143.480 167.7531
290.000000 143.418 168.0274
295.000000 143.357 168.3469
300.000000 143.299 168.6100
304.000000 143.254 168.8747
307.000000 143.223 169.0613
311.000000 143.178 169.2936
315.000000 143.135 169.5538
320.000000 143.084 169.8986
325.000000 143.032 170.1973
330.000000 142.984 170.5242
335.000000 142.935 170.8399
340.000000 142.886 171.1904
345.000000 142.843 171.5233
350.000000 142.802 171.8579
355.000000 142.757 172.1888
360.000000 142.711 172.5092
365.000000 142.674 172.8076
370.000000 142.640 173.1680
375.000000 142.603 173.5416
382.000000 142.548 174.0138
387.000000 142.513 174.3546
395.000000 142.459 174.9150
400.000000 142.427 175.2599
406.000000 142.388 175.6848
412.000000 142.352 176.0948
418.000000 142.319 176.4998
425.000000 142.278 177.0033
431.000000 142.247 177.4262
437.000000 142.216 177.8284
444.000000 142.181 178.3398
450.000000 142.152 178.7636
455.000000 142.128 179.1138
462.000000 142.099 179.6190
468.000000 142.075 -179.9613
475.000000 142.042 -179.4811
482.000000 142.018 -178.9671
487.000000 141.999 -178.6278
494.000000 141.973 -178.1015
500.000000 141.952 -177.6912
508.000000 141.931 -177.1065
515.000000 141.907 -176.6218
522.000000 141.889 -176.1275
530.000000 141.867 -175.5353
538.000000 141.849 -174.9631
545.000000 141.833 -174.4556
552.000000 141.820 -173.9544
560.000000 141.802 -173.3801
570.000000 141.784 -172.6407
580.000000 141.775 -171.9257
590.000000 141.759 -171.1953
600.000000 141.751 -170.4585
608.000000 141.745 -169.8796
615.000000 141.741 -169.3783
622.000000 141.740 -168.8685
630.000000 141.740 -168.2924
640.000000 141.740 -167.5852
650.000000 141.744 -166.8637
660.000000 141.749 -166.1446
670.000000 141.756 -165.4235
680.000000 141.767 -164.7088
690.000000 141.782 -163.9976
700.000000 141.797 -163.2936
710.000000 141.815 -162.5849
720.000000 141.833 -161.8896
730.000000 141.853 -161.1802
740.000000 141.875 -160.4851
750.000000 141.900 -159.7936
762.000000 141.935 -158.9603
775.000000 141.976 -158.0608
788.000000 142.022 -157.1503
800.000000 142.069 -156.3425
812.000000 142.121 -155.5264
825.000000 142.185 -154.6558
838.000000 142.254 -153.7874
850.000000 142.325 -153.0213
862.000000 142.403 -152.2856
875.000000 142.501 -151.5120
885.000000 142.583 -150.9506
900.000000 142.729 -150.2574
912.000000 142.866 -149.8734
925.000000 143.047 -150.1088
938.000000 143.209 -150.5401
950.000000 143.111 -155.3551
962.000000 142.130 -151.9580
975.000000 142.328 -147.1510
988.000000 142.637 -145.3032
1000.000000 142.851 -144.3746
1015.000000 143.049 -143.5027
1030.000000 143.209 -142.8135
1044.000000 143.350 -142.2888
1060.000000 143.506 -141.6933
1075.000000 143.647 -141.2117
1090.000000 143.779 -140.7663
1106.000000 143.921 -140.3141
1120.000000 144.041 -139.9741
1138.000000 144.191 -139.5768
1150.000000 144.291 -139.3480
1172.000000 144.472 -138.9719
1180.000000 144.538 -138.8878
1206.000000 144.708 -138.8670
1220.000000 144.756 -138.6517
1241.000000 144.880 -138.0748
1250.000000 144.947 -137.8825
1265.000000 145.046 -137.6495
1280.000000 145.144 -137.4170
1315.000000 145.366 -136.9339
1320.000000 145.396 -136.8774
1340.000000 145.513 -136.6342
1360.000000 145.632 -136.4087
1380.000000 145.754 -136.1545
1400.000000 145.863 -135.9149
1430.000000 146.033 -135.5959
1450.000000 146.148 -135.4057
1475.000000 146.285 -135.1329
1500.000000 146.431 -134.8840
1525.000000 146.568 -134.6481
1550.000000 146.710 -134.3959
1575.000000 146.852 -134.1777
1600.000000 146.993 -133.9366
1625.000000 147.140 -133.7852
1650.000000 147.287 -133.5741
1675.000000 147.436 -133.4391
1700.000000 147.588 -133.2800
1725.000000 147.736 -133.1602
1750.000000 147.892 -133.0563
1775.000000 148.047 -132.9850
1800.000000 148.207 -132.9377
1825.000000 148.366 -132.9307
1850.000000 148.523 -132.9028
1875.000000 148.693 -133.0249
1900.000000 148.851 -133.0683
1925.000000 149.019 -133.2131
1950.000000 149.192 -133.4055
1975.000000 149.363 -133.5926
2000.000000 149.535 -133.9093
2030.000000 149.741 -134.2990
2060.000000 149.944 -134.7738
2090.000000 150.162 -135.4008
2120.000000 150.367 -136.1748
2140.000000 150.501 -136.7335
2180.000000 150.750 -138.1049
2200.000000 150.858 -138.8452
2240.000000 151.045 -140.4417
2270.000000 151.164 -141.7665
2300.000000 151.272 -143.1354
2330.000000 151.356 -144.5924
2360.000000 151.425 -146.0610
2400.000000 151.489 -148.0804
2430.000000 151.526 -149.5682
2470.000000 151.560 -151.5624
2500.000000 151.577 -153.1172
2540.000000 151.590 -155.0963
2580.000000 151.593 -157.0772
2620.000000 151.585 -159.0274
2650.000000 151.573 -160.4475
2690.000000 151.552 -162.2364
2720.000000 151.528 -163.5619
2760.000000 151.484 -165.2303
2800.000000 151.436 -166.7637
2850.000000 151.370 -168.5745
2900.000000 151.283 -170.1833
2950.000000 151.178 -171.6091
3000.000000 151.040 -172.8415
3040.000000 150.916 -173.7096
3070.000000 150.828 -174.2554
3110.000000 150.699 -174.9638
3150.000000 150.571 -175.5600
3200.000000 150.413 -176.1964
3250.000000 150.260 -176.7133
3300.000000 150.109 -177.0910
3350.000000 149.967 -177.4119
3400.000000 149.833 -177.6231
3450.000000 149.709 -177.7121
3500.000000 149.600 -177.8008
3550.000000 149.481 -177.7947
3600.000000 149.382 -177.7096
3650.000000 149.295 -177.6114
3700.000000 149.217 -177.4711
3750.000000 149.145 -177.2575
3820.000000 149.065 -176.9775
3870.000000 149.011 -176.7616
3950.000000 148.958 -176.3346
4000.000000 148.935 -176.0394
4060.000000 148.919 -175.7890
4120.000000 148.911 -175.4909
4180.000000 148.920 -175.2162
4250.000000 148.941 -174.9060
4310.000000 148.969 -174.7542
4370.000000 149.007 -174.6024
4440.000000 149.064 -174.5077
4500.000000 149.119 -174.4982
4550.000000 149.173 -174.5686
4620.000000 149.252 -174.7216
4680.000000 149.322 -174.9549
4750.000000 149.405 -175.3612
4820.000000 149.491 -175.8909
4870.000000 149.547 -176.3551
4940.000000 149.624 -177.1137
5000.000000 149.677 -177.8790
5080.000000 149.737 -179.0199
5150.000000 149.774 179.8407
5220.000000 149.789 178.6151
5300.000000 149.777 177.1055
5380.000000 149.733 175.5706
5450.000000 149.667 174.2114
5520.000000 149.573 172.8912
