* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 11, 2024 2:15:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R SIMGOT EA1000 BLACK Jan 11
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 147.453 -118.9957
20.600000 147.516 -119.9314
20.900000 147.571 -120.7680
21.200001 147.627 -121.5957
21.400000 147.665 -122.1492
21.799999 147.742 -123.2634
22.000000 147.780 -123.8221
22.400000 147.853 -124.9293
22.700001 147.904 -125.7351
23.000000 147.951 -126.5078
23.299999 147.996 -127.2469
23.600000 148.040 -127.9599
24.000000 148.098 -128.8894
24.299999 148.141 -129.5863
24.700001 148.197 -130.5253
25.000000 148.236 -131.2327
25.400000 148.283 -132.1639
25.799999 148.325 -133.0596
26.200001 148.364 -133.9083
26.500000 148.393 -134.5180
26.900000 148.434 -135.3100
27.200001 148.464 -135.9011
27.600000 148.505 -136.6973
28.000000 148.542 -137.5042
28.500000 148.583 -138.5092
29.000000 148.617 -139.4771
29.500000 148.647 -140.3893
30.000000 148.678 -141.2545
30.400000 148.703 -141.9303
30.700001 148.721 -142.4350
31.100000 148.744 -143.1080
31.500000 148.764 -143.7782
32.000000 148.788 -144.6022
32.500000 148.811 -145.4050
33.000000 148.834 -146.1893
33.500000 148.855 -146.9579
34.000000 148.873 -147.7055
34.500000 148.887 -148.4230
35.000000 148.900 -149.1128
35.500000 148.915 -149.7951
36.000000 148.929 -150.4920
36.500000 148.942 -151.2052
37.000000 148.951 -151.9115
37.500000 148.957 -152.5852
38.200001 148.965 -153.4658
38.700001 148.973 -154.0700
39.500000 148.982 -155.0217
40.000000 148.986 -155.6029
40.599998 148.990 -156.2860
41.200001 148.993 -156.9607
41.799999 148.995 -157.6263
42.500000 148.996 -158.3844
43.099998 148.997 -159.0237
43.700001 148.997 -159.6546
44.400002 148.995 -160.3667
45.000000 148.992 -160.9540
45.500000 148.989 -161.4375
46.200001 148.983 -162.1115
46.799999 148.976 -162.6781
47.500000 148.968 -163.3221
48.200001 148.962 -163.9517
48.700001 148.956 -164.3903
49.400002 148.947 -164.9879
50.000000 148.937 -165.4896
50.799999 148.925 -166.1448
51.500000 148.916 -166.7096
52.200001 148.905 -167.2627
53.000000 148.887 -167.8548
53.799999 148.872 -168.4587
54.500000 148.856 -169.0515
55.200001 148.831 -169.6075
56.000000 148.812 -170.0994
57.000000 148.807 -170.7168
58.000000 148.784 -171.4070
59.000000 148.755 -172.0360
60.000000 148.734 -172.6775
60.799999 148.716 -173.1742
61.500000 148.698 -173.5939
62.200001 148.678 -174.0103
63.000000 148.656 -174.4793
64.000000 148.630 -175.0518
65.000000 148.604 -175.6006
66.000000 148.577 -176.1426
67.000000 148.548 -176.6575
68.000000 148.522 -177.1585
69.000000 148.492 -177.6612
70.000000 148.462 -178.1348
71.000000 148.432 -178.6084
72.000000 148.401 -179.0700
73.000000 148.371 -179.5167
74.000000 148.341 -179.9667
75.000000 148.308 179.6125
76.199997 148.271 179.1225
77.500000 148.230 178.5921
78.800003 148.191 178.0981
80.000000 148.153 177.6331
81.199997 148.113 177.2025
82.500000 148.073 176.7580
83.800003 148.030 176.3002
85.000000 147.988 175.8994
86.199997 147.952 175.5104
87.500000 147.910 175.1039
88.500000 147.877 174.8021
90.000000 147.827 174.3504
91.199997 147.789 173.9991
92.500000 147.745 173.6472
93.800003 147.703 173.2937
95.000000 147.664 172.9825
96.199997 147.624 172.6774
97.500000 147.581 172.3523
98.800003 147.539 172.0428
100.000000 147.499 171.7697
101.500000 147.452 171.4211
103.000000 147.404 171.1009
104.400002 147.359 170.8110
106.000000 147.306 170.4867
107.500000 147.258 170.1958
109.000000 147.211 169.9194
110.599998 147.157 169.6329
112.000000 147.114 169.3964
113.800003 147.059 169.0906
115.000000 147.020 168.9031
117.199997 146.951 168.5608
118.000000 146.927 168.4397
120.599998 146.848 168.0948
122.000000 146.803 167.8849
124.099998 146.738 167.6282
125.000000 146.711 167.5142
126.500000 146.665 167.3319
128.000000 146.619 167.1695
131.500000 146.516 166.7931
132.000000 146.501 166.7471
134.000000 146.443 166.5467
136.000000 146.385 166.3693
138.000000 146.325 166.2005
140.000000 146.267 166.0472
143.000000 146.183 165.8248
145.000000 146.128 165.6730
147.500000 146.061 165.5067
150.000000 145.992 165.3783
152.500000 145.925 165.2317
155.000000 145.859 165.1197
157.500000 145.791 165.0232
160.000000 145.728 164.9067
162.500000 145.661 164.8429
165.000000 145.600 164.7693
167.500000 145.538 164.6909
170.000000 145.476 164.6429
172.500000 145.416 164.5937
175.000000 145.357 164.5532
177.500000 145.297 164.5194
180.000000 145.239 164.5103
182.500000 145.182 164.4911
185.000000 145.126 164.4791
187.500000 145.070 164.4753
190.000000 145.018 164.4968
192.500000 144.961 164.5134
195.000000 144.909 164.5334
197.500000 144.854 164.5706
200.000000 144.803 164.5879
203.000000 144.742 164.6369
206.000000 144.681 164.7005
209.000000 144.621 164.7486
212.000000 144.565 164.8285
214.000000 144.526 164.8698
218.000000 144.451 164.9709
220.000000 144.414 165.0275
224.000000 144.340 165.1664
227.000000 144.290 165.2551
230.000000 144.236 165.3647
233.000000 144.184 165.4772
236.000000 144.135 165.5880
240.000000 144.069 165.7406
243.000000 144.020 165.8499
247.000000 143.956 166.0343
250.000000 143.910 166.1549
254.000000 143.850 166.3592
258.000000 143.786 166.5356
262.000000 143.729 166.7319
265.000000 143.687 166.8890
269.000000 143.631 167.0858
272.000000 143.588 167.2379
276.000000 143.536 167.4469
280.000000 143.484 167.6699
285.000000 143.419 167.9519
290.000000 143.359 168.2117
295.000000 143.297 168.5078
300.000000 143.241 168.7924
304.000000 143.195 169.0356
307.000000 143.161 169.2068
311.000000 143.117 169.4571
315.000000 143.074 169.6974
320.000000 143.021 170.0062
325.000000 142.972 170.3172
330.000000 142.923 170.6290
335.000000 142.876 170.9491
340.000000 142.828 171.2677
345.000000 142.781 171.5860
350.000000 142.740 171.9131
355.000000 142.696 172.2451
360.000000 142.659 172.5732
365.000000 142.618 172.8994
370.000000 142.576 173.2323
375.000000 142.536 173.5848
382.000000 142.487 174.0153
387.000000 142.453 174.3561
395.000000 142.399 174.9114
400.000000 142.364 175.2282
406.000000 142.326 175.6255
412.000000 142.290 176.0446
418.000000 142.256 176.4554
425.000000 142.216 176.9317
431.000000 142.182 177.3640
437.000000 142.151 177.7493
444.000000 142.113 178.2393
450.000000 142.087 178.6452
455.000000 142.062 178.9997
462.000000 142.028 179.4662
468.000000 142.004 179.8917
475.000000 141.972 -179.6203
482.000000 141.945 -179.1402
487.000000 141.924 -178.7978
494.000000 141.899 -178.3070
500.000000 141.875 -177.8867
508.000000 141.848 -177.3358
515.000000 141.825 -176.8411
522.000000 141.806 -176.3215
530.000000 141.778 -175.8265
538.000000 141.767 -175.2188
545.000000 141.744 -174.7815
552.000000 141.727 -174.2507
560.000000 141.710 -173.7098
570.000000 141.689 -172.9958
580.000000 141.671 -172.2936
590.000000 141.655 -171.5893
600.000000 141.640 -170.8887
608.000000 141.633 -170.3054
615.000000 141.624 -169.8266
622.000000 141.618 -169.3185
630.000000 141.613 -168.7536
640.000000 141.604 -168.0135
650.000000 141.601 -167.3361
660.000000 141.599 -166.5900
670.000000 141.599 -165.8874
680.000000 141.604 -165.1562
690.000000 141.605 -164.4440
700.000000 141.613 -163.7005
710.000000 141.625 -162.9577
720.000000 141.637 -162.2705
730.000000 141.651 -161.5416
740.000000 141.669 -160.7938
750.000000 141.687 -160.0911
762.000000 141.715 -159.2063
775.000000 141.746 -158.2708
788.000000 141.783 -157.3228
800.000000 141.822 -156.4741
812.000000 141.864 -155.6146
825.000000 141.914 -154.6955
838.000000 141.966 -153.7989
850.000000 142.021 -152.9669
862.000000 142.079 -152.1723
875.000000 142.149 -151.2940
885.000000 142.200 -150.6285
900.000000 142.288 -149.7013
912.000000 142.359 -148.9630
925.000000 142.441 -148.1835
938.000000 142.523 -147.4354
950.000000 142.598 -146.7767
962.000000 142.669 -146.1198
975.000000 142.741 -145.4079
988.000000 142.802 -144.5609
1000.000000 142.853 -143.3929
1015.000000 143.152 -141.7908
1030.000000 143.376 -141.9760
1044.000000 143.489 -141.8407
1060.000000 143.608 -141.5088
1075.000000 143.727 -141.1557
1090.000000 143.850 -140.7878
1106.000000 143.987 -140.4895
1120.000000 144.110 -140.2325
1138.000000 144.301 -140.8168
1150.000000 144.202 -141.5054
1172.000000 144.216 -139.1592
1180.000000 144.313 -138.8334
1206.000000 144.559 -138.2513
1220.000000 144.669 -137.9829
1241.000000 144.812 -137.6726
1250.000000 144.877 -137.5916
1265.000000 144.976 -137.4031
1280.000000 145.075 -137.1729
1315.000000 145.289 -136.7906
1320.000000 145.322 -136.7443
1340.000000 145.442 -136.5024
1360.000000 145.556 -136.2841
1380.000000 145.671 -136.0738
1400.000000 145.785 -135.8612
1430.000000 145.954 -135.5728
1450.000000 146.061 -135.3287
1475.000000 146.201 -135.0906
1500.000000 146.346 -134.8387
1525.000000 146.484 -134.6246
1550.000000 146.624 -134.4232
1575.000000 146.760 -134.1807
1600.000000 146.895 -134.0040
1625.000000 147.042 -133.8194
1650.000000 147.192 -133.6864
1675.000000 147.336 -133.5443
1700.000000 147.484 -133.4000
1725.000000 147.635 -133.3454
1750.000000 147.782 -133.2704
1775.000000 147.943 -133.2238
1800.000000 148.095 -133.2344
1825.000000 148.247 -133.2683
1850.000000 148.399 -133.3280
1875.000000 148.558 -133.4435
1900.000000 148.715 -133.5995
1925.000000 148.872 -133.7621
1950.000000 149.028 -133.9848
1975.000000 149.180 -134.2536
2000.000000 149.340 -134.6087
2030.000000 149.526 -135.0315
2060.000000 149.707 -135.5878
2090.000000 149.888 -136.2116
2120.000000 150.072 -136.8717
2140.000000 150.184 -137.3941
2180.000000 150.407 -138.4883
2200.000000 150.510 -139.1153
2240.000000 150.699 -140.4207
2270.000000 150.818 -141.4560
2300.000000 150.929 -142.6223
2330.000000 151.028 -143.8074
2360.000000 151.109 -145.1061
2400.000000 151.194 -146.8133
2430.000000 151.240 -148.1815
2470.000000 151.287 -150.0591
2500.000000 151.319 -151.4688
2540.000000 151.340 -153.3863
2580.000000 151.351 -155.3296
2620.000000 151.357 -157.2289
2650.000000 151.347 -158.6120
2690.000000 151.333 -160.4146
2720.000000 151.313 -161.7704
2760.000000 151.277 -163.4081
2800.000000 151.237 -164.9570
2850.000000 151.172 -166.7557
2900.000000 151.095 -168.4401
2950.000000 150.997 -169.8622
3000.000000 150.879 -171.1049
3040.000000 150.771 -172.0017
3070.000000 150.685 -172.6301
3110.000000 150.574 -173.3274
3150.000000 150.448 -173.8853
3200.000000 150.292 -174.5518
3250.000000 150.147 -175.0617
3300.000000 149.994 -175.4333
3350.000000 149.862 -175.7808
3400.000000 149.728 -175.9981
3450.000000 149.602 -176.0863
3500.000000 149.486 -176.1184
3550.000000 149.381 -176.1015
3600.000000 149.277 -176.0042
3650.000000 149.190 -175.8859
3700.000000 149.114 -175.7180
3750.000000 149.034 -175.4994
3820.000000 148.954 -175.1411
3870.000000 148.908 -174.8227
3950.000000 148.859 -174.3209
4000.000000 148.836 -173.9920
4060.000000 148.824 -173.6141
4120.000000 148.822 -173.2513
4180.000000 148.831 -172.9149
4250.000000 148.868 -172.5424
4310.000000 148.905 -172.2888
4370.000000 148.956 -172.0668
4440.000000 149.025 -171.8839
4500.000000 149.097 -171.7968
4550.000000 149.159 -171.8043
4620.000000 149.257 -171.8932
4680.000000 149.349 -172.0718
4750.000000 149.457 -172.4207
4820.000000 149.564 -172.8977
4870.000000 149.640 -173.3356
4940.000000 149.744 -174.1118
5000.000000 149.824 -174.9026
5080.000000 149.919 -176.1430
5150.000000 149.983 -177.3611
5220.000000 150.024 -178.6980
5300.000000 150.044 179.6186
5380.000000 150.022 177.8786
5450.000000 149.972 176.3193
5520.000000 149.893 174.7881
