* Measurement data measured by REW V5.30 beta 4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.660. Timing signal peak level -11.0 dBFS, measurement signal peak level -10.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 15, 2023 2:16:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0195 ms (-6.7 mm, -0.26 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset
* Measurement: L EA1000 RED FOAM Dec 15
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 129.172 104.5153
1.015000 129.020 103.1784
1.030000 128.864 101.8191
1.044000 128.716 100.5288
1.060000 128.543 99.0271
1.075000 128.378 97.5913
1.090000 128.209 96.1270
1.106000 128.025 94.5365
1.120000 127.859 93.1442
1.138000 127.637 91.3568
1.150000 127.484 90.1645
1.172000 127.196 87.9709
1.180000 127.089 87.1693
1.206000 126.732 84.5418
1.220000 126.535 83.1088
1.241000 126.236 80.9285
1.250000 126.106 79.9810
1.265000 125.888 78.3819
1.280000 125.669 76.7551
1.315000 125.154 72.8342
1.320000 125.081 72.2581
1.340000 124.787 69.9092
1.360000 124.495 67.4836
1.380000 124.206 64.9739
1.400000 123.921 62.3727
1.430000 123.504 58.2834
1.450000 123.234 55.4214
1.475000 122.906 51.6716
1.500000 122.571 47.6726
1.525000 122.225 43.4397
1.550000 121.873 39.0052
1.575000 121.520 34.4015
1.600000 121.167 29.6610
1.625000 120.819 24.8158
1.650000 120.480 19.8984
1.675000 120.153 14.9410
1.700000 119.842 9.9760
1.725000 119.550 5.0358
1.750000 119.282 0.1526
1.775000 119.040 -4.6412
1.800000 118.829 -9.3133
1.825000 118.652 -13.8313
1.850000 118.515 -18.2378
1.875000 118.424 -22.6847
1.900000 118.373 -27.1590
1.925000 118.356 -31.6404
1.950000 118.366 -36.1084
1.975000 118.398 -40.5426
2.000000 118.445 -44.9227
2.030000 118.514 -50.0784
2.060000 118.585 -55.0913
2.090000 118.649 -59.9262
2.120000 118.695 -64.5478
2.140000 118.710 -67.4929
2.180000 118.690 -73.0098
2.200000 118.648 -75.5619
2.240000 118.567 -80.4925
2.270000 118.520 -84.0807
2.300000 118.476 -87.5337
2.330000 118.424 -90.8147
2.360000 118.356 -93.8865
2.400000 118.225 -97.5933
2.430000 118.084 -100.0338
2.470000 117.821 -102.7644
2.500000 117.556 -104.3722
2.540000 117.096 -105.8585
2.580000 116.473 -106.5419
2.620000 115.534 -106.6064
2.650000 114.653 -106.2723
2.690000 113.327 -105.3017
2.720000 112.276 -104.1694
2.760000 110.883 -102.1053
2.800000 109.594 -99.3900
2.850000 108.289 -95.0512
2.900000 107.513 -89.6278
2.950000 107.458 -82.8824
3.000000 108.111 -73.3517
3.040000 109.027 -64.1011
3.070000 109.885 -56.5823
3.110000 111.188 -46.2319
3.150000 112.592 -36.0232
3.200000 114.352 -24.3153
3.250000 115.960 -14.7982
3.300000 117.244 -8.5623
3.350000 118.311 -5.6958
3.400000 119.315 -5.3149
3.450000 120.257 -6.7816
3.500000 121.135 -9.4577
3.550000 121.950 -12.7052
3.600000 122.699 -15.8860
3.650000 123.384 -18.3621
3.700000 123.994 -20.0188
3.750000 124.518 -21.7680
3.820000 125.131 -24.3623
3.870000 125.501 -26.2547
3.950000 126.013 -29.2193
4.000000 126.303 -30.9586
4.060000 126.634 -32.8848
4.120000 126.910 -34.7551
4.180000 127.136 -36.5621
4.250000 127.349 -38.5471
4.310000 127.501 -40.1059
4.370000 127.638 -41.4988
4.440000 127.778 -42.8942
4.500000 127.861 -43.9326
4.550000 127.910 -44.6877
4.620000 127.960 -45.5722
4.680000 127.998 -46.1664
4.750000 128.053 -46.6634
4.820000 128.116 -46.9035
4.870000 128.155 -46.8975
4.940000 128.207 -46.7046
5.000000 128.259 -46.4257
5.080000 128.355 -45.9880
5.150000 128.475 -45.6169
5.220000 128.626 -45.1220
5.300000 128.827 -44.4402
5.380000 129.053 -43.7709
5.450000 129.264 -43.3075
5.520000 129.484 -43.0444
5.600000 129.764 -42.8997
5.700000 130.139 -42.9132
5.800000 130.515 -43.1571
5.900000 130.862 -43.6557
6.000000 131.199 -44.4618
6.080000 131.458 -45.2662
6.150000 131.672 -46.0331
6.220000 131.870 -46.8151
6.300000 132.074 -47.7521
6.400000 132.302 -49.0411
6.500000 132.504 -50.3612
6.600000 132.686 -51.6057
6.700000 132.842 -52.7863
6.800000 132.973 -53.9292
6.900000 133.093 -54.9913
7.000000 133.211 -55.9321
7.100000 133.318 -56.7530
7.200000 133.420 -57.4835
7.300000 133.529 -58.1521
7.400000 133.648 -58.7586
7.500000 133.774 -59.2791
7.620000 133.934 -59.8709
7.750000 134.123 -60.5653
7.880000 134.331 -61.2734
8.000000 134.531 -61.9759
8.120000 134.730 -62.7750
8.250000 134.951 -63.7377
8.380000 135.168 -64.7700
8.500000 135.357 -65.7737
8.620000 135.538 -66.8418
8.750000 135.725 -68.0142
8.850000 135.859 -68.8967
9.000000 136.045 -70.2223
9.120000 136.186 -71.2492
9.250000 136.333 -72.2971
9.380000 136.472 -73.2932
9.500000 136.599 -74.1694
9.620000 136.727 -74.9992
9.750000 136.865 -75.8476
9.880000 137.004 -76.6724
10.000000 137.136 -77.4195
10.150000 137.302 -78.3296
10.300000 137.468 -79.2442
10.440000 137.622 -80.1045
10.600000 137.795 -81.0888
10.750000 137.952 -82.0158
10.900000 138.103 -82.9418
11.060000 138.258 -83.9081
11.200000 138.386 -84.7381
11.380000 138.546 -85.7719
11.500000 138.649 -86.4354
11.720000 138.831 -87.6106
11.800000 138.896 -88.0257
12.060000 139.102 -89.3354
12.200000 139.210 -90.0297
12.410000 139.368 -91.0568
12.500000 139.433 -91.4952
12.650000 139.539 -92.2237
12.800000 139.641 -92.9453
13.150000 139.862 -94.5938
13.200000 139.892 -94.8235
13.400000 140.008 -95.7259
13.600000 140.120 -96.6065
13.800000 140.227 -97.4644
14.000000 140.333 -98.3147
14.300000 140.486 -99.5841
14.500000 140.584 -100.4389
14.750000 140.700 -101.5125
15.000000 140.808 -102.5875
15.250000 140.908 -103.6464
15.500000 141.003 -104.6792
15.750000 141.094 -105.6832
16.000000 141.184 -106.6620
16.250000 141.274 -107.6308
16.500000 141.364 -108.5965
16.750000 141.452 -109.5681
17.000000 141.536 -110.5402
17.250000 141.617 -111.5057
17.500000 141.694 -112.4544
17.750000 141.768 -113.3767
18.000000 141.840 -114.2724
18.250000 141.911 -115.1419
18.500000 141.981 -115.9924
18.750000 142.051 -116.8270
19.000000 142.119 -117.6483
19.250000 142.184 -118.4551
19.500000 142.247 -119.2451
19.750000 142.308 -120.0171
20.000000 142.367 -120.7708
20.299999 142.435 -121.6551
20.600000 142.499 -122.5207
20.900000 142.560 -123.3697
21.200001 142.617 -124.2009
21.400000 142.652 -124.7432
21.799999 142.720 -125.8004
22.000000 142.751 -126.3173
22.400000 142.813 -127.3370
22.700001 142.856 -128.0963
23.000000 142.897 -128.8532
23.299999 142.934 -129.6030
23.600000 142.968 -130.3407
24.000000 143.011 -131.3011
24.299999 143.041 -132.0066
24.700001 143.082 -132.9361
25.000000 143.112 -133.6289
25.400000 143.150 -134.5453
25.799999 143.186 -135.4454
26.200001 143.221 -136.3240
26.500000 143.246 -136.9705
26.900000 143.280 -137.8192
27.200001 143.304 -138.4459
27.600000 143.334 -139.2640
28.000000 143.362 -140.0568
28.500000 143.395 -141.0126
29.000000 143.427 -141.9404
29.500000 143.456 -142.8469
30.000000 143.482 -143.7311
30.400000 143.500 -144.4231
30.700001 143.512 -144.9351
31.100000 143.527 -145.6100
31.500000 143.539 -146.2742
32.000000 143.552 -147.0847
32.500000 143.563 -147.8738
33.000000 143.574 -148.6500
33.500000 143.584 -149.4190
34.000000 143.593 -150.1780
34.500000 143.601 -150.9218
35.000000 143.608 -151.6482
35.500000 143.615 -152.3576
36.000000 143.622 -153.0529
36.500000 143.628 -153.7381
37.000000 143.632 -154.4123
37.500000 143.634 -155.0681
38.200001 143.636 -155.9483
38.700001 143.638 -156.5619
39.500000 143.638 -157.5387
40.000000 143.635 -158.1337
40.599998 143.631 -158.8219
41.200001 143.627 -159.4958
41.799999 143.622 -160.1648
42.500000 143.615 -160.9291
43.099998 143.609 -161.5663
43.700001 143.602 -162.1951
44.400002 143.592 -162.9172
45.000000 143.582 -163.5151
45.500000 143.574 -163.9977
46.200001 143.565 -164.6646
46.799999 143.556 -165.2397
47.500000 143.542 -165.9019
48.200001 143.526 -166.5333
48.700001 143.516 -166.9693
49.400002 143.503 -167.5742
50.000000 143.490 -168.0863
50.799999 143.472 -168.7470
51.500000 143.457 -169.3043
52.200001 143.442 -169.8494
53.000000 143.424 -170.4669
53.799999 143.403 -171.0696
54.500000 143.383 -171.5720
55.200001 143.365 -172.0660
56.000000 143.344 -172.6373
57.000000 143.314 -173.3368
58.000000 143.284 -173.9995
59.000000 143.257 -174.6465
60.000000 143.230 -175.3059
60.799999 143.204 -175.8150
61.500000 143.180 -176.2244
62.200001 143.160 -176.6174
63.000000 143.138 -177.0820
64.000000 143.105 -177.6634
65.000000 143.071 -178.1992
66.000000 143.040 -178.7230
67.000000 143.009 -179.2434
68.000000 142.978 -179.7656
69.000000 142.944 179.7329
70.000000 142.910 179.2521
71.000000 142.876 178.7893
72.000000 142.843 178.3438
73.000000 142.810 177.8972
74.000000 142.777 177.4599
75.000000 142.742 177.0319
76.199997 142.700 176.5421
77.500000 142.656 176.0197
78.800003 142.611 175.5253
80.000000 142.571 175.0743
81.199997 142.528 174.6411
82.500000 142.484 174.1923
83.800003 142.439 173.7563
85.000000 142.398 173.3661
86.199997 142.356 172.9825
87.500000 142.310 172.5789
88.500000 142.274 172.2778
90.000000 142.222 171.8373
91.199997 142.180 171.5108
92.500000 142.136 171.1593
93.800003 142.092 170.8271
95.000000 142.051 170.5241
96.199997 142.011 170.2292
97.500000 141.966 169.9174
98.800003 141.923 169.6160
100.000000 141.882 169.3372
101.500000 141.831 169.0100
103.000000 141.780 168.6947
104.400002 141.732 168.4206
106.000000 141.681 168.1135
107.500000 141.631 167.8275
109.000000 141.580 167.5547
110.599998 141.525 167.2842
112.000000 141.480 167.0588
113.800003 141.421 166.7816
115.000000 141.383 166.5937
117.199997 141.313 166.2775
118.000000 141.286 166.1698
120.599998 141.201 165.8346
122.000000 141.159 165.6426
124.099998 141.091 165.3859
125.000000 141.062 165.2804
126.500000 141.017 165.1208
128.000000 140.972 164.9626
131.500000 140.864 164.6206
132.000000 140.848 164.5798
134.000000 140.789 164.4148
136.000000 140.729 164.2497
138.000000 140.671 164.1052
140.000000 140.612 163.9523
143.000000 140.525 163.7610
145.000000 140.469 163.6304
147.500000 140.400 163.4986
150.000000 140.332 163.3686
152.500000 140.265 163.2605
155.000000 140.198 163.1751
157.500000 140.133 163.0822
160.000000 140.070 163.0016
162.500000 140.006 162.9336
165.000000 139.945 162.8810
167.500000 139.884 162.8418
170.000000 139.823 162.7918
172.500000 139.764 162.7604
175.000000 139.706 162.7392
177.500000 139.649 162.7220
180.000000 139.591 162.7161
182.500000 139.532 162.7232
185.000000 139.478 162.7338
187.500000 139.423 162.7444
190.000000 139.368 162.7861
192.500000 139.314 162.8024
195.000000 139.262 162.8294
197.500000 139.208 162.8672
200.000000 139.156 162.9308
203.000000 139.096 162.9974
206.000000 139.037 163.0699
209.000000 138.977 163.1423
212.000000 138.920 163.2338
214.000000 138.884 163.2956
218.000000 138.808 163.4227
220.000000 138.771 163.4899
224.000000 138.701 163.6132
227.000000 138.651 163.7243
230.000000 138.600 163.8470
233.000000 138.551 163.9646
236.000000 138.506 164.0898
240.000000 138.440 164.2632
243.000000 138.395 164.3944
247.000000 138.332 164.5818
250.000000 138.286 164.7243
254.000000 138.227 164.9193
258.000000 138.170 165.1187
262.000000 138.114 165.3274
265.000000 138.074 165.4922
269.000000 138.016 165.7151
272.000000 137.979 165.8723
276.000000 137.930 166.0916
280.000000 137.877 166.3082
