* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 9, 2024 2:02:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EA1000 TIPS, MESH, SPONG Feb 9
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 144.588 -123.2503
20.600000 144.657 -124.2067
20.900000 144.719 -125.0799
21.200001 144.778 -125.9527
21.400000 144.817 -126.5329
21.799999 144.894 -127.6816
22.000000 144.932 -128.2453
22.400000 145.006 -129.3423
22.700001 145.058 -130.1354
23.000000 145.107 -130.9035
23.299999 145.153 -131.6496
23.600000 145.196 -132.3772
24.000000 145.250 -133.3259
24.299999 145.289 -134.0289
24.700001 145.341 -134.9644
25.000000 145.380 -135.6671
25.400000 145.430 -136.5991
25.799999 145.477 -137.5052
26.200001 145.519 -138.3660
26.500000 145.550 -138.9819
26.900000 145.591 -139.7826
27.200001 145.621 -140.3883
27.600000 145.658 -141.2227
28.000000 145.689 -142.0826
28.500000 145.718 -143.1391
29.000000 145.746 -144.1093
29.500000 145.783 -144.9930
30.000000 145.831 -145.8529
30.400000 145.870 -146.5558
30.700001 145.895 -147.0898
31.100000 145.919 -147.7920
31.500000 145.936 -148.4679
32.000000 145.951 -149.2753
32.500000 145.966 -150.0637
33.000000 145.983 -150.8487
33.500000 146.000 -151.6254
34.000000 146.020 -152.3919
34.500000 146.041 -153.1608
35.000000 146.059 -153.9355
35.500000 146.069 -154.6916
36.000000 146.075 -155.3984
36.500000 146.083 -156.0559
37.000000 146.096 -156.6971
37.500000 146.111 -157.3485
38.200001 146.122 -158.2584
38.700001 146.125 -158.8793
39.500000 146.129 -159.8536
40.000000 146.130 -160.4802
40.599998 146.130 -161.2239
41.200001 146.132 -161.9168
41.799999 146.136 -162.5775
42.500000 146.134 -163.3454
43.099998 146.123 -163.9807
43.700001 146.115 -164.6124
44.400002 146.110 -165.4114
45.000000 146.099 -166.0735
45.500000 146.092 -166.4976
46.200001 146.106 -166.9617
46.799999 146.130 -167.4799
47.500000 146.121 -168.2822
48.200001 146.073 -169.0248
48.700001 146.040 -169.4663
49.400002 146.012 -170.0739
50.000000 145.997 -170.5943
50.799999 145.987 -171.2376
51.500000 145.982 -171.8460
52.200001 145.956 -172.4453
53.000000 145.919 -172.9596
53.799999 145.909 -173.5183
54.500000 145.899 -174.1452
55.200001 145.884 -174.7151
56.000000 145.877 -175.2822
57.000000 145.840 -175.9949
58.000000 145.778 -176.5596
59.000000 145.753 -177.2213
60.000000 145.735 -178.0357
60.799999 145.703 -178.5637
61.500000 145.674 -178.9084
62.200001 145.656 -179.2519
63.000000 145.639 -179.7610
64.000000 145.579 179.5479
65.000000 145.500 179.0654
66.000000 145.460 178.5555
67.000000 145.415 178.0106
68.000000 145.368 177.6786
69.000000 145.331 177.0818
70.000000 145.266 176.3423
71.000000 145.189 176.0374
72.000000 145.148 175.8606
73.000000 145.097 174.9315
74.000000 144.977 174.1655
75.000000 144.924 174.2307
76.199997 144.852 174.0668
77.500000 144.721 173.5430
78.800003 144.614 173.4149
80.000000 144.566 173.8127
81.199997 144.465 174.1310
82.500000 144.399 174.6658
83.800003 144.384 175.4236
85.000000 144.460 175.7537
86.199997 144.570 175.9377
87.500000 144.719 175.8196
88.500000 144.784 175.3319
90.000000 144.854 174.4119
91.199997 144.888 173.6061
92.500000 144.873 172.8619
93.800003 144.848 172.0427
95.000000 144.806 171.4302
96.199997 144.771 170.8508
97.500000 144.714 170.2274
98.800003 144.658 169.6892
100.000000 144.609 169.2812
101.500000 144.544 168.7923
103.000000 144.477 168.3438
104.400002 144.403 168.0197
106.000000 144.341 167.5279
107.500000 144.285 167.3342
109.000000 144.175 167.0431
110.599998 144.168 166.7399
112.000000 144.083 166.5089
113.800003 144.044 166.2158
115.000000 144.003 166.4432
117.199997 143.930 165.9434
118.000000 144.024 165.7173
120.599998 143.853 168.4675
122.000000 143.717 164.7367
124.099998 143.773 164.9012
125.000000 143.696 164.9440
126.500000 143.689 164.4921
128.000000 143.660 164.4905
131.500000 143.533 163.9190
132.000000 143.517 163.8694
134.000000 143.460 163.4113
136.000000 143.406 163.3271
138.000000 143.319 163.0818
140.000000 143.192 162.8990
143.000000 143.137 162.4894
145.000000 143.074 162.4045
147.500000 142.999 162.2762
150.000000 142.918 162.2183
152.500000 142.832 161.9637
155.000000 142.742 162.0703
157.500000 142.669 162.0057
160.000000 142.612 162.0918
162.500000 142.551 162.2870
165.000000 142.508 162.3316
167.500000 142.480 162.2958
170.000000 142.454 162.1656
172.500000 142.413 161.9951
175.000000 142.363 161.8154
177.500000 142.309 161.6246
180.000000 142.250 161.5027
182.500000 142.189 161.3864
185.000000 142.132 161.2572
187.500000 142.087 161.2891
190.000000 142.007 161.1144
192.500000 141.944 161.0722
195.000000 141.881 161.0529
197.500000 141.821 161.0411
200.000000 141.764 161.0302
203.000000 141.693 161.0272
206.000000 141.622 161.0378
209.000000 141.559 161.0672
212.000000 141.495 161.0924
214.000000 141.448 161.1387
218.000000 141.366 161.1941
220.000000 141.325 161.2622
224.000000 141.241 161.3698
227.000000 141.186 161.4095
230.000000 141.120 161.5229
233.000000 141.065 161.6257
236.000000 141.011 161.7271
240.000000 140.935 161.8472
243.000000 140.880 161.9637
247.000000 140.815 162.1130
250.000000 140.768 162.2049
254.000000 140.695 162.3997
258.000000 140.630 162.5619
262.000000 140.564 162.7659
265.000000 140.522 162.9186
269.000000 140.457 163.0799
272.000000 140.412 163.2278
276.000000 140.351 163.4083
280.000000 140.297 163.5926
285.000000 140.229 163.8710
290.000000 140.163 164.1577
295.000000 140.094 164.3970
300.000000 140.035 164.6775
304.000000 139.985 164.9241
307.000000 139.950 165.0468
311.000000 139.899 165.3210
315.000000 139.854 165.5138
320.000000 139.798 165.8220
325.000000 139.746 166.1100
330.000000 139.691 166.4137
335.000000 139.640 166.6782
340.000000 139.596 166.9569
345.000000 139.539 167.2797
350.000000 139.491 167.6035
355.000000 139.449 167.8523
360.000000 139.403 168.1389
365.000000 139.361 168.4711
370.000000 139.316 168.7637
375.000000 139.274 169.0792
382.000000 139.220 169.5111
387.000000 139.179 169.8295
395.000000 139.124 170.3129
400.000000 139.090 170.6329
406.000000 139.045 170.9948
412.000000 139.003 171.3917
418.000000 138.965 171.7585
425.000000 138.920 172.1761
431.000000 138.881 172.5693
437.000000 138.846 172.8657
444.000000 138.811 173.3776
450.000000 138.782 173.7744
455.000000 138.755 174.0919
462.000000 138.713 174.5213
468.000000 138.687 174.8995
475.000000 138.652 175.3353
482.000000 138.622 175.7932
487.000000 138.597 176.0752
494.000000 138.564 176.5316
500.000000 138.547 176.8973
508.000000 138.517 177.4129
515.000000 138.485 177.8582
522.000000 138.466 178.2840
530.000000 138.433 178.7919
538.000000 138.413 179.2937
545.000000 138.388 179.7245
552.000000 138.371 -179.7870
560.000000 138.345 -179.3067
570.000000 138.327 -178.6910
580.000000 138.299 -178.0233
590.000000 138.274 -177.4096
600.000000 138.260 -176.7837
608.000000 138.251 -176.2721
615.000000 138.236 -175.8240
622.000000 138.224 -175.3190
630.000000 138.217 -174.8452
640.000000 138.202 -174.2292
650.000000 138.198 -173.5660
660.000000 138.186 -172.8748
670.000000 138.185 -172.3252
680.000000 138.182 -171.6463
690.000000 138.178 -171.0130
700.000000 138.180 -170.3822
710.000000 138.185 -169.7325
720.000000 138.191 -169.0828
730.000000 138.199 -168.4030
740.000000 138.211 -167.7337
750.000000 138.218 -167.1333
762.000000 138.242 -166.3814
775.000000 138.266 -165.5574
788.000000 138.297 -164.6996
800.000000 138.325 -163.9546
812.000000 138.359 -163.2245
825.000000 138.398 -162.4009
838.000000 138.444 -161.6195
850.000000 138.484 -160.8911
862.000000 138.533 -160.1974
875.000000 138.586 -159.4431
885.000000 138.633 -158.8688
900.000000 138.700 -158.0454
912.000000 138.766 -157.3677
925.000000 138.832 -156.7252
938.000000 138.901 -156.0701
950.000000 138.962 -155.5433
962.000000 139.015 -154.9157
975.000000 139.065 -154.2059
988.000000 139.097 -153.1373
1000.000000 139.268 -151.6544
1015.000000 139.541 -151.5894
1030.000000 139.661 -151.6032
1044.000000 139.755 -151.3999
1060.000000 139.861 -151.1231
1075.000000 139.972 -150.7835
1090.000000 140.085 -150.5609
1106.000000 140.207 -150.4153
1120.000000 140.332 -150.5300
1138.000000 140.318 -151.3471
1150.000000 140.234 -150.3163
1172.000000 140.434 -149.1277
1180.000000 140.501 -148.9594
1206.000000 140.696 -148.6284
1220.000000 140.789 -148.4931
1241.000000 140.913 -148.3445
1250.000000 140.962 -148.2981
1265.000000 141.049 -148.1783
1280.000000 141.127 -148.0862
1315.000000 141.306 -147.9060
1320.000000 141.331 -147.8794
1340.000000 141.428 -147.7637
1360.000000 141.520 -147.6885
1380.000000 141.606 -147.6109
1400.000000 141.693 -147.4832
1430.000000 141.828 -147.3711
1450.000000 141.909 -147.3110
1475.000000 142.010 -147.1827
1500.000000 142.113 -147.1357
1525.000000 142.213 -147.0157
1550.000000 142.316 -146.9134
1575.000000 142.412 -146.8308
1600.000000 142.519 -146.7382
1625.000000 142.617 -146.6809
1650.000000 142.718 -146.6117
1675.000000 142.816 -146.5440
1700.000000 142.922 -146.4955
1725.000000 143.023 -146.4527
1750.000000 143.128 -146.4436
1775.000000 143.230 -146.4125
1800.000000 143.335 -146.4575
1825.000000 143.437 -146.4550
1850.000000 143.547 -146.4947
1875.000000 143.648 -146.5494
1900.000000 143.755 -146.6425
1925.000000 143.868 -146.7639
1950.000000 143.973 -146.8830
1975.000000 144.083 -147.0268
2000.000000 144.190 -147.2088
2030.000000 144.317 -147.4587
2060.000000 144.439 -147.7589
2090.000000 144.567 -148.0658
2120.000000 144.689 -148.3940
2140.000000 144.773 -148.6686
2180.000000 144.930 -149.2297
2200.000000 145.008 -149.5033
2240.000000 145.154 -150.1778
2270.000000 145.263 -150.6916
2300.000000 145.366 -151.2480
2330.000000 145.467 -151.8179
2360.000000 145.564 -152.4378
2400.000000 145.687 -153.2890
2430.000000 145.770 -153.9507
2470.000000 145.875 -154.8822
2500.000000 145.952 -155.6011
2540.000000 146.037 -156.5668
2580.000000 146.118 -157.5827
2620.000000 146.185 -158.6196
2650.000000 146.230 -159.3851
2690.000000 146.285 -160.4250
2720.000000 146.312 -161.2070
2760.000000 146.343 -162.2238
2800.000000 146.362 -163.2751
2850.000000 146.378 -164.5032
2900.000000 146.374 -165.7548
2950.000000 146.357 -166.8932
3000.000000 146.321 -168.0229
3040.000000 146.293 -168.8149
3070.000000 146.261 -169.3956
3110.000000 146.222 -170.1028
3150.000000 146.181 -170.7433
3200.000000 146.127 -171.4318
3250.000000 146.084 -172.0322
3300.000000 146.053 -172.5934
3350.000000 146.030 -173.2191
3400.000000 146.012 -173.8906
3450.000000 145.985 -174.6221
3500.000000 145.943 -175.3285
3550.000000 145.899 -175.9630
3600.000000 145.845 -176.5578
3650.000000 145.801 -177.1245
3700.000000 145.751 -177.6608
3750.000000 145.704 -178.1666
3820.000000 145.633 -178.8630
3870.000000 145.577 -179.3624
3950.000000 145.483 179.9230
4000.000000 145.425 179.5599
4060.000000 145.346 179.1128
4120.000000 145.273 178.7404
4180.000000 145.198 178.4322
4250.000000 145.114 178.2018
4310.000000 145.052 178.0258
4370.000000 145.001 177.9082
4440.000000 144.948 177.7223
4500.000000 144.903 177.5165
4550.000000 144.886 177.3906
4620.000000 144.839 177.1240
4680.000000 144.801 176.9249
4750.000000 144.762 176.6327
4820.000000 144.714 176.3608
4870.000000 144.672 176.1769
4940.000000 144.624 175.9056
5000.000000 144.577 175.6745
5080.000000 144.508 175.3523
5150.000000 144.441 175.0930
5220.000000 144.379 174.8748
5300.000000 144.282 174.6140
5380.000000 144.193 174.4254
5450.000000 144.109 174.3078
5520.000000 144.018 174.2546
5600.000000 143.910 174.1926
5700.000000 143.775 174.2695
5800.000000 143.628 174.4977
