* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: May 2, 2024 10:09:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EA500LM 2nd Unit May 2
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 143.472 -136.1074
20.600000 143.497 -137.0872
20.900000 143.520 -138.0174
21.200001 143.549 -138.9636
21.400000 143.573 -139.5943
21.799999 143.633 -140.8319
22.000000 143.667 -141.4255
22.400000 143.740 -142.5363
22.700001 143.793 -143.2912
23.000000 143.841 -143.9771
23.299999 143.879 -144.6040
23.600000 143.907 -145.1884
24.000000 143.932 -145.9355
24.299999 143.943 -146.5020
24.700001 143.953 -147.2988
25.000000 143.962 -147.9378
25.400000 143.977 -148.8345
25.799999 143.998 -149.7395
26.200001 144.024 -150.5993
26.500000 144.048 -151.1957
26.900000 144.082 -151.9315
27.200001 144.107 -152.4595
27.600000 144.134 -153.1642
28.000000 144.150 -153.8894
28.500000 144.154 -154.8100
29.000000 144.154 -155.7061
29.500000 144.163 -156.5724
30.000000 144.186 -157.4386
30.400000 144.204 -158.1335
30.700001 144.213 -158.6405
31.100000 144.216 -159.2699
31.500000 144.214 -159.8352
32.000000 144.210 -160.4832
32.500000 144.213 -161.1400
33.000000 144.221 -161.8542
33.500000 144.228 -162.6035
34.000000 144.230 -163.3321
34.500000 144.227 -164.0089
35.000000 144.222 -164.6418
35.500000 144.216 -165.2563
36.000000 144.211 -165.8734
36.500000 144.207 -166.5025
37.000000 144.203 -167.1396
37.500000 144.196 -167.7684
38.200001 144.181 -168.6029
38.700001 144.169 -169.1661
39.500000 144.158 -170.0519
40.000000 144.154 -170.6065
40.599998 144.149 -171.2546
41.200001 144.139 -171.8564
41.799999 144.122 -172.4138
42.500000 144.098 -173.0574
43.099998 144.078 -173.6405
43.700001 144.060 -174.2399
44.400002 144.043 -174.9175
45.000000 144.030 -175.4637
45.500000 144.014 -175.8956
46.200001 143.986 -176.4761
46.799999 143.962 -176.9804
47.500000 143.938 -177.6034
48.200001 143.917 -178.2174
48.700001 143.905 -178.6179
49.400002 143.888 -179.1398
50.000000 143.868 -179.5833
50.799999 143.832 179.8364
51.500000 143.802 179.3458
52.200001 143.778 178.8528
53.000000 143.750 178.3060
53.799999 143.720 177.7883
54.500000 143.691 177.3157
55.200001 143.659 176.8206
56.000000 143.621 176.2884
57.000000 143.581 175.7120
58.000000 143.542 175.1381
59.000000 143.495 174.5640
60.000000 143.455 174.0008
60.799999 143.418 173.5381
61.500000 143.383 173.1964
62.200001 143.356 172.8724
63.000000 143.325 172.4160
64.000000 143.265 171.9185
65.000000 143.229 171.5436
66.000000 143.197 170.9866
67.000000 143.139 170.5201
68.000000 143.098 170.1699
69.000000 143.061 169.6805
70.000000 143.005 169.1816
71.000000 142.953 168.8085
72.000000 142.914 168.4356
73.000000 142.867 168.0488
74.000000 142.819 167.6986
75.000000 142.773 167.3360
76.199997 142.720 166.8979
77.500000 142.660 166.4745
78.800003 142.604 166.1121
80.000000 142.549 165.6550
81.199997 142.478 165.2802
82.500000 142.429 165.0110
83.800003 142.379 164.5914
85.000000 142.316 164.1834
86.199997 142.253 163.8588
87.500000 142.192 163.6116
88.500000 142.152 163.4271
90.000000 142.104 163.0259
91.199997 142.052 162.7233
92.500000 141.985 162.3491
93.800003 141.901 162.0736
95.000000 141.867 161.9780
96.199997 141.833 161.7408
97.500000 141.770 161.4109
98.800003 141.701 161.1834
100.000000 141.662 160.9506
101.500000 141.605 160.6504
103.000000 141.527 160.3596
104.400002 141.451 160.1255
106.000000 141.383 159.9958
107.500000 141.317 159.8409
109.000000 141.266 159.6267
110.599998 141.194 159.5122
112.000000 141.135 159.3348
113.800003 141.075 159.1298
115.000000 141.004 159.0502
117.199997 140.907 158.4589
118.000000 140.898 158.3555
120.599998 140.828 158.0166
122.000000 140.808 158.1578
124.099998 140.670 158.1248
125.000000 140.626 157.9117
126.500000 140.592 157.5886
128.000000 140.576 157.4261
131.500000 140.400 157.6132
132.000000 140.376 157.4885
134.000000 140.354 157.2756
136.000000 140.267 157.2807
138.000000 140.212 157.0789
140.000000 140.139 157.0882
143.000000 140.036 156.9148
145.000000 139.972 156.8466
147.500000 139.897 156.8860
150.000000 139.811 156.7210
152.500000 139.738 156.7044
155.000000 139.645 156.6212
157.500000 139.603 156.5862
160.000000 139.492 156.6483
162.500000 139.452 156.5585
165.000000 139.349 156.5952
167.500000 139.317 156.6521
170.000000 139.209 156.5428
172.500000 139.165 156.7681
175.000000 139.093 156.5234
177.500000 139.014 156.7318
180.000000 138.973 156.7387
182.500000 138.888 156.7515
185.000000 138.836 156.7850
187.500000 138.784 156.9851
190.000000 138.697 156.8541
192.500000 138.669 156.9702
195.000000 138.595 157.0975
197.500000 138.544 157.1900
200.000000 138.487 157.1349
203.000000 138.385 157.3171
206.000000 138.356 157.4711
209.000000 138.297 157.5707
212.000000 138.213 157.6069
214.000000 138.189 157.7094
218.000000 138.094 157.9259
220.000000 138.058 158.0394
224.000000 137.974 158.0883
227.000000 137.934 158.3871
230.000000 137.874 158.3160
233.000000 137.812 158.6123
236.000000 137.761 158.7301
240.000000 137.692 158.9755
243.000000 137.640 158.9869
247.000000 137.581 159.3383
250.000000 137.530 159.3791
254.000000 137.473 159.5715
258.000000 137.408 159.8995
262.000000 137.341 160.0201
265.000000 137.288 160.1774
269.000000 137.229 160.4997
272.000000 137.204 160.6290
276.000000 137.137 160.8868
280.000000 137.067 161.0989
285.000000 136.999 161.2702
290.000000 136.934 161.5974
295.000000 136.876 161.8564
300.000000 136.830 161.9865
304.000000 136.791 162.3142
307.000000 136.776 162.5384
311.000000 136.703 162.7070
315.000000 136.667 163.1487
320.000000 136.608 163.5351
325.000000 136.542 163.6809
330.000000 136.512 164.0141
335.000000 136.429 164.3026
340.000000 136.452 164.7736
345.000000 136.410 164.7951
350.000000 136.334 164.9084
355.000000 136.212 165.7071
360.000000 136.140 166.3373
365.000000 136.232 166.1455
370.000000 136.245 166.3732
375.000000 136.157 166.8859
382.000000 136.176 167.6364
387.000000 136.050 166.9802
395.000000 135.955 167.7903
400.000000 135.919 167.9649
406.000000 135.885 168.5842
412.000000 135.846 168.9778
418.000000 135.743 168.9998
425.000000 135.756 170.1439
431.000000 135.694 169.9558
437.000000 135.764 170.4645
444.000000 135.670 170.9106
450.000000 135.544 171.1417
455.000000 135.552 171.6102
462.000000 135.608 172.1454
468.000000 135.496 172.5416
475.000000 135.485 172.5851
482.000000 135.449 173.0266
487.000000 135.420 173.4453
494.000000 135.364 173.8741
500.000000 135.344 174.1529
508.000000 135.313 174.5654
515.000000 135.244 175.3224
522.000000 135.273 175.2974
530.000000 135.228 176.0300
538.000000 135.183 176.4797
545.000000 135.149 177.3195
552.000000 135.141 177.3239
560.000000 135.145 177.8987
570.000000 135.193 178.8452
580.000000 135.136 179.2358
590.000000 135.094 179.8033
600.000000 135.007 -179.9200
608.000000 135.064 -179.6883
615.000000 135.002 -179.0140
622.000000 134.951 -178.8517
630.000000 134.996 -177.7905
640.000000 134.957 -177.4367
650.000000 134.897 -177.5711
660.000000 134.909 -176.5888
670.000000 134.859 -175.2483
680.000000 134.747 -174.9320
690.000000 134.925 -173.9588
700.000000 134.860 -173.8439
710.000000 134.851 -172.9615
720.000000 134.865 -172.5420
730.000000 134.857 -171.6511
740.000000 134.875 -171.2972
750.000000 134.856 -170.9279
762.000000 134.893 -170.2313
775.000000 134.826 -169.0267
788.000000 134.978 -168.3130
800.000000 134.929 -167.5436
812.000000 134.915 -166.9844
825.000000 134.997 -166.2388
838.000000 135.017 -165.2171
850.000000 135.056 -164.6477
862.000000 135.089 -163.9371
875.000000 135.140 -163.0464
885.000000 135.177 -162.6176
900.000000 135.223 -161.7759
912.000000 135.275 -161.1158
925.000000 135.354 -160.4767
938.000000 135.434 -159.7978
950.000000 135.481 -159.2112
962.000000 135.547 -158.7702
975.000000 135.635 -158.1823
988.000000 135.707 -157.7223
1000.000000 135.759 -157.2895
1015.000000 135.873 -156.7303
1030.000000 135.960 -156.1678
1044.000000 136.049 -155.8897
1060.000000 136.150 -155.3714
1075.000000 136.239 -155.0428
1090.000000 136.324 -154.7076
1106.000000 136.424 -154.4742
1120.000000 136.505 -154.1971
1138.000000 136.610 -154.0201
1150.000000 136.673 -153.8128
1172.000000 136.790 -153.5733
1180.000000 136.835 -153.5625
1206.000000 136.966 -153.3209
1220.000000 137.026 -153.2671
1241.000000 137.121 -153.1943
1250.000000 137.154 -153.1609
1265.000000 137.214 -153.0736
1280.000000 137.266 -153.0686
1315.000000 137.386 -152.9837
1320.000000 137.409 -152.9371
1340.000000 137.474 -152.9256
1360.000000 137.531 -152.8996
1380.000000 137.591 -152.8988
1400.000000 137.638 -152.8975
1430.000000 137.706 -152.8080
1450.000000 137.749 -152.8488
1475.000000 137.796 -152.9693
1500.000000 137.833 -152.9131
1525.000000 137.846 -152.9390
1550.000000 137.856 -152.8922
1575.000000 137.857 -152.8072
1600.000000 137.856 -152.5685
1625.000000 137.852 -152.2878
1650.000000 137.853 -151.8569
1675.000000 137.873 -151.3307
1700.000000 137.892 -150.8463
1725.000000 137.938 -150.3014
1750.000000 137.982 -149.8306
1775.000000 138.035 -149.3334
1800.000000 138.098 -148.9077
1825.000000 138.156 -148.5212
1850.000000 138.217 -148.1605
1875.000000 138.285 -147.8105
1900.000000 138.352 -147.4523
1925.000000 138.423 -147.1703
1950.000000 138.494 -146.8083
1975.000000 138.550 -146.5489
2000.000000 138.619 -146.2697
2030.000000 138.705 -145.9000
2060.000000 138.790 -145.5872
2090.000000 138.880 -145.3068
2120.000000 138.961 -144.9871
2140.000000 139.020 -144.8227
2180.000000 139.141 -144.4706
2200.000000 139.199 -144.2957
2240.000000 139.314 -143.9266
2270.000000 139.405 -143.7152
2300.000000 139.505 -143.5378
2330.000000 139.597 -143.2909
2360.000000 139.691 -143.0766
2400.000000 139.820 -142.8994
2430.000000 139.921 -142.7126
2470.000000 140.054 -142.5258
2500.000000 140.155 -142.3383
2540.000000 140.294 -142.2911
2580.000000 140.431 -142.1658
2620.000000 140.574 -142.1185
2650.000000 140.680 -142.1005
2690.000000 140.822 -142.0647
2720.000000 140.939 -142.0943
2760.000000 141.080 -142.1642
2800.000000 141.228 -142.2728
2850.000000 141.406 -142.4150
2900.000000 141.600 -142.6187
2950.000000 141.784 -142.9499
3000.000000 141.976 -143.2664
3040.000000 142.130 -143.5941
3070.000000 142.235 -143.8989
3110.000000 142.386 -144.2832
3150.000000 142.532 -144.7723
3200.000000 142.714 -145.4039
3250.000000 142.892 -146.1179
3300.000000 143.065 -146.9302
3350.000000 143.233 -147.8361
3400.000000 143.397 -148.7380
3450.000000 143.549 -149.7511
3500.000000 143.690 -150.8618
3550.000000 143.832 -152.0246
3600.000000 143.959 -153.2373
3650.000000 144.073 -154.5287
3700.000000 144.175 -155.8531
3750.000000 144.267 -157.2470
3820.000000 144.358 -159.2030
3870.000000 144.413 -160.6546
3950.000000 144.459 -162.9606
4000.000000 144.473 -164.4312
4060.000000 144.465 -166.1650
4120.000000 144.441 -167.8658
4180.000000 144.384 -169.5164
4250.000000 144.306 -171.3181
4310.000000 144.219 -172.8094
4370.000000 144.107 -174.1604
4440.000000 143.968 -175.6977
4500.000000 143.836 -176.8221
4550.000000 143.712 -177.7218
4620.000000 143.542 -178.8387
4680.000000 143.383 -179.6732
4750.000000 143.196 179.5300
4820.000000 143.002 178.8606
4870.000000 142.862 178.4472
4940.000000 142.674 178.0001
5000.000000 142.507 177.7061
5080.000000 142.300 177.5189
5150.000000 142.117 177.3955
5220.000000 141.928 177.4352
5300.000000 141.737 177.5767
5380.000000 141.546 177.7738
5450.000000 141.395 178.1095
5520.000000 141.253 178.4810
5600.000000 141.099 179.0023
5700.000000 140.922 179.7375
5800.000000 140.764 -179.4524
5900.000000 140.626 -178.4891
