* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Simgot EN1000 - n.Olina - Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Simgot EN1000 - n.Olina - Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Limgot EN1000 - n.Olina - Foa
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	60.788	120.3224
1.015000	60.623	119.3647
1.030000	60.452	118.3978
1.044000	60.288	117.4862
1.060000	60.094	116.4330
1.075000	59.906	115.4337
1.090000	59.712	114.4223
1.106000	59.498	113.3389
1.120000	59.310	112.4384
1.138000	59.068	111.3498
1.150000	58.905	110.6600
1.172000	58.604	109.4521
1.180000	58.493	109.0265
1.206000	58.126	107.6708
1.220000	57.923	106.9458
1.241000	57.612	105.8445
1.250000	57.475	105.3620
1.265000	57.242	104.5364
1.280000	57.003	103.6758
1.315000	56.417	101.4800
1.320000	56.329	101.1398
1.340000	55.970	99.6991
1.360000	55.594	98.1139
1.380000	55.199	96.3621
1.400000	54.785	94.4219
1.430000	54.123	91.1101
1.450000	53.654	88.6025
1.475000	53.024	85.0999
1.500000	52.283	81.2406
1.525000	51.437	77.0627
1.550000	50.508	72.5914
1.575000	49.519	67.8522
1.600000	48.492	62.8705
1.625000	47.451	57.6714
1.650000	46.418	52.2804
1.675000	45.415	46.7227
1.700000	44.465	41.0238
1.725000	43.592	35.2090
1.750000	42.818	29.3036
1.775000	42.165	23.3329
1.800000	41.657	17.3223
1.825000	41.316	11.2970
1.850000	41.160	5.1156
1.875000	41.177	-1.5569
1.900000	41.346	-8.6408
1.925000	41.645	-16.0386
1.950000	42.052	-23.6530
1.975000	42.547	-31.3863
2.000000	43.107	-39.1412
