* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Simgot EN1000 - stock - Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Simgot EN1000 - stock - Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Rimgot EN1000 - stock - Foam
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	62.208	-58.6560
1.015000	62.043	-59.4795
1.030000	61.873	-60.2951
1.044000	61.708	-61.0485
1.060000	61.513	-61.8997
1.075000	61.323	-62.6876
1.090000	61.127	-63.4651
1.106000	60.910	-64.2973
1.120000	60.722	-65.1082
1.138000	60.483	-66.2698
1.150000	60.325	-67.1068
1.172000	60.034	-68.7425
1.180000	59.928	-69.3623
1.206000	59.578	-71.4322
1.220000	59.384	-72.5620
1.241000	59.086	-74.2435
1.250000	58.954	-74.9506
1.265000	58.729	-76.0987
1.280000	58.495	-77.1961
1.315000	57.911	-79.4753
1.320000	57.822	-79.7606
1.340000	57.454	-80.7786
1.360000	57.061	-81.5732
1.380000	56.641	-82.1087
1.400000	56.191	-82.3496
1.430000	55.454	-82.0810
1.450000	54.917	-81.4299
1.475000	54.180	-80.0199
1.500000	53.279	-77.9073
1.525000	52.221	-75.1579
1.550000	51.040	-71.8521
1.575000	49.770	-68.0705
1.600000	48.445	-63.8936
1.625000	47.098	-59.4019
1.650000	45.764	-54.6760
1.675000	44.475	-49.7964
1.700000	43.267	-44.8437
1.725000	42.172	-39.8983
1.750000	41.225	-35.0407
1.775000	40.459	-30.3516
1.800000	39.909	-25.9115
1.825000	39.607	-21.8008
1.850000	39.583	-17.9041
1.875000	39.827	-13.8240
1.900000	40.303	-9.5986
1.925000	40.978	-5.2862
1.950000	41.817	-0.9447
1.975000	42.786	3.3678
2.000000	43.852	7.5931
2.030000	45.208	12.4668
2.060000	46.594	17.0310
2.090000	47.951	21.1854
2.120000	49.219	24.8297
2.140000	49.986	26.9262
2.180000	51.253	30.1863
2.200000	51.719	31.2903
2.240000	52.461	32.3651
2.270000	52.919	32.2852
2.300000	53.301	31.5663
2.330000	53.618	30.3168
2.360000	53.879	28.6453
2.400000	54.156	25.9475
2.430000	54.322	23.7128
2.470000	54.507	20.6579
2.500000	54.629	18.4507
2.540000	54.788	15.8259
2.580000	54.957	13.7261
2.620000	55.088	11.6814
2.650000	55.157	10.1053
2.690000	55.211	7.9613
2.720000	55.227	6.3310
2.760000	55.218	4.1419
2.800000	55.180	1.9516
2.850000	55.097	-0.7611
2.900000	54.983	-3.4135
2.950000	54.846	-5.9875
3.000000	54.670	-8.5951
3.040000	54.500	-10.6984
3.070000	54.356	-12.2692
3.110000	54.143	-14.3341
3.150000	53.908	-16.3421
3.200000	53.584	-18.7330
3.250000	53.228	-20.9451
3.300000	52.843	-22.9299
3.350000	52.409	-24.8518
3.400000	51.920	-26.7732
3.450000	51.393	-28.5821
3.500000	50.844	-30.1667
3.550000	50.288	-31.4148
3.600000	49.742	-32.2145
3.650000	49.221	-32.4538
3.700000	48.705	-32.0020
3.750000	48.135	-30.8462
3.820000	47.313	-28.3572
3.870000	46.760	-26.1854
3.950000	46.038	-22.4931
4.000000	45.748	-20.3113
4.060000	45.622	-17.9260
4.120000	45.720	-15.1581
4.180000	45.987	-12.1981
4.250000	46.441	-8.9455
4.310000	46.887	-6.7098
4.370000	47.330	-5.3347
4.440000	47.818	-5.1552
4.500000	48.296	-6.0353
4.550000	48.725	-7.3228
4.620000	49.339	-9.7163
4.680000	49.848	-12.0796
4.750000	50.384	-14.8934
4.820000	50.846	-17.7873
4.870000	51.153	-20.1331
4.940000	51.552	-23.6735
5.000000	51.868	-26.8186
5.080000	52.253	-30.9569
5.150000	52.558	-34.3522
5.220000	52.827	-37.7209
5.300000	53.094	-41.5551
5.380000	53.325	-45.2535
5.450000	53.502	-48.2807
5.520000	53.660	-51.0417
5.600000	53.802	-53.9816
5.700000	53.936	-57.3187
5.800000	54.045	-60.1824
5.900000	54.149	-62.4700
6.000000	54.223	-64.1687
6.080000	54.274	-65.1672
6.150000	54.328	-65.8224
6.220000	54.405	-66.3101
6.300000	54.520	-66.5868
6.400000	54.687	-66.4756
6.500000	54.887	-66.1288
6.600000	55.130	-65.8373
6.700000	55.430	-65.5448
6.800000	55.774	-65.1978
6.900000	56.134	-64.9628
7.000000	56.487	-64.9913
7.100000	56.855	-65.2478
7.200000	57.223	-65.6666
7.300000	57.570	-66.1995
7.400000	57.882	-66.8471
7.500000	58.173	-67.6499
7.620000	58.489	-68.6799
7.750000	58.784	-69.7186
7.880000	59.026	-70.7522
8.000000	59.217	-71.6266
8.120000	59.388	-72.3311
8.250000	59.541	-72.9345
8.380000	59.680	-73.3956
8.500000	59.811	-73.6896
8.620000	59.936	-73.8405
8.750000	60.073	-73.9398
8.850000	60.186	-74.0194
9.000000	60.364	-74.0855
9.120000	60.508	-74.1656
9.250000	60.665	-74.3415
9.380000	60.823	-74.5790
9.500000	60.962	-74.8525
9.620000	61.092	-75.1893
9.750000	61.225	-75.6201
9.880000	61.339	-76.0723
10.000000	61.420	-76.4974
10.150000	61.495	-77.0471
10.300000	61.558	-77.5690
10.440000	61.602	-78.0254
10.600000	61.647	-78.5278
10.750000	61.693	-78.9783
10.900000	61.739	-79.4174
11.060000	61.794	-79.9165
11.200000	61.846	-80.3740
11.380000	61.916	-81.0113
11.500000	61.963	-81.4765
11.720000	62.049	-82.3862
11.800000	62.080	-82.7318
12.060000	62.175	-83.8992
12.200000	62.224	-84.5261
12.410000	62.301	-85.4650
12.500000	62.342	-85.8598
12.650000	62.420	-86.5072
12.800000	62.505	-87.1497
13.150000	62.721	-88.6437
13.200000	62.753	-88.8594
13.400000	62.884	-89.7319
13.600000	63.016	-90.6087
13.800000	63.148	-91.4901
14.000000	63.277	-92.3475
14.300000	63.465	-93.5732
14.500000	63.589	-94.3274
14.750000	63.742	-95.2050
15.000000	63.896	-96.0155
15.250000	64.050	-96.7841
15.500000	64.201	-97.5253
15.750000	64.348	-98.2449
16.000000	64.488	-98.9413
16.250000	64.622	-99.6030
16.500000	64.750	-100.2259
16.750000	64.868	-100.8055
17.000000	64.978	-101.3467
17.250000	65.081	-101.8525
17.500000	65.177	-102.3270
17.750000	65.268	-102.7714
18.000000	65.355	-103.1902
18.250000	65.442	-103.5883
18.500000	65.530	-103.9883
18.750000	65.621	-104.4117
19.000000	65.713	-104.8785
19.250000	65.804	-105.4096
19.500000	65.890	-105.9972
19.750000	65.970	-106.6341
20.000000	66.044	-107.2905
20.299999	66.126	-108.0756
20.600000	66.206	-108.8430
20.900000	66.288	-109.5963
21.200001	66.375	-110.3597
21.400000	66.434	-110.8847
21.799999	66.546	-111.9549
22.000000	66.598	-112.4805
22.400000	66.697	-113.4519
22.700001	66.773	-114.0774
23.000000	66.857	-114.6220
23.299999	66.955	-115.1386
23.600000	67.062	-115.6794
24.000000	67.210	-116.4893
24.299999	67.311	-117.1499
24.700001	67.424	-118.0218
25.000000	67.496	-118.6060
25.400000	67.588	-119.2584
25.799999	67.687	-119.8254
26.200001	67.796	-120.4271
26.500000	67.877	-120.9558
26.900000	67.969	-121.7667
27.200001	68.021	-122.4079
27.600000	68.066	-123.2159
28.000000	68.094	-123.8843
28.500000	68.134	-124.5121
29.000000	68.202	-125.0588
29.500000	68.295	-125.7008
30.000000	68.391	-126.4920
30.400000	68.460	-127.1809
30.700001	68.507	-127.6973
31.100000	68.565	-128.3640
31.500000	68.622	-129.0053
32.000000	68.692	-129.7767
32.500000	68.759	-130.5065
33.000000	68.824	-131.1906
33.500000	68.891	-131.8477
34.000000	68.956	-132.4920
34.500000	69.017	-133.1109
35.000000	69.081	-133.7105
35.500000	69.148	-134.3510
36.000000	69.208	-135.0738
36.500000	69.249	-135.8139
37.000000	69.277	-136.4461
37.500000	69.314	-136.9577
38.200001	69.400	-137.7575
38.700001	69.454	-138.5129
39.500000	69.484	-139.6145
40.000000	69.505	-140.0215
40.599998	69.577	-140.4523
41.200001	69.672	-141.1907
41.799999	69.725	-142.1463
42.500000	69.733	-143.0362
43.099998	69.752	-143.5174
43.700001	69.798	-144.0191
44.400002	69.850	-144.7688
45.000000	69.879	-145.4159
45.500000	69.902	-145.9091
46.200001	69.940	-146.6086
46.799999	69.968	-147.2426
47.500000	69.992	-147.9369
48.200001	70.016	-148.5448
48.700001	70.039	-148.9569
49.400002	70.074	-149.5531
50.000000	70.104	-150.0951
50.799999	70.132	-150.8268
51.500000	70.151	-151.4351
