* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: May 1, 2024 4:40:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L SIMGOT MIX May 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 140.398 -173.3058
20.600000 140.402 -173.9774
20.900000 140.401 -174.5732
21.200001 140.402 -175.1754
21.400000 140.403 -175.5909
21.799999 140.405 -176.4566
22.000000 140.405 -176.9017
22.400000 140.399 -177.7908
22.700001 140.391 -178.4313
23.000000 140.382 -179.0330
23.299999 140.376 -179.6003
23.600000 140.374 179.8514
24.000000 140.376 179.1194
24.299999 140.379 178.5543
24.700001 140.378 177.7867
25.000000 140.372 177.2238
25.400000 140.358 176.5244
25.799999 140.344 175.8948
26.200001 140.335 175.3016
26.500000 140.331 174.8452
26.900000 140.327 174.1899
27.200001 140.320 173.6635
27.600000 140.304 172.9436
28.000000 140.281 172.2512
28.500000 140.253 171.4641
29.000000 140.237 170.7344
29.500000 140.232 170.0000
30.000000 140.225 169.2379
30.400000 140.213 168.6282
30.700001 140.200 168.1843
31.100000 140.180 167.6165
31.500000 140.159 167.0698
32.000000 140.136 166.3956
32.500000 140.117 165.7142
33.000000 140.099 165.0270
33.500000 140.081 164.3493
34.000000 140.060 163.6970
34.500000 140.036 163.0737
35.000000 140.011 162.4670
35.500000 139.986 161.8542
36.000000 139.963 161.2173
36.500000 139.940 160.5557
37.000000 139.917 159.8879
37.500000 139.892 159.2407
38.200001 139.854 158.4014
38.700001 139.826 157.8432
39.500000 139.779 156.9700
40.000000 139.751 156.4219
40.599998 139.720 155.7651
41.200001 139.694 155.1142
41.799999 139.670 154.4716
42.500000 139.638 153.7406
43.099998 139.606 153.1326
43.700001 139.572 152.5311
44.400002 139.533 151.8193
45.000000 139.500 151.1936
45.500000 139.471 150.6737
46.200001 139.428 149.9860
46.799999 139.394 149.4358
47.500000 139.360 148.7666
48.200001 139.322 148.0409
48.700001 139.288 147.5394
49.400002 139.243 146.9149
50.000000 139.212 146.4037
50.799999 139.173 145.6841
51.500000 139.132 145.0691
52.200001 139.094 144.4934
53.000000 139.054 143.8235
53.799999 139.005 143.1470
54.500000 138.960 142.5754
55.200001 138.917 141.9847
56.000000 138.869 141.2827
57.000000 138.810 140.4959
58.000000 138.759 139.7615
59.000000 138.694 138.9719
60.000000 138.631 138.2064
60.799999 138.591 137.5714
61.500000 138.549 137.0430
62.200001 138.502 136.5857
63.000000 138.449 136.0609
64.000000 138.390 135.3132
65.000000 138.346 134.5358
66.000000 138.296 133.8443
67.000000 138.236 133.2489
68.000000 138.170 132.5585
69.000000 138.112 131.8775
70.000000 138.068 131.1913
71.000000 138.005 130.5757
72.000000 137.948 129.9810
73.000000 137.888 129.2957
74.000000 137.832 128.7122
75.000000 137.780 128.0853
76.199997 137.695 127.3794
77.500000 137.630 126.6694
78.800003 137.552 125.9376
80.000000 137.501 125.2256
81.199997 137.414 124.5810
82.500000 137.369 123.8275
83.800003 137.275 122.8054
85.000000 137.225 122.4559
86.199997 137.164 121.9568
87.500000 137.080 121.3001
88.500000 137.030 120.7411
90.000000 136.948 119.9874
91.199997 136.888 119.4417
92.500000 136.822 118.7792
93.800003 136.743 118.1826
95.000000 136.690 117.5933
96.199997 136.607 117.0603
97.500000 136.538 116.7195
98.800003 136.480 115.9045
100.000000 136.421 115.3823
101.500000 136.358 114.8228
103.000000 136.286 114.1631
104.400002 136.219 113.5083
106.000000 136.142 112.9167
107.500000 136.066 112.3066
109.000000 136.001 111.7270
110.599998 135.919 111.1491
112.000000 135.859 110.5359
113.800003 135.772 109.9373
115.000000 135.728 109.4638
117.199997 135.622 108.7011
118.000000 135.585 108.3847
120.599998 135.472 107.4958
122.000000 135.411 107.0248
124.099998 135.332 106.2829
125.000000 135.289 106.0556
126.500000 135.240 105.4703
128.000000 135.148 105.0240
131.500000 135.018 103.9731
132.000000 134.998 103.8361
134.000000 134.928 103.1449
136.000000 134.849 102.6144
138.000000 134.779 102.1150
140.000000 134.694 101.5212
143.000000 134.596 100.7222
145.000000 134.513 100.1831
147.500000 134.438 99.4995
150.000000 134.343 98.8492
152.500000 134.264 98.2874
155.000000 134.197 97.6603
157.500000 134.112 97.0819
160.000000 134.023 96.4324
162.500000 133.956 95.8859
165.000000 133.873 95.4255
167.500000 133.815 94.8247
170.000000 133.714 94.3999
172.500000 133.704 93.8205
175.000000 133.570 93.2672
177.500000 133.529 92.9020
180.000000 133.480 92.3211
182.500000 133.396 91.7096
185.000000 133.339 91.2870
187.500000 133.298 90.9489
190.000000 133.267 90.6247
192.500000 133.194 90.0921
195.000000 133.111 89.6636
197.500000 133.067 89.1224
200.000000 133.018 88.8407
203.000000 132.940 88.3799
206.000000 132.903 87.8416
209.000000 132.854 87.5126
212.000000 132.784 87.0264
214.000000 132.763 86.7082
218.000000 132.702 86.1337
220.000000 132.662 85.8922
224.000000 132.599 85.2185
227.000000 132.545 84.9459
230.000000 132.511 84.4567
233.000000 132.478 84.2050
236.000000 132.435 83.8167
240.000000 132.380 83.2913
243.000000 132.348 82.8829
247.000000 132.295 82.4315
250.000000 132.254 82.1033
254.000000 132.220 81.7112
258.000000 132.173 81.3274
262.000000 132.134 80.8394
265.000000 132.107 80.4756
269.000000 132.078 80.0461
272.000000 132.054 79.8571
276.000000 132.035 79.4903
280.000000 131.992 79.1193
285.000000 131.965 78.7078
290.000000 131.939 78.2303
295.000000 131.901 77.8061
300.000000 131.887 77.3414
304.000000 131.861 77.0285
307.000000 131.858 76.8493
311.000000 131.830 76.4853
315.000000 131.847 76.2085
320.000000 131.812 75.7444
325.000000 131.794 75.3878
330.000000 131.771 75.0734
335.000000 131.757 74.7144
340.000000 131.731 74.3799
345.000000 131.723 74.0161
350.000000 131.721 73.7879
355.000000 131.708 73.3893
360.000000 131.708 73.0522
365.000000 131.690 72.7171
370.000000 131.696 72.4210
375.000000 131.690 72.1110
382.000000 131.683 71.7896
387.000000 131.688 71.4487
395.000000 131.677 71.0122
400.000000 131.686 70.7863
406.000000 131.699 70.4150
412.000000 131.695 70.1296
418.000000 131.694 69.7933
425.000000 131.698 69.5023
431.000000 131.712 69.2416
437.000000 131.712 68.9985
444.000000 131.710 68.6841
450.000000 131.726 68.3626
455.000000 131.730 68.2062
462.000000 131.727 67.8989
468.000000 131.744 67.7039
475.000000 131.786 67.5344
482.000000 131.744 67.4200
487.000000 131.751 67.0184
494.000000 131.804 66.7751
500.000000 131.759 66.6480
508.000000 131.793 66.5246
515.000000 131.822 66.2701
522.000000 131.819 65.9495
530.000000 131.835 65.7635
538.000000 131.852 65.5343
545.000000 131.865 65.4754
552.000000 131.878 65.2510
560.000000 131.896 65.0917
570.000000 131.911 64.8771
580.000000 131.925 64.8139
590.000000 131.951 64.6465
600.000000 131.965 64.4955
608.000000 131.984 64.3146
615.000000 131.996 64.3466
622.000000 132.010 64.1383
630.000000 132.019 64.1368
640.000000 132.050 64.0538
650.000000 132.083 63.9360
660.000000 132.090 64.0419
670.000000 132.127 63.8475
680.000000 132.140 64.0190
690.000000 132.169 63.9918
700.000000 132.200 63.9649
710.000000 132.230 64.0441
720.000000 132.254 64.1641
730.000000 132.291 64.2170
740.000000 132.322 64.2726
750.000000 132.359 64.3683
762.000000 132.393 64.4290
775.000000 132.446 64.6135
788.000000 132.499 64.8199
800.000000 132.550 65.0303
812.000000 132.604 65.1559
825.000000 132.656 65.3383
838.000000 132.734 65.5883
850.000000 132.797 65.7668
862.000000 132.858 65.9565
875.000000 132.933 66.2326
885.000000 132.991 66.4917
900.000000 133.077 66.6855
912.000000 133.169 66.8477
925.000000 133.258 67.1262
938.000000 133.352 67.3367
950.000000 133.437 67.4851
962.000000 133.528 67.6166
975.000000 133.622 67.7049
988.000000 133.725 67.8481
1000.000000 133.792 67.9127
1015.000000 133.946 67.9757
1030.000000 134.060 68.0648
1044.000000 134.179 68.0264
1060.000000 134.296 68.0699
1075.000000 134.413 68.0619
1090.000000 134.536 68.0044
1106.000000 134.652 67.9257
1120.000000 134.759 67.8530
1138.000000 134.885 67.6720
1150.000000 134.972 67.5154
1172.000000 135.127 67.3740
1180.000000 135.179 67.2607
1206.000000 135.339 66.9997
1220.000000 135.432 66.7519
1241.000000 135.553 66.5407
1250.000000 135.603 66.4112
1265.000000 135.690 66.2566
1280.000000 135.771 66.0605
1315.000000 135.957 65.6413
1320.000000 135.972 65.5925
1340.000000 136.067 65.3849
1360.000000 136.173 65.1889
1380.000000 136.257 65.0099
1400.000000 136.349 64.8256
1430.000000 136.486 64.5353
1450.000000 136.567 64.4347
1475.000000 136.681 64.2578
1500.000000 136.795 64.1011
1525.000000 136.896 63.9650
1550.000000 137.001 63.8174
1575.000000 137.104 63.6941
1600.000000 137.214 63.5896
1625.000000 137.317 63.4885
1650.000000 137.429 63.4355
1675.000000 137.535 63.3400
1700.000000 137.655 63.3320
1725.000000 137.764 63.2538
1750.000000 137.882 63.1337
1775.000000 138.008 63.1000
1800.000000 138.130 62.9742
1825.000000 138.249 62.9070
1850.000000 138.380 62.7470
1875.000000 138.510 62.7073
1900.000000 138.632 62.5607
1925.000000 138.773 62.3514
1950.000000 138.901 62.1925
1975.000000 139.042 62.0034
2000.000000 139.172 61.8156
2030.000000 139.343 61.4291
2060.000000 139.509 61.1118
2090.000000 139.677 60.7207
2120.000000 139.847 60.2689
2140.000000 139.959 59.9583
2180.000000 140.191 59.2471
2200.000000 140.306 58.8319
2240.000000 140.530 58.0067
2270.000000 140.691 57.3291
2300.000000 140.854 56.5466
2330.000000 141.007 55.7178
2360.000000 141.166 54.8821
2400.000000 141.361 53.6311
2430.000000 141.494 52.6535
2470.000000 141.668 51.2189
2500.000000 141.793 50.1543
2540.000000 141.927 48.5805
2580.000000 142.061 46.9475
2620.000000 142.160 45.3531
2650.000000 142.230 44.0731
2690.000000 142.300 42.3837
2720.000000 142.337 41.1250
2760.000000 142.371 39.4377
2800.000000 142.392 37.7787
2850.000000 142.382 35.7395
2900.000000 142.345 33.8094
2950.000000 142.288 31.9529
3000.000000 142.213 30.3236
3040.000000 142.134 29.0122
3070.000000 142.078 28.0320
3110.000000 141.987 26.9114
3150.000000 141.894 25.9145
3200.000000 141.786 24.7304
3250.000000 141.659 23.7377
3300.000000 141.546 22.8329
3350.000000 141.437 22.0083
3400.000000 141.327 21.3228
3450.000000 141.226 20.7214
3500.000000 141.130 20.2322
3550.000000 141.048 19.7939
3600.000000 140.967 19.4037
3650.000000 140.912 19.1033
3700.000000 140.847 18.8085
3750.000000 140.798 18.5546
3820.000000 140.756 18.1747
3870.000000 140.730 17.9940
3950.000000 140.707 17.5325
4000.000000 140.703 17.1943
4060.000000 140.708 16.8694
4120.000000 140.725 16.4496
4180.000000 140.742 15.9772
4250.000000 140.772 15.3550
4310.000000 140.796 14.6948
4370.000000 140.834 13.9615
4440.000000 140.861 13.0448
4500.000000 140.874 12.1740
4550.000000 140.882 11.4022
4620.000000 140.896 10.2572
4680.000000 140.884 9.2286
4750.000000 140.870 7.9373
4820.000000 140.816 6.6388
4870.000000 140.780 5.6873
4940.000000 140.703 4.3489
5000.000000 140.627 3.3359
5080.000000 140.499 1.8810
5150.000000 140.371 0.6613
5220.000000 140.225 -0.3409
5300.000000 140.063 -1.5133
5380.000000 139.880 -2.4689
5450.000000 139.721 -3.2351
5520.000000 139.564 -3.9178
5600.000000 139.384 -4.6011
5700.000000 139.169 -5.3033
5800.000000 138.954 -5.9948
5900.000000 138.766 -6.5712
6000.000000 138.574 -7.1422
6080.000000 138.430 -7.8086
6150.000000 138.304 -8.3573
6220.000000 138.175 -8.8533
6300.000000 138.008 -9.4906
6400.000000 137.793 -10.4651
6500.000000 137.562 -11.4771
6600.000000 137.288 -12.2288
6700.000000 136.985 -13.0818
6800.000000 136.649 -13.7700
6900.000000 136.278 -14.2449
7000.000000 135.931 -14.3585
