* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: May 1, 2024 4:38:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R SIMGOT MIX May 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 139.565 -165.5680
20.600000 139.576 -166.3277
20.900000 139.581 -166.9932
21.200001 139.588 -167.6557
21.400000 139.594 -168.1078
21.799999 139.608 -169.0441
22.000000 139.615 -169.5271
22.400000 139.626 -170.5047
22.700001 139.631 -171.2252
23.000000 139.634 -171.9146
23.299999 139.636 -172.5660
23.600000 139.638 -173.1837
24.000000 139.643 -173.9743
24.299999 139.647 -174.5647
24.700001 139.652 -175.3719
25.000000 139.653 -175.9983
25.400000 139.650 -176.8514
25.799999 139.643 -177.6993
26.200001 139.638 -178.5194
26.500000 139.638 -179.1152
26.900000 139.644 -179.8974
27.200001 139.651 179.5128
27.600000 139.659 178.7171
28.000000 139.657 177.9300
28.500000 139.638 177.0152
29.000000 139.609 176.2169
29.500000 139.585 175.4973
30.000000 139.572 174.7689
30.400000 139.565 174.1484
30.700001 139.559 173.6684
31.100000 139.550 173.0346
31.500000 139.539 172.4252
32.000000 139.526 171.6889
32.500000 139.515 170.9403
33.000000 139.501 170.1549
33.500000 139.484 169.3545
34.000000 139.465 168.5763
34.500000 139.451 167.8319
35.000000 139.440 167.1080
35.500000 139.426 166.3955
36.000000 139.406 165.7038
36.500000 139.380 165.0443
37.000000 139.353 164.4097
37.500000 139.329 163.7780
38.200001 139.303 162.8700
38.700001 139.283 162.2101
39.500000 139.245 161.1672
40.000000 139.216 160.5313
40.599998 139.178 159.7862
41.200001 139.143 159.0641
41.799999 139.115 158.3682
42.500000 139.088 157.5914
43.099998 139.067 156.9436
43.700001 139.041 156.2879
44.400002 139.003 155.5127
45.000000 138.967 154.8716
45.500000 138.943 154.3532
46.200001 138.917 153.6010
46.799999 138.889 152.9282
47.500000 138.844 152.1947
48.200001 138.798 151.5185
48.700001 138.769 151.0147
49.400002 138.725 150.2715
50.000000 138.686 149.6609
50.799999 138.642 148.9036
51.500000 138.605 148.2784
52.200001 138.569 147.7097
53.000000 138.535 147.0254
53.799999 138.488 146.2125
54.500000 138.431 145.5374
55.200001 138.384 144.9540
56.000000 138.351 144.2762
57.000000 138.306 143.4066
58.000000 138.246 142.5908
59.000000 138.179 141.8123
60.000000 138.124 141.0251
60.799999 138.084 140.3738
61.500000 138.048 139.8250
62.200001 138.011 139.2668
63.000000 137.956 138.6362
64.000000 137.890 137.9409
65.000000 137.838 137.1865
66.000000 137.777 136.4280
67.000000 137.721 135.7120
68.000000 137.666 134.9875
69.000000 137.608 134.3479
70.000000 137.550 133.7954
71.000000 137.508 133.1444
72.000000 137.454 132.3090
73.000000 137.386 131.6887
74.000000 137.323 131.1714
75.000000 137.249 130.5314
76.199997 137.173 129.5847
77.500000 137.110 128.7960
78.800003 137.062 128.1335
80.000000 136.988 127.4197
81.199997 136.927 126.7621
82.500000 136.859 126.0265
83.800003 136.776 125.2909
85.000000 136.724 124.6853
86.199997 136.674 123.9471
87.500000 136.577 123.2866
88.500000 136.522 122.8063
90.000000 136.441 122.0778
91.199997 136.389 121.4371
92.500000 136.317 120.7978
93.800003 136.259 120.1620
95.000000 136.194 119.5966
96.199997 136.132 119.0291
97.500000 136.066 118.4231
98.800003 135.999 117.8452
100.000000 135.945 117.3373
101.500000 135.876 116.6837
103.000000 135.794 116.0267
104.400002 135.729 115.4233
106.000000 135.656 114.7545
107.500000 135.580 114.2636
109.000000 135.519 113.5739
110.599998 135.441 112.9515
112.000000 135.378 112.4248
113.800003 135.303 111.7306
115.000000 135.239 111.3143
117.199997 135.149 110.5129
118.000000 135.114 110.2150
120.599998 134.997 109.3179
122.000000 134.948 108.7914
124.099998 134.861 108.1006
125.000000 134.823 107.7744
126.500000 134.774 107.2922
128.000000 134.709 106.8245
131.500000 134.577 105.7613
132.000000 134.556 105.5571
134.000000 134.473 105.0525
136.000000 134.406 104.3336
138.000000 134.331 103.7922
140.000000 134.254 103.3053
143.000000 134.154 102.4581
145.000000 134.093 101.9537
147.500000 134.003 101.2785
150.000000 133.919 100.7040
152.500000 133.843 99.9797
155.000000 133.763 99.3900
157.500000 133.679 98.7164
160.000000 133.630 98.1646
162.500000 133.535 97.6245
165.000000 133.489 97.1473
167.500000 133.406 96.4372
170.000000 133.349 95.9909
172.500000 133.315 95.2205
175.000000 133.252 95.2058
177.500000 133.132 94.4023
180.000000 133.115 93.8719
182.500000 133.052 93.5050
185.000000 132.975 93.1791
187.500000 132.937 92.5370
190.000000 132.852 92.1193
192.500000 132.833 91.7447
195.000000 132.796 91.3159
197.500000 132.719 90.9463
200.000000 132.677 90.6422
203.000000 132.649 89.8815
206.000000 132.504 89.4139
209.000000 132.517 89.2507
212.000000 132.496 88.7222
214.000000 132.436 88.2550
218.000000 132.373 87.7903
220.000000 132.347 87.5298
224.000000 132.279 86.9785
227.000000 132.244 86.5663
230.000000 132.212 86.1164
233.000000 132.177 85.7846
236.000000 132.152 85.4031
240.000000 132.094 84.8890
243.000000 132.047 84.5457
247.000000 132.008 84.1323
250.000000 132.001 83.7898
254.000000 131.962 83.2371
258.000000 131.920 82.8027
262.000000 131.890 82.3834
265.000000 131.865 82.1095
269.000000 131.839 81.7212
272.000000 131.808 81.4145
276.000000 131.792 81.0252
280.000000 131.759 80.6153
285.000000 131.738 80.1381
290.000000 131.716 79.7816
295.000000 131.672 79.1944
300.000000 131.668 78.8646
304.000000 131.670 78.4651
307.000000 131.654 78.3134
311.000000 131.614 78.0518
315.000000 131.578 77.7338
320.000000 131.603 77.3140
325.000000 131.601 76.9317
330.000000 131.586 76.4332
335.000000 131.554 76.1125
340.000000 131.555 75.6613
345.000000 131.551 75.3369
350.000000 131.535 75.1512
355.000000 131.549 74.7957
360.000000 131.532 74.3143
365.000000 131.576 74.1381
370.000000 131.536 73.8395
375.000000 131.524 73.6751
382.000000 131.554 73.0944
387.000000 131.533 72.6677
395.000000 131.530 72.3408
400.000000 131.545 72.1111
406.000000 131.538 71.7658
412.000000 131.553 71.4054
418.000000 131.568 71.0338
425.000000 131.576 70.8209
431.000000 131.582 70.5007
437.000000 131.588 70.3130
444.000000 131.599 69.9716
450.000000 131.611 69.6952
455.000000 131.620 69.5402
462.000000 131.635 69.2369
468.000000 131.631 69.0115
475.000000 131.663 68.7480
482.000000 131.658 68.3526
487.000000 131.670 68.1360
494.000000 131.660 68.1298
500.000000 131.701 67.9347
508.000000 131.709 67.6808
515.000000 131.731 67.4546
522.000000 131.744 67.1533
530.000000 131.761 67.0632
538.000000 131.775 66.8130
545.000000 131.785 66.6455
552.000000 131.808 66.5160
560.000000 131.823 66.3857
570.000000 131.837 66.1864
580.000000 131.857 66.0507
590.000000 131.890 65.7779
600.000000 131.900 65.7293
608.000000 131.926 65.6373
615.000000 131.939 65.5918
622.000000 131.949 65.4731
630.000000 131.985 65.3979
640.000000 132.002 65.4374
650.000000 132.016 65.3048
660.000000 132.051 65.2941
670.000000 132.065 65.3020
680.000000 132.087 65.2612
690.000000 132.124 65.3250
700.000000 132.149 65.2612
710.000000 132.171 65.4377
720.000000 132.212 65.5435
730.000000 132.242 65.6733
740.000000 132.282 65.7216
750.000000 132.332 65.8642
762.000000 132.376 65.9787
775.000000 132.431 66.0377
788.000000 132.485 66.1967
800.000000 132.537 66.3900
812.000000 132.591 66.5444
825.000000 132.655 66.8021
838.000000 132.726 66.9669
850.000000 132.785 67.1946
862.000000 132.847 67.4810
875.000000 132.935 67.7167
885.000000 132.992 67.8486
900.000000 133.080 68.1061
912.000000 133.170 68.2908
925.000000 133.261 68.5120
938.000000 133.340 68.6883
950.000000 133.434 68.8524
962.000000 133.528 69.0293
975.000000 133.632 69.1783
988.000000 133.724 69.2929
1000.000000 133.795 69.3041
1015.000000 133.938 69.4905
1030.000000 134.056 69.5802
1044.000000 134.178 69.5857
1060.000000 134.305 69.5567
1075.000000 134.426 69.5764
1090.000000 134.535 69.5017
1106.000000 134.654 69.4330
1120.000000 134.762 69.3401
1138.000000 134.901 69.2399
1150.000000 134.991 69.1067
1172.000000 135.139 68.8766
1180.000000 135.188 68.7836
1206.000000 135.352 68.5133
1220.000000 135.441 68.3283
1241.000000 135.557 68.0939
1250.000000 135.607 68.0316
1265.000000 135.684 67.8938
1280.000000 135.774 67.6736
1315.000000 135.939 67.3157
1320.000000 135.970 67.2932
1340.000000 136.068 67.1267
1360.000000 136.168 66.9512
1380.000000 136.258 66.7976
1400.000000 136.349 66.6195
1430.000000 136.475 66.4404
1450.000000 136.567 66.3520
1475.000000 136.665 66.1674
1500.000000 136.783 66.0676
1525.000000 136.888 65.9387
1550.000000 136.994 65.8473
1575.000000 137.106 65.7081
1600.000000 137.205 65.6907
1625.000000 137.321 65.5626
1650.000000 137.428 65.4830
1675.000000 137.536 65.5108
1700.000000 137.654 65.4104
1725.000000 137.765 65.3560
1750.000000 137.874 65.2986
1775.000000 137.987 65.2913
1800.000000 138.116 65.2227
1825.000000 138.243 65.1917
1850.000000 138.365 65.1732
1875.000000 138.496 65.0016
1900.000000 138.625 64.9261
1925.000000 138.759 64.7984
1950.000000 138.893 64.6548
1975.000000 139.032 64.4725
2000.000000 139.163 64.3113
2030.000000 139.337 64.0261
2060.000000 139.508 63.7404
2090.000000 139.685 63.3999
2120.000000 139.864 63.0418
2140.000000 139.979 62.7020
2180.000000 140.215 62.0188
2200.000000 140.325 61.6586
2240.000000 140.558 60.8875
2270.000000 140.730 60.2209
2300.000000 140.905 59.4833
2330.000000 141.069 58.6666
2360.000000 141.236 57.8111
2400.000000 141.440 56.5422
2430.000000 141.588 55.5435
2470.000000 141.776 54.1057
2500.000000 141.905 52.9683
2540.000000 142.064 51.3452
2580.000000 142.202 49.6375
2620.000000 142.314 47.8868
2650.000000 142.385 46.4953
2690.000000 142.456 44.6734
2720.000000 142.498 43.2697
2760.000000 142.527 41.4470
2800.000000 142.534 39.5830
2850.000000 142.509 37.3650
2900.000000 142.449 35.2397
2950.000000 142.356 33.1968
3000.000000 142.242 31.3690
3040.000000 142.140 29.9161
3070.000000 142.052 28.9497
3110.000000 141.925 27.7391
3150.000000 141.796 26.6023
3200.000000 141.630 25.4019
3250.000000 141.458 24.3007
3300.000000 141.281 23.4042
3350.000000 141.115 22.6385
3400.000000 140.953 22.0195
3450.000000 140.794 21.5315
3500.000000 140.639 21.1188
3550.000000 140.499 20.8413
3600.000000 140.368 20.6866
3650.000000 140.244 20.5442
3700.000000 140.137 20.4895
3750.000000 140.025 20.4775
3820.000000 139.912 20.5358
3870.000000 139.834 20.6581
3950.000000 139.735 20.8502
4000.000000 139.687 20.9608
4060.000000 139.632 21.1876
4120.000000 139.600 21.3160
4180.000000 139.582 21.5566
4250.000000 139.587 21.7069
4310.000000 139.586 21.7245
4370.000000 139.606 21.8181
4440.000000 139.635 21.7868
4500.000000 139.677 21.7312
4550.000000 139.704 21.6038
4620.000000 139.757 21.3889
4680.000000 139.803 21.1298
4750.000000 139.867 20.7008
4820.000000 139.922 20.1709
4870.000000 139.969 19.6887
4940.000000 140.016 18.9957
5000.000000 140.051 18.3900
5080.000000 140.076 17.2992
5150.000000 140.095 16.3848
5220.000000 140.100 15.3026
5300.000000 140.090 14.1165
5380.000000 140.063 12.8165
5450.000000 140.024 11.7097
5520.000000 139.971 10.5971
5600.000000 139.883 9.2716
5700.000000 139.756 7.6198
5800.000000 139.596 6.1590
5900.000000 139.435 4.7692
6000.000000 139.252 3.3190
6080.000000 139.091 2.1079
6150.000000 138.933 1.1373
6220.000000 138.759 0.1901
6300.000000 138.530 -0.8890
6400.000000 138.234 -2.0411
6500.000000 137.901 -3.1918
6600.000000 137.546 -3.9781
6700.000000 137.165 -4.4061
6800.000000 136.787 -4.5612
6900.000000 136.412 -4.4208
7000.000000 136.022 -3.7126
