* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Sony MH755 Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 17, 2023 6:11:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Sony MH755 Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Sony MH755 Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	66.286	134.6968
1.015000	66.137	133.8805
1.030000	65.984	133.0433
1.044000	65.837	132.2417
1.060000	65.664	131.2998
1.075000	65.496	130.3903
1.090000	65.323	129.4534
1.106000	65.132	128.4318
1.120000	64.957	127.5712
1.138000	64.722	126.5155
1.150000	64.559	125.8367
1.172000	64.249	124.6278
1.180000	64.133	124.1955
1.206000	63.745	122.7961
1.220000	63.530	122.0349
1.241000	63.201	120.8643
1.250000	63.058	120.3469
1.265000	62.818	119.4572
1.280000	62.575	118.5256
1.315000	62.003	116.1411
1.320000	61.921	115.7718
1.340000	61.594	114.2101
1.360000	61.268	112.4984
1.380000	60.945	110.6164
1.400000	60.626	108.5441
1.430000	60.160	105.0345
1.450000	59.859	102.3979
1.475000	59.490	98.7209
1.500000	59.092	94.5141
1.525000	58.663	89.8174
1.550000	58.212	84.7032
1.575000	57.749	79.2435
1.600000	57.284	73.5105
1.625000	56.827	67.5766
1.650000	56.387	61.5137
1.675000	55.975	55.3942
1.700000	55.600	49.2901
1.725000	55.272	43.2737
1.750000	55.000	37.4172
1.775000	54.795	31.7927
1.800000	54.667	26.4724
1.825000	54.624	21.5285
1.850000	54.680	16.9082
1.875000	54.835	12.3559
1.900000	55.080	7.8735
1.925000	55.401	3.4749
1.950000	55.786	-0.8258
1.975000	56.224	-5.0146
2.000000	56.701	-9.0776
2.030000	57.309	-13.7673
2.060000	57.935	-18.2314
2.090000	58.558	-22.4457
2.120000	59.158	-26.3859
2.140000	59.534	-28.8486
2.180000	60.200	-33.3475
2.200000	60.479	-35.3691
2.240000	60.988	-38.8572
2.270000	61.351	-41.0115
2.300000	61.700	-42.8240
2.330000	62.035	-44.3431
2.360000	62.356	-45.6174
2.400000	62.766	-47.0194
2.430000	63.060	-47.9111
2.470000	63.436	-48.9791
2.500000	63.706	-49.7523
2.540000	64.054	-50.8386
2.580000	64.387	-52.0564
2.620000	64.695	-53.1687
2.650000	64.910	-53.9019
2.690000	65.179	-54.7629
2.720000	65.368	-55.3336
2.760000	65.608	-56.0128
2.800000	65.837	-56.6192
2.850000	66.113	-57.3096
2.900000	66.384	-57.9661
2.950000	66.656	-58.6195
3.000000	66.916	-59.1852
3.040000	67.114	-59.5692
3.070000	67.258	-59.8244
3.110000	67.444	-60.1300
3.150000	67.626	-60.4059
3.200000	67.849	-60.7260
3.250000	68.070	-61.0385
3.300000	68.291	-61.3649
3.350000	68.511	-61.6775
3.400000	68.727	-61.9552
3.450000	68.939	-62.2098
3.500000	69.147	-62.4532
3.550000	69.353	-62.6974
3.600000	69.555	-62.9543
3.650000	69.755	-63.2357
3.700000	69.953	-63.5428
3.750000	70.148	-63.8569
3.820000	70.418	-64.3116
3.870000	70.606	-64.6506
3.950000	70.900	-65.2244
4.000000	71.078	-65.6067
4.060000	71.286	-66.0936
4.120000	71.488	-66.6114
4.180000	71.684	-67.1553
4.250000	71.905	-67.8165
4.310000	72.087	-68.4006
4.370000	72.263	-68.9956
4.440000	72.459	-69.7036
4.500000	72.619	-70.3332
4.550000	72.748	-70.8701
4.620000	72.920	-71.6330
4.680000	73.061	-72.2903
4.750000	73.219	-73.0518
4.820000	73.369	-73.8087
4.870000	73.470	-74.3535
4.940000	73.605	-75.1175
5.000000	73.716	-75.7692
5.080000	73.857	-76.6266
5.150000	73.976	-77.3598
5.220000	74.088	-78.0812
5.300000	74.210	-78.8936
5.380000	74.326	-79.6926
5.450000	74.425	-80.3802
5.520000	74.523	-81.0565
5.600000	74.631	-81.8117
5.700000	74.761	-82.7353
5.800000	74.888	-83.6465
5.900000	75.014	-84.5539
6.000000	75.138	-85.4482
6.080000	75.236	-86.1587
6.150000	75.321	-86.7817
6.220000	75.405	-87.4103
6.300000	75.501	-88.1348
6.400000	75.621	-89.0443
6.500000	75.738	-89.9616
6.600000	75.853	-90.8904
6.700000	75.967	-91.8334
6.800000	76.078	-92.7874
6.900000	76.187	-93.7474
7.000000	76.292	-94.7099
7.100000	76.394	-95.6805
7.200000	76.493	-96.6535
7.300000	76.589	-97.6206
7.400000	76.682	-98.5784
7.500000	76.772	-99.5324
7.620000	76.877	-100.6639
7.750000	76.987	-101.8628
7.880000	77.093	-103.0375
8.000000	77.189	-104.0988
8.120000	77.284	-105.1347
8.250000	77.384	-106.2289
8.380000	77.483	-107.2969
8.500000	77.574	-108.2610
8.620000	77.664	-109.2030
8.750000	77.761	-110.2021
8.850000	77.835	-110.9575
9.000000	77.945	-112.0673
9.120000	78.031	-112.9362
9.250000	78.123	-113.8599
9.380000	78.213	-114.7645
9.500000	78.295	-115.5822
9.620000	78.376	-116.3829
9.750000	78.462	-117.2315
9.880000	78.539	-118.0603
10.000000	78.595	-118.8072
10.150000	78.652	-119.7171
10.300000	78.701	-120.6028
10.440000	78.740	-121.4069
10.600000	78.778	-122.3019
10.750000	78.813	-123.1195
10.900000	78.846	-123.9160
11.060000	78.877	-124.7448
11.200000	78.901	-125.4520
11.380000	78.929	-126.3372
11.500000	78.945	-126.9120
11.720000	78.970	-127.9356
11.800000	78.978	-128.2981
12.060000	79.000	-129.4427
12.200000	79.009	-130.0413
12.410000	79.022	-130.9181
12.500000	79.033	-131.2901
12.650000	79.058	-131.9027
12.800000	79.087	-132.5118
13.150000	79.149	-133.9317
13.200000	79.157	-134.1349
13.400000	79.187	-134.9501
13.600000	79.213	-135.7655
13.800000	79.236	-136.5809
14.000000	79.255	-137.3901
14.300000	79.277	-138.5892
14.500000	79.290	-139.3745
14.750000	79.304	-140.3418
15.000000	79.317	-141.2948
15.250000	79.330	-142.2391
15.500000	79.343	-143.1773
15.750000	79.357	-144.1100
16.000000	79.373	-145.0354
16.250000	79.392	-145.9477
16.500000	79.415	-146.8434
16.750000	79.437	-147.7184
17.000000	79.459	-148.5709
17.250000	79.481	-149.4017
17.500000	79.504	-150.2118
17.750000	79.526	-151.0030
18.000000	79.548	-151.7749
18.250000	79.569	-152.5269
18.500000	79.588	-153.2563
18.750000	79.605	-153.9620
19.000000	79.621	-154.6425
19.250000	79.636	-155.2982
19.500000	79.648	-155.9315
19.750000	79.660	-156.5445
20.000000	79.672	-157.1415
20.299999	79.684	-157.8412
20.600000	79.695	-158.5271
20.900000	79.704	-159.2028
21.200001	79.709	-159.8705
21.400000	79.712	-160.3118
21.799999	79.712	-161.1853
22.000000	79.711	-161.6178
22.400000	79.706	-162.4759
22.700001	79.700	-163.1151
23.000000	79.694	-163.7522
23.299999	79.686	-164.3875
23.600000	79.677	-165.0191
24.000000	79.665	-165.8515
24.299999	79.657	-166.4662
24.700001	79.647	-167.2743
25.000000	79.641	-167.8764
25.400000	79.636	-168.6799
25.799999	79.629	-169.4813
26.200001	79.619	-170.2628
26.500000	79.610	-170.8221
26.900000	79.598	-171.5224
27.200001	79.591	-172.0179
27.600000	79.584	-172.6570
28.000000	79.579	-173.2942
28.500000	79.570	-174.0974
29.000000	79.553	-174.8784
29.500000	79.530	-175.6067
30.000000	79.507	-176.2929
30.400000	79.490	-176.8371
30.700001	79.477	-177.2508
31.100000	79.456	-177.8076
31.500000	79.435	-178.3610
32.000000	79.405	-179.0380
32.500000	79.375	-179.7038
33.000000	79.345	179.6329
33.500000	79.314	178.9773
34.000000	79.283	178.3411
34.500000	79.255	177.7231
35.000000	79.228	177.1123
35.500000	79.199	176.5061
36.000000	79.169	175.9175
36.500000	79.138	175.3597
37.000000	79.106	174.8318
37.500000	79.077	174.3200
38.200001	79.038	173.6012
38.700001	79.008	173.0779
39.500000	78.952	172.2523
40.000000	78.914	171.7690
40.599998	78.873	171.2216
41.200001	78.836	170.6743
41.799999	78.800	170.1064
42.500000	78.752	169.4508
43.099998	78.710	168.9279
43.700001	78.670	168.4263
44.400002	78.625	167.8386
45.000000	78.584	167.3413
45.500000	78.549	166.9456
46.200001	78.499	166.4153
46.799999	78.458	165.9672
47.500000	78.410	165.4519
48.200001	78.361	164.9542
48.700001	78.328	164.6042
49.400002	78.282	164.1107
50.000000	78.240	163.6910
50.799999	78.184	163.1574
51.500000	78.135	162.7137
52.200001	78.089	162.2807
53.000000	78.035	161.7972
53.799999	77.980	161.3196
54.500000	77.933	160.9047
55.200001	77.883	160.5019
56.000000	77.827	160.0549
57.000000	77.757	159.5216
58.000000	77.690	159.0198
59.000000	77.625	158.5004
60.000000	77.555	158.0114
60.799999	77.500	157.6501
61.500000	77.453	157.3333
62.200001	77.405	157.0237
63.000000	77.350	156.6786
64.000000	77.280	156.2475
65.000000	77.212	155.8316
66.000000	77.143	155.4231
67.000000	77.075	155.0343
68.000000	77.009	154.6721
69.000000	76.943	154.3216
70.000000	76.876	153.9675
71.000000	76.806	153.6287
72.000000	76.739	153.3076
73.000000	76.670	152.9733
74.000000	76.600	152.6717
75.000000	76.538	152.3876
76.199997	76.464	152.0014
77.500000	76.377	151.6383
78.800003	76.296	151.3055
80.000000	76.219	151.0005
81.199997	76.144	150.7272
82.500000	76.065	150.4213
83.800003	75.985	150.1391
85.000000	75.913	149.8728
86.199997	75.841	149.6229
87.500000	75.765	149.3441
88.500000	75.706	149.1470
90.000000	75.621	148.8615
91.199997	75.550	148.6428
92.500000	75.475	148.4354
93.800003	75.399	148.2436
95.000000	75.330	148.0536
96.199997	75.260	147.8715
97.500000	75.187	147.6823
98.800003	75.119	147.5097
100.000000	75.057	147.3323
101.500000	74.978	147.1409
103.000000	74.898	146.9673
104.400002	74.822	146.8269
106.000000	74.739	146.6748
107.500000	74.661	146.4943
109.000000	74.585	146.3477
110.599998	74.509	146.1696
112.000000	74.440	146.0460
113.800003	74.354	145.9163
115.000000	74.292	145.8319
117.199997	74.178	145.7272
118.000000	74.141	145.6877
120.599998	74.025	145.4900
122.000000	73.963	145.3891
124.099998	73.869	145.2764
125.000000	73.829	145.2455
126.500000	73.765	145.1935
128.000000	73.700	145.1398
131.500000	73.563	145.0349
132.000000	73.545	145.0140
134.000000	73.466	144.9495
136.000000	73.391	144.9062
138.000000	73.315	144.8415
140.000000	73.243	144.8049
143.000000	73.141	144.7916
145.000000	73.071	144.7770
147.500000	72.979	144.7683
150.000000	72.890	144.7548
152.500000	72.811	144.7664
155.000000	72.731	144.7758
157.500000	72.646	144.7911
160.000000	72.558	144.8184
162.500000	72.472	144.8726
165.000000	72.383	144.9142
167.500000	72.290	144.9464
170.000000	72.200	145.0090
172.500000	72.119	145.0781
175.000000	72.035	145.1428
177.500000	71.950	145.2033
180.000000	71.866	145.2680
182.500000	71.784	145.3464
185.000000	71.706	145.4622
187.500000	71.630	145.5602
190.000000	71.550	145.6542
192.500000	71.471	145.7445
195.000000	71.395	145.8357
197.500000	71.321	145.9388
200.000000	71.250	146.0814
203.000000	71.172	146.2174
206.000000	71.096	146.3549
209.000000	71.021	146.4938
212.000000	70.942	146.6588
214.000000	70.891	146.7537
218.000000	70.796	146.9584
220.000000	70.751	147.0611
224.000000	70.661	147.2745
227.000000	70.594	147.4233
230.000000	70.525	147.5882
233.000000	70.457	147.7856
236.000000	70.395	147.9714
240.000000	70.311	148.1952
243.000000	70.249	148.3825
247.000000	70.166	148.6516
250.000000	70.107	148.8444
254.000000	70.031	149.0880
258.000000	69.950	149.3358
262.000000	69.880	149.6015
265.000000	69.827	149.7699
269.000000	69.755	150.0247
272.000000	69.706	150.2403
276.000000	69.639	150.5447
280.000000	69.574	150.8139
285.000000	69.494	151.1194
290.000000	69.419	151.4654
295.000000	69.343	151.8194
300.000000	69.267	152.1726
304.000000	69.214	152.4377
307.000000	69.170	152.6607
311.000000	69.111	152.9254
315.000000	69.055	153.1889
320.000000	68.984	153.5523
325.000000	68.922	153.8980
330.000000	68.860	154.2785
335.000000	68.797	154.6370
340.000000	68.733	154.9841
345.000000	68.679	155.3339
350.000000	68.621	155.7121
355.000000	68.562	156.0259
360.000000	68.507	156.3672
365.000000	68.457	156.7571
370.000000	68.407	157.1129
375.000000	68.357	157.4606
382.000000	68.286	157.9890
387.000000	68.238	158.3621
395.000000	68.165	158.9051
400.000000	68.120	159.2262
406.000000	68.064	159.6473
412.000000	68.018	160.1086
418.000000	67.970	160.5465
425.000000	67.919	161.0195
431.000000	67.872	161.4443
437.000000	67.827	161.8730
444.000000	67.779	162.4133
450.000000	67.735	162.8222
455.000000	67.701	163.1494
462.000000	67.658	163.6389
468.000000	67.619	164.0616
475.000000	67.577	164.5641
482.000000	67.538	165.0511
487.000000	67.507	165.4235
494.000000	67.470	165.9138
500.000000	67.439	166.3274
508.000000	67.399	166.8936
515.000000	67.363	167.3702
522.000000	67.332	167.8491
530.000000	67.290	168.3940
538.000000	67.256	168.9536
545.000000	67.227	169.4193
552.000000	67.202	169.9041
560.000000	67.172	170.4590
570.000000	67.135	171.1430
580.000000	67.103	171.8437
590.000000	67.071	172.5228
600.000000	67.042	173.2404
608.000000	67.019	173.8062
615.000000	67.000	174.3228
622.000000	66.983	174.8575
630.000000	66.965	175.4115
640.000000	66.948	176.0839
650.000000	66.930	176.8111
660.000000	66.919	177.5459
670.000000	66.901	178.2745
680.000000	66.890	178.9915
690.000000	66.880	179.6965
700.000000	66.881	-179.5396
710.000000	66.885	-178.8217
720.000000	66.880	-178.0577
730.000000	66.881	-177.3569
740.000000	66.892	-176.6182
750.000000	66.901	-175.8796
762.000000	66.910	-175.0072
775.000000	66.930	-174.0751
788.000000	66.957	-173.0929
800.000000	66.984	-172.2193
812.000000	67.007	-171.3478
825.000000	67.039	-170.4491
838.000000	67.074	-169.5082
850.000000	67.108	-168.6298
862.000000	67.155	-167.7908
875.000000	67.210	-166.9578
885.000000	67.252	-166.2967
900.000000	67.320	-165.2565
912.000000	67.385	-164.5176
925.000000	67.457	-163.7192
938.000000	67.529	-162.9435
950.000000	67.604	-162.2579
962.000000	67.683	-161.6255
975.000000	67.768	-160.9562
988.000000	67.861	-160.3065
1000.000000	67.951	-159.7539
1015.000000	68.074	-159.1164
1030.000000	68.200	-158.5343
1044.000000	68.320	-158.0416
1060.000000	68.460	-157.5241
1075.000000	68.589	-157.0995
1090.000000	68.717	-156.6935
1106.000000	68.848	-156.3245
1120.000000	68.963	-156.0636
1138.000000	69.109	-155.7525
1150.000000	69.202	-155.5571
1172.000000	69.369	-155.2685
1180.000000	69.428	-155.1879
1206.000000	69.610	-154.9083
1220.000000	69.703	-154.7837
1241.000000	69.836	-154.6285
1250.000000	69.888	-154.5547
1265.000000	69.959	-154.4321
1280.000000	70.020	-154.3456
1315.000000	70.152	-154.1312
1320.000000	70.171	-154.0915
1340.000000	70.249	-153.9673
1360.000000	70.320	-153.8831
1380.000000	70.387	-153.8400
1400.000000	70.443	-153.7571
1430.000000	70.529	-153.5163
1450.000000	70.593	-153.3564
1475.000000	70.672	-153.1867
1500.000000	70.747	-152.9976
1525.000000	70.827	-152.8181
1550.000000	70.904	-152.6774
1575.000000	70.985	-152.5392
1600.000000	71.063	-152.3710
1625.000000	71.166	-152.1785
1650.000000	71.278	-151.9802
1675.000000	71.396	-151.7823
1700.000000	71.515	-151.5852
1725.000000	71.635	-151.3890
1750.000000	71.759	-151.1705
1775.000000	71.885	-150.9933
1800.000000	72.016	-150.8267
1825.000000	72.147	-150.6761
1850.000000	72.278	-150.5130
1875.000000	72.414	-150.3915
1900.000000	72.552	-150.2697
1925.000000	72.690	-150.1599
1950.000000	72.832	-150.0825
1975.000000	72.974	-150.0171
2000.000000	73.118	-149.9665
2030.000000	73.290	-149.9442
2060.000000	73.462	-149.9501
2090.000000	73.637	-149.9883
2120.000000	73.815	-150.0682
2140.000000	73.934	-150.1417
2180.000000	74.175	-150.3311
2200.000000	74.297	-150.4705
2240.000000	74.544	-150.7884
2270.000000	74.730	-151.0773
2300.000000	74.917	-151.4089
2330.000000	75.106	-151.7892
2360.000000	75.293	-152.2401
2400.000000	75.544	-152.9259
2430.000000	75.730	-153.4958
2470.000000	75.973	-154.3448
2500.000000	76.154	-155.0560
2540.000000	76.389	-156.0799
2580.000000	76.613	-157.1830
2620.000000	76.830	-158.3685
2650.000000	76.987	-159.3090
2690.000000	77.185	-160.6378
2720.000000	77.326	-161.6748
2760.000000	77.504	-163.1171
2800.000000	77.674	-164.5984
2850.000000	77.868	-166.5513
2900.000000	78.041	-168.5466
2950.000000	78.192	-170.5956
3000.000000	78.325	-172.6723
3040.000000	78.415	-174.3670
3070.000000	78.473	-175.6310
3110.000000	78.539	-177.3113
3150.000000	78.593	-178.9815
3200.000000	78.642	178.9427
3250.000000	78.675	176.9113
3300.000000	78.690	174.9251
3350.000000	78.691	172.9966
3400.000000	78.677	171.1489
3450.000000	78.653	169.3714
3500.000000	78.618	167.6683
3550.000000	78.575	166.0480
3600.000000	78.526	164.4978
3650.000000	78.470	163.0259
3700.000000	78.414	161.6399
3750.000000	78.352	160.3087
3820.000000	78.262	158.5805
3870.000000	78.200	157.4200
3950.000000	78.101	155.7007
4000.000000	78.040	154.6852
4060.000000	77.966	153.5295
4120.000000	77.895	152.4363
4180.000000	77.829	151.3787
4250.000000	77.756	150.2127
4310.000000	77.699	149.2472
4370.000000	77.646	148.3090
4440.000000	77.589	147.2571
4500.000000	77.544	146.3711
4550.000000	77.509	145.6332
4620.000000	77.465	144.6085
4680.000000	77.429	143.7174
4750.000000	77.390	142.6831
4820.000000	77.354	141.6408
4870.000000	77.328	140.8842
4940.000000	77.290	139.8174
5000.000000	77.254	138.8870
5080.000000	77.188	137.6304
5150.000000	77.124	136.5202
5220.000000	77.054	135.3882
5300.000000	76.968	134.0818
5380.000000	76.873	132.7999
5450.000000	76.781	131.6768
5520.000000	76.683	130.5767
5600.000000	76.558	129.3578
5700.000000	76.393	127.9302
5800.000000	76.222	126.5805
5900.000000	76.040	125.3035
6000.000000	75.850	124.1588
6080.000000	75.694	123.3343
6150.000000	75.555	122.6756
6220.000000	75.420	122.0781
6300.000000	75.280	121.4572
6400.000000	75.163	120.7985
6500.000000	75.068	120.2440
6600.000000	74.984	119.7811
6700.000000	74.910	119.3856
6800.000000	74.851	119.0687
6900.000000	74.808	118.7736
7000.000000	74.779	118.5317
7100.000000	74.774	118.3180
7200.000000	74.796	118.0510
7300.000000	74.841	117.6734
7400.000000	74.900	117.1754
7500.000000	74.973	116.5712
7620.000000	75.079	115.6519
7750.000000	75.213	114.3623
7880.000000	75.359	112.7092
8000.000000	75.469	110.8044
8120.000000	75.490	108.4827
8250.000000	75.456	105.5105
8380.000000	75.365	102.0847
8500.000000	75.211	98.6143
8620.000000	74.977	94.9664
8750.000000	74.623	90.9945
8850.000000	74.279	88.0549
9000.000000	73.659	84.0564
9120.000000	73.095	81.3599
9250.000000	72.436	79.0191
9380.000000	71.751	77.3200
9500.000000	71.110	76.3260
9620.000000	70.476	75.8474
9750.000000	69.800	75.9282
9880.000000	69.145	77.0880
10000.000000	68.802	78.9325
10150.000000	68.453	79.1429
10300.000000	67.994	80.5531
10440.000000	67.700	82.4999
10600.000000	67.488	84.7752
10750.000000	67.386	86.7306
10900.000000	67.342	88.5453
11060.000000	67.345	90.4231
11200.000000	67.389	92.1396
11380.000000	67.544	94.4269
11500.000000	67.719	95.9225
11720.000000	68.214	98.4653
11800.000000	68.459	99.3161
12060.000000	69.571	100.9564
12200.000000	70.351	100.5652
12410.000000	71.763	97.7784
