* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Sound Rhyme DTE500 FA Type E R.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Sound Rhyme DTE500 FA Type E R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Round Rhyme DTE500 FA Typ
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	69.939	-64.4165
1.015000	69.829	-65.2428
1.030000	69.717	-66.0541
1.044000	69.611	-66.7971
1.060000	69.486	-67.6282
1.075000	69.367	-68.3890
1.090000	69.246	-69.1309
1.106000	69.114	-69.9042
1.120000	68.995	-70.5862
1.138000	68.838	-71.4729
1.150000	68.730	-72.0677
1.172000	68.529	-73.1604
1.180000	68.454	-73.5568
1.206000	68.206	-74.8349
1.220000	68.070	-75.5125
1.241000	67.861	-76.5082
1.250000	67.771	-76.9256
1.265000	67.619	-77.6064
1.280000	67.465	-78.2660
1.315000	67.101	-79.7057
1.320000	67.049	-79.8984
1.340000	66.838	-80.6322
1.360000	66.625	-81.3015
1.380000	66.412	-81.8993
1.400000	66.198	-82.4183
1.430000	65.876	-83.0337
1.450000	65.663	-83.3247
1.475000	65.395	-83.5449
1.500000	65.107	-83.6278
1.525000	64.798	-83.5855
1.550000	64.475	-83.4246
1.575000	64.142	-83.1518
1.600000	63.804	-82.7735
1.625000	63.467	-82.2964
1.650000	63.135	-81.7272
1.675000	62.815	-81.0723
1.700000	62.512	-80.3385
1.725000	62.230	-79.5323
1.750000	61.975	-78.6602
1.775000	61.752	-77.7289
1.800000	61.567	-76.7451
1.825000	61.425	-75.7152
1.850000	61.325	-74.5846
1.875000	61.261	-73.2306
1.900000	61.228	-71.6853
1.925000	61.224	-69.9875
1.950000	61.247	-68.1760
1.975000	61.293	-66.2897
2.000000	61.361	-64.3673
2.030000	61.466	-62.0674
2.060000	61.595	-59.8384
2.090000	61.741	-57.7474
2.120000	61.902	-55.8614
2.140000	62.014	-54.7510
2.180000	62.246	-52.9724
2.200000	62.363	-52.3431
2.240000	62.634	-51.4825
2.270000	62.874	-51.1116
2.300000	63.140	-50.9503
2.330000	63.425	-50.9758
2.360000	63.724	-51.1650
2.400000	64.135	-51.6323
2.430000	64.444	-52.1142
2.470000	64.846	-52.8882
2.500000	65.134	-53.5375
2.540000	65.486	-54.4514
2.580000	65.794	-55.3951
2.620000	66.081	-56.5354
2.650000	66.287	-57.5278
2.690000	66.549	-59.0013
2.720000	66.737	-60.1971
2.760000	66.976	-61.8800
2.800000	67.201	-63.6270
2.850000	67.465	-65.8391
2.900000	67.708	-68.0092
2.950000	67.931	-70.0813
3.000000	68.130	-72.1989
3.040000	68.273	-73.9370
3.070000	68.371	-75.2553
