* Measurement data measured by REW V5.31.1
* Source: USB Sound Device        , MICROPHONE, L, volume: 0.760
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 26, 2024 11:21:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L soundpeat pt Aug 26
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 114.347 -76.7869
20.600000 114.410 -80.7385
20.900000 114.588 -84.4593
21.200001 114.854 -87.8127
21.400000 115.054 -89.5921
21.799999 115.477 -91.8594
22.000000 115.688 -92.3726
22.400000 116.100 -92.5904
22.700001 116.380 -92.6691
23.000000 116.593 -93.2038
23.299999 116.702 -94.3077
23.600000 116.704 -95.8068
24.000000 116.599 -97.8929
24.299999 116.532 -99.1100
24.700001 116.586 -100.1409
25.000000 116.763 -100.7438
25.400000 117.104 -101.7927
25.799999 117.399 -103.2321
26.200001 117.543 -104.7076
26.500000 117.563 -105.6469
26.900000 117.548 -106.7646
27.200001 117.548 -107.7772
27.600000 117.570 -109.6706
28.000000 117.569 -112.0096
28.500000 117.502 -114.4691
29.000000 117.477 -115.5626
29.500000 117.618 -116.2411
30.000000 117.805 -118.0338
30.400000 117.847 -120.0188
30.700001 117.808 -121.1599
31.100000 117.782 -121.4768
31.500000 117.938 -120.6962
32.000000 118.401 -120.2688
32.500000 118.777 -122.1668
33.000000 118.687 -125.5832
33.500000 118.182 -128.5459
34.000000 117.711 -129.9772
34.500000 117.686 -130.9587
35.000000 118.010 -132.6391
35.500000 118.325 -134.0567
36.000000 118.517 -133.7364
36.500000 118.714 -132.1869
37.000000 118.931 -131.7469
37.500000 118.984 -133.6975
38.200001 118.655 -138.5149
38.700001 118.360 -141.1765
39.500000 118.285 -143.0611
40.000000 118.375 -143.7088
40.599998 118.437 -144.0630
41.200001 118.558 -144.2576
41.799999 118.809 -145.8201
42.500000 118.993 -149.8377
43.099998 118.869 -153.0530
43.700001 118.625 -154.2762
44.400002 118.475 -153.8601
45.000000 118.460 -153.6366
45.500000 118.406 -153.8287
46.200001 118.237 -153.9535
46.799999 118.142 -153.5873
47.500000 118.290 -153.5103
48.200001 118.604 -155.1665
48.700001 118.724 -157.2749
49.400002 118.585 -160.0615
50.000000 118.345 -161.5866
50.799999 118.221 -163.8797
51.500000 118.252 -166.5344
52.200001 118.331 -167.4902
53.000000 118.562 -166.8152
53.799999 118.555 -167.5789
54.500000 118.220 -168.5914
55.200001 118.130 -169.2186
56.000000 118.431 -171.6519
57.000000 118.371 -174.0418
58.000000 118.191 -172.2099
59.000000 118.250 -173.3946
60.000000 118.036 -175.3530
60.799999 117.924 -174.9466
61.500000 117.927 -174.6977
62.200001 117.900 -175.5412
63.000000 117.738 -177.4766
64.000000 117.359 -179.1776
65.000000 117.247 -178.8230
66.000000 117.445 179.1141
67.000000 117.198 176.4918
68.000000 117.207 176.4364
69.000000 117.405 174.8754
70.000000 117.360 175.0302
71.000000 117.118 175.5669
72.000000 116.778 175.4552
73.000000 116.624 172.3837
74.000000 116.681 170.8719
75.000000 117.002 168.6224
76.199997 116.491 171.1505
77.500000 116.539 169.4033
78.800003 116.019 168.1989
80.000000 116.621 164.8648
81.199997 116.086 170.0693
82.500000 116.051 162.5629
83.800003 115.934 164.9449
85.000000 116.260 162.7562
86.199997 115.334 167.1600
87.500000 116.012 160.0112
88.500000 115.490 161.3341
90.000000 115.908 160.9623
91.199997 115.071 159.8845
92.500000 115.461 160.0799
93.800003 114.837 158.0120
95.000000 115.117 159.2632
96.199997 114.977 156.4851
97.500000 114.536 157.9635
98.800003 114.818 157.9080
100.000000 114.267 155.9293
101.500000 114.434 156.5978
103.000000 114.353 154.4535
104.400002 113.911 155.5200
106.000000 114.118 154.1722
107.500000 113.538 152.7438
109.000000 113.835 154.1226
110.599998 113.496 152.5064
112.000000 113.201 152.1035
113.800003 113.352 152.6623
115.000000 113.124 150.8430
117.199997 112.906 151.5785
118.000000 112.789 152.1475
120.599998 112.407 146.8020
122.000000 112.351 152.2273
124.099998 112.277 152.6402
125.000000 112.416 150.0959
126.500000 112.020 148.6829
128.000000 111.593 149.4997
131.500000 111.875 152.2115
132.000000 111.933 151.1286
134.000000 111.477 148.2184
136.000000 110.704 147.8677
138.000000 110.452 150.3162
140.000000 110.620 152.4700
143.000000 110.813 151.2001
145.000000 110.783 148.7637
147.500000 110.348 148.3264
150.000000 109.706 147.0453
152.500000 109.287 148.9701
155.000000 109.196 150.9830
157.500000 109.220 152.2198
160.000000 108.520 153.2999
162.500000 108.301 151.1887
165.000000 108.148 151.7971
167.500000 108.235 150.6169
170.000000 108.270 151.9635
172.500000 108.432 153.4441
175.000000 108.382 153.0496
177.500000 109.035 159.0504
180.000000 107.406 159.3711
182.500000 106.925 158.3870
185.000000 107.259 155.4321
187.500000 107.614 157.4948
190.000000 107.303 164.3334
192.500000 106.278 163.4549
195.000000 106.640 159.3311
197.500000 107.140 165.0001
200.000000 105.919 166.6992
203.000000 106.545 161.3350
206.000000 106.357 169.9953
209.000000 106.246 160.5180
212.000000 106.459 171.8184
214.000000 105.332 169.2883
218.000000 105.788 176.1476
220.000000 105.452 168.8967
224.000000 104.901 175.2516
227.000000 106.500 178.4755
230.000000 105.284 169.2033
233.000000 105.259 177.4290
236.000000 106.135 179.7552
240.000000 105.876 177.9465
243.000000 105.554 176.8446
247.000000 105.688 179.7698
250.000000 105.086 178.8311
254.000000 104.922 -175.5061
258.000000 105.867 -173.1432
262.000000 105.997 -175.3203
265.000000 105.713 -172.3817
269.000000 105.415 -171.2232
272.000000 104.919 -168.8637
276.000000 106.069 -168.4972
280.000000 105.280 -169.1621
285.000000 106.150 -162.7809
290.000000 105.495 -165.2565
295.000000 105.555 -166.1827
300.000000 105.830 -165.1889
304.000000 105.682 -162.2325
307.000000 105.580 -160.4097
311.000000 106.097 -162.6673
315.000000 105.942 -162.2424
320.000000 105.728 -155.2940
325.000000 106.085 -157.1941
330.000000 106.305 -158.7464
335.000000 106.324 -157.1998
340.000000 106.231 -159.3531
345.000000 106.085 -157.3749
350.000000 106.106 -154.9479
355.000000 106.127 -153.8076
360.000000 106.275 -153.8235
365.000000 106.324 -153.7532
370.000000 106.461 -154.4481
375.000000 106.790 -153.7995
382.000000 106.511 -148.6904
387.000000 106.393 -151.3102
395.000000 107.114 -149.9501
400.000000 106.940 -147.1335
406.000000 107.107 -146.7833
412.000000 106.813 -148.7062
418.000000 106.923 -147.9126
425.000000 106.991 -147.7092
431.000000 107.100 -147.1552
437.000000 107.052 -145.3545
444.000000 106.860 -144.4676
450.000000 107.289 -145.9974
455.000000 107.300 -143.4124
462.000000 106.988 -144.1729
468.000000 106.771 -143.3818
475.000000 107.579 -142.7531
482.000000 106.869 -142.0261
487.000000 107.061 -140.9401
494.000000 107.373 -141.3363
500.000000 107.510 -142.0204
508.000000 107.360 -139.5992
515.000000 107.631 -140.3316
522.000000 107.379 -140.9015
530.000000 107.328 -137.8694
538.000000 107.444 -136.8393
545.000000 107.691 -135.7593
552.000000 107.637 -134.5148
560.000000 107.506 -135.0260
570.000000 108.091 -135.0836
580.000000 108.047 -134.5829
590.000000 108.039 -133.8772
600.000000 107.998 -132.9711
608.000000 107.733 -132.4497
615.000000 108.056 -132.5939
622.000000 107.816 -131.5179
630.000000 108.197 -130.4042
640.000000 107.789 -131.7396
650.000000 107.979 -129.8009
660.000000 108.113 -130.5465
670.000000 108.190 -130.6554
680.000000 108.237 -128.5540
690.000000 108.310 -127.3417
700.000000 108.328 -127.5880
710.000000 108.451 -126.0630
720.000000 108.431 -125.9014
730.000000 108.508 -124.8738
740.000000 108.523 -124.9271
750.000000 108.502 -123.3491
762.000000 108.731 -123.5751
775.000000 108.868 -122.8115
788.000000 109.055 -122.4632
800.000000 108.954 -122.1952
812.000000 109.195 -120.6193
825.000000 109.059 -119.9210
838.000000 109.230 -119.4664
850.000000 109.226 -116.8911
862.000000 109.369 -118.0822
875.000000 109.328 -117.4805
885.000000 109.368 -115.6639
900.000000 109.535 -115.3330
912.000000 109.608 -115.6014
925.000000 109.636 -114.7711
938.000000 109.755 -114.1714
950.000000 109.865 -113.3212
962.000000 110.168 -112.7037
975.000000 110.089 -112.2798
988.000000 110.261 -111.1794
1000.000000 110.652 -111.5994
1015.000000 110.478 -109.9715
1030.000000 110.473 -110.7727
1044.000000 110.616 -109.6575
1060.000000 110.804 -109.4562
1075.000000 110.874 -109.1690
1090.000000 111.053 -109.0229
1106.000000 111.094 -107.8425
1120.000000 111.299 -108.4808
1138.000000 111.374 -107.3903
1150.000000 111.515 -107.8664
1172.000000 111.666 -107.4545
1180.000000 111.697 -105.7432
1206.000000 111.959 -106.5033
1220.000000 112.018 -106.9623
1241.000000 112.133 -106.3274
1250.000000 112.192 -106.7789
1265.000000 112.306 -106.8459
1280.000000 112.434 -106.2331
1315.000000 112.581 -106.8452
1320.000000 112.542 -106.4619
1340.000000 112.715 -106.4149
1360.000000 112.843 -105.7537
1380.000000 112.973 -106.1543
1400.000000 113.028 -105.7536
1430.000000 113.208 -105.9793
1450.000000 113.266 -105.7403
1475.000000 113.448 -106.0128
1500.000000 113.541 -105.8375
1525.000000 113.636 -105.9274
1550.000000 113.773 -105.3672
1575.000000 113.904 -105.6591
1600.000000 114.078 -105.6045
1625.000000 114.155 -105.8416
1650.000000 114.239 -105.5845
1675.000000 114.400 -105.7374
1700.000000 114.562 -105.7687
1725.000000 114.647 -105.9402
1750.000000 114.721 -106.1809
1775.000000 114.825 -106.1766
1800.000000 114.942 -106.7426
1825.000000 115.052 -106.1924
1850.000000 115.232 -106.2336
1875.000000 115.324 -106.6196
1900.000000 115.383 -106.9302
1925.000000 115.507 -107.1783
1950.000000 115.618 -107.3143
1975.000000 115.730 -107.6643
2000.000000 115.929 -109.1898
2030.000000 115.993 -108.7864
2060.000000 116.087 -108.7584
2090.000000 116.194 -109.4738
2120.000000 116.380 -109.8017
2140.000000 116.409 -109.8255
2180.000000 116.653 -110.4057
2200.000000 116.748 -110.9093
2240.000000 116.862 -111.6539
2270.000000 116.927 -112.3702
2300.000000 116.981 -113.7136
2330.000000 117.165 -114.0140
2360.000000 117.256 -115.2274
2400.000000 117.382 -116.1518
2430.000000 117.460 -116.8730
2470.000000 117.557 -117.9248
2500.000000 117.632 -118.8616
2540.000000 117.655 -120.2325
2580.000000 117.778 -121.2709
2620.000000 117.875 -122.4071
2650.000000 117.914 -123.1867
2690.000000 118.043 -125.0057
2720.000000 118.047 -126.2132
2760.000000 118.105 -127.0137
2800.000000 118.142 -128.4673
2850.000000 118.071 -130.3000
2900.000000 118.082 -131.8689
2950.000000 118.075 -133.2964
3000.000000 117.930 -135.4349
3040.000000 117.961 -136.0690
3070.000000 117.886 -136.9073
3110.000000 117.782 -138.4550
3150.000000 117.791 -138.7681
3200.000000 117.682 -140.1431
3250.000000 117.628 -141.3746
3300.000000 117.545 -142.6630
3350.000000 117.416 -143.6373
3400.000000 117.410 -144.7891
3450.000000 117.236 -145.6836
3500.000000 117.168 -146.1607
3550.000000 117.071 -146.7976
3600.000000 116.968 -147.7821
3650.000000 116.831 -148.5824
3700.000000 116.757 -149.3761
3750.000000 116.687 -149.4503
3820.000000 116.571 -150.7510
3870.000000 116.582 -150.9336
3950.000000 116.465 -152.2626
4000.000000 116.494 -151.3443
4060.000000 116.361 -153.1641
4120.000000 116.279 -153.7490
4180.000000 116.301 -154.7479
4250.000000 116.210 -155.9040
4310.000000 116.150 -156.0592
4370.000000 116.173 -156.8038
4440.000000 116.234 -158.3715
4500.000000 116.164 -159.2479
4550.000000 116.172 -160.4035
4620.000000 116.141 -161.8371
4680.000000 116.141 -163.3397
4750.000000 115.956 -165.0257
4820.000000 115.954 -166.7581
4870.000000 115.909 -168.5292
4940.000000 115.733 -170.5318
5000.000000 115.534 -172.2691
5080.000000 115.348 -175.5607
5150.000000 115.028 -177.8030
5220.000000 114.614 179.3357
5300.000000 114.121 177.4816
5380.000000 113.434 175.9966
5450.000000 112.896 175.0501
