* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Symphonium Audio Meteor Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Symphonium Audio Meteor Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Rymphonium Audio Meteor Foa
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	69.908	-60.1692
1.015000	69.726	-61.0280
1.030000	69.537	-61.8797
1.044000	69.354	-62.6677
1.060000	69.135	-63.5594
1.075000	68.921	-64.3865
1.090000	68.698	-65.2041
1.106000	68.449	-66.0930
1.120000	68.225	-67.0337
1.138000	67.927	-68.4755
1.150000	67.723	-69.5599
1.172000	67.338	-71.7495
1.180000	67.194	-72.5964
1.206000	66.713	-75.4659
1.220000	66.446	-77.0478
1.241000	66.035	-79.4064
1.250000	65.855	-80.3955
1.265000	65.550	-81.9921
1.280000	65.239	-83.4996
1.315000	64.489	-86.5117
1.320000	64.380	-86.8689
1.340000	63.934	-88.0731
1.360000	63.479	-88.8675
1.380000	63.014	-89.1852
1.400000	62.539	-88.9592
1.430000	61.809	-87.4543
1.450000	61.310	-85.5760
1.475000	60.665	-82.0816
1.500000	59.915	-76.9226
1.525000	59.061	-70.2334
1.550000	58.129	-62.2660
1.575000	57.145	-53.2719
1.600000	56.132	-43.5033
1.625000	55.117	-33.2118
1.650000	54.125	-22.6492
1.675000	53.180	-12.0675
1.700000	52.308	-1.7184
1.725000	51.534	8.1463
1.750000	50.883	17.2746
1.775000	50.380	25.4149
1.800000	50.051	32.3151
1.825000	49.920	37.7237
1.850000	50.017	41.6269
1.875000	50.346	44.5214
1.900000	50.879	46.5283
1.925000	51.585	47.7475
1.950000	52.431	48.2791
1.975000	53.389	48.2233
2.000000	54.427	47.6800
2.030000	55.735	46.5257
2.060000	57.060	44.9866
2.090000	58.351	43.2356
2.120000	59.552	41.4457
2.140000	60.278	40.3161
2.180000	61.478	38.4407
2.200000	61.921	37.7938
2.240000	62.617	36.4466
2.270000	63.032	35.1931
2.300000	63.367	33.7650
2.330000	63.632	32.1929
2.360000	63.839	30.5074
2.400000	64.043	28.1365
2.430000	64.156	26.3051
2.470000	64.274	23.8505
2.500000	64.351	22.0396
2.540000	64.461	19.7231
2.580000	64.593	17.5621
2.620000	64.698	15.4088
2.650000	64.751	13.7788
2.690000	64.790	11.5959
2.720000	64.799	9.9590
2.760000	64.784	7.7876
2.800000	64.745	5.6411
2.850000	64.667	3.0133
2.900000	64.563	0.4715
2.950000	64.439	-1.9728
3.000000	64.278	-4.4175
3.040000	64.122	-6.3651
3.070000	63.991	-7.8050
3.110000	63.800	-9.6776
3.150000	63.592	-11.4740
3.200000	63.313	-13.5752
3.250000	63.018	-15.4717
3.300000	62.712	-17.1168
3.350000	62.371	-18.5863
3.400000	61.985	-19.9292
3.450000	61.575	-21.1064
3.500000	61.157	-22.0787
3.550000	60.749	-22.8070
3.600000	60.370	-23.2521
3.650000	60.038	-23.3750
3.700000	59.748	-23.0731
3.750000	59.461	-22.2533
3.820000	59.088	-20.5051
3.870000	58.862	-19.0303
3.950000	58.609	-16.6920
4.000000	58.542	-15.4764
4.060000	58.579	-14.4052
4.120000	58.752	-13.3601
4.180000	59.029	-12.3802
4.250000	59.438	-11.4834
4.310000	59.822	-11.0665
4.370000	60.201	-11.1042
4.440000	60.621	-11.8672
4.500000	61.015	-13.1012
4.550000	61.359	-14.4483
4.620000	61.848	-16.6816
4.680000	62.256	-18.7887
4.750000	62.694	-21.3041
4.820000	63.087	-23.9042
4.870000	63.354	-25.9456
4.940000	63.708	-28.9696
5.000000	63.992	-31.6294
5.080000	64.342	-35.1284
5.150000	64.620	-38.0282
5.220000	64.869	-40.9084
5.300000	65.122	-44.1819
5.380000	65.345	-47.3448
5.450000	65.521	-49.9468
5.520000	65.681	-52.3392
5.600000	65.835	-54.8962
5.700000	65.991	-57.8231
5.800000	66.129	-60.3891
5.900000	66.267	-62.5269
6.000000	66.384	-64.2149
6.080000	66.473	-65.2955
6.150000	66.558	-66.0845
6.220000	66.659	-66.7607
6.300000	66.794	-67.3437
6.400000	66.979	-67.7526
6.500000	67.188	-67.9941
6.600000	67.424	-68.2692
6.700000	67.696	-68.5392
6.800000	67.997	-68.7670
6.900000	68.308	-69.0671
7.000000	68.613	-69.5428
7.100000	68.928	-70.1668
7.200000	69.243	-70.8990
7.300000	69.540	-71.7125
7.400000	69.812	-72.6123
7.500000	70.068	-73.6233
7.620000	70.349	-74.8841
7.750000	70.615	-76.1963
7.880000	70.840	-77.5088
8.000000	71.021	-78.6585
8.120000	71.183	-79.6751
8.250000	71.330	-80.6535
8.380000	71.464	-81.5148
8.500000	71.588	-82.1959
8.620000	71.705	-82.7574
8.750000	71.833	-83.3038
8.850000	71.937	-83.7155
9.000000	72.099	-84.2731
9.120000	72.230	-84.7335
9.250000	72.375	-85.2990
9.380000	72.522	-85.9065
9.500000	72.653	-86.5166
9.620000	72.779	-87.1887
9.750000	72.910	-87.9780
9.880000	73.024	-88.7982
10.000000	73.106	-89.5779
10.150000	73.186	-90.5845
10.300000	73.252	-91.5775
10.440000	73.297	-92.4915
10.600000	73.340	-93.5190
10.750000	73.381	-94.4532
10.900000	73.419	-95.3682
11.060000	73.463	-96.3441
11.200000	73.503	-97.1939
11.380000	73.557	-98.3033
11.500000	73.595	-99.0597
11.720000	73.665	-100.4711
11.800000	73.691	-100.9931
12.060000	73.773	-102.7117
12.200000	73.816	-103.6342
12.410000	73.882	-105.0124
12.500000	73.917	-105.5940
12.650000	73.983	-106.5524
12.800000	74.056	-107.4993
13.150000	74.234	-109.6647
13.200000	74.260	-109.9710
13.400000	74.365	-111.1904
13.600000	74.469	-112.3948
13.800000	74.570	-113.5851
14.000000	74.667	-114.7401
14.300000	74.807	-116.3942
14.500000	74.897	-117.4254
14.750000	75.007	-118.6392
15.000000	75.117	-119.7757
15.250000	75.228	-120.8644
15.500000	75.337	-121.9290
15.750000	75.442	-122.9802
16.000000	75.542	-124.0229
16.250000	75.636	-125.0414
16.500000	75.723	-126.0275
16.750000	75.801	-126.9689
17.000000	75.875	-127.8721
17.250000	75.944	-128.7479
17.500000	76.011	-129.6119
17.750000	76.074	-130.4831
18.000000	76.133	-131.3647
18.250000	76.187	-132.2593
18.500000	76.235	-133.1580
18.750000	76.280	-134.0561
19.000000	76.321	-134.9492
19.250000	76.361	-135.8390
19.500000	76.400	-136.7304
19.750000	76.440	-137.6269
20.000000	76.479	-138.5321
20.299999	76.528	-139.6245
20.600000	76.577	-140.7159
20.900000	76.624	-141.7964
21.200001	76.672	-142.8584
21.400000	76.705	-143.5549
21.799999	76.772	-144.9195
22.000000	76.806	-145.5865
22.400000	76.874	-146.8870
22.700001	76.925	-147.8305
23.000000	76.977	-148.7471
23.299999	77.027	-149.6412
23.600000	77.076	-150.5155
24.000000	77.137	-151.6508
24.299999	77.178	-152.4750
24.700001	77.228	-153.5327
25.000000	77.263	-154.2996
25.400000	77.309	-155.3042
25.799999	77.351	-156.3122
26.200001	77.385	-157.3316
26.500000	77.406	-158.0950
26.900000	77.427	-159.0953
27.200001	77.440	-159.8271
27.600000	77.458	-160.7849
28.000000	77.478	-161.7412
28.500000	77.505	-162.9544
29.000000	77.531	-164.1817
29.500000	77.556	-165.4028
30.000000	77.581	-166.6046
30.400000	77.602	-167.5482
30.700001	77.617	-168.2430
31.100000	77.638	-169.1499
31.500000	77.658	-170.0347
32.000000	77.683	-171.1137
32.500000	77.704	-172.1646
33.000000	77.723	-173.1851
33.500000	77.739	-174.1785
34.000000	77.754	-175.1564
34.500000	77.763	-176.1277
35.000000	77.770	-177.0905
35.500000	77.775	-178.0408
36.000000	77.777	-178.9817
36.500000	77.779	-179.9191
37.000000	77.782	179.1437
37.500000	77.783	178.2078
38.200001	77.784	176.9107
38.700001	77.785	176.0041
39.500000	77.787	174.5873
40.000000	77.789	173.7086
40.599998	77.791	172.6602
41.200001	77.788	171.6399
41.799999	77.784	170.6559
42.500000	77.779	169.5318
43.099998	77.774	168.5722
43.700001	77.768	167.6144
44.400002	77.758	166.5024
45.000000	77.747	165.5630
45.500000	77.737	164.7953
46.200001	77.726	163.7359
46.799999	77.716	162.8308
47.500000	77.703	161.7787
48.200001	77.689	160.7397
48.700001	77.676	160.0095
49.400002	77.658	159.0098
50.000000	77.642	158.1722
50.799999	77.624	157.0627
51.500000	77.607	156.0868
52.200001	77.589	155.1157
53.000000	77.566	154.0265
53.799999	77.544	152.9548
54.500000	77.523	152.0256
55.200001	77.499	151.1134
56.000000	77.472	150.1019
57.000000	77.439	148.8573
58.000000	77.403	147.6092
59.000000	77.363	146.3900
60.000000	77.328	145.1810
60.799999	77.299	144.1903
61.500000	77.269	143.3331
62.200001	77.239	142.5049
63.000000	77.207	141.5790
64.000000	77.166	140.4296
65.000000	77.122	139.2952
66.000000	77.075	138.1867
67.000000	77.028	137.0963
68.000000	76.979	136.0164
69.000000	76.930	134.9561
70.000000	76.882	133.8957
71.000000	76.832	132.8425
72.000000	76.782	131.8240
73.000000	76.734	130.8148
74.000000	76.685	129.8125
75.000000	76.636	128.8178
76.199997	76.571	127.6362
77.500000	76.503	126.4142
78.800003	76.434	125.1808
80.000000	76.367	124.0843
81.199997	76.307	123.0074
82.500000	76.241	121.7921
83.800003	76.167	120.6135
85.000000	76.103	119.5763
86.199997	76.040	118.5492
87.500000	75.971	117.4722
88.500000	75.918	116.6385
90.000000	75.829	115.4175
91.199997	75.762	114.4778
92.500000	75.691	113.4224
93.800003	75.618	112.3895
95.000000	75.553	111.4687
96.199997	75.493	110.5363
97.500000	75.418	109.5350
98.800003	75.342	108.6024
100.000000	75.276	107.7485
101.500000	75.194	106.6557
103.000000	75.108	105.5849
104.400002	75.029	104.6008
106.000000	74.939	103.5220
107.500000	74.860	102.5474
109.000000	74.779	101.5558
110.599998	74.687	100.5273
112.000000	74.608	99.6495
113.800003	74.509	98.5558
115.000000	74.446	97.8273
117.199997	74.330	96.4987
118.000000	74.285	96.0337
120.599998	74.148	94.5819
122.000000	74.076	93.7860
124.099998	73.966	92.6173
125.000000	73.921	92.1288
126.500000	73.846	91.3356
128.000000	73.773	90.5557
131.500000	73.603	88.7794
132.000000	73.580	88.5264
134.000000	73.487	87.5189
136.000000	73.394	86.5901
138.000000	73.304	85.6790
140.000000	73.213	84.7658
143.000000	73.074	83.4398
145.000000	72.986	82.5587
147.500000	72.874	81.5217
150.000000	72.769	80.5046
152.500000	72.662	79.5273
