* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.130
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Oct 27, 2023 12:15:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FUDU Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	62.438	-146.7893
1.015000	62.451	-148.4143
1.030000	62.461	-150.0477
1.044000	62.469	-151.5816
1.060000	62.474	-153.3479
1.075000	62.477	-155.0186
1.090000	62.477	-156.7056
1.106000	62.475	-158.5217
1.120000	62.469	-160.1059
1.138000	62.457	-162.1322
1.150000	62.445	-163.4780
1.172000	62.419	-165.9378
1.180000	62.408	-166.8308
1.206000	62.365	-169.7317
1.220000	62.338	-171.2953
1.241000	62.294	-173.6464
1.250000	62.274	-174.6572
1.265000	62.239	-176.3475
1.280000	62.201	-178.0463
1.315000	62.107	177.9470
1.320000	62.093	177.3687
1.340000	62.035	175.0386
1.360000	61.975	172.6778
1.380000	61.914	170.2823
1.400000	61.852	167.8480
1.430000	61.759	164.1147
1.450000	61.697	161.5651
1.475000	61.619	158.3049
1.500000	61.531	154.9778
1.525000	61.431	151.5907
1.550000	61.323	148.1470
1.575000	61.209	144.6497
1.600000	61.090	141.1023
1.625000	60.971	137.5078
1.650000	60.852	133.8694
1.675000	60.736	130.1906
1.700000	60.627	126.4743
1.725000	60.525	122.7239
1.750000	60.434	118.9426
1.775000	60.356	115.1337
1.800000	60.293	111.3003
1.825000	60.248	107.4456
1.850000	60.220	103.5419
1.875000	60.202	99.5268
1.900000	60.195	95.4169
1.925000	60.197	91.2320
1.950000	60.209	86.9918
1.975000	60.229	82.7161
2.000000	60.259	78.4248
2.030000	60.305	73.2825
2.060000	60.363	68.1804
2.090000	60.432	63.1527
2.120000	60.511	58.2336
2.140000	60.569	55.0314
2.180000	60.698	48.8582
2.200000	60.769	45.9067
2.240000	60.937	40.1623
2.270000	61.088	35.9541
2.300000	61.256	31.8342
2.330000	61.436	27.8047
2.360000	61.627	23.8676
2.400000	61.888	18.7658
2.430000	62.085	15.0529
2.470000	62.342	10.2578
2.500000	62.525	6.7807
2.540000	62.750	2.3077
2.580000	62.947	-1.9713
2.620000	63.136	-6.0350
2.650000	63.274	-8.9470
