* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\TANGZU Wan’er Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\TANGZU Wan’er Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: TANGZU Wan’er Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	55.575	175.6383
1.015000	55.559	174.7636
1.030000	55.540	173.8687
1.044000	55.519	173.0153
1.060000	55.491	172.0185
1.075000	55.460	171.0633
1.090000	55.426	170.0881
1.106000	55.384	169.0289
1.120000	55.343	168.1018
1.138000	55.283	166.9105
1.150000	55.238	166.1141
1.172000	55.149	164.6437
1.180000	55.115	164.1041
1.206000	54.994	162.3246
1.220000	54.924	161.3459
1.241000	54.813	159.8442
1.250000	54.763	159.1863
1.265000	54.679	158.0682
1.280000	54.591	156.9206
1.315000	54.379	154.1099
1.320000	54.347	153.6914
1.340000	54.221	151.9709
1.360000	54.092	150.1697
1.380000	53.961	148.2806
1.400000	53.829	146.2960
1.430000	53.631	143.1239
1.450000	53.500	140.8681
1.475000	53.334	137.8758
1.500000	53.145	134.6802
1.525000	52.931	131.2953
1.550000	52.698	127.7389
1.575000	52.453	124.0287
1.600000	52.201	120.1825
1.625000	51.949	116.2181
1.650000	51.703	112.1533
1.675000	51.468	108.0059
1.700000	51.252	103.7936
1.725000	51.060	99.5343
1.750000	50.899	95.2458
1.775000	50.774	90.9457
1.800000	50.691	86.6521
1.825000	50.657	82.3824
1.850000	50.675	78.0771
1.875000	50.737	73.5794
1.900000	50.840	68.9201
1.925000	50.979	64.1378
1.950000	51.148	59.2714
1.975000	51.345	54.3595
2.000000	51.564	49.4407
2.030000	51.851	43.5839
2.060000	52.156	37.8400
2.090000	52.473	32.2758
2.120000	52.792	26.9585
2.140000	53.003	23.5837
2.180000	53.410	17.3317
2.200000	53.602	14.4933
2.240000	54.001	9.2887
2.270000	54.324	5.7250
2.300000	54.660	2.4210
2.330000	55.007	-0.6510
2.360000	55.359	-3.5193
2.400000	55.829	-7.0754
2.430000	56.176	-9.5775
2.470000	56.624	-12.7473
2.500000	56.941	-15.0363
2.540000	57.333	-18.0238
2.580000	57.681	-20.9744
2.620000	57.999	-23.7286
2.650000	58.222	-25.6500
2.690000	58.501	-28.0394
2.720000	58.697	-29.7159
2.760000	58.943	-31.8174
2.800000	59.171	-33.7889
2.850000	59.437	-36.1089
2.900000	59.683	-38.3141
2.950000	59.912	-40.4415
3.000000	60.112	-42.4186
3.040000	60.252	-43.8810
3.070000	60.346	-44.9109
3.110000	60.461	-46.1988
3.150000	60.565	-47.3929
3.200000	60.686	-48.7606
3.250000	60.800	-49.9971
3.300000	60.913	-51.1111
3.350000	61.015	-52.0751
3.400000	61.100	-52.8785
3.450000	61.174	-53.5400
3.500000	61.242	-54.0776
3.550000	61.311	-54.5101
3.600000	61.386	-54.8556
3.650000	61.473	-55.1324
3.700000	61.573	-55.3207
3.750000	61.675	-55.3572
3.820000	61.825	-55.2205
3.870000	61.939	-55.0412
3.950000	62.140	-54.7202
4.000000	62.280	-54.5586
4.060000	62.466	-54.4385
4.120000	62.673	-54.2897
4.180000	62.897	-54.1271
4.250000	63.172	-53.9711
4.310000	63.412	-53.9100
4.370000	63.652	-53.9565
4.440000	63.930	-54.1780
4.500000	64.177	-54.4766
4.550000	64.386	-54.7919
4.620000	64.678	-55.3229
4.680000	64.921	-55.8501
4.750000	65.190	-56.5350
4.820000	65.441	-57.3115
4.870000	65.615	-57.9409
4.940000	65.849	-58.8981
5.000000	66.039	-59.7634
5.080000	66.277	-60.9373
5.150000	66.468	-61.9491
5.220000	66.641	-62.9943
5.300000	66.821	-64.2247
5.380000	66.984	-65.4525
5.450000	67.116	-66.4913
5.520000	67.239	-67.4720
5.600000	67.363	-68.5560
5.700000	67.498	-69.8564
5.800000	67.621	-71.0714
5.900000	67.743	-72.1746
6.000000	67.854	-73.1594
6.080000	67.939	-73.8815
6.150000	68.013	-74.4797
6.220000	68.092	-75.0580
