* Measurement data measured by REW V5.31.1
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Sep 14, 2024 11:03:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R TEA PRO 204
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 84.156 29.6069
20.600000 84.186 28.8908
20.900000 84.212 28.2464
21.200001 84.238 27.5950
21.400000 84.256 27.1525
21.799999 84.291 26.2563
22.000000 84.308 25.8107
22.400000 84.339 24.9478
22.700001 84.362 24.3383
23.000000 84.384 23.7615
23.299999 84.407 23.2047
23.600000 84.430 22.6543
24.000000 84.458 21.9155
24.299999 84.475 21.3578
24.700001 84.494 20.6230
25.000000 84.506 20.0888
25.400000 84.523 19.4009
25.799999 84.542 18.7261
26.200001 84.562 18.0480
26.500000 84.574 17.5388
26.900000 84.585 16.8766
27.200001 84.590 16.4072
27.600000 84.597 15.8250
28.000000 84.607 15.2740
28.500000 84.626 14.5737
29.000000 84.646 13.8231
29.500000 84.658 13.0502
30.000000 84.661 12.3130
30.400000 84.662 11.7630
30.700001 84.664 11.3656
31.100000 84.667 10.8399
31.500000 84.670 10.3137
32.000000 84.670 9.6683
32.500000 84.667 9.0598
33.000000 84.667 8.4882
33.500000 84.669 7.9278
34.000000 84.671 7.3531
34.500000 84.670 6.7627
35.000000 84.665 6.1754
35.500000 84.655 5.6143
36.000000 84.646 5.0880
36.500000 84.639 4.5833
37.000000 84.635 4.0743
37.500000 84.632 3.5468
38.200001 84.621 2.8014
38.700001 84.609 2.2959
39.500000 84.591 1.5474
40.000000 84.580 1.0955
40.599998 84.566 0.5528
41.200001 84.550 0.0082
41.799999 84.534 -0.5342
42.500000 84.517 -1.1527
43.099998 84.502 -1.6574
43.700001 84.486 -2.1361
44.400002 84.466 -2.6751
45.000000 84.447 -3.1402
45.500000 84.432 -3.5395
46.200001 84.408 -4.0970
46.799999 84.388 -4.5355
47.500000 84.369 -5.0059
48.200001 84.350 -5.5027
48.700001 84.330 -5.8789
49.400002 84.295 -6.3737
50.000000 84.270 -6.7550
50.799999 84.249 -7.2896
51.500000 84.229 -7.7939
52.200001 84.202 -8.2560
53.000000 84.173 -8.7347
53.799999 84.143 -9.2285
54.500000 84.112 -9.6492
55.200001 84.079 -10.0402
56.000000 84.045 -10.4955
57.000000 84.001 -11.0808
58.000000 83.957 -11.6285
59.000000 83.912 -12.1582
60.000000 83.866 -12.6474
60.799999 83.835 -13.0201
61.500000 83.808 -13.3532
62.200001 83.778 -13.6863
63.000000 83.740 -14.0529
64.000000 83.692 -14.5130
65.000000 83.643 -14.9816
66.000000 83.595 -15.4403
67.000000 83.546 -15.9280
68.000000 83.495 -16.2895
69.000000 83.461 -16.6805
70.000000 83.400 -17.1077
71.000000 83.354 -17.3637
72.000000 83.313 -17.8424
73.000000 83.240 -18.1715
74.000000 83.212 -18.5078
75.000000 83.154 -18.9936
76.199997 83.095 -19.1257
77.500000 83.012 -19.6326
78.800003 82.942 -19.9918
80.000000 82.906 -20.5952
81.199997 82.829 -20.6891
82.500000 82.793 -20.9965
83.800003 82.666 -21.5276
85.000000 82.640 -21.5193
86.199997 82.606 -22.1733
87.500000 82.492 -22.4911
88.500000 82.432 -22.3568
90.000000 82.429 -23.0302
91.199997 82.339 -23.5379
92.500000 82.278 -23.4962
93.800003 82.168 -23.3829
95.000000 82.143 -23.6555
96.199997 82.089 -23.6063
97.500000 82.004 -23.8925
98.800003 81.914 -25.0667
100.000000 81.947 -25.3008
101.500000 81.803 -24.5943
103.000000 81.603 -24.8679
104.400002 81.602 -25.6075
106.000000 81.575 -24.9431
107.500000 81.447 -25.3367
109.000000 81.402 -25.6301
110.599998 81.332 -25.7429
112.000000 81.250 -26.0492
113.800003 81.204 -26.2451
115.000000 81.149 -26.4233
117.199997 81.087 -26.3114
118.000000 81.054 -26.2753
120.599998 80.920 -25.9337
122.000000 80.835 -26.0654
124.099998 80.703 -26.3861
125.000000 80.672 -26.4761
126.500000 80.639 -26.5153
128.000000 80.585 -26.3672
131.500000 80.395 -26.2971
132.000000 80.372 -26.3841
134.000000 80.326 -26.2894
136.000000 80.231 -26.1351
138.000000 80.157 -26.1746
140.000000 80.087 -26.0042
143.000000 79.965 -25.9649
145.000000 79.892 -25.7946
147.500000 79.796 -25.6919
150.000000 79.722 -25.5330
152.500000 79.634 -25.3774
155.000000 79.547 -25.2173
157.500000 79.490 -25.0076
160.000000 79.409 -24.6418
162.500000 79.329 -24.4927
165.000000 79.250 -24.3282
167.500000 79.185 -24.1519
170.000000 79.115 -23.8352
172.500000 79.082 -23.5006
175.000000 79.016 -23.1637
177.500000 78.952 -23.1161
180.000000 78.885 -22.5351
182.500000 78.831 -22.4466
185.000000 78.795 -22.2022
187.500000 78.749 -21.8691
190.000000 78.697 -21.7038
192.500000 78.636 -21.4421
195.000000 78.585 -21.1323
197.500000 78.544 -21.0279
200.000000 78.526 -20.6147
203.000000 78.484 -20.1895
206.000000 78.429 -19.9120
209.000000 78.371 -19.7014
212.000000 78.353 -19.3610
214.000000 78.320 -19.0903
218.000000 78.270 -18.7547
220.000000 78.258 -18.5162
224.000000 78.211 -18.0633
227.000000 78.202 -17.6738
230.000000 78.163 -17.5523
233.000000 78.160 -17.0120
236.000000 78.118 -16.8685
240.000000 78.090 -16.5272
243.000000 78.050 -16.2140
247.000000 78.038 -15.9065
250.000000 78.061 -15.5704
254.000000 77.997 -15.2644
258.000000 77.999 -15.0349
262.000000 77.960 -14.6807
265.000000 77.943 -14.4511
269.000000 77.924 -14.1985
272.000000 77.932 -13.8664
276.000000 77.930 -13.6932
280.000000 77.908 -13.3596
285.000000 77.886 -13.1322
290.000000 77.888 -12.7097
295.000000 77.860 -12.6231
300.000000 77.840 -12.1375
304.000000 77.849 -11.8820
307.000000 77.834 -11.9697
311.000000 77.823 -11.6685
315.000000 77.797 -11.4262
320.000000 77.806 -11.1745
325.000000 77.790 -10.9036
330.000000 77.785 -10.7165
335.000000 77.788 -10.5535
340.000000 77.772 -10.3228
345.000000 77.770 -10.1333
350.000000 77.748 -9.9628
355.000000 77.757 -9.6049
360.000000 77.736 -9.5874
365.000000 77.725 -9.4690
370.000000 77.701 -9.1089
375.000000 77.701 -9.0001
382.000000 77.678 -8.8653
387.000000 77.669 -8.7695
395.000000 77.640 -8.3396
400.000000 77.631 -8.1975
406.000000 77.621 -8.0928
412.000000 77.608 -7.7545
418.000000 77.602 -7.6018
425.000000 77.584 -7.4687
431.000000 77.577 -7.3828
437.000000 77.552 -7.2226
444.000000 77.488 -6.9084
450.000000 77.487 -6.6624
455.000000 77.491 -6.5430
462.000000 77.481 -6.4304
468.000000 77.393 -6.3909
475.000000 77.426 -5.9263
482.000000 77.433 -5.6783
487.000000 77.355 -5.6487
494.000000 77.367 -5.5708
500.000000 77.374 -5.4916
508.000000 77.291 -5.0742
515.000000 77.300 -5.1522
522.000000 77.295 -4.8486
530.000000 77.277 -4.6305
538.000000 77.240 -4.1972
545.000000 77.208 -3.8068
552.000000 77.190 -3.7083
560.000000 77.184 -3.4050
570.000000 77.125 -2.9700
580.000000 77.092 -2.7370
590.000000 77.048 -2.3321
600.000000 77.000 -1.8546
608.000000 77.001 -1.5868
615.000000 76.973 -1.4108
622.000000 76.956 -1.1091
630.000000 76.927 -0.9260
640.000000 76.878 -0.3302
650.000000 76.875 0.0153
660.000000 76.867 0.3753
670.000000 76.822 0.9215
680.000000 76.769 1.2274
690.000000 76.785 1.7112
700.000000 76.732 2.1808
710.000000 76.692 2.5979
720.000000 76.664 3.1305
730.000000 76.659 3.6779
740.000000 76.623 4.0740
750.000000 76.628 4.5017
762.000000 76.598 5.2182
775.000000 76.600 6.0655
788.000000 76.583 6.7753
800.000000 76.599 7.2177
812.000000 76.544 7.9424
825.000000 76.566 8.4855
838.000000 76.551 9.3357
850.000000 76.570 10.0435
862.000000 76.568 10.7182
875.000000 76.593 11.4323
885.000000 76.615 11.9473
900.000000 76.600 12.7216
912.000000 76.620 13.5385
925.000000 76.646 14.1102
938.000000 76.673 14.7560
950.000000 76.697 15.5773
962.000000 76.709 16.3497
975.000000 76.783 16.9775
988.000000 76.820 17.6537
1000.000000 76.868 17.9781
1015.000000 76.960 19.2710
1030.000000 77.064 19.8172
1044.000000 77.149 20.3673
1060.000000 77.269 21.0757
1075.000000 77.322 21.6064
1090.000000 77.414 22.0705
1106.000000 77.502 22.5181
1120.000000 77.580 22.8295
1138.000000 77.659 23.3911
1150.000000 77.722 23.6362
1172.000000 77.822 24.0371
1180.000000 77.872 24.1574
1206.000000 77.980 24.9058
1220.000000 78.046 25.0412
1241.000000 78.144 25.5514
1250.000000 78.171 25.6488
1265.000000 78.218 25.8538
1280.000000 78.285 26.2741
1315.000000 78.431 27.0513
1320.000000 78.436 26.9074
1340.000000 78.549 27.4584
1360.000000 78.615 27.8925
1380.000000 78.686 28.3936
1400.000000 78.767 28.8142
1430.000000 78.904 29.4789
1450.000000 78.985 29.7881
1475.000000 79.107 30.2802
1500.000000 79.205 30.8779
1525.000000 79.367 31.2839
1550.000000 79.480 31.8804
1575.000000 79.606 32.4281
1600.000000 79.735 32.8204
1625.000000 79.890 33.1662
1650.000000 80.041 33.4689
1675.000000 80.185 33.9082
1700.000000 80.358 34.1349
1725.000000 80.531 34.4137
1750.000000 80.689 34.6903
1775.000000 80.863 34.7707
1800.000000 81.020 34.7180
1825.000000 81.197 34.7906
1850.000000 81.390 34.7508
1875.000000 81.571 34.5500
1900.000000 81.721 34.4591
1925.000000 81.905 34.1327
1950.000000 82.088 33.8125
1975.000000 82.255 33.4732
2000.000000 82.389 33.0837
2030.000000 82.616 32.4412
2060.000000 82.787 31.7833
2090.000000 82.964 31.1774
2120.000000 83.134 30.1937
2140.000000 83.242 29.6789
2180.000000 83.439 28.5281
2200.000000 83.539 27.6422
2240.000000 83.679 26.3464
2270.000000 83.797 25.1939
2300.000000 83.906 24.1218
2330.000000 83.992 23.0176
2360.000000 84.063 21.8592
2400.000000 84.128 20.2999
2430.000000 84.180 19.1730
2470.000000 84.203 17.5602
2500.000000 84.218 16.3909
2540.000000 84.231 15.0187
2580.000000 84.203 13.5203
2620.000000 84.159 12.3555
2650.000000 84.120 11.2300
2690.000000 84.034 10.2159
2720.000000 83.986 9.2781
2760.000000 83.908 8.2825
2800.000000 83.826 7.4056
2850.000000 83.711 6.3497
2900.000000 83.601 5.7064
2950.000000 83.458 4.9133
3000.000000 83.389 4.4030
3040.000000 83.285 4.0933
3070.000000 83.231 3.8647
3110.000000 83.152 3.5626
3150.000000 83.078 3.4803
3200.000000 83.001 3.2420
3250.000000 82.924 3.2302
3300.000000 82.865 3.0754
3350.000000 82.834 3.0845
3400.000000 82.809 3.0491
3450.000000 82.788 2.9387
3500.000000 82.773 3.0419
3550.000000 82.777 2.7703
3600.000000 82.762 2.7597
3650.000000 82.780 2.5475
3700.000000 82.777 2.4491
3750.000000 82.810 2.2305
3820.000000 82.853 1.8312
3870.000000 82.854 1.4517
3950.000000 82.879 0.7651
4000.000000 82.940 0.5136
4060.000000 82.899 -0.1838
4120.000000 82.900 -0.5600
4180.000000 82.897 -1.2753
4250.000000 82.886 -1.8668
4310.000000 82.865 -2.4247
4370.000000 82.861 -3.0847
4440.000000 82.826 -3.7507
4500.000000 82.817 -4.0712
4550.000000 82.816 -4.7230
4620.000000 82.764 -5.5508
4680.000000 82.742 -6.2284
4750.000000 82.700 -7.1650
4820.000000 82.617 -8.0548
4870.000000 82.544 -8.5790
4940.000000 82.456 -9.6147
5000.000000 82.309 -10.1879
5080.000000 82.135 -11.5593
5150.000000 81.897 -12.3538
5220.000000 81.644 -12.9182
5300.000000 81.374 -13.3468
5380.000000 81.015 -13.5348
5450.000000 80.708 -12.9666
5520.000000 80.438 -12.2360
5600.000000 80.142 -11.1502
5700.000000 79.787 -9.5704
5800.000000 79.538 -7.0734
