* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 15, 2025 3:49:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L tea pro se stock black 1303
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 129.878 18.8261
20.600000 129.891 18.0321
20.900000 129.893 17.3335
21.200001 129.890 16.6712
21.400000 129.888 16.2467
21.799999 129.887 15.4220
22.000000 129.889 15.0125
22.400000 129.895 14.1819
22.700001 129.901 13.5460
23.000000 129.904 12.9062
23.299999 129.905 12.2757
23.600000 129.904 11.6646
24.000000 129.900 10.8876
24.299999 129.897 10.3290
24.700001 129.894 9.6009
25.000000 129.891 9.0562
25.400000 129.885 8.3247
25.799999 129.874 7.5952
26.200001 129.860 6.8859
26.500000 129.848 6.3764
26.900000 129.834 5.7281
27.200001 129.826 5.2574
27.600000 129.817 4.6342
28.000000 129.809 4.0007
28.500000 129.793 3.1964
29.000000 129.769 2.4106
29.500000 129.740 1.6699
30.000000 129.715 0.9595
30.400000 129.699 0.3862
30.700001 129.687 -0.0543
31.100000 129.669 -0.6466
31.500000 129.647 -1.2226
32.000000 129.615 -1.8898
32.500000 129.582 -2.5016
33.000000 129.551 -3.0956
33.500000 129.519 -3.6966
34.000000 129.485 -4.2992
34.500000 129.454 -4.8961
35.000000 129.425 -5.5010
35.500000 129.396 -6.1216
36.000000 129.362 -6.7262
36.500000 129.326 -7.2708
37.000000 129.293 -7.7610
37.500000 129.265 -8.2560
38.200001 129.216 -9.0168
38.700001 129.166 -9.5452
39.500000 129.083 -10.2401
40.000000 129.045 -10.6485
40.599998 129.010 -11.1938
41.200001 128.976 -11.7561
41.799999 128.943 -12.2806
42.500000 128.908 -12.8899
43.099998 128.871 -13.4378
43.700001 128.824 -13.9593
44.400002 128.767 -14.5228
45.000000 128.720 -15.0088
45.500000 128.679 -15.4212
46.200001 128.621 -16.0170
46.799999 128.570 -16.5762
47.500000 128.501 -17.2143
48.200001 128.433 -17.6772
48.700001 128.399 -17.9286
49.400002 128.364 -18.3462
50.000000 128.321 -18.7856
50.799999 128.246 -19.3253
51.500000 128.190 -19.7552
52.200001 128.139 -20.2253
53.000000 128.071 -20.7408
53.799999 127.996 -21.1788
54.500000 127.932 -21.5562
55.200001 127.870 -21.9572
56.000000 127.800 -22.4242
57.000000 127.708 -22.9322
58.000000 127.623 -23.4015
59.000000 127.536 -23.8803
60.000000 127.457 -24.2818
60.799999 127.394 -24.6819
61.500000 127.325 -25.0384
62.200001 127.261 -25.3191
63.000000 127.202 -25.6489
64.000000 127.117 -26.0949
65.000000 127.020 -26.4427
66.000000 126.925 -26.8237
67.000000 126.833 -27.1588
68.000000 126.755 -27.4913
69.000000 126.670 -27.8343
70.000000 126.583 -28.1401
71.000000 126.496 -28.3975
72.000000 126.414 -28.6263
73.000000 126.326 -28.8999
74.000000 126.240 -29.1141
75.000000 126.165 -29.3741
76.199997 126.062 -29.6468
77.500000 125.955 -29.9026
78.800003 125.831 -30.1898
80.000000 125.731 -30.3746
81.199997 125.640 -30.6259
82.500000 125.532 -30.7942
83.800003 125.429 -30.9198
85.000000 125.333 -31.0521
86.199997 125.235 -31.1536
87.500000 125.131 -31.2020
88.500000 125.052 -31.3034
90.000000 124.932 -31.3828
91.199997 124.844 -31.4855
92.500000 124.737 -31.5563
93.800003 124.637 -31.5920
95.000000 124.549 -31.6303
96.199997 124.471 -31.6744
97.500000 124.369 -31.6612
98.800003 124.275 -31.6179
100.000000 124.186 -31.5970
101.500000 124.091 -31.5248
103.000000 123.978 -31.4245
104.400002 123.887 -31.3261
106.000000 123.775 -31.1870
107.500000 123.678 -31.1188
109.000000 123.578 -31.0144
110.599998 123.480 -30.8598
112.000000 123.391 -30.7421
113.800003 123.288 -30.5397
115.000000 123.211 -30.3911
117.199997 123.089 -30.1195
118.000000 123.046 -30.0311
120.599998 122.896 -29.5493
122.000000 122.813 -29.2893
124.099998 122.705 -29.0224
125.000000 122.664 -28.8350
126.500000 122.587 -28.5948
128.000000 122.504 -28.3107
131.500000 122.339 -27.6542
132.000000 122.312 -27.5511
134.000000 122.219 -27.1949
136.000000 122.136 -26.7295
138.000000 122.048 -26.3540
140.000000 121.965 -25.9480
143.000000 121.839 -25.2938
145.000000 121.770 -24.7119
147.500000 121.675 -23.9931
150.000000 121.593 -23.2587
152.500000 121.518 -22.4633
155.000000 121.473 -21.5145
157.500000 121.454 -20.4991
160.000000 121.493 -19.8709
162.500000 121.519 -19.5290
165.000000 121.539 -19.1985
167.500000 121.515 -19.0260
170.000000 121.486 -18.8074
172.500000 121.441 -18.5851
175.000000 121.424 -18.2263
177.500000 121.372 -17.9136
180.000000 121.340 -17.4750
182.500000 121.308 -17.2696
185.000000 121.276 -16.8667
187.500000 121.255 -16.4526
190.000000 121.227 -16.1239
192.500000 121.223 -15.6430
195.000000 121.182 -15.2800
197.500000 121.197 -15.0554
200.000000 121.160 -14.4817
203.000000 121.115 -14.3331
206.000000 121.193 -13.7006
209.000000 121.118 -13.2406
212.000000 121.108 -12.9962
214.000000 121.110 -12.7280
218.000000 121.103 -12.1691
220.000000 121.103 -11.9808
224.000000 121.102 -11.5186
227.000000 121.109 -11.3005
230.000000 121.107 -10.9204
233.000000 121.094 -10.6975
236.000000 121.100 -10.4073
240.000000 121.106 -10.0606
243.000000 121.104 -9.8003
247.000000 121.103 -9.4853
250.000000 121.102 -9.1864
254.000000 121.112 -8.8689
258.000000 121.107 -8.5531
262.000000 121.098 -8.3232
265.000000 121.102 -8.1224
269.000000 121.102 -7.7418
272.000000 121.102 -7.5432
276.000000 121.093 -7.2285
280.000000 121.094 -6.8684
285.000000 121.095 -6.4200
290.000000 121.145 -5.8258
295.000000 121.208 -5.4606
300.000000 121.275 -5.4661
304.000000 121.287 -5.5398
307.000000 121.298 -5.5966
311.000000 121.291 -5.5789
315.000000 121.287 -5.5484
320.000000 121.283 -5.4308
325.000000 121.276 -5.3062
330.000000 121.272 -5.2176
335.000000 121.268 -5.1401
340.000000 121.272 -4.9227
345.000000 121.265 -4.7851
350.000000 121.254 -4.6192
355.000000 121.246 -4.5521
360.000000 121.252 -4.4450
365.000000 121.234 -4.2710
370.000000 121.232 -4.1754
375.000000 121.232 -4.0521
382.000000 121.223 -3.8930
387.000000 121.210 -3.7359
395.000000 121.202 -3.5709
400.000000 121.195 -3.4518
406.000000 121.183 -3.3330
412.000000 121.172 -3.2015
418.000000 121.150 -3.0384
425.000000 121.151 -2.8651
431.000000 121.149 -2.7781
437.000000 121.133 -2.5892
444.000000 121.124 -2.4629
450.000000 121.108 -2.2250
455.000000 121.086 -2.2393
462.000000 121.074 -2.0442
468.000000 121.062 -1.8474
475.000000 121.039 -1.6935
482.000000 121.030 -1.4916
487.000000 121.022 -1.3125
494.000000 120.998 -1.1983
500.000000 120.983 -1.0244
508.000000 120.967 -0.8442
515.000000 120.949 -0.6613
522.000000 120.931 -0.4814
530.000000 120.927 -0.1988
538.000000 120.895 0.0365
545.000000 120.879 0.2373
552.000000 120.863 0.4264
560.000000 120.838 0.6408
570.000000 120.813 0.9798
580.000000 120.792 1.3332
590.000000 120.757 1.5443
600.000000 120.740 1.9134
608.000000 120.717 2.2458
615.000000 120.717 2.4835
622.000000 120.698 2.7540
630.000000 120.672 2.9976
640.000000 120.667 3.4765
650.000000 120.637 3.7123
660.000000 120.633 4.1007
670.000000 120.594 4.3927
680.000000 120.574 4.7951
690.000000 120.541 5.1910
700.000000 120.513 5.6538
710.000000 120.483 6.0252
720.000000 120.472 6.5561
730.000000 120.461 7.1647
740.000000 120.443 7.5652
750.000000 120.441 8.1795
762.000000 120.449 8.8145
775.000000 120.441 9.4658
788.000000 120.453 10.0732
800.000000 120.473 10.7666
812.000000 120.481 11.3161
825.000000 120.490 12.0008
838.000000 120.497 12.7123
850.000000 120.526 13.3511
862.000000 120.555 13.8421
875.000000 120.584 14.5003
885.000000 120.614 14.9599
900.000000 120.660 15.6647
912.000000 120.693 16.3184
925.000000 120.744 16.8643
938.000000 120.802 17.4880
950.000000 120.841 18.0070
962.000000 120.885 18.4378
975.000000 120.958 19.0229
988.000000 121.021 19.4930
1000.000000 121.046 19.7690
1015.000000 121.152 20.5505
1030.000000 121.226 21.0149
1044.000000 121.292 21.5051
1060.000000 121.389 21.9836
1075.000000 121.456 22.3776
1090.000000 121.546 22.6748
1106.000000 121.639 23.2231
1120.000000 121.710 23.4492
1138.000000 121.806 23.6656
1150.000000 121.861 24.0128
1172.000000 121.970 24.3559
1180.000000 122.030 24.5438
1206.000000 122.139 24.8980
1220.000000 122.218 25.0724
1241.000000 122.304 25.4245
1250.000000 122.356 25.5291
1265.000000 122.411 25.7186
1280.000000 122.489 26.0085
1315.000000 122.635 26.3744
1320.000000 122.654 26.4316
1340.000000 122.740 26.7628
1360.000000 122.839 27.0071
1380.000000 122.937 27.2310
1400.000000 123.027 27.4419
1430.000000 123.155 27.8330
1450.000000 123.252 27.9906
1475.000000 123.360 28.2720
1500.000000 123.490 28.6469
1525.000000 123.620 28.8543
1550.000000 123.750 29.1247
1575.000000 123.881 29.3387
1600.000000 124.007 29.5314
1625.000000 124.151 29.6467
1650.000000 124.295 29.7668
1675.000000 124.439 29.8771
1700.000000 124.593 29.8089
1725.000000 124.746 29.8547
1750.000000 124.910 29.7766
1775.000000 125.077 29.6329
1800.000000 125.231 29.4994
1825.000000 125.383 29.2661
1850.000000 125.539 28.9120
1875.000000 125.696 28.6343
1900.000000 125.853 28.1118
1925.000000 126.001 27.6472
1950.000000 126.143 27.0960
1975.000000 126.280 26.5352
2000.000000 126.391 25.9783
2030.000000 126.567 25.0114
2060.000000 126.704 24.1465
2090.000000 126.846 23.1831
2120.000000 126.963 22.2114
2140.000000 127.042 21.5164
2180.000000 127.170 20.0696
2200.000000 127.231 19.2932
2240.000000 127.331 17.8295
2270.000000 127.391 16.6630
2300.000000 127.444 15.6360
2330.000000 127.477 14.4429
2360.000000 127.508 13.3152
2400.000000 127.524 11.8558
2430.000000 127.535 10.7679
2470.000000 127.520 9.4092
2500.000000 127.505 8.3558
2540.000000 127.462 7.0299
2580.000000 127.422 5.8357
2620.000000 127.361 4.6358
2650.000000 127.306 3.7551
2690.000000 127.224 2.7972
2720.000000 127.165 2.1215
2760.000000 127.090 1.2172
2800.000000 127.002 0.4949
2850.000000 126.882 -0.3378
2900.000000 126.769 -1.0811
2950.000000 126.664 -1.6828
3000.000000 126.551 -2.0075
3040.000000 126.477 -2.5084
3070.000000 126.423 -2.6918
3110.000000 126.346 -2.9681
3150.000000 126.288 -3.0612
3200.000000 126.216 -3.4098
3250.000000 126.161 -3.5365
3300.000000 126.102 -3.6103
3350.000000 126.071 -3.8031
3400.000000 126.038 -3.8794
3450.000000 126.024 -3.9847
3500.000000 126.023 -4.0058
3550.000000 126.021 -4.1543
3600.000000 126.041 -4.3203
3650.000000 126.066 -4.6394
3700.000000 126.102 -5.0643
3750.000000 126.106 -5.6087
3820.000000 126.109 -6.3444
3870.000000 126.112 -6.9176
3950.000000 126.105 -7.8500
4000.000000 126.088 -8.3879
4060.000000 126.048 -9.1310
4120.000000 126.012 -9.8468
4180.000000 125.954 -10.3989
4250.000000 125.899 -11.2172
4310.000000 125.848 -11.6707
4370.000000 125.793 -12.3851
4440.000000 125.737 -12.9790
4500.000000 125.676 -13.6239
4550.000000 125.640 -14.3157
4620.000000 125.570 -15.0761
4680.000000 125.497 -15.9870
4750.000000 125.378 -17.1085
4820.000000 125.199 -18.2432
4870.000000 125.061 -19.0219
4940.000000 124.796 -19.8948
5000.000000 124.552 -20.3187
5080.000000 124.155 -20.8524
5150.000000 123.841 -20.5014
5220.000000 123.517 -19.9546
5300.000000 123.174 -18.8894
5380.000000 122.834 -17.7232
5450.000000 122.604 -16.4323
5520.000000 122.373 -14.8892
5600.000000 122.086 -13.0147
