* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 12:53:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L stock black 1054
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.391 36.3532
20.600000 133.386 35.4277
20.900000 133.372 34.5775
21.200001 133.353 33.7357
21.400000 133.340 33.1848
21.799999 133.312 32.1224
22.000000 133.299 31.6169
22.400000 133.278 30.6621
22.700001 133.269 29.9818
23.000000 133.268 29.3061
23.299999 133.273 28.6071
23.600000 133.279 27.8694
24.000000 133.286 26.8256
24.299999 133.285 26.0241
24.700001 133.272 24.9888
25.000000 133.258 24.2789
25.400000 133.235 23.4519
25.799999 133.217 22.7477
26.200001 133.204 22.1047
26.500000 133.197 21.6129
26.900000 133.185 20.8946
27.200001 133.170 20.2948
27.600000 133.139 19.4308
28.000000 133.099 18.5532
28.500000 133.052 17.5405
29.000000 133.028 16.6613
29.500000 133.034 15.8366
30.000000 133.045 14.9604
30.400000 133.035 14.2238
30.700001 133.011 13.6850
31.100000 132.965 13.0291
31.500000 132.917 12.4442
32.000000 132.880 11.7243
32.500000 132.873 10.9009
33.000000 132.879 9.9891
33.500000 132.879 9.1324
34.000000 132.871 8.4376
34.500000 132.856 7.8568
35.000000 132.828 7.2800
35.500000 132.782 6.6639
36.000000 132.731 6.0377
36.500000 132.690 5.4000
37.000000 132.667 4.6996
37.500000 132.645 3.9375
38.200001 132.598 2.9656
38.700001 132.562 2.4401
39.500000 132.539 1.6724
40.000000 132.533 1.1077
40.599998 132.513 0.4149
41.200001 132.484 -0.1992
41.799999 132.450 -0.8038
42.500000 132.397 -1.5807
43.099998 132.349 -2.2488
43.700001 132.321 -2.9213
44.400002 132.302 -3.7421
45.000000 132.278 -4.3436
45.500000 132.259 -4.7145
46.200001 132.239 -5.2459
46.799999 132.206 -5.8642
47.500000 132.138 -6.5613
48.200001 132.089 -7.1365
48.700001 132.068 -7.6018
49.400002 132.025 -8.2687
50.000000 131.986 -8.6500
50.799999 131.977 -9.1851
51.500000 131.944 -9.9249
52.200001 131.864 -10.4130
53.000000 131.825 -10.6886
53.799999 131.800 -11.4918
54.500000 131.703 -12.1607
55.200001 131.632 -12.3194
56.000000 131.649 -12.7466
57.000000 131.596 -13.9135
58.000000 131.493 -14.3294
59.000000 131.486 -14.7778
60.000000 131.428 -15.7343
60.799999 131.336 -16.2020
61.500000 131.295 -16.3370
62.200001 131.300 -16.6373
63.000000 131.277 -17.3580
64.000000 131.165 -18.0800
65.000000 131.089 -18.2893
66.000000 131.083 -18.6435
67.000000 131.037 -19.4367
68.000000 130.913 -19.9619
69.000000 130.863 -19.9837
70.000000 130.866 -20.4108
71.000000 130.789 -21.0921
72.000000 130.679 -21.5863
73.000000 130.607 -21.8879
74.000000 130.575 -22.1578
75.000000 130.530 -22.4907
76.199997 130.466 -23.0131
77.500000 130.376 -23.6573
78.800003 130.306 -24.0217
80.000000 130.232 -24.4542
81.199997 130.145 -24.6297
82.500000 130.102 -24.8156
83.800003 130.056 -25.2131
85.000000 129.986 -25.6870
86.199997 129.934 -26.0809
87.500000 129.853 -26.5619
88.500000 129.778 -26.7774
90.000000 129.686 -27.3334
91.199997 129.607 -27.5481
92.500000 129.514 -27.5759
93.800003 129.439 -27.6899
95.000000 129.385 -27.7546
96.199997 129.353 -27.7684
97.500000 129.283 -27.8811
98.800003 129.211 -28.0338
100.000000 129.160 -28.1956
101.500000 129.076 -28.2480
103.000000 129.000 -28.5350
104.400002 128.944 -28.8387
106.000000 128.834 -29.0350
107.500000 128.730 -29.4132
109.000000 128.669 -29.7084
110.599998 128.605 -29.9671
112.000000 128.549 -30.2313
113.800003 128.505 -30.3773
115.000000 128.483 -30.2880
117.199997 128.397 -30.2757
118.000000 128.369 -30.3130
120.599998 128.238 -30.3815
122.000000 128.175 -30.5157
124.099998 128.121 -30.6016
125.000000 128.089 -30.5752
126.500000 128.005 -30.4128
128.000000 127.920 -30.4696
131.500000 127.845 -30.8698
132.000000 127.827 -30.7690
134.000000 127.696 -30.5140
136.000000 127.605 -30.7602
138.000000 127.568 -30.3705
140.000000 127.424 -30.2303
143.000000 127.384 -30.1837
145.000000 127.267 -30.1318
147.500000 127.250 -30.0365
150.000000 127.147 -30.0928
152.500000 127.065 -29.9411
155.000000 127.035 -30.1388
157.500000 126.923 -30.1025
160.000000 126.865 -29.6947
162.500000 126.786 -29.5191
165.000000 126.703 -29.2204
167.500000 126.614 -28.8962
170.000000 126.519 -28.6769
172.500000 126.434 -28.4660
175.000000 126.361 -28.3569
177.500000 126.308 -28.1152
180.000000 126.258 -28.0250
182.500000 126.201 -27.9014
185.000000 126.152 -27.7362
187.500000 126.114 -27.5569
190.000000 126.056 -27.3984
192.500000 126.003 -27.0556
195.000000 125.946 -26.8464
197.500000 125.890 -26.5802
200.000000 125.849 -26.2786
203.000000 125.783 -25.9069
206.000000 125.735 -25.5734
209.000000 125.685 -25.2932
212.000000 125.629 -25.1884
214.000000 125.608 -25.0245
218.000000 125.567 -24.7351
220.000000 125.543 -24.5333
224.000000 125.460 -24.2361
227.000000 125.420 -23.9079
230.000000 125.359 -23.5395
233.000000 125.299 -23.1443
236.000000 125.235 -22.8136
240.000000 125.185 -22.3181
243.000000 125.145 -22.0418
247.000000 125.103 -21.7015
250.000000 125.087 -21.4885
254.000000 125.067 -21.2832
258.000000 125.038 -21.0027
262.000000 125.017 -20.6193
265.000000 125.005 -20.2749
269.000000 124.973 -19.8343
272.000000 124.937 -19.6011
276.000000 124.884 -19.2904
280.000000 124.838 -18.9012
285.000000 124.768 -18.4174
290.000000 124.712 -17.8941
295.000000 124.671 -17.3495
300.000000 124.646 -17.0739
304.000000 124.623 -16.6564
307.000000 124.581 -16.4744
311.000000 124.577 -16.2796
315.000000 124.574 -15.9902
320.000000 124.553 -15.5591
325.000000 124.510 -15.1345
330.000000 124.466 -14.7430
335.000000 124.417 -14.2225
340.000000 124.387 -13.8915
345.000000 124.370 -13.4093
350.000000 124.356 -13.0508
355.000000 124.336 -12.7469
360.000000 124.334 -12.3567
365.000000 124.310 -11.9616
370.000000 124.271 -11.5998
375.000000 124.272 -11.3748
382.000000 124.213 -10.6393
387.000000 124.204 -10.3968
395.000000 124.156 -9.5646
400.000000 124.150 -9.5039
406.000000 124.149 -8.9067
412.000000 124.106 -8.5074
418.000000 124.107 -8.3826
425.000000 124.106 -7.8211
431.000000 124.085 -7.2698
437.000000 124.079 -6.9821
444.000000 124.057 -6.4819
450.000000 124.010 -6.1223
455.000000 123.972 -5.6999
462.000000 123.992 -5.2714
468.000000 123.966 -4.9774
475.000000 123.917 -4.2685
482.000000 123.938 -3.8867
487.000000 123.940 -3.5173
494.000000 123.943 -3.3359
500.000000 123.938 -2.9709
508.000000 123.898 -2.5548
515.000000 123.898 -2.1008
522.000000 123.883 -1.5730
530.000000 123.865 -1.0489
538.000000 123.826 -0.4486
545.000000 123.812 -0.1211
552.000000 123.826 0.5094
560.000000 123.818 1.0917
570.000000 123.827 1.7055
580.000000 123.820 2.1652
590.000000 123.816 2.6468
600.000000 123.808 3.4736
608.000000 123.783 3.9314
615.000000 123.762 4.3932
622.000000 123.752 4.9185
630.000000 123.740 5.4681
640.000000 123.744 6.2512
650.000000 123.753 6.8421
660.000000 123.785 7.4451
670.000000 123.815 8.0435
680.000000 123.854 8.6193
690.000000 123.885 9.2018
700.000000 123.911 9.7771
710.000000 123.939 10.4209
720.000000 123.965 11.0649
730.000000 123.960 11.5916
740.000000 123.961 12.2657
750.000000 123.978 12.9879
762.000000 123.981 13.7687
775.000000 124.008 14.4934
788.000000 124.058 15.2436
800.000000 124.122 15.9941
812.000000 124.161 16.7116
825.000000 124.246 17.3971
838.000000 124.320 18.1953
850.000000 124.380 18.8971
862.000000 124.435 19.5468
875.000000 124.499 20.2976
885.000000 124.538 20.8663
900.000000 124.603 21.7396
912.000000 124.663 22.2967
925.000000 124.728 23.0423
938.000000 124.800 23.6962
950.000000 124.883 24.2498
962.000000 124.959 24.7663
975.000000 125.065 25.2486
988.000000 125.181 25.8486
1000.000000 125.267 26.1118
1015.000000 125.404 26.7236
1030.000000 125.524 27.3137
1044.000000 125.630 27.7505
1060.000000 125.738 28.1978
1075.000000 125.853 28.5073
1090.000000 125.951 28.8162
1106.000000 126.068 29.1476
1120.000000 126.158 29.3998
1138.000000 126.300 29.6320
1150.000000 126.396 29.7637
1172.000000 126.579 29.9291
1180.000000 126.647 30.0086
1206.000000 126.843 30.0439
1220.000000 126.915 30.0824
1241.000000 127.046 30.1726
1250.000000 127.095 30.1785
1265.000000 127.175 30.2423
1280.000000 127.257 30.1601
1315.000000 127.446 30.0999
1320.000000 127.477 30.0978
1340.000000 127.588 30.0133
1360.000000 127.695 29.8532
1380.000000 127.804 29.7762
1400.000000 127.895 29.7083
1430.000000 128.034 29.5089
1450.000000 128.103 29.3846
1475.000000 128.198 29.2949
1500.000000 128.292 29.1973
1525.000000 128.384 29.0322
1550.000000 128.471 28.8803
1575.000000 128.562 28.6994
1600.000000 128.652 28.5657
1625.000000 128.734 28.3633
1650.000000 128.820 28.2045
1675.000000 128.899 28.0282
1700.000000 128.990 27.8206
1725.000000 129.071 27.6478
1750.000000 129.159 27.3933
1775.000000 129.238 27.1263
1800.000000 129.312 26.9266
1825.000000 129.389 26.6376
1850.000000 129.466 26.3467
1875.000000 129.543 26.0854
1900.000000 129.609 25.7525
1925.000000 129.688 25.4272
1950.000000 129.759 25.0978
1975.000000 129.835 24.6940
2000.000000 129.897 24.3568
2030.000000 129.975 23.7912
2060.000000 130.035 23.3769
2090.000000 130.099 22.7761
2120.000000 130.179 22.2691
2140.000000 130.233 21.8661
2180.000000 130.310 21.1120
2200.000000 130.346 20.7362
2240.000000 130.400 20.0319
2270.000000 130.435 19.3720
2300.000000 130.456 18.8505
2330.000000 130.478 18.3088
2360.000000 130.507 17.6502
2400.000000 130.548 16.9076
2430.000000 130.593 16.3333
2470.000000 130.652 15.5444
2500.000000 130.700 14.9134
2540.000000 130.772 14.0934
2580.000000 130.835 13.2360
2620.000000 130.878 12.2267
2650.000000 130.898 11.4967
2690.000000 130.902 10.3572
2720.000000 130.892 9.4753
2760.000000 130.846 8.3232
2800.000000 130.781 7.1384
2850.000000 130.699 5.7625
2900.000000 130.583 4.6962
2950.000000 130.474 3.9301
3000.000000 130.389 3.4318
3040.000000 130.326 3.0429
3070.000000 130.286 2.9015
3110.000000 130.245 2.6776
3150.000000 130.211 2.5252
3200.000000 130.191 2.3771
3250.000000 130.209 2.1685
3300.000000 130.219 2.0077
3350.000000 130.228 1.8687
3400.000000 130.247 1.5381
3450.000000 130.272 1.2080
3500.000000 130.306 0.7999
3550.000000 130.346 0.2415
3600.000000 130.406 -0.4230
3650.000000 130.449 -1.2677
3700.000000 130.467 -2.0566
3750.000000 130.484 -3.0798
3820.000000 130.520 -4.6081
3870.000000 130.516 -5.6109
3950.000000 130.502 -7.2528
4000.000000 130.467 -8.2306
4060.000000 130.409 -8.9973
4120.000000 130.460 -8.7694
4180.000000 130.672 -10.9311
4250.000000 130.604 -13.7656
4310.000000 130.510 -15.5653
4370.000000 130.401 -17.4471
4440.000000 130.240 -19.6142
4500.000000 130.089 -21.4928
4550.000000 129.928 -23.0646
4620.000000 129.683 -25.0936
4680.000000 129.432 -26.7780
4750.000000 129.129 -28.4083
4820.000000 128.775 -29.8491
4870.000000 128.522 -30.6309
4940.000000 128.124 -31.4942
5000.000000 127.790 -32.1430
5080.000000 127.301 -32.3236
5150.000000 126.844 -32.1774
5220.000000 126.370 -31.6114
5300.000000 125.888 -30.7580
5380.000000 125.460 -29.2437
5450.000000 125.153 -27.9314
5520.000000 124.869 -26.4869
5600.000000 124.557 -24.8233
5700.000000 124.246 -22.4913
5800.000000 123.990 -20.1689
5900.000000 123.791 -17.9625
