* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2025 12:54:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R stock black 1055
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 133.614 36.5258
20.600000 133.588 35.6251
20.900000 133.556 34.7837
21.200001 133.530 33.9612
21.400000 133.520 33.4321
21.799999 133.516 32.4215
22.000000 133.521 31.9377
22.400000 133.539 31.0028
22.700001 133.550 30.3226
23.000000 133.553 29.6572
23.299999 133.543 29.0063
23.600000 133.521 28.3676
24.000000 133.480 27.5258
24.299999 133.447 26.8901
24.700001 133.410 26.0192
25.000000 133.392 25.3413
25.400000 133.384 24.4088
25.799999 133.389 23.4715
26.200001 133.398 22.5718
26.500000 133.403 21.9415
26.900000 133.405 21.1631
27.200001 133.402 20.6096
27.600000 133.388 19.8782
28.000000 133.364 19.1238
28.500000 133.322 18.1535
29.000000 133.279 17.2111
29.500000 133.250 16.3348
30.000000 133.240 15.5046
30.400000 133.240 14.8573
30.700001 133.239 14.3878
31.100000 133.235 13.7989
31.500000 133.228 13.2482
32.000000 133.220 12.5507
32.500000 133.209 11.7536
33.000000 133.178 10.8599
33.500000 133.126 9.9918
34.000000 133.070 9.2700
34.500000 133.034 8.6785
35.000000 133.024 8.0990
35.500000 133.026 7.4388
36.000000 133.018 6.7164
36.500000 132.993 6.0096
37.000000 132.954 5.3770
37.500000 132.911 4.8180
38.200001 132.859 4.0779
38.700001 132.831 3.5212
39.500000 132.795 2.5407
40.000000 132.775 1.8804
40.599998 132.749 1.0591
41.200001 132.723 0.2690
41.799999 132.703 -0.3995
42.500000 132.699 -1.0191
43.099998 132.698 -1.5236
43.700001 132.673 -2.0394
44.400002 132.613 -2.6072
45.000000 132.564 -3.1437
45.500000 132.532 -3.7318
46.200001 132.486 -4.6906
46.799999 132.438 -5.3686
47.500000 132.402 -5.8603
48.200001 132.391 -6.3298
48.700001 132.378 -6.7981
49.400002 132.331 -7.5523
50.000000 132.280 -8.1183
50.799999 132.230 -8.7100
51.500000 132.200 -9.1956
52.200001 132.161 -9.6861
53.000000 132.111 -10.2506
53.799999 132.066 -10.9008
54.500000 132.024 -11.4372
55.200001 131.986 -11.7672
56.000000 131.963 -12.0836
57.000000 131.897 -12.8011
58.000000 131.797 -13.5447
59.000000 131.756 -14.3582
60.000000 131.714 -15.0734
60.799999 131.674 -15.3934
61.500000 131.636 -15.7264
62.200001 131.593 -16.1635
63.000000 131.556 -16.7333
64.000000 131.517 -17.4339
65.000000 131.468 -17.8479
66.000000 131.418 -18.3533
67.000000 131.345 -18.8969
68.000000 131.309 -19.2864
69.000000 131.261 -19.7867
70.000000 131.189 -20.1347
71.000000 131.163 -20.6218
72.000000 131.120 -21.2732
73.000000 131.065 -21.5986
74.000000 131.032 -22.0198
75.000000 130.964 -22.5486
76.199997 130.890 -22.8201
77.500000 130.833 -23.4265
78.800003 130.739 -23.9733
80.000000 130.712 -24.3067
81.199997 130.638 -24.7834
82.500000 130.563 -24.9494
83.800003 130.507 -25.2956
85.000000 130.448 -25.7938
86.199997 130.361 -26.2107
87.500000 130.345 -26.4182
88.500000 130.297 -26.7724
90.000000 130.167 -27.0786
91.199997 130.111 -27.3276
92.500000 130.052 -27.7095
93.800003 129.950 -28.2304
95.000000 129.889 -28.4797
96.199997 129.849 -28.5884
97.500000 129.790 -28.7907
98.800003 129.701 -28.9937
100.000000 129.649 -29.1049
101.500000 129.549 -29.1940
103.000000 129.489 -29.5378
104.400002 129.441 -29.7949
106.000000 129.341 -30.0832
107.500000 129.265 -30.2246
109.000000 129.178 -30.4712
110.599998 129.123 -30.5282
112.000000 129.080 -30.8978
113.800003 128.998 -31.1724
115.000000 128.942 -31.1677
117.199997 128.860 -31.3753
118.000000 128.833 -31.3587
120.599998 128.703 -31.6509
122.000000 128.642 -31.7536
124.099998 128.525 -31.8088
125.000000 128.492 -31.7887
126.500000 128.430 -31.9016
128.000000 128.379 -31.8663
131.500000 128.247 -32.0922
132.000000 128.219 -32.0433
134.000000 128.142 -31.9329
136.000000 128.064 -32.0095
138.000000 127.969 -32.3204
140.000000 127.899 -32.3985
143.000000 127.760 -32.3610
145.000000 127.686 -32.3358
147.500000 127.615 -32.2850
150.000000 127.530 -32.1297
152.500000 127.434 -31.9199
155.000000 127.321 -31.8559
157.500000 127.246 -31.8111
160.000000 127.173 -31.7939
162.500000 127.105 -31.7495
165.000000 127.041 -31.7218
167.500000 126.993 -31.5938
170.000000 126.918 -31.4176
172.500000 126.854 -31.3235
175.000000 126.794 -31.1570
177.500000 126.720 -30.8378
180.000000 126.671 -30.7627
182.500000 126.620 -30.6932
185.000000 126.578 -30.3997
187.500000 126.492 -30.2148
190.000000 126.466 -30.0504
192.500000 126.397 -30.0166
195.000000 126.362 -29.7961
197.500000 126.327 -29.6145
200.000000 126.249 -29.3779
203.000000 126.209 -29.0875
206.000000 126.143 -28.8386
209.000000 126.064 -28.6842
212.000000 125.988 -28.4316
214.000000 125.954 -28.2186
218.000000 125.853 -27.9565
220.000000 125.811 -27.7152
224.000000 125.731 -27.3243
227.000000 125.653 -27.0345
230.000000 125.597 -26.7760
233.000000 125.536 -26.5709
236.000000 125.478 -26.2296
240.000000 125.402 -25.8193
243.000000 125.361 -25.5574
247.000000 125.308 -25.2774
250.000000 125.290 -24.8204
254.000000 125.168 -24.6594
258.000000 125.171 -24.4852
262.000000 125.140 -23.8754
265.000000 125.093 -23.6554
269.000000 125.046 -23.3877
272.000000 125.001 -23.0114
276.000000 124.976 -22.7433
280.000000 124.905 -22.3306
285.000000 124.878 -22.0110
290.000000 124.840 -21.2835
295.000000 124.749 -21.0171
300.000000 124.731 -20.7191
304.000000 124.663 -20.3609
307.000000 124.664 -19.9803
311.000000 124.629 -19.4557
315.000000 124.614 -19.0596
320.000000 124.604 -18.8607
325.000000 124.569 -18.4139
330.000000 124.550 -18.0548
335.000000 124.549 -17.5601
340.000000 124.547 -17.2514
345.000000 124.507 -16.9324
350.000000 124.452 -16.4917
355.000000 124.395 -16.0336
360.000000 124.355 -15.5523
365.000000 124.325 -15.1216
370.000000 124.282 -14.7384
375.000000 124.242 -14.3356
382.000000 124.183 -13.7448
387.000000 124.153 -13.3512
395.000000 124.095 -12.7467
400.000000 124.072 -12.4826
406.000000 124.052 -11.9497
412.000000 124.008 -11.3423
418.000000 123.961 -10.9706
425.000000 123.948 -10.4271
431.000000 123.921 -9.9401
437.000000 123.921 -9.5503
444.000000 123.909 -9.0569
450.000000 123.894 -8.8166
455.000000 123.873 -8.2884
462.000000 123.869 -7.8928
468.000000 123.824 -7.4369
475.000000 123.797 -6.6925
482.000000 123.775 -6.2122
487.000000 123.770 -5.7613
494.000000 123.746 -5.2718
500.000000 123.747 -4.9282
508.000000 123.759 -4.3397
515.000000 123.760 -3.9235
522.000000 123.780 -3.3231
530.000000 123.798 -2.7369
538.000000 123.807 -2.3337
545.000000 123.808 -1.9268
552.000000 123.793 -1.4125
560.000000 123.745 -1.1485
570.000000 123.660 -0.4862
580.000000 123.581 0.1453
590.000000 123.527 1.0133
600.000000 123.521 1.7493
608.000000 123.531 2.3336
615.000000 123.547 2.7679
622.000000 123.552 3.2158
630.000000 123.584 3.7731
640.000000 123.613 4.3088
650.000000 123.622 4.9550
660.000000 123.617 5.6267
670.000000 123.620 6.2466
680.000000 123.574 6.8895
690.000000 123.575 7.5613
700.000000 123.574 8.2257
710.000000 123.591 8.9520
720.000000 123.601 9.5580
730.000000 123.649 10.0489
740.000000 123.669 10.7526
750.000000 123.717 11.3040
762.000000 123.734 12.1855
775.000000 123.768 12.9740
788.000000 123.792 13.7231
800.000000 123.799 14.5955
812.000000 123.784 15.4592
825.000000 123.799 16.2865
838.000000 123.815 17.1546
850.000000 123.861 17.7358
862.000000 123.931 18.5197
875.000000 124.031 19.3178
885.000000 124.110 19.8861
900.000000 124.253 20.6721
912.000000 124.347 21.2706
925.000000 124.468 21.9623
938.000000 124.599 22.6672
950.000000 124.698 23.2142
962.000000 124.788 23.7246
975.000000 124.880 24.2852
988.000000 124.968 24.9198
1000.000000 125.061 25.4243
1015.000000 125.126 25.9555
1030.000000 125.242 26.5141
1044.000000 125.355 27.0307
1060.000000 125.467 27.4566
1075.000000 125.579 27.8027
1090.000000 125.708 28.1430
1106.000000 125.838 28.4722
1120.000000 125.948 28.6899
1138.000000 126.094 28.9859
1150.000000 126.178 29.1172
1172.000000 126.325 29.3807
1180.000000 126.370 29.4869
1206.000000 126.518 29.6109
1220.000000 126.587 29.7298
1241.000000 126.713 29.8626
1250.000000 126.773 29.8393
1265.000000 126.881 29.8373
1280.000000 126.971 29.8164
1315.000000 127.179 29.8334
1320.000000 127.214 29.7931
1340.000000 127.322 29.7950
1360.000000 127.407 29.7371
1380.000000 127.498 29.7671
1400.000000 127.590 29.6874
1430.000000 127.725 29.5085
1450.000000 127.811 29.5316
1475.000000 127.907 29.4766
1500.000000 128.024 29.3762
1525.000000 128.131 29.2457
1550.000000 128.242 29.1628
1575.000000 128.349 29.0314
1600.000000 128.449 28.9044
1625.000000 128.534 28.7683
1650.000000 128.620 28.6252
1675.000000 128.695 28.4637
1700.000000 128.769 28.3332
1725.000000 128.839 28.1610
1750.000000 128.915 27.9439
1775.000000 128.979 27.7714
1800.000000 129.056 27.5956
1825.000000 129.123 27.3511
1850.000000 129.211 27.0664
1875.000000 129.301 26.8334
1900.000000 129.390 26.4432
1925.000000 129.470 26.2336
1950.000000 129.559 25.8867
1975.000000 129.648 25.5467
2000.000000 129.728 25.1446
2030.000000 129.812 24.6806
2060.000000 129.881 24.2696
2090.000000 129.933 23.8396
2120.000000 129.999 23.2883
2140.000000 130.055 22.9200
2180.000000 130.151 22.2010
2200.000000 130.200 21.8253
2240.000000 130.314 21.0642
2270.000000 130.381 20.4258
2300.000000 130.444 19.9324
2330.000000 130.484 19.2424
2360.000000 130.525 18.7605
2400.000000 130.585 17.9751
2430.000000 130.626 17.3165
2470.000000 130.671 16.5159
2500.000000 130.703 15.9401
2540.000000 130.754 15.0916
2580.000000 130.798 14.1297
2620.000000 130.831 13.2499
2650.000000 130.840 12.6132
2690.000000 130.864 11.4687
2720.000000 130.874 10.5336
2760.000000 130.856 9.3552
2800.000000 130.806 8.1468
2850.000000 130.684 6.6774
2900.000000 130.520 5.7300
2950.000000 130.395 4.7564
3000.000000 130.294 4.1153
3040.000000 130.230 3.7698
3070.000000 130.205 3.4705
3110.000000 130.187 3.2735
3150.000000 130.173 3.0891
3200.000000 130.176 2.8457
3250.000000 130.179 2.6287
3300.000000 130.180 2.3961
3350.000000 130.148 2.2293
3400.000000 130.105 2.0561
3450.000000 130.105 1.6735
3500.000000 130.117 1.3149
3550.000000 130.158 0.8725
3600.000000 130.216 0.2861
3650.000000 130.283 -0.3293
3700.000000 130.363 -1.1082
3750.000000 130.429 -1.9137
3820.000000 130.510 -3.1679
3870.000000 130.523 -4.2411
3950.000000 130.490 -5.6591
4000.000000 130.517 -6.8144
4060.000000 130.441 -8.0442
4120.000000 130.365 -9.3136
4180.000000 130.332 -10.4669
4250.000000 130.423 -12.4008
4310.000000 130.386 -14.5106
4370.000000 130.327 -16.4399
4440.000000 130.214 -18.6816
4500.000000 130.069 -20.5195
4550.000000 129.919 -22.1526
4620.000000 129.670 -24.0985
4680.000000 129.401 -25.8067
4750.000000 129.045 -27.3251
4820.000000 128.666 -28.5674
4870.000000 128.382 -29.3972
4940.000000 127.993 -30.0769
5000.000000 127.618 -30.2825
5080.000000 127.144 -30.5781
5150.000000 126.715 -30.3038
5220.000000 126.273 -29.6334
5300.000000 125.846 -28.6885
5380.000000 125.459 -27.4816
5450.000000 125.156 -26.1141
5520.000000 124.878 -24.7717
5600.000000 124.581 -23.2090
5700.000000 124.286 -20.8362
5800.000000 124.040 -18.5143
5900.000000 123.817 -16.1335
