* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 6, 2024 11:25:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L SILVER NOZZLE 439
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 123.936 -153.4980
20.600000 123.948 -154.2531
20.900000 123.954 -154.9127
21.200001 123.963 -155.5683
21.400000 123.970 -156.0151
21.799999 123.987 -156.9380
22.000000 123.995 -157.4118
22.400000 124.010 -158.3654
22.700001 124.018 -159.0650
23.000000 124.025 -159.7364
23.299999 124.032 -160.3785
23.600000 124.040 -160.9981
24.000000 124.050 -161.8036
24.299999 124.056 -162.4007
24.700001 124.061 -163.1873
25.000000 124.061 -163.7634
25.400000 124.056 -164.5054
25.799999 124.048 -165.2194
26.200001 124.040 -165.9188
26.500000 124.033 -166.4416
26.900000 124.024 -167.1360
27.200001 124.016 -167.6461
27.600000 124.007 -168.2958
28.000000 124.002 -168.9008
28.500000 124.006 -169.6147
29.000000 124.017 -170.3403
29.500000 124.024 -171.1161
30.000000 124.014 -171.9122
30.400000 123.993 -172.5146
30.700001 123.975 -172.9290
31.100000 123.952 -173.4387
31.500000 123.937 -173.9314
32.000000 123.926 -174.5788
32.500000 123.914 -175.2745
33.000000 123.892 -175.9708
33.500000 123.862 -176.6251
34.000000 123.830 -177.2472
34.500000 123.798 -177.8701
35.000000 123.767 -178.4916
35.500000 123.740 -179.0790
36.000000 123.723 -179.6202
36.500000 123.716 179.8640
37.000000 123.708 179.3601
37.500000 123.690 178.8832
38.200001 123.649 178.2635
38.700001 123.613 177.8041
39.500000 123.551 176.9685
40.000000 123.518 176.4226
40.599998 123.490 175.7880
41.200001 123.468 175.1968
41.799999 123.440 174.6980
42.500000 123.397 174.2563
43.099998 123.363 173.8790
43.700001 123.328 173.3862
44.400002 123.279 172.7245
45.000000 123.235 172.2076
45.500000 123.205 171.8366
46.200001 123.169 171.3607
46.799999 123.135 170.9487
47.500000 123.087 170.4442
48.200001 123.032 169.9504
48.700001 122.996 169.6245
49.400002 122.958 169.1697
50.000000 122.929 168.7529
50.799999 122.884 168.2451
51.500000 122.843 167.8823
52.200001 122.801 167.4831
53.000000 122.740 166.9620
53.799999 122.680 166.5206
54.500000 122.649 166.1881
55.200001 122.623 165.8055
56.000000 122.567 165.2991
57.000000 122.467 164.7577
58.000000 122.420 164.3431
59.000000 122.394 163.8286
60.000000 122.299 163.5248
60.799999 122.226 163.3734
61.500000 122.189 163.0061
62.200001 122.153 162.5149
63.000000 122.103 162.1735
64.000000 122.052 162.0047
65.000000 121.991 161.5840
66.000000 121.917 161.0852
67.000000 121.865 160.7238
68.000000 121.796 160.4280
69.000000 121.723 160.1526
70.000000 121.670 159.7451
71.000000 121.612 159.4819
72.000000 121.558 159.2977
73.000000 121.474 158.9163
74.000000 121.401 158.6071
75.000000 121.364 158.3165
76.199997 121.293 158.1093
77.500000 121.225 157.8237
78.800003 121.156 157.3772
80.000000 121.076 157.1943
81.199997 121.005 156.9508
82.500000 120.931 156.6132
83.800003 120.857 156.4152
85.000000 120.782 156.2530
86.199997 120.721 155.9573
87.500000 120.652 155.8898
88.500000 120.612 155.6198
90.000000 120.517 155.4272
91.199997 120.465 155.3073
92.500000 120.374 155.0427
93.800003 120.320 154.9049
95.000000 120.246 154.7020
96.199997 120.209 154.7499
97.500000 120.082 154.2575
98.800003 120.107 154.6828
100.000000 119.962 153.6788
101.500000 119.993 154.6541
103.000000 119.749 153.4752
104.400002 119.857 154.4496
106.000000 119.655 153.5009
107.500000 119.687 153.4062
109.000000 119.473 153.7497
110.599998 119.587 154.2341
112.000000 119.568 151.8961
113.800003 119.133 154.1639
115.000000 119.318 154.4340
117.199997 119.338 151.9689
118.000000 119.122 152.1448
120.599998 118.940 153.3405
122.000000 118.951 153.6829
124.099998 118.971 153.1891
125.000000 118.954 153.2866
126.500000 118.902 152.1749
128.000000 118.729 152.7612
131.500000 118.659 153.0775
132.000000 118.620 152.7235
134.000000 118.473 153.1025
136.000000 118.431 153.2853
138.000000 118.384 153.1729
140.000000 118.332 153.1992
143.000000 118.180 153.3959
145.000000 118.122 153.0809
147.500000 118.052 153.3455
150.000000 117.961 153.1756
152.500000 117.879 153.3204
155.000000 117.826 153.3531
157.500000 117.732 153.4330
160.000000 117.686 153.7403
162.500000 117.577 153.8469
165.000000 117.493 153.7859
167.500000 117.445 153.7880
170.000000 117.383 154.2071
172.500000 117.279 154.2336
175.000000 117.230 154.2884
177.500000 117.211 154.3796
180.000000 117.113 154.7526
182.500000 117.044 154.5387
185.000000 116.946 155.1654
187.500000 116.819 155.3013
190.000000 116.911 155.1860
192.500000 116.803 156.1964
195.000000 116.738 155.3612
197.500000 116.781 156.9482
200.000000 116.581 155.3698
203.000000 116.747 156.9882
206.000000 116.209 157.4695
209.000000 116.592 156.2998
212.000000 116.299 155.3693
214.000000 116.285 157.3589
218.000000 116.359 158.0675
220.000000 116.203 157.4015
224.000000 116.078 157.3426
227.000000 116.142 157.8823
230.000000 116.130 157.6141
233.000000 116.053 157.9783
236.000000 115.927 158.0557
240.000000 115.810 158.5573
243.000000 115.861 158.4648
247.000000 115.807 158.8574
250.000000 115.806 159.5819
254.000000 115.653 160.2092
258.000000 115.550 160.4305
262.000000 115.467 160.1820
265.000000 115.615 160.0415
269.000000 115.576 161.1778
272.000000 115.328 161.5179
276.000000 115.327 160.9499
280.000000 115.325 161.3516
285.000000 115.303 161.6033
290.000000 115.319 162.0283
295.000000 115.283 163.5964
300.000000 115.126 164.2691
304.000000 114.929 164.9603
307.000000 114.952 164.4926
311.000000 114.998 163.8398
315.000000 114.980 165.2605
320.000000 115.005 165.0408
325.000000 114.981 165.2919
330.000000 114.906 165.2722
335.000000 114.851 165.7715
340.000000 114.761 166.0735
345.000000 114.732 166.3508
350.000000 114.680 166.8431
355.000000 114.620 167.1248
360.000000 114.587 167.2126
365.000000 114.576 167.8423
370.000000 114.545 168.1834
375.000000 114.527 168.3377
382.000000 114.495 169.0566
387.000000 114.495 169.5736
395.000000 114.344 169.8700
400.000000 114.266 170.4367
406.000000 114.357 170.8920
412.000000 114.404 170.9126
418.000000 114.307 171.3002
425.000000 114.231 171.8673
431.000000 114.199 172.6391
437.000000 114.161 173.2658
444.000000 114.258 173.6032
450.000000 114.322 173.7109
455.000000 114.354 174.3691
462.000000 114.209 174.6864
468.000000 114.163 175.1346
475.000000 114.069 175.8057
482.000000 114.107 176.3423
487.000000 114.040 176.4139
494.000000 114.052 176.7452
500.000000 114.072 177.3085
508.000000 114.026 177.8102
515.000000 113.990 178.0186
522.000000 113.995 178.7004
530.000000 113.973 178.9844
538.000000 113.976 179.5888
545.000000 113.948 -179.9339
552.000000 113.959 -179.6387
560.000000 113.952 -179.2042
570.000000 113.945 -178.3875
580.000000 113.943 -177.9549
590.000000 113.973 -177.2954
600.000000 113.942 -176.7180
608.000000 113.935 -176.1196
615.000000 113.913 -175.8049
622.000000 113.934 -175.4528
630.000000 113.976 -174.8922
640.000000 113.930 -174.4518
650.000000 113.946 -173.6055
660.000000 113.983 -173.0855
670.000000 113.956 -172.6621
680.000000 113.991 -172.0437
690.000000 113.992 -171.3679
700.000000 114.000 -170.9358
710.000000 114.035 -170.2538
720.000000 114.058 -169.5119
730.000000 114.081 -169.4781
740.000000 114.117 -168.4134
750.000000 114.112 -167.8228
762.000000 114.164 -167.3409
775.000000 114.194 -166.6892
788.000000 114.256 -165.8862
800.000000 114.311 -165.2326
812.000000 114.329 -164.6635
825.000000 114.407 -164.0843
838.000000 114.483 -163.5168
850.000000 114.525 -162.7962
862.000000 114.601 -162.2927
875.000000 114.674 -161.6852
885.000000 114.736 -161.3399
900.000000 114.796 -160.7595
912.000000 114.902 -160.1621
925.000000 114.989 -159.8442
938.000000 115.078 -159.1258
950.000000 115.104 -158.8360
962.000000 115.206 -158.4149
975.000000 115.299 -158.1648
988.000000 115.402 -157.8465
1000.000000 115.484 -158.1242
1015.000000 115.577 -157.1930
1030.000000 115.702 -157.0518
1044.000000 115.800 -156.9753
1060.000000 115.878 -156.8164
1075.000000 115.995 -156.8135
1090.000000 116.087 -156.7021
1106.000000 116.148 -156.8283
1120.000000 116.254 -156.8399
1138.000000 116.307 -156.8503
1150.000000 116.372 -157.1484
1172.000000 116.425 -157.0668
1180.000000 116.464 -157.3554
1206.000000 116.525 -157.1325
1220.000000 116.516 -156.9683
1241.000000 116.565 -156.7137
1250.000000 116.614 -156.5838
1265.000000 116.613 -156.3987
1280.000000 116.682 -156.2286
1315.000000 116.796 -155.3438
1320.000000 116.807 -155.3480
1340.000000 116.882 -154.7668
1360.000000 117.017 -154.6752
1380.000000 117.095 -154.6320
1400.000000 117.210 -154.2541
1430.000000 117.391 -154.0586
1450.000000 117.488 -154.0089
1475.000000 117.647 -154.0043
1500.000000 117.745 -154.1717
1525.000000 117.847 -154.2719
1550.000000 117.921 -154.4167
1575.000000 118.029 -154.5505
1600.000000 118.090 -154.4842
1625.000000 118.215 -154.1570
1650.000000 118.342 -153.9469
1675.000000 118.445 -153.9010
1700.000000 118.619 -154.0126
1725.000000 118.781 -154.0651
1750.000000 118.929 -154.4000
1775.000000 119.091 -154.6924
1800.000000 119.225 -155.2268
1825.000000 119.367 -155.6999
1850.000000 119.489 -156.2933
1875.000000 119.608 -156.8974
1900.000000 119.700 -157.4427
1925.000000 119.815 -158.2314
1950.000000 119.907 -159.0160
1975.000000 119.981 -159.7264
2000.000000 120.062 -159.9889
2030.000000 120.151 -161.4174
2060.000000 120.223 -162.2195
2090.000000 120.306 -163.3735
2120.000000 120.364 -164.3516
2140.000000 120.431 -165.0547
2180.000000 120.494 -166.6710
2200.000000 120.490 -167.5620
2240.000000 120.479 -168.9889
2270.000000 120.457 -169.9331
2300.000000 120.425 -170.9633
2330.000000 120.384 -171.9120
2360.000000 120.361 -172.7128
2400.000000 120.306 -173.6038
2430.000000 120.261 -174.3096
2470.000000 120.186 -175.3599
2500.000000 120.161 -176.1011
2540.000000 120.092 -177.1584
2580.000000 120.005 -178.2633
2620.000000 119.918 -179.0881
2650.000000 119.852 -179.6459
2690.000000 119.770 179.4497
2720.000000 119.678 178.7462
2760.000000 119.550 177.7408
2800.000000 119.399 176.9559
2850.000000 119.118 175.6105
2900.000000 118.779 174.9439
2950.000000 118.342 175.5211
3000.000000 118.010 176.6340
3040.000000 117.888 178.5957
3070.000000 117.826 179.7968
3110.000000 117.826 -179.0660
3150.000000 117.880 -178.1203
3200.000000 117.944 -177.2875
3250.000000 118.013 -176.8458
3300.000000 118.053 -176.2577
3350.000000 118.095 -176.0530
3400.000000 118.200 -175.6559
3450.000000 118.278 -175.2467
3500.000000 118.333 -175.0274
3550.000000 118.433 -175.2135
3600.000000 118.521 -175.1231
3650.000000 118.605 -175.8023
3700.000000 118.665 -176.0196
3750.000000 118.700 -176.4003
3820.000000 118.789 -177.3284
3870.000000 118.745 -177.9156
3950.000000 118.768 -178.5095
4000.000000 118.716 -178.6567
4060.000000 118.774 -179.2043
4120.000000 118.816 179.8155
4180.000000 118.744 178.6865
4250.000000 118.573 177.8736
4310.000000 118.352 177.7779
4370.000000 118.233 178.3453
4440.000000 118.161 179.6400
4500.000000 118.157 -179.7189
4550.000000 118.248 -179.1958
4620.000000 118.383 -178.6867
4680.000000 118.517 -178.6161
4750.000000 118.680 -178.9048
4820.000000 118.779 179.9225
4870.000000 118.792 178.8310
4940.000000 118.744 177.8132
5000.000000 118.586 176.5635
5080.000000 118.487 176.9253
5150.000000 118.465 177.4796
5220.000000 118.573 177.6283
5300.000000 118.650 176.8731
5380.000000 118.696 175.5330
5450.000000 118.686 173.9268
5520.000000 118.574 172.4734
5600.000000 118.359 171.3011
5700.000000 117.962 170.8568
5800.000000 117.675 171.2625
5900.000000 117.545 171.5653
6000.000000 117.384 171.6386
6080.000000 117.264 171.8790
