* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: May 21, 2025 7:48:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L TOP PRO 1 690
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.599 13.4646
20.600000 88.602 12.7899
20.900000 88.597 12.1905
21.200001 88.591 11.5892
21.400000 88.587 11.1837
21.799999 88.578 10.3739
22.000000 88.573 9.9789
22.400000 88.566 9.2304
22.700001 88.565 8.7091
23.000000 88.569 8.2083
23.299999 88.577 7.7037
23.600000 88.586 7.1782
24.000000 88.593 6.4359
24.299999 88.592 5.8614
24.700001 88.582 5.1034
25.000000 88.571 4.5577
25.400000 88.556 3.8624
25.799999 88.543 3.1864
26.200001 88.529 2.5195
26.500000 88.516 2.0346
26.900000 88.495 1.4295
27.200001 88.478 1.0144
27.600000 88.460 0.5000
28.000000 88.448 -0.0118
28.500000 88.437 -0.7063
29.000000 88.420 -1.4542
29.500000 88.393 -2.1834
30.000000 88.363 -2.8393
30.400000 88.342 -3.3219
30.700001 88.328 -3.6760
31.100000 88.310 -4.1519
31.500000 88.292 -4.6335
32.000000 88.270 -5.2363
32.500000 88.248 -5.8401
33.000000 88.227 -6.4471
33.500000 88.204 -7.0392
34.000000 88.179 -7.5881
34.500000 88.155 -8.0975
35.000000 88.132 -8.6070
35.500000 88.104 -9.1486
36.000000 88.068 -9.7094
36.500000 88.027 -10.2569
37.000000 87.988 -10.7822
37.500000 87.956 -11.3034
38.200001 87.919 -12.0381
38.700001 87.889 -12.5399
39.500000 87.832 -13.2606
40.000000 87.792 -13.6783
40.599998 87.745 -14.1868
41.200001 87.702 -14.7360
41.799999 87.663 -15.3077
42.500000 87.618 -15.8996
43.099998 87.580 -16.2985
43.700001 87.545 -16.6980
44.400002 87.488 -17.2884
45.000000 87.421 -17.8453
45.500000 87.367 -18.2652
46.200001 87.315 -18.7971
46.799999 87.286 -19.2639
47.500000 87.239 -19.7812
48.200001 87.178 -20.2047
48.700001 87.133 -20.4935
49.400002 87.072 -20.9566
50.000000 87.020 -21.3824
50.799999 86.957 -21.9085
51.500000 86.906 -22.3320
52.200001 86.853 -22.7391
53.000000 86.789 -23.1844
53.799999 86.722 -23.6238
54.500000 86.659 -24.0083
55.200001 86.596 -24.3943
56.000000 86.524 -24.8338
57.000000 86.444 -25.3407
58.000000 86.367 -25.8562
59.000000 86.269 -26.3759
60.000000 86.177 -26.8294
60.799999 86.116 -27.2403
61.500000 86.057 -27.5820
62.200001 85.996 -27.8418
63.000000 85.928 -28.1234
64.000000 85.831 -28.4990
65.000000 85.738 -28.8032
66.000000 85.658 -29.2003
67.000000 85.565 -29.5927
68.000000 85.484 -29.8508
69.000000 85.403 -30.1970
70.000000 85.300 -30.4990
71.000000 85.211 -30.7451
72.000000 85.120 -31.0353
73.000000 85.030 -31.2463
74.000000 84.949 -31.5020
75.000000 84.856 -31.7676
76.199997 84.745 -31.9236
77.500000 84.641 -32.2155
78.800003 84.515 -32.4603
80.000000 84.417 -32.6777
81.199997 84.321 -32.7684
82.500000 84.214 -32.8749
83.800003 84.093 -32.9717
85.000000 83.983 -33.1902
86.199997 83.892 -33.1870
87.500000 83.774 -33.3415
88.500000 83.697 -33.3578
90.000000 83.586 -33.5307
91.199997 83.490 -33.3886
92.500000 83.389 -33.4990
93.800003 83.289 -33.4185
95.000000 83.187 -33.4804
96.199997 83.080 -33.2952
97.500000 83.016 -33.2955
98.800003 82.902 -33.1885
100.000000 82.819 -33.0471
101.500000 82.710 -32.9297
103.000000 82.584 -32.7653
104.400002 82.553 -32.7424
106.000000 82.366 -32.1323
107.500000 82.317 -32.8899
109.000000 82.286 -31.4625
110.599998 81.978 -31.8281
112.000000 82.182 -31.6906
113.800003 81.899 -30.3924
115.000000 81.915 -31.4833
117.199997 81.748 -30.5317
118.000000 81.703 -30.1895
120.599998 81.592 -29.3057
122.000000 81.513 -30.0271
124.099998 81.446 -29.2266
125.000000 81.334 -28.6695
126.500000 81.376 -28.8680
128.000000 81.228 -27.5592
131.500000 81.198 -27.3420
132.000000 81.124 -27.4158
134.000000 81.129 -26.6156
136.000000 81.014 -25.6974
138.000000 80.919 -25.5723
140.000000 80.949 -25.2812
143.000000 80.864 -24.6255
145.000000 80.867 -23.5494
147.500000 80.774 -23.0067
150.000000 80.687 -22.7323
152.500000 80.696 -22.5178
155.000000 80.718 -22.2546
157.500000 80.761 -21.3130
160.000000 80.744 -20.1733
162.500000 80.692 -19.5812
165.000000 80.649 -19.4137
167.500000 80.679 -19.1544
170.000000 80.684 -18.5513
172.500000 80.687 -18.0504
175.000000 80.701 -17.6979
177.500000 80.737 -17.4841
180.000000 80.745 -17.0332
182.500000 80.772 -16.7518
185.000000 80.789 -16.4845
187.500000 80.805 -16.1821
190.000000 80.829 -15.9451
192.500000 80.831 -15.6615
195.000000 80.868 -15.4686
197.500000 80.888 -15.2808
200.000000 80.919 -15.1510
203.000000 80.939 -14.9940
206.000000 80.960 -14.8390
209.000000 80.989 -14.6719
212.000000 81.038 -14.3937
214.000000 81.043 -14.3664
218.000000 81.059 -13.9957
220.000000 81.060 -14.0579
224.000000 81.104 -14.2943
227.000000 81.164 -14.2102
230.000000 81.178 -14.1350
233.000000 81.215 -14.1566
236.000000 81.245 -14.0619
240.000000 81.253 -14.2993
243.000000 81.299 -14.2509
247.000000 81.324 -14.3606
250.000000 81.361 -14.5017
254.000000 81.373 -14.4749
258.000000 81.417 -14.6502
262.000000 81.418 -14.5866
265.000000 81.450 -14.7328
269.000000 81.455 -15.0433
272.000000 81.459 -15.2304
276.000000 81.502 -15.2186
280.000000 81.516 -15.3122
285.000000 81.524 -15.7624
290.000000 81.545 -15.9849
295.000000 81.521 -16.1174
300.000000 81.542 -16.4946
304.000000 81.553 -16.5419
307.000000 81.548 -16.7005
311.000000 81.581 -16.9960
315.000000 81.577 -17.0768
320.000000 81.543 -17.3897
325.000000 81.573 -17.5811
330.000000 81.559 -17.8156
335.000000 81.561 -18.0614
340.000000 81.543 -18.3671
345.000000 81.542 -18.5743
350.000000 81.525 -18.7582
355.000000 81.507 -19.0658
360.000000 81.512 -19.3657
365.000000 81.506 -19.5027
370.000000 81.477 -19.7047
375.000000 81.465 -19.9237
382.000000 81.439 -20.1849
387.000000 81.452 -20.4236
395.000000 81.417 -20.8016
400.000000 81.404 -20.9727
406.000000 81.376 -21.4030
412.000000 81.372 -21.5252
418.000000 81.347 -21.8268
425.000000 81.327 -22.0213
431.000000 81.296 -22.3199
437.000000 81.277 -22.6795
444.000000 81.241 -22.8128
450.000000 81.218 -23.1508
455.000000 81.182 -23.2550
462.000000 81.156 -23.5567
468.000000 81.118 -23.8701
475.000000 81.081 -24.0054
482.000000 81.053 -24.2931
487.000000 81.025 -24.3484
494.000000 80.981 -24.6386
500.000000 80.940 -24.6743
508.000000 80.897 -24.9505
515.000000 80.848 -25.1233
522.000000 80.815 -25.2978
530.000000 80.767 -25.4408
538.000000 80.733 -25.6833
545.000000 80.705 -25.7036
552.000000 80.662 -25.7775
560.000000 80.624 -25.8736
570.000000 80.577 -26.0814
580.000000 80.518 -26.2068
590.000000 80.469 -26.2783
600.000000 80.407 -26.5207
608.000000 80.392 -26.5850
615.000000 80.354 -26.4252
622.000000 80.302 -26.5233
630.000000 80.276 -26.3869
640.000000 80.234 -26.5355
650.000000 80.198 -26.5393
660.000000 80.150 -26.4293
670.000000 80.121 -26.5187
680.000000 80.062 -26.4850
690.000000 80.035 -26.2904
700.000000 79.996 -26.2921
710.000000 79.973 -26.2997
720.000000 79.942 -26.1068
730.000000 79.910 -25.9572
740.000000 79.876 -25.7976
750.000000 79.855 -25.7767
762.000000 79.849 -25.4692
775.000000 79.822 -25.2405
788.000000 79.813 -25.0628
800.000000 79.787 -24.8575
812.000000 79.801 -24.5555
825.000000 79.805 -24.3815
838.000000 79.816 -24.0489
850.000000 79.811 -23.6270
862.000000 79.842 -23.3230
875.000000 79.877 -23.1439
885.000000 79.891 -22.9052
900.000000 79.934 -22.3976
912.000000 79.961 -22.1865
925.000000 80.029 -21.9385
938.000000 80.074 -21.5334
950.000000 80.159 -21.2249
962.000000 80.258 -21.0589
975.000000 80.319 -20.7573
988.000000 80.433 -20.6008
1000.000000 80.574 -20.9289
1015.000000 80.682 -20.3378
1030.000000 80.826 -20.6270
1044.000000 80.946 -20.8022
1060.000000 81.090 -21.0861
1075.000000 81.198 -21.4756
1090.000000 81.314 -21.8648
1106.000000 81.420 -22.3631
1120.000000 81.522 -22.6591
1138.000000 81.630 -23.1892
1150.000000 81.697 -23.5891
1172.000000 81.827 -24.2326
1180.000000 81.896 -24.4615
1206.000000 82.053 -25.3116
1220.000000 82.136 -25.8040
1241.000000 82.248 -26.4573
1250.000000 82.296 -26.6228
1265.000000 82.385 -27.2469
1280.000000 82.470 -27.7736
1315.000000 82.662 -28.9171
1320.000000 82.682 -29.0764
1340.000000 82.789 -29.7992
1360.000000 82.888 -30.5568
1380.000000 82.993 -31.1298
1400.000000 83.105 -31.8842
1430.000000 83.263 -32.9264
1450.000000 83.362 -33.6737
1475.000000 83.507 -34.5031
1500.000000 83.635 -35.4428
1525.000000 83.783 -36.4556
1550.000000 83.916 -37.3678
1575.000000 84.051 -38.4472
1600.000000 84.202 -39.4295
1625.000000 84.337 -40.4129
1650.000000 84.480 -41.4798
1675.000000 84.624 -42.5044
1700.000000 84.781 -43.6299
1725.000000 84.936 -44.8358
1750.000000 85.075 -45.8741
1775.000000 85.230 -47.1109
1800.000000 85.368 -48.4350
1825.000000 85.525 -49.6720
1850.000000 85.669 -50.9434
1875.000000 85.810 -52.4116
1900.000000 85.944 -53.9043
1925.000000 86.102 -55.2410
1950.000000 86.228 -56.7601
1975.000000 86.355 -58.3022
2000.000000 86.522 -59.9367
2030.000000 86.629 -61.7718
2060.000000 86.773 -63.6763
2090.000000 86.897 -65.6415
2120.000000 87.011 -67.6447
2140.000000 87.082 -68.9616
2180.000000 87.199 -71.6989
2200.000000 87.263 -73.0354
2240.000000 87.358 -75.6786
2270.000000 87.412 -77.6912
2300.000000 87.466 -79.7078
2330.000000 87.519 -81.6322
2360.000000 87.544 -83.5848
2400.000000 87.587 -86.1067
2430.000000 87.588 -88.0439
2470.000000 87.608 -90.4007
2500.000000 87.617 -92.1424
2540.000000 87.622 -94.5025
2580.000000 87.607 -96.7645
2620.000000 87.582 -98.9137
2650.000000 87.561 -100.5304
2690.000000 87.535 -102.6127
2720.000000 87.517 -104.1535
2760.000000 87.467 -106.0962
2800.000000 87.437 -108.0216
2850.000000 87.383 -110.4373
2900.000000 87.325 -112.6820
2950.000000 87.284 -114.9106
3000.000000 87.241 -116.9741
3040.000000 87.170 -118.6586
3070.000000 87.129 -119.8437
3110.000000 87.088 -121.3687
3150.000000 87.035 -122.9948
3200.000000 86.979 -124.7495
3250.000000 86.925 -126.5387
3300.000000 86.886 -128.3409
3350.000000 86.848 -130.1630
3400.000000 86.797 -131.8601
3450.000000 86.766 -133.7003
3500.000000 86.735 -135.4738
3550.000000 86.707 -137.1620
3600.000000 86.669 -138.9367
3650.000000 86.648 -140.7861
3700.000000 86.628 -142.5592
3750.000000 86.578 -144.3670
3820.000000 86.529 -146.8859
3870.000000 86.474 -148.7904
3950.000000 86.379 -151.8089
4000.000000 86.339 -153.7847
4060.000000 86.199 -155.9592
4120.000000 86.087 -158.1676
4180.000000 85.952 -160.3185
4250.000000 85.768 -162.6476
4310.000000 85.596 -164.5699
4370.000000 85.413 -166.3719
4440.000000 85.198 -168.1427
4500.000000 85.019 -169.8241
4550.000000 84.843 -171.0900
4620.000000 84.636 -172.5502
4680.000000 84.478 -173.9660
4750.000000 84.221 -175.4157
4820.000000 83.972 -176.9160
4870.000000 83.778 -177.7577
4940.000000 83.507 -178.8654
5000.000000 83.220 -179.5241
5080.000000 82.928 179.6644
