* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Sep 19, 2024 3:10:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R TRI I3 MK3 214
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 118.341 171.0917
20.600000 118.321 170.4536
20.900000 118.298 169.8614
21.200001 118.273 169.2500
21.400000 118.255 168.8336
21.799999 118.218 167.9985
22.000000 118.198 167.5911
22.400000 118.158 166.8198
22.700001 118.131 166.2832
23.000000 118.109 165.7720
23.299999 118.090 165.2662
23.600000 118.074 164.7505
24.000000 118.052 164.0365
24.299999 118.032 163.4887
24.700001 117.998 162.7678
25.000000 117.967 162.2539
25.400000 117.924 161.6180
25.799999 117.881 161.0313
26.200001 117.842 160.4690
26.500000 117.814 160.0465
26.900000 117.779 159.4675
27.200001 117.754 159.0172
27.600000 117.719 158.3972
28.000000 117.684 157.7658
28.500000 117.637 156.9858
29.000000 117.588 156.2444
29.500000 117.538 155.5508
30.000000 117.487 154.8917
30.400000 117.445 154.3784
30.700001 117.412 154.0005
31.100000 117.367 153.5089
31.500000 117.324 153.0311
32.000000 117.277 152.4391
32.500000 117.235 151.8299
33.000000 117.193 151.2019
33.500000 117.147 150.5854
34.000000 117.098 150.0097
34.500000 117.049 149.4661
35.000000 117.001 148.9261
35.500000 116.952 148.3807
36.000000 116.901 147.8449
36.500000 116.853 147.3199
37.000000 116.808 146.7829
37.500000 116.760 146.2324
38.200001 116.685 145.5292
38.700001 116.635 145.1169
39.500000 116.570 144.4682
40.000000 116.527 143.9967
40.599998 116.463 143.4210
41.200001 116.397 142.8915
41.799999 116.341 142.3446
42.500000 116.275 141.6559
43.099998 116.214 141.1443
43.700001 116.166 140.7094
44.400002 116.118 140.1227
45.000000 116.060 139.5610
45.500000 116.001 139.1715
46.200001 115.934 138.7240
46.799999 115.888 138.2613
47.500000 115.814 137.6806
48.200001 115.734 137.2737
48.700001 115.695 137.0047
49.400002 115.647 136.4381
50.000000 115.585 135.8930
50.799999 115.498 135.3960
51.500000 115.456 134.9952
52.200001 115.413 134.4188
53.000000 115.331 133.7952
53.799999 115.252 133.3836
54.500000 115.202 133.0520
55.200001 115.157 132.6617
56.000000 115.094 132.1596
57.000000 114.996 131.5647
58.000000 114.908 131.0403
59.000000 114.839 130.4585
60.000000 114.762 129.8641
60.799999 114.693 129.4435
61.500000 114.638 129.0856
62.200001 114.590 128.6716
63.000000 114.533 128.2106
64.000000 114.465 127.7912
65.000000 114.386 127.3385
66.000000 114.290 126.8502
67.000000 114.215 126.2760
68.000000 114.152 125.7984
69.000000 114.105 125.4029
70.000000 114.028 124.9594
71.000000 113.958 124.5922
72.000000 113.893 124.0348
73.000000 113.808 123.6330
74.000000 113.748 123.2832
75.000000 113.682 122.9000
76.199997 113.628 122.4329
77.500000 113.540 121.8045
78.800003 113.480 121.4357
80.000000 113.382 121.0581
81.199997 113.306 120.5205
82.500000 113.212 119.9281
83.800003 113.169 119.5615
85.000000 113.067 119.2277
86.199997 113.015 118.9292
87.500000 112.951 118.4748
88.500000 112.902 118.0890
90.000000 112.825 117.6314
91.199997 112.760 117.2267
92.500000 112.670 116.9005
93.800003 112.630 116.5245
95.000000 112.574 115.9839
96.199997 112.481 115.6013
97.500000 112.434 115.3811
98.800003 112.386 114.9909
100.000000 112.338 114.5325
101.500000 112.259 114.3013
103.000000 112.222 114.0724
104.400002 112.137 113.5346
106.000000 112.080 113.1345
107.500000 111.995 112.8686
109.000000 111.948 112.3087
110.599998 111.877 112.0555
112.000000 111.846 111.8199
113.800003 111.759 111.3809
115.000000 111.712 111.0859
117.199997 111.640 110.5087
118.000000 111.648 110.4284
120.599998 111.535 110.0039
122.000000 111.465 109.4750
124.099998 111.429 108.9296
125.000000 111.412 109.0250
126.500000 111.322 108.3161
128.000000 111.410 108.4619
131.500000 111.142 106.6919
132.000000 111.043 107.4856
134.000000 111.097 106.2126
136.000000 111.200 106.3892
138.000000 111.091 106.8503
140.000000 110.959 106.0748
143.000000 110.940 105.3867
145.000000 110.922 105.3161
147.500000 110.796 104.9131
150.000000 110.800 104.1581
152.500000 110.789 104.0940
155.000000 110.661 103.4393
157.500000 110.666 103.0468
160.000000 110.576 102.6797
162.500000 110.546 102.6733
165.000000 110.536 102.2017
167.500000 110.541 102.1535
170.000000 110.554 101.0802
172.500000 110.427 100.1565
175.000000 110.304 101.0699
177.500000 110.400 100.9324
180.000000 110.403 99.8112
182.500000 110.406 98.9212
185.000000 110.327 99.4701
187.500000 110.217 98.6754
190.000000 110.338 98.0761
192.500000 110.284 98.3561
195.000000 110.207 97.5443
197.500000 110.263 97.4525
200.000000 110.122 97.0812
203.000000 110.267 97.8706
206.000000 110.223 94.9227
209.000000 110.024 96.9291
212.000000 110.260 96.1197
214.000000 110.119 95.3333
218.000000 110.171 94.9061
220.000000 110.118 95.1586
224.000000 110.123 94.2916
227.000000 110.121 94.1661
230.000000 110.141 93.6758
233.000000 110.127 93.0780
236.000000 110.120 92.7527
240.000000 110.079 92.3616
243.000000 110.124 92.1119
247.000000 110.146 91.7685
250.000000 110.145 91.4842
254.000000 110.149 91.1427
258.000000 110.128 90.6433
262.000000 110.137 90.1341
265.000000 110.144 89.9229
269.000000 110.296 89.2937
272.000000 110.229 88.9445
276.000000 110.166 88.8467
280.000000 110.232 88.5683
285.000000 110.167 87.6522
290.000000 110.278 87.5538
295.000000 110.228 86.6778
300.000000 110.367 86.4301
304.000000 110.225 86.2087
307.000000 110.316 85.8542
311.000000 110.355 85.0804
315.000000 110.346 85.2468
320.000000 110.389 84.7236
325.000000 110.417 84.0644
330.000000 110.447 83.8232
335.000000 110.454 83.3394
340.000000 110.514 82.8967
345.000000 110.540 82.3450
350.000000 110.557 82.1492
355.000000 110.587 81.5236
360.000000 110.629 81.3733
365.000000 110.650 80.7157
370.000000 110.739 80.5813
375.000000 110.761 80.3157
382.000000 110.747 79.6257
387.000000 110.783 79.0632
395.000000 110.836 78.5636
400.000000 110.880 78.2151
406.000000 110.896 77.6029
412.000000 110.914 77.6263
418.000000 110.970 77.0239
425.000000 111.035 76.6490
431.000000 111.079 76.0332
437.000000 111.083 75.4808
444.000000 111.109 74.7887
450.000000 111.204 74.5172
455.000000 111.198 74.2315
462.000000 111.204 73.9357
468.000000 111.259 73.4424
475.000000 111.255 73.0959
482.000000 111.273 72.4148
487.000000 111.350 72.5346
494.000000 111.358 71.6154
500.000000 111.458 71.8328
508.000000 111.447 71.2389
515.000000 111.429 70.6311
522.000000 111.533 70.7551
530.000000 111.511 69.9159
538.000000 111.589 69.7584
545.000000 111.573 69.4274
552.000000 111.595 69.4311
560.000000 111.678 68.4602
570.000000 111.686 67.9496
580.000000 111.722 67.8209
590.000000 111.759 66.8809
600.000000 111.770 67.1740
608.000000 111.763 66.7416
615.000000 111.871 66.1008
622.000000 111.834 65.9125
630.000000 111.918 65.4714
640.000000 111.823 66.0655
650.000000 111.963 65.4970
660.000000 111.896 64.8578
670.000000 111.894 64.3678
680.000000 112.085 64.4344
690.000000 111.959 64.4464
700.000000 111.991 64.2846
710.000000 112.046 64.1472
720.000000 112.036 63.8943
730.000000 112.061 63.9600
740.000000 112.066 63.6064
750.000000 112.101 63.5763
762.000000 112.084 62.9783
775.000000 112.160 63.4437
788.000000 112.177 63.6655
800.000000 112.271 63.9577
812.000000 112.199 63.8244
825.000000 112.281 63.7606
838.000000 112.229 64.2511
850.000000 112.379 64.3885
862.000000 112.410 64.4093
875.000000 112.435 64.9725
885.000000 112.573 65.1797
900.000000 112.572 64.7119
912.000000 112.614 65.5057
925.000000 112.694 64.9823
938.000000 112.797 65.9104
950.000000 112.909 66.3369
962.000000 112.950 66.0517
975.000000 113.012 66.4616
988.000000 113.187 65.5856
1000.000000 113.172 68.0102
1015.000000 113.210 65.7567
1030.000000 113.460 66.7745
1044.000000 113.673 66.8328
1060.000000 113.740 66.5260
1075.000000 113.877 66.3315
1090.000000 113.964 66.3175
1106.000000 114.189 66.3475
1120.000000 114.316 66.3692
1138.000000 114.290 65.3516
1150.000000 114.518 65.6098
1172.000000 114.644 64.8958
1180.000000 114.714 64.8675
1206.000000 114.877 64.4620
1220.000000 114.952 64.1432
1241.000000 115.049 63.7886
1250.000000 115.119 63.4748
1265.000000 115.189 63.0764
1280.000000 115.258 62.7416
1315.000000 115.420 62.2491
1320.000000 115.432 62.0600
1340.000000 115.546 61.5231
1360.000000 115.592 61.1273
1380.000000 115.665 60.6688
1400.000000 115.746 60.3724
1430.000000 115.828 59.7636
1450.000000 115.879 59.5585
1475.000000 115.952 58.9897
1500.000000 116.013 58.7185
1525.000000 116.090 58.3405
1550.000000 116.180 58.1531
1575.000000 116.217 57.9061
1600.000000 116.338 57.8409
1625.000000 116.377 57.3604
1650.000000 116.468 57.1025
1675.000000 116.542 56.7911
1700.000000 116.612 56.6952
1725.000000 116.737 56.3542
1750.000000 116.780 56.1238
1775.000000 116.850 55.8346
1800.000000 116.930 55.6127
1825.000000 117.012 55.2460
1850.000000 117.107 55.1814
1875.000000 117.149 54.8552
1900.000000 117.268 54.6806
1925.000000 117.325 54.3571
1950.000000 117.413 53.9077
1975.000000 117.493 53.6034
2000.000000 117.621 52.8262
2030.000000 117.680 52.9112
2060.000000 117.801 52.2911
2090.000000 117.911 51.7201
2120.000000 118.016 51.2117
2140.000000 118.043 50.8547
2180.000000 118.200 49.9131
2200.000000 118.242 49.5138
2240.000000 118.360 48.5777
2270.000000 118.448 47.8613
2300.000000 118.533 46.9818
2330.000000 118.606 46.0972
2360.000000 118.654 45.2930
2400.000000 118.746 44.2739
2430.000000 118.785 43.3280
2470.000000 118.843 42.0304
2500.000000 118.874 41.0769
2540.000000 118.905 39.7482
2580.000000 118.912 38.4856
2620.000000 118.914 37.0936
2650.000000 118.908 36.1782
2690.000000 118.891 35.0251
2720.000000 118.878 34.0253
2760.000000 118.834 32.8123
2800.000000 118.787 31.3591
2850.000000 118.722 30.1373
2900.000000 118.600 28.4123
2950.000000 118.513 27.0366
3000.000000 118.286 25.8143
3040.000000 118.247 24.4848
3070.000000 118.128 23.7416
3110.000000 118.023 22.9658
3150.000000 117.868 22.0649
3200.000000 117.705 21.2824
3250.000000 117.529 20.2994
3300.000000 117.346 19.6309
3350.000000 117.167 19.0847
3400.000000 116.971 18.5219
3450.000000 116.784 17.9159
3500.000000 116.634 17.6653
3550.000000 116.441 17.3998
3600.000000 116.278 17.1872
3650.000000 116.090 16.9402
3700.000000 115.898 16.8873
3750.000000 115.762 16.8125
3820.000000 115.605 16.9024
3870.000000 115.453 17.4922
3950.000000 115.304 17.3558
4000.000000 115.003 17.3851
4060.000000 115.080 17.7921
4120.000000 115.001 17.7243
4180.000000 114.868 18.0815
4250.000000 114.862 18.3269
4310.000000 114.816 18.6020
4370.000000 114.759 18.4975
4440.000000 114.728 18.4860
4500.000000 114.666 17.7664
4550.000000 114.655 18.2878
4620.000000 114.689 17.7781
4680.000000 114.681 17.4493
4750.000000 114.709 16.8050
4820.000000 114.697 16.0182
4870.000000 114.694 14.9519
4940.000000 114.651 14.1227
5000.000000 114.626 13.2494
5080.000000 114.636 11.6427
5150.000000 114.617 9.7589
5220.000000 114.574 8.4712
5300.000000 114.439 6.3960
5380.000000 114.371 4.1719
5450.000000 114.233 2.1613
5520.000000 114.058 0.4031
5600.000000 113.869 -2.0754
5700.000000 113.546 -5.0343
5800.000000 113.145 -7.2191
5900.000000 112.794 -9.8288
6000.000000 112.288 -12.5440
6080.000000 111.758 -14.5267
6150.000000 111.369 -15.1052
6220.000000 110.829 -16.8228
6300.000000 110.149 -16.5584
6400.000000 109.569 -14.9925
6500.000000 109.150 -12.2713
6600.000000 108.853 -9.9000
6700.000000 108.755 -7.3583
6800.000000 108.938 -5.8920
6900.000000 109.129 -5.2254
7000.000000 109.044 -4.3494
7100.000000 109.639 -3.4463
