* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\TRI Starsea s.11 Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 16, 2023 7:23:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\TRI Starsea s.11 Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: TRI Starsea s.11 Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	54.783	126.7305
1.015000	54.617	125.7781
1.030000	54.446	124.8016
1.044000	54.282	123.8667
1.060000	54.089	122.7686
1.075000	53.902	121.7084
1.090000	53.710	120.6165
1.106000	53.497	119.4248
1.120000	53.301	118.4120
1.138000	53.036	117.1565
1.150000	52.852	116.3420
1.172000	52.500	114.8794
1.180000	52.368	114.3532
1.206000	51.927	112.6433
1.220000	51.682	111.7117
1.241000	51.308	110.2812
1.250000	51.145	109.6510
1.265000	50.873	108.5713
1.280000	50.598	107.4475
1.315000	49.955	104.6065
1.320000	49.863	104.1710
1.340000	49.499	102.3429
1.360000	49.139	100.3617
1.380000	48.786	98.2074
1.400000	48.441	95.8601
1.430000	47.946	91.9337
1.450000	47.633	89.0168
1.475000	47.260	84.9821
1.500000	46.871	80.3710
1.525000	46.464	75.2244
1.550000	46.045	69.6262
1.575000	45.623	63.6605
1.600000	45.205	57.4112
1.625000	44.798	50.9622
1.650000	44.411	44.3976
1.675000	44.051	37.8012
1.700000	43.725	31.2569
1.725000	43.441	24.8489
1.750000	43.207	18.6610
1.775000	43.030	12.7773
1.800000	42.917	7.2815
1.825000	42.877	2.2578
1.850000	42.921	-2.3350
1.875000	43.056	-6.7533
1.900000	43.271	-11.0082
1.925000	43.555	-15.0987
1.950000	43.897	-19.0239
1.975000	44.285	-22.7828
2.000000	44.708	-26.3746
2.030000	45.245	-30.4628
2.060000	45.796	-34.3073
2.090000	46.341	-37.9066
2.120000	46.860	-41.2590
2.140000	47.183	-43.3560
2.180000	47.744	-47.2168
2.200000	47.972	-48.9790
2.240000	48.374	-52.0288
2.270000	48.650	-53.8998
2.300000	48.908	-55.4586
2.330000	49.149	-56.7454
2.360000	49.374	-57.8005
2.400000	49.655	-58.9162
2.430000	49.853	-59.5868
2.470000	50.104	-60.3356
2.500000	50.285	-60.8405
2.540000	50.520	-61.5144
2.580000	50.749	-62.2432
2.620000	50.957	-62.8111
2.650000	51.098	-63.1075
2.690000	51.270	-63.3536
2.720000	51.390	-63.4424
2.760000	51.542	-63.4569
2.800000	51.689	-63.3793
2.850000	51.873	-63.1979
2.900000	52.068	-62.9761
2.950000	52.281	-62.7500
3.000000	52.498	-62.3814
3.040000	52.672	-61.9841
3.070000	52.803	-61.6426
3.110000	52.979	-61.1490
3.150000	53.157	-60.6347
3.200000	53.384	-60.0003
3.250000	53.616	-59.4206
3.300000	53.855	-58.9437
3.350000	54.103	-58.5241
3.400000	54.362	-58.1163
3.450000	54.626	-57.7332
3.500000	54.892	-57.3877
3.550000	55.158	-57.0928
3.600000	55.420	-56.8615
3.650000	55.673	-56.7066
3.700000	55.919	-56.6383
3.750000	56.165	-56.6502
3.820000	56.504	-56.7800
3.870000	56.740	-56.9378
3.950000	57.104	-57.2714
4.000000	57.318	-57.5127
4.060000	57.561	-57.8284
4.120000	57.791	-58.2159
4.180000	58.009	-58.6623
4.250000	58.249	-59.2275
4.310000	58.443	-59.7242
4.370000	58.626	-60.2083
4.440000	58.826	-60.7481
4.500000	58.982	-61.2249
4.550000	59.104	-61.6265
4.620000	59.264	-62.1812
4.680000	59.393	-62.6366
4.750000	59.538	-63.1278
4.820000	59.676	-63.5707
4.870000	59.767	-63.8670
4.940000	59.886	-64.2551
5.000000	59.984	-64.5637
5.080000	60.113	-64.9419
5.150000	60.228	-65.2416
5.220000	60.340	-65.4984
5.300000	60.465	-65.7497
5.380000	60.590	-65.9769
5.450000	60.701	-66.1731
5.520000	60.815	-66.3788
5.600000	60.949	-66.5988
5.700000	61.120	-66.8644
5.800000	61.293	-67.1551
5.900000	61.467	-67.5045
6.000000	61.645	-67.8971
6.080000	61.788	-68.2401
6.150000	61.911	-68.5635
6.220000	62.033	-68.9108
6.300000	62.168	-69.3423
6.400000	62.335	-69.9305
6.500000	62.496	-70.5542
6.600000	62.651	-71.1938
6.700000	62.799	-71.8588
6.800000	62.940	-72.5486
6.900000	63.076	-73.2405
7.000000	63.206	-73.9153
7.100000	63.330	-74.5857
7.200000	63.449	-75.2478
7.300000	63.567	-75.8917
7.400000	63.683	-76.5100
7.500000	63.796	-77.1076
7.620000	63.932	-77.8037
7.750000	64.081	-78.5379
7.880000	64.232	-79.2442
8.000000	64.373	-79.8865
8.120000	64.516	-80.5337
8.250000	64.674	-81.2324
8.380000	64.833	-81.9367
8.500000	64.979	-82.6005
8.620000	65.126	-83.2750
8.750000	65.283	-84.0123
8.850000	65.402	-84.5825
9.000000	65.578	-85.4473
9.120000	65.716	-86.1355
9.250000	65.862	-86.8695
9.380000	66.003	-87.5963
9.500000	66.131	-88.2524
9.620000	66.258	-88.8895
9.750000	66.394	-89.5620
9.880000	66.520	-90.2149
10.000000	66.623	-90.7985
10.150000	66.739	-91.5045
10.300000	66.848	-92.1916
10.440000	66.943	-92.8144
10.600000	67.048	-93.5100
10.750000	67.146	-94.1513
10.900000	67.242	-94.7807
11.060000	67.342	-95.4428
11.200000	67.427	-96.0143
11.380000	67.533	-96.7372
11.500000	67.601	-97.2117
11.720000	67.720	-98.0658
11.800000	67.761	-98.3709
12.060000	67.891	-99.3432
12.200000	67.956	-99.8552
12.410000	68.052	-100.6088
12.500000	68.097	-100.9279
12.650000	68.180	-101.4535
12.800000	68.264	-101.9735
13.150000	68.450	-103.1692
13.200000	68.475	-103.3385
13.400000	68.575	-104.0119
13.600000	68.671	-104.6815
13.800000	68.762	-105.3479
14.000000	68.849	-106.0133
14.300000	68.974	-107.0104
14.500000	69.053	-107.6760
14.750000	69.148	-108.5082
15.000000	69.238	-109.3400
15.250000	69.324	-110.1689
15.500000	69.406	-110.9934
15.750000	69.486	-111.8130
16.000000	69.566	-112.6277
16.250000	69.649	-113.4391
16.500000	69.734	-114.2475
16.750000	69.816	-115.0537
17.000000	69.896	-115.8550
17.250000	69.975	-116.6486
