* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 17, 2025 10:09:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EE TRITON 566
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 129.680 -173.8529
20.600000 129.677 -174.5599
20.900000 129.669 -175.1974
21.200001 129.660 -175.8359
21.400000 129.655 -176.2659
21.799999 129.648 -177.1348
22.000000 129.645 -177.5705
22.400000 129.639 -178.4327
22.700001 129.633 -179.0615
23.000000 129.626 -179.6687
23.299999 129.619 179.7455
23.600000 129.610 179.1777
24.000000 129.597 178.4408
24.299999 129.586 177.8965
24.700001 129.572 177.1763
25.000000 129.561 176.6390
25.400000 129.544 175.9286
25.799999 129.527 175.2300
26.200001 129.509 174.5479
26.500000 129.494 174.0471
26.900000 129.474 173.3911
27.200001 129.458 172.9052
27.600000 129.437 172.2629
28.000000 129.414 171.6286
28.500000 129.384 170.8524
29.000000 129.356 170.0964
29.500000 129.328 169.3533
30.000000 129.300 168.6158
30.400000 129.275 168.0328
30.700001 129.255 167.6032
31.100000 129.227 167.0430
31.500000 129.200 166.4952
32.000000 129.166 165.8198
32.500000 129.133 165.1504
33.000000 129.099 164.4929
33.500000 129.065 163.8530
34.000000 129.030 163.2291
34.500000 128.994 162.6184
35.000000 128.957 162.0238
35.500000 128.919 161.4464
36.000000 128.881 160.8751
36.500000 128.843 160.2943
37.000000 128.804 159.7024
37.500000 128.764 159.1155
38.200001 128.711 158.3341
38.700001 128.678 157.8088
39.500000 128.622 157.0121
40.000000 128.582 156.5335
40.599998 128.528 155.9588
41.200001 128.473 155.3589
41.799999 128.421 154.7330
42.500000 128.366 154.0089
43.099998 128.323 153.4370
43.700001 128.278 152.9249
44.400002 128.223 152.3639
45.000000 128.172 151.8598
45.500000 128.128 151.4139
46.200001 128.067 150.7910
46.799999 128.019 150.2900
47.500000 127.969 149.7270
48.200001 127.914 149.1594
48.700001 127.869 148.7620
49.400002 127.805 148.2437
50.000000 127.758 147.8134
50.799999 127.701 147.1840
51.500000 127.641 146.6189
52.200001 127.578 146.1356
53.000000 127.521 145.6001
53.799999 127.456 145.0082
54.500000 127.383 144.6214
55.200001 127.328 144.3246
56.000000 127.281 143.7620
57.000000 127.186 142.9192
58.000000 127.099 142.3788
59.000000 127.032 141.7960
60.000000 126.949 141.1623
60.799999 126.881 140.6843
61.500000 126.822 140.3233
62.200001 126.770 139.9885
63.000000 126.710 139.5441
64.000000 126.624 138.9733
65.000000 126.544 138.4303
66.000000 126.459 137.9275
67.000000 126.385 137.4609
68.000000 126.310 136.9192
69.000000 126.233 136.5084
70.000000 126.167 136.0972
71.000000 126.087 135.5946
72.000000 126.003 135.1145
73.000000 125.928 134.6865
74.000000 125.861 134.2991
75.000000 125.788 133.8925
76.199997 125.695 133.4385
77.500000 125.603 132.8988
78.800003 125.510 132.3561
80.000000 125.417 131.9073
81.199997 125.340 131.4513
82.500000 125.238 131.0393
83.800003 125.154 130.7557
85.000000 125.063 130.2324
86.199997 124.987 129.8123
87.500000 124.902 129.3732
88.500000 124.829 129.1126
90.000000 124.741 128.5872
91.199997 124.662 128.2218
92.500000 124.578 127.8526
93.800003 124.484 127.4922
95.000000 124.402 127.1053
96.199997 124.317 126.8513
97.500000 124.261 126.5306
98.800003 124.164 126.1177
100.000000 124.088 125.7952
101.500000 124.002 125.4091
103.000000 123.918 125.0884
104.400002 123.821 124.7507
106.000000 123.732 124.4346
107.500000 123.623 123.9777
109.000000 123.556 123.7319
110.599998 123.480 123.3539
112.000000 123.388 123.1617
113.800003 123.282 122.6889
115.000000 123.218 122.4700
117.199997 123.093 122.0148
118.000000 123.054 121.8715
120.599998 122.912 121.3734
122.000000 122.845 121.1210
124.099998 122.748 120.7638
125.000000 122.695 120.6417
126.500000 122.619 120.3528
128.000000 122.538 120.0501
131.500000 122.360 119.6490
132.000000 122.341 119.5699
134.000000 122.238 119.1694
136.000000 122.163 118.8013
138.000000 122.052 118.5996
140.000000 121.975 118.3279
143.000000 121.834 117.8279
145.000000 121.741 117.6760
147.500000 121.627 117.3048
150.000000 121.529 117.0622
152.500000 121.422 116.7270
155.000000 121.320 116.3459
157.500000 121.225 116.1153
160.000000 121.124 115.8563
162.500000 121.031 115.5498
165.000000 120.919 115.3219
167.500000 120.833 115.0442
170.000000 120.730 114.8121
172.500000 120.652 114.5811
175.000000 120.543 114.3627
177.500000 120.466 114.1813
180.000000 120.405 113.8983
182.500000 120.308 113.4124
185.000000 120.211 113.2604
187.500000 120.159 113.0356
190.000000 120.104 112.6219
192.500000 120.076 112.7090
195.000000 119.862 113.0034
197.500000 119.817 112.1983
200.000000 119.752 112.2569
203.000000 119.627 111.9485
206.000000 119.555 111.6572
209.000000 119.488 111.5298
212.000000 119.385 111.2755
214.000000 119.340 111.1218
218.000000 119.219 110.8421
220.000000 119.173 110.6754
224.000000 119.056 110.4431
227.000000 118.980 110.2587
230.000000 118.916 110.0046
233.000000 118.836 109.9000
236.000000 118.774 109.6578
240.000000 118.675 109.3798
243.000000 118.611 109.2422
247.000000 118.516 109.0396
250.000000 118.460 108.8676
254.000000 118.358 108.5353
258.000000 118.269 108.3537
262.000000 118.203 108.1405
265.000000 118.126 107.9445
269.000000 118.045 107.9014
272.000000 117.984 107.5453
276.000000 117.931 107.3880
280.000000 117.842 107.1440
285.000000 117.758 106.9362
290.000000 117.660 106.7133
295.000000 117.585 106.4948
300.000000 117.498 106.1904
304.000000 117.434 106.0004
307.000000 117.372 105.7831
311.000000 117.315 105.7274
315.000000 117.260 105.4372
320.000000 117.179 105.2803
325.000000 117.098 105.0472
330.000000 117.019 104.8457
335.000000 116.960 104.6382
340.000000 116.884 104.3900
345.000000 116.833 104.1428
350.000000 116.757 104.0114
355.000000 116.693 103.7729
360.000000 116.633 103.4816
365.000000 116.572 103.1277
370.000000 116.520 103.1993
375.000000 116.457 103.0187
382.000000 116.387 102.8461
387.000000 116.358 102.5212
395.000000 116.257 102.1668
400.000000 116.220 102.2098
406.000000 116.150 101.8290
412.000000 116.092 101.8255
418.000000 116.029 101.6093
425.000000 115.984 101.2439
431.000000 115.927 101.0754
437.000000 115.878 100.8777
444.000000 115.803 100.7486
450.000000 115.794 100.4444
455.000000 115.745 100.4298
462.000000 115.717 100.1511
468.000000 115.674 100.0252
475.000000 115.614 99.9445
482.000000 115.565 99.7201
487.000000 115.565 99.5078
494.000000 115.506 99.5417
500.000000 115.483 99.3817
508.000000 115.447 99.2762
515.000000 115.429 98.9496
522.000000 115.393 98.8456
530.000000 115.340 98.5713
538.000000 115.328 98.4595
545.000000 115.298 98.3735
552.000000 115.289 98.3347
560.000000 115.268 98.0256
570.000000 115.219 97.8005
580.000000 115.210 97.6834
590.000000 115.169 97.5984
600.000000 115.108 97.5722
608.000000 115.111 97.5378
615.000000 115.068 97.5981
622.000000 115.026 97.6304
630.000000 115.062 98.3165
640.000000 115.188 98.6469
650.000000 115.278 98.0321
660.000000 115.258 97.7271
670.000000 115.313 97.5311
680.000000 115.330 97.2581
690.000000 115.363 97.5215
700.000000 115.381 97.2891
710.000000 115.437 97.1852
720.000000 115.478 96.9955
730.000000 115.521 97.0075
740.000000 115.595 96.8470
750.000000 115.670 96.6147
762.000000 115.741 96.4648
775.000000 115.850 96.3976
788.000000 115.979 96.1624
800.000000 116.077 95.7065
812.000000 116.204 95.3254
825.000000 116.352 94.7357
838.000000 116.474 93.9506
850.000000 116.538 93.2422
862.000000 116.589 92.4093
875.000000 116.656 91.4414
885.000000 116.719 90.8573
900.000000 116.743 89.9750
912.000000 116.766 89.3734
925.000000 116.772 88.8031
938.000000 116.796 88.3456
950.000000 116.805 88.0479
962.000000 116.842 87.6845
975.000000 116.863 87.4360
988.000000 116.898 86.9573
1000.000000 116.988 86.2857
1015.000000 117.006 86.2374
1030.000000 117.064 86.0003
1044.000000 117.160 85.6353
1060.000000 117.222 85.2247
1075.000000 117.265 84.7863
1090.000000 117.361 84.5335
1106.000000 117.427 83.9183
1120.000000 117.500 83.6269
1138.000000 117.591 83.1956
1150.000000 117.675 82.9507
1172.000000 117.762 82.3671
1180.000000 117.795 82.0679
1206.000000 117.933 81.4245
1220.000000 118.004 81.2034
1241.000000 118.114 80.5146
1250.000000 118.157 80.3884
1265.000000 118.262 80.1562
1280.000000 118.357 79.7117
1315.000000 118.604 78.5517
1320.000000 118.628 78.4322
1340.000000 118.726 77.7678
1360.000000 118.854 77.0429
1380.000000 118.976 76.5148
1400.000000 119.129 75.7546
1430.000000 119.275 74.5988
1450.000000 119.419 73.8225
1475.000000 119.565 72.8385
1500.000000 119.698 71.9045
1525.000000 119.831 70.8112
1550.000000 119.984 69.9229
1575.000000 120.079 68.7222
1600.000000 120.210 67.7929
1625.000000 120.323 66.6716
1650.000000 120.441 65.6047
1675.000000 120.569 64.6181
1700.000000 120.649 63.4733
1725.000000 120.748 62.6603
1750.000000 120.892 61.4963
1775.000000 120.999 60.5117
1800.000000 121.108 59.4091
1825.000000 121.210 58.2756
1850.000000 121.315 57.1382
1875.000000 121.401 56.0122
1900.000000 121.480 54.8042
1925.000000 121.557 53.5616
1950.000000 121.647 52.3492
1975.000000 121.737 51.1732
2000.000000 121.795 49.7570
2030.000000 121.878 48.2362
2060.000000 121.925 46.7820
2090.000000 121.993 45.3187
2120.000000 122.027 43.5247
2140.000000 122.020 42.4790
2180.000000 122.034 40.4582
2200.000000 122.019 39.4335
2240.000000 122.004 37.7253
2270.000000 122.032 36.5834
2300.000000 122.031 34.7931
2330.000000 121.976 33.4293
2360.000000 121.921 32.3080
2400.000000 121.882 30.7330
2430.000000 121.863 29.6269
2470.000000 121.819 27.8701
2500.000000 121.773 26.5589
2540.000000 121.647 24.8337
2580.000000 121.517 23.5986
2620.000000 121.413 22.3961
2650.000000 121.321 21.5674
2690.000000 121.224 20.5485
2720.000000 121.147 19.8279
2760.000000 121.052 18.8745
2800.000000 120.932 18.0134
2850.000000 120.782 17.0627
2900.000000 120.661 16.4198
2950.000000 120.568 15.7376
3000.000000 120.490 15.1234
3040.000000 120.414 14.9618
3070.000000 120.338 14.5852
3110.000000 120.307 14.1573
3150.000000 120.244 13.9751
3200.000000 120.208 13.7314
3250.000000 120.141 13.4360
3300.000000 120.108 13.3745
3350.000000 120.068 13.4096
3400.000000 120.069 13.1496
3450.000000 120.061 13.1437
3500.000000 120.068 13.3330
3550.000000 120.095 13.4231
3600.000000 120.141 13.5004
3650.000000 120.193 13.4967
3700.000000 120.303 13.6650
3750.000000 120.417 13.9448
3820.000000 120.589 13.8336
3870.000000 120.763 13.6953
3950.000000 121.067 13.5653
4000.000000 121.355 13.1434
4060.000000 121.580 12.7596
4120.000000 121.891 11.9913
4180.000000 122.236 10.7924
4250.000000 122.684 9.1589
4310.000000 123.088 6.8649
4370.000000 123.452 4.2713
4440.000000 123.888 0.3364
4500.000000 124.165 -3.9434
4550.000000 124.326 -7.8065
4620.000000 124.448 -13.7740
4680.000000 124.344 -19.2533
4750.000000 124.076 -25.4899
4820.000000 123.599 -31.2864
4870.000000 123.170 -34.8993
4940.000000 122.512 -39.0266
5000.000000 121.849 -41.8537
5080.000000 121.011 -44.6445
5150.000000 120.255 -46.3235
5220.000000 119.496 -46.9497
5300.000000 118.709 -47.1034
5380.000000 117.913 -46.7451
5450.000000 117.312 -46.0218
5520.000000 116.679 -45.1726
5600.000000 116.040 -43.6290
5700.000000 115.282 -41.2191
5800.000000 114.703 -37.8969
5900.000000 114.176 -34.8611
6000.000000 113.693 -31.4453
6080.000000 113.391 -28.6642
6150.000000 113.230 -26.4688
6220.000000 112.972 -23.6096
6300.000000 112.689 -21.7214
6400.000000 112.468 -18.1341
6500.000000 112.272 -14.6997
6600.000000 112.121 -11.4751
6700.000000 111.930 -6.9258
6800.000000 111.805 -3.4624
6900.000000 111.747 0.3318
