* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 15, 2024 11:52:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L 4U down Jul 15
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 121.175 -86.0085
20.600000 121.313 -86.5243
20.900000 121.452 -86.9712
21.200001 121.590 -87.4700
21.400000 121.679 -87.8373
21.799999 121.845 -88.6131
22.000000 121.924 -88.9942
22.400000 122.076 -89.6855
22.700001 122.194 -90.1324
23.000000 122.317 -90.5416
23.299999 122.442 -90.9509
23.600000 122.566 -91.3840
24.000000 122.720 -92.0134
24.299999 122.824 -92.5172
24.700001 122.953 -93.2170
25.000000 123.046 -93.7595
25.400000 123.170 -94.5051
25.799999 123.296 -95.2532
26.200001 123.421 -95.9434
26.500000 123.513 -96.3823
26.900000 123.635 -96.8425
27.200001 123.727 -97.1186
27.600000 123.850 -97.4703
28.000000 123.967 -97.9050
28.500000 124.094 -98.6487
29.000000 124.198 -99.5632
29.500000 124.296 -100.5148
30.000000 124.411 -101.3973
30.400000 124.518 -102.0310
30.700001 124.603 -102.4616
31.100000 124.713 -102.9695
31.500000 124.813 -103.3984
32.000000 124.924 -103.8513
32.500000 125.029 -104.3023
33.000000 125.137 -104.8632
33.500000 125.250 -105.5737
34.000000 125.366 -106.3796
34.500000 125.478 -107.1711
35.000000 125.579 -107.8465
35.500000 125.671 -108.3485
36.000000 125.761 -108.7158
36.500000 125.858 -109.0777
37.000000 125.957 -109.5669
37.500000 126.047 -110.1880
38.200001 126.158 -111.0481
38.700001 126.246 -111.5480
39.500000 126.415 -112.3188
40.000000 126.512 -112.8390
40.599998 126.603 -113.3882
41.200001 126.686 -113.8207
41.799999 126.771 -114.2935
42.500000 126.852 -114.9741
43.099998 126.908 -115.5184
43.700001 126.978 -116.0193
44.400002 127.076 -116.7114
45.000000 127.150 -117.3344
45.500000 127.210 -117.7420
46.200001 127.316 -118.2024
46.799999 127.416 -118.6847
47.500000 127.503 -119.3339
48.200001 127.567 -119.9391
48.700001 127.613 -120.3868
49.400002 127.676 -121.0704
50.000000 127.733 -121.5956
50.799999 127.830 -122.1938
51.500000 127.909 -122.7403
52.200001 127.966 -123.2223
53.000000 128.048 -123.7776
53.799999 128.140 -124.6120
54.500000 128.197 -125.2941
55.200001 128.262 -125.7767
56.000000 128.337 -126.4087
57.000000 128.388 -127.0386
58.000000 128.506 -127.4442
59.000000 128.598 -128.1714
60.000000 128.635 -128.6339
60.799999 128.689 -129.1413
61.500000 128.737 -129.7097
62.200001 128.791 -130.2211
63.000000 128.854 -130.8067
64.000000 128.900 -131.4409
65.000000 128.960 -131.9342
66.000000 129.023 -132.5632
67.000000 129.059 -133.0616
68.000000 129.134 -133.4447
69.000000 129.217 -134.1897
70.000000 129.244 -134.8051
71.000000 129.300 -135.2724
72.000000 129.337 -135.9275
73.000000 129.385 -136.3166
74.000000 129.447 -137.0167
75.000000 129.461 -137.4920
76.199997 129.549 -137.9470
77.500000 129.551 -138.4408
78.800003 129.645 -139.0467
80.000000 129.646 -139.8451
81.199997 129.728 -140.0119
82.500000 129.742 -141.0982
83.800003 129.777 -141.1757
85.000000 129.874 -141.9711
86.199997 129.831 -142.5586
87.500000 129.927 -142.7340
88.500000 130.002 -143.5673
90.000000 129.939 -144.0289
91.199997 129.998 -144.1370
92.500000 130.102 -145.0177
93.800003 130.015 -145.6702
95.000000 130.057 -145.6464
96.199997 130.139 -146.3125
97.500000 130.055 -147.8112
98.800003 129.871 -146.6293
100.000000 129.958 -145.0452
101.500000 130.568 -145.1526
103.000000 130.779 -147.7018
104.400002 130.620 -151.8524
106.000000 130.372 -150.9733
107.500000 130.270 -149.9609
109.000000 130.384 -151.2312
110.599998 130.487 -149.9315
112.000000 130.344 -151.4513
113.800003 130.507 -151.3207
115.000000 130.320 -151.5038
117.199997 130.373 -152.7370
118.000000 130.278 -152.3409
120.599998 130.347 -154.0152
122.000000 130.464 -153.7651
124.099998 130.457 -154.2875
125.000000 130.499 -154.1419
126.500000 130.452 -154.7614
128.000000 130.441 -155.2930
131.500000 130.498 -156.1360
132.000000 130.476 -155.9566
134.000000 130.507 -156.1173
136.000000 130.478 -156.9877
138.000000 130.544 -156.9766
140.000000 130.492 -157.5911
143.000000 130.536 -157.9795
145.000000 130.506 -158.5961
147.500000 130.550 -158.9366
150.000000 130.536 -159.2215
152.500000 130.486 -159.7356
155.000000 130.555 -159.7381
157.500000 130.550 -160.6975
160.000000 130.499 -160.4411
162.500000 130.564 -161.0894
165.000000 130.529 -161.6216
167.500000 130.512 -161.5254
170.000000 130.528 -161.9804
172.500000 130.541 -162.5288
175.000000 130.524 -162.7396
177.500000 130.510 -162.7352
180.000000 130.484 -163.0872
182.500000 130.476 -163.0839
185.000000 130.484 -163.6690
187.500000 130.476 -163.6162
190.000000 130.487 -164.5866
192.500000 130.485 -164.2756
195.000000 130.407 -165.0918
197.500000 130.376 -164.0196
200.000000 130.558 -165.1203
203.000000 130.460 -166.2996
206.000000 130.147 -164.7183
209.000000 130.085 -166.8527
212.000000 130.287 -164.4963
214.000000 130.429 -166.2789
218.000000 130.384 -166.3669
220.000000 130.250 -166.0300
224.000000 130.319 -166.2965
227.000000 130.264 -166.9989
230.000000 130.355 -166.5864
233.000000 130.262 -166.9667
236.000000 130.280 -167.0694
240.000000 130.305 -167.1148
243.000000 130.186 -167.4713
247.000000 130.258 -167.6012
250.000000 130.214 -167.3410
254.000000 130.159 -167.9343
258.000000 130.226 -167.4771
262.000000 130.134 -168.0899
265.000000 130.188 -167.9361
269.000000 130.108 -168.3848
272.000000 130.131 -167.7370
276.000000 130.153 -168.4351
280.000000 130.059 -168.3600
285.000000 130.085 -168.2825
290.000000 130.064 -168.9097
295.000000 130.093 -168.0081
300.000000 130.160 -168.6024
304.000000 129.954 -168.6751
307.000000 130.027 -168.4176
311.000000 130.002 -168.4230
315.000000 129.969 -168.9188
320.000000 129.975 -168.3999
325.000000 129.928 -168.6358
330.000000 129.905 -168.6434
335.000000 129.909 -168.5673
340.000000 129.876 -168.6287
345.000000 129.864 -168.5493
350.000000 129.847 -168.6384
355.000000 129.860 -168.5261
360.000000 129.810 -168.4854
365.000000 129.807 -168.3960
370.000000 129.810 -168.3720
375.000000 129.786 -168.3198
382.000000 129.752 -168.2132
387.000000 129.757 -168.2287
395.000000 129.722 -168.0784
400.000000 129.720 -168.1269
406.000000 129.708 -167.9837
412.000000 129.675 -167.7826
418.000000 129.688 -167.7521
425.000000 129.663 -167.6611
431.000000 129.642 -167.3635
437.000000 129.639 -167.2798
444.000000 129.636 -167.2001
450.000000 129.646 -167.1010
455.000000 129.614 -167.0059
462.000000 129.599 -166.8549
468.000000 129.602 -166.7830
475.000000 129.598 -166.5845
482.000000 129.593 -166.1631
487.000000 129.566 -166.1551
494.000000 129.587 -166.0909
500.000000 129.555 -165.7829
508.000000 129.540 -165.5990
515.000000 129.538 -165.3678
522.000000 129.500 -165.1959
530.000000 129.511 -165.0360
538.000000 129.507 -164.7930
545.000000 129.491 -164.7300
552.000000 129.501 -164.2812
560.000000 129.497 -164.0888
570.000000 129.472 -163.7919
580.000000 129.489 -163.6031
590.000000 129.470 -163.2615
600.000000 129.437 -162.7778
608.000000 129.467 -162.3440
615.000000 129.472 -162.4030
622.000000 129.450 -162.1324
630.000000 129.472 -161.7628
640.000000 129.460 -161.3827
650.000000 129.463 -161.0623
660.000000 129.465 -160.5206
670.000000 129.479 -160.2815
680.000000 129.472 -159.8830
690.000000 129.519 -159.4791
700.000000 129.505 -159.0700
710.000000 129.513 -158.7223
720.000000 129.519 -158.2381
730.000000 129.532 -157.9185
740.000000 129.542 -157.4395
750.000000 129.579 -157.0783
762.000000 129.593 -156.5427
775.000000 129.617 -155.9253
788.000000 129.651 -155.3256
800.000000 129.696 -154.8070
812.000000 129.736 -154.2579
825.000000 129.766 -153.7859
838.000000 129.820 -153.1869
850.000000 129.862 -152.6780
862.000000 129.919 -152.1678
875.000000 129.985 -151.5732
885.000000 130.027 -151.1367
900.000000 130.109 -150.6387
912.000000 130.162 -150.1539
925.000000 130.242 -149.6543
938.000000 130.314 -149.2296
950.000000 130.380 -148.7614
962.000000 130.456 -148.4204
975.000000 130.538 -148.0594
988.000000 130.626 -147.6503
1000.000000 130.698 -147.4820
1015.000000 130.807 -146.8684
1030.000000 130.918 -146.6306
1044.000000 131.000 -146.2363
1060.000000 131.109 -145.9641
1075.000000 131.224 -145.6554
1090.000000 131.326 -145.5003
1106.000000 131.434 -145.3352
1120.000000 131.528 -145.2455
1138.000000 131.664 -145.0651
1150.000000 131.741 -145.0526
1172.000000 131.878 -144.9060
1180.000000 131.935 -144.9052
1206.000000 132.091 -144.8553
1220.000000 132.170 -144.8164
1241.000000 132.288 -144.8358
1250.000000 132.352 -144.8963
1265.000000 132.411 -145.0069
1280.000000 132.486 -144.9801
1315.000000 132.673 -145.1215
1320.000000 132.688 -145.1082
1340.000000 132.767 -145.1480
1360.000000 132.862 -145.3340
1380.000000 132.964 -145.2051
1400.000000 133.034 -145.4401
1430.000000 133.158 -145.5784
1450.000000 133.232 -145.5476
1475.000000 133.338 -145.7623
1500.000000 133.429 -145.8243
1525.000000 133.526 -145.9233
1550.000000 133.619 -146.0485
1575.000000 133.708 -146.1467
1600.000000 133.795 -146.1867
1625.000000 133.879 -146.3081
1650.000000 133.982 -146.5188
1675.000000 134.066 -146.5902
1700.000000 134.141 -146.6765
1725.000000 134.242 -146.7881
1750.000000 134.335 -146.9229
1775.000000 134.425 -147.0678
1800.000000 134.513 -147.1595
1825.000000 134.611 -147.3457
1850.000000 134.703 -147.5383
1875.000000 134.785 -147.6498
1900.000000 134.872 -147.8987
1925.000000 134.965 -148.0365
1950.000000 135.066 -148.2670
1975.000000 135.145 -148.4434
2000.000000 135.262 -148.6716
2030.000000 135.362 -148.9796
2060.000000 135.465 -149.4104
2090.000000 135.568 -149.6602
2120.000000 135.686 -150.0475
2140.000000 135.760 -150.3644
2180.000000 135.892 -150.9045
2200.000000 135.974 -151.2289
2240.000000 136.107 -151.8625
2270.000000 136.212 -152.4324
2300.000000 136.305 -153.0063
2330.000000 136.400 -153.5441
2360.000000 136.489 -154.1249
2400.000000 136.610 -154.8997
2430.000000 136.705 -155.6143
2470.000000 136.820 -156.4890
2500.000000 136.887 -157.2617
2540.000000 136.983 -158.1836
2580.000000 137.074 -159.1794
2620.000000 137.152 -160.2359
2650.000000 137.202 -160.9706
2690.000000 137.268 -161.9876
2720.000000 137.311 -162.8296
2760.000000 137.365 -163.8261
2800.000000 137.408 -164.9310
2850.000000 137.450 -166.2828
2900.000000 137.484 -167.5923
2950.000000 137.496 -168.8508
3000.000000 137.503 -170.1567
3040.000000 137.507 -171.2170
3070.000000 137.509 -172.0125
3110.000000 137.498 -172.9439
3150.000000 137.488 -173.9381
3200.000000 137.454 -175.1328
3250.000000 137.419 -176.3230
3300.000000 137.379 -177.4865
3350.000000 137.328 -178.5398
3400.000000 137.270 -179.5972
3450.000000 137.193 179.4286
3500.000000 137.111 178.5222
3550.000000 137.024 177.6881
3600.000000 136.942 177.1622
3650.000000 136.888 176.6157
3700.000000 136.850 175.9867
3750.000000 136.812 175.2740
3820.000000 136.748 174.1270
3870.000000 136.700 173.4092
3950.000000 136.596 172.1744
4000.000000 136.505 171.4916
4060.000000 136.430 170.5734
4120.000000 136.342 169.8157
4180.000000 136.235 169.1420
4250.000000 136.128 168.3535
4310.000000 136.032 167.6375
4370.000000 135.925 167.0438
4440.000000 135.803 166.3917
4500.000000 135.681 165.8029
4550.000000 135.593 165.3850
4620.000000 135.458 164.8442
4680.000000 135.349 164.3453
4750.000000 135.204 163.8299
4820.000000 135.079 163.4325
4870.000000 134.963 163.1546
4940.000000 134.830 162.9309
5000.000000 134.685 162.6253
5080.000000 134.533 162.3735
