* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 15, 2024 11:52:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R 4U down Jul 15
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 121.358 -88.6961
20.600000 121.482 -88.9940
20.900000 121.604 -89.2793
21.200001 121.724 -89.6257
21.400000 121.804 -89.8960
21.799999 121.960 -90.5129
22.000000 122.039 -90.8469
22.400000 122.197 -91.5384
22.700001 122.320 -92.0682
23.000000 122.446 -92.6097
23.299999 122.574 -93.1672
23.600000 122.699 -93.7371
24.000000 122.852 -94.4962
24.299999 122.955 -95.0399
24.700001 123.074 -95.7009
25.000000 123.154 -96.1417
25.400000 123.255 -96.6751
25.799999 123.360 -97.2023
26.200001 123.475 -97.7949
26.500000 123.568 -98.3107
26.900000 123.697 -99.0888
27.200001 123.793 -99.7006
27.600000 123.918 -100.4681
28.000000 124.038 -101.0764
28.500000 124.189 -101.5453
29.000000 124.345 -101.8059
29.500000 124.496 -102.0847
30.000000 124.619 -102.5396
30.400000 124.694 -103.0311
30.700001 124.741 -103.4511
31.100000 124.803 -104.0588
31.500000 124.873 -104.7091
32.000000 124.971 -105.5346
32.500000 125.070 -106.2510
33.000000 125.170 -106.7455
33.500000 125.280 -107.0800
34.000000 125.396 -107.4735
34.500000 125.499 -108.0674
35.000000 125.574 -108.7777
35.500000 125.637 -109.4115
36.000000 125.721 -109.9034
36.500000 125.835 -110.3551
37.000000 125.959 -110.8710
37.500000 126.066 -111.4217
38.200001 126.176 -112.0745
38.700001 126.246 -112.4369
39.500000 126.376 -113.0505
40.000000 126.467 -113.5489
40.599998 126.571 -114.2647
41.200001 126.656 -115.0063
41.799999 126.723 -115.6218
42.500000 126.805 -116.1095
43.099998 126.896 -116.4719
43.700001 126.996 -116.9274
44.400002 127.105 -117.5724
45.000000 127.186 -118.1621
45.500000 127.246 -118.6573
46.200001 127.314 -119.2814
46.799999 127.366 -119.6502
47.500000 127.451 -119.9658
48.200001 127.562 -120.5030
48.700001 127.629 -121.0904
49.400002 127.683 -121.9038
50.000000 127.725 -122.3375
50.799999 127.824 -122.7339
51.500000 127.915 -123.2274
52.200001 127.971 -123.7774
53.000000 128.025 -124.4070
53.799999 128.085 -125.1051
54.500000 128.152 -125.5555
55.200001 128.258 -125.9062
56.000000 128.369 -126.5561
57.000000 128.399 -127.1979
58.000000 128.480 -127.3970
59.000000 128.585 -128.2215
60.000000 128.608 -128.9032
60.799999 128.671 -129.2908
61.500000 128.740 -129.8623
62.200001 128.783 -130.3609
63.000000 128.844 -130.6717
64.000000 128.922 -131.2752
65.000000 128.949 -131.7693
66.000000 129.037 -132.2012
67.000000 129.094 -132.9859
68.000000 129.123 -133.4480
69.000000 129.189 -133.9489
70.000000 129.253 -134.4604
71.000000 129.317 -135.0106
72.000000 129.350 -135.5161
73.000000 129.394 -135.9343
74.000000 129.444 -136.4958
75.000000 129.488 -137.0616
76.199997 129.545 -137.5817
77.500000 129.603 -138.1339
78.800003 129.635 -138.6054
80.000000 129.682 -139.1924
81.199997 129.726 -139.7625
82.500000 129.791 -140.3457
83.800003 129.836 -140.6507
85.000000 129.873 -141.1388
86.199997 129.899 -141.7110
87.500000 129.947 -142.3118
88.500000 129.961 -142.6270
90.000000 129.997 -143.0329
91.199997 130.038 -143.6213
92.500000 130.060 -144.1386
93.800003 130.098 -144.4808
95.000000 130.135 -144.9878
96.199997 130.157 -145.3537
97.500000 130.185 -145.7450
98.800003 130.202 -146.2025
100.000000 130.235 -146.5533
101.500000 130.264 -147.0813
103.000000 130.282 -147.5200
104.400002 130.311 -147.9539
106.000000 130.342 -148.3447
107.500000 130.381 -148.7755
109.000000 130.395 -149.2247
110.599998 130.414 -149.6111
112.000000 130.411 -150.1424
113.800003 130.442 -150.5299
115.000000 130.465 -150.7654
117.199997 130.464 -151.1834
118.000000 130.494 -151.3040
120.599998 130.515 -152.2420
122.000000 130.533 -152.4483
124.099998 130.532 -152.8763
125.000000 130.548 -153.1333
126.500000 130.567 -153.4086
128.000000 130.563 -153.6806
131.500000 130.602 -154.4178
132.000000 130.596 -154.5296
134.000000 130.605 -154.9579
136.000000 130.621 -155.2559
138.000000 130.623 -155.7004
140.000000 130.634 -155.9889
143.000000 130.651 -156.5723
145.000000 130.645 -156.8314
147.500000 130.641 -157.4200
150.000000 130.681 -157.4869
152.500000 130.636 -157.9790
155.000000 130.726 -158.4725
157.500000 130.625 -158.8041
160.000000 130.678 -158.8848
162.500000 130.690 -159.3201
165.000000 130.678 -159.5981
167.500000 130.700 -159.9473
170.000000 130.685 -160.2589
172.500000 130.678 -160.5630
175.000000 130.674 -160.7949
177.500000 130.680 -161.0473
180.000000 130.668 -161.2884
182.500000 130.669 -161.5128
185.000000 130.668 -161.7866
187.500000 130.665 -161.9938
190.000000 130.649 -162.1212
192.500000 130.637 -162.4339
195.000000 130.649 -162.6892
197.500000 130.647 -162.8629
200.000000 130.635 -162.9789
203.000000 130.615 -163.2154
206.000000 130.614 -163.4926
209.000000 130.607 -163.5542
212.000000 130.615 -163.7094
214.000000 130.599 -163.8860
218.000000 130.589 -164.1590
220.000000 130.586 -164.1875
224.000000 130.579 -164.4592
227.000000 130.558 -164.5149
230.000000 130.551 -164.6956
233.000000 130.546 -164.8413
236.000000 130.530 -165.0242
240.000000 130.524 -165.1597
243.000000 130.513 -165.2172
247.000000 130.509 -165.3530
250.000000 130.504 -165.5301
254.000000 130.490 -165.6065
258.000000 130.478 -165.7032
262.000000 130.465 -165.8463
265.000000 130.452 -165.8988
269.000000 130.433 -165.9772
272.000000 130.429 -165.9453
276.000000 130.417 -166.1277
280.000000 130.426 -166.2200
285.000000 130.406 -166.3005
290.000000 130.417 -166.3931
295.000000 130.350 -166.4516
300.000000 130.302 -166.3293
304.000000 130.395 -166.2863
307.000000 130.361 -167.2951
311.000000 130.277 -167.0925
315.000000 130.295 -166.5597
320.000000 130.323 -166.5569
325.000000 130.286 -166.4689
330.000000 130.284 -166.4879
335.000000 130.271 -166.5233
340.000000 130.267 -166.4391
345.000000 130.245 -166.4407
350.000000 130.235 -166.4161
355.000000 130.221 -166.4120
360.000000 130.216 -166.3611
365.000000 130.192 -166.3293
370.000000 130.193 -166.3506
375.000000 130.185 -166.2747
382.000000 130.167 -166.1183
387.000000 130.166 -166.0822
395.000000 130.136 -166.0366
400.000000 130.124 -165.9021
406.000000 130.119 -165.7692
412.000000 130.128 -165.5286
418.000000 130.122 -165.5503
425.000000 130.107 -165.4846
431.000000 130.093 -165.3230
437.000000 130.087 -165.1533
444.000000 130.050 -165.0760
450.000000 130.079 -165.0514
455.000000 130.067 -164.7702
462.000000 130.043 -164.9895
468.000000 130.059 -164.4197
475.000000 130.063 -164.5771
482.000000 130.001 -164.1901
487.000000 129.999 -164.0899
494.000000 130.037 -164.0223
500.000000 130.016 -163.8165
508.000000 130.008 -163.7499
515.000000 130.004 -163.3728
522.000000 130.006 -163.3636
530.000000 129.995 -163.1329
538.000000 129.985 -162.8587
545.000000 129.967 -162.6126
552.000000 129.985 -162.3192
560.000000 129.990 -162.1946
570.000000 129.974 -161.8612
580.000000 129.963 -161.5239
590.000000 129.980 -161.1478
600.000000 129.980 -160.7226
608.000000 130.020 -160.4682
615.000000 129.990 -160.5731
622.000000 129.913 -160.3144
630.000000 129.957 -159.6750
640.000000 129.988 -159.5282
650.000000 129.987 -159.0237
660.000000 129.998 -158.8246
670.000000 130.030 -158.5272
680.000000 130.006 -157.8998
690.000000 130.021 -157.7164
700.000000 130.038 -157.1762
710.000000 130.048 -156.7852
720.000000 130.048 -156.3530
730.000000 130.113 -156.1657
740.000000 130.086 -155.2727
750.000000 130.116 -155.1247
762.000000 130.174 -154.8208
775.000000 130.196 -154.1643
788.000000 130.214 -153.6306
800.000000 130.267 -152.9685
812.000000 130.336 -152.3664
825.000000 130.299 -152.1115
838.000000 130.386 -151.3307
850.000000 130.436 -150.9273
862.000000 130.507 -150.4452
875.000000 130.553 -149.7672
885.000000 130.586 -149.2711
900.000000 130.647 -148.8325
912.000000 130.738 -148.3885
925.000000 130.819 -147.9801
938.000000 130.901 -147.4309
950.000000 130.973 -147.0586
962.000000 131.064 -146.6385
975.000000 131.137 -146.3753
988.000000 131.224 -145.9386
1000.000000 131.329 -145.5132
1015.000000 131.415 -145.1641
1030.000000 131.529 -144.9674
1044.000000 131.616 -144.5743
1060.000000 131.736 -144.2041
1075.000000 131.842 -143.9716
1090.000000 131.961 -143.8651
1106.000000 132.080 -143.5808
1120.000000 132.190 -143.7043
1138.000000 132.290 -143.4594
1150.000000 132.376 -143.3374
1172.000000 132.518 -143.3587
1180.000000 132.570 -143.3102
1206.000000 132.719 -143.2174
1220.000000 132.826 -143.2513
1241.000000 132.931 -143.2616
1250.000000 132.986 -143.2652
1265.000000 133.064 -143.3157
1280.000000 133.148 -143.4540
1315.000000 133.334 -143.4907
1320.000000 133.354 -143.4875
1340.000000 133.454 -143.5734
1360.000000 133.559 -143.8214
1380.000000 133.634 -143.8795
1400.000000 133.704 -143.8046
1430.000000 133.846 -144.0675
1450.000000 133.926 -144.2085
1475.000000 134.025 -144.3469
1500.000000 134.128 -144.3975
1525.000000 134.226 -144.5406
1550.000000 134.313 -144.6536
1575.000000 134.409 -144.7833
1600.000000 134.502 -144.9201
1625.000000 134.608 -145.0505
1650.000000 134.696 -145.1476
1675.000000 134.778 -145.2961
1700.000000 134.883 -145.3715
1725.000000 134.965 -145.5493
1750.000000 135.065 -145.6951
1775.000000 135.153 -145.8011
1800.000000 135.256 -145.9806
1825.000000 135.344 -146.2217
1850.000000 135.432 -146.3827
1875.000000 135.529 -146.5939
1900.000000 135.623 -146.7691
1925.000000 135.712 -147.0097
1950.000000 135.806 -147.2635
1975.000000 135.905 -147.5571
2000.000000 136.002 -147.8475
2030.000000 136.107 -148.1429
2060.000000 136.214 -148.5576
2090.000000 136.316 -148.9400
2120.000000 136.431 -149.3239
2140.000000 136.498 -149.5999
2180.000000 136.647 -150.2909
2200.000000 136.709 -150.6284
2240.000000 136.849 -151.2969
2270.000000 136.947 -151.8116
2300.000000 137.050 -152.4644
2330.000000 137.140 -153.0720
2360.000000 137.233 -153.7088
2400.000000 137.344 -154.5716
2430.000000 137.431 -155.3152
2470.000000 137.537 -156.2745
2500.000000 137.612 -156.9736
2540.000000 137.697 -158.0441
2580.000000 137.781 -159.1015
2620.000000 137.851 -160.2209
2650.000000 137.902 -160.9791
2690.000000 137.956 -162.1458
2720.000000 137.984 -162.9381
2760.000000 138.020 -164.0428
2800.000000 138.055 -165.1591
2850.000000 138.087 -166.5705
2900.000000 138.096 -167.9348
2950.000000 138.089 -169.2321
3000.000000 138.066 -170.5681
3040.000000 138.060 -171.5974
3070.000000 138.036 -172.3393
3110.000000 138.006 -173.3275
3150.000000 137.969 -174.2613
3200.000000 137.918 -175.4360
3250.000000 137.862 -176.4591
3300.000000 137.803 -177.4957
3350.000000 137.728 -178.4854
3400.000000 137.652 -179.4231
3450.000000 137.578 179.7377
3500.000000 137.490 178.9195
3550.000000 137.410 178.2001
3600.000000 137.330 177.5666
3650.000000 137.258 176.8660
3700.000000 137.160 176.2487
3750.000000 137.091 175.6745
3820.000000 136.971 174.8961
3870.000000 136.890 174.5168
3950.000000 136.773 173.6818
4000.000000 136.713 173.3659
4060.000000 136.607 172.8452
4120.000000 136.519 172.3995
4180.000000 136.446 171.9366
4250.000000 136.356 171.4833
4310.000000 136.264 171.0165
4370.000000 136.178 170.7298
4440.000000 136.096 170.2914
4500.000000 136.022 169.9192
4550.000000 135.951 169.5651
4620.000000 135.850 169.2080
4680.000000 135.775 168.8961
4750.000000 135.685 168.5830
4820.000000 135.571 168.2141
4870.000000 135.515 167.9994
4940.000000 135.428 167.7601
5000.000000 135.325 167.5101
5080.000000 135.207 167.0762
