* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 15, 2024 11:49:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L 4U mid out Jul 15
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 138.831 -152.9253
20.600000 138.852 -153.6191
20.900000 138.869 -154.2331
21.200001 138.888 -154.8362
21.400000 138.903 -155.2478
21.799999 138.933 -156.1231
22.000000 138.944 -156.5923
22.400000 138.949 -157.5679
22.700001 138.932 -158.2548
23.000000 138.901 -158.8048
23.299999 138.873 -159.1701
23.600000 138.866 -159.3945
24.000000 138.912 -159.6747
24.299999 138.979 -160.0816
24.700001 139.070 -161.0449
25.000000 139.103 -162.0086
25.400000 139.072 -163.3031
25.799999 138.976 -164.1810
26.200001 138.885 -164.4701
26.500000 138.861 -164.4693
26.900000 138.894 -164.5586
27.200001 138.940 -164.8863
27.600000 138.981 -165.6401
28.000000 138.973 -166.4179
28.500000 138.947 -166.9938
29.000000 138.989 -167.3934
29.500000 139.076 -168.3173
30.000000 139.081 -169.7985
30.400000 138.990 -170.8176
30.700001 138.895 -171.1925
31.100000 138.810 -171.1734
31.500000 138.824 -171.0024
32.000000 138.933 -171.4168
32.500000 138.990 -172.6436
33.000000 138.913 -173.7967
33.500000 138.787 -174.1030
34.000000 138.756 -173.8106
34.500000 138.838 -173.8884
35.000000 138.917 -174.7532
35.500000 138.896 -175.9185
36.000000 138.796 -176.6770
36.500000 138.708 -176.8263
37.000000 138.697 -176.8121
37.500000 138.742 -177.0910
38.200001 138.783 -178.1257
38.700001 138.749 -178.9667
39.500000 138.636 -179.7812
40.000000 138.583 -179.9339
40.599998 138.571 179.9823
41.200001 138.606 179.6957
41.799999 138.651 179.0628
42.500000 138.667 177.9870
43.099998 138.625 177.0399
43.700001 138.539 176.3359
44.400002 138.426 176.0062
45.000000 138.361 176.1109
45.500000 138.353 176.2910
46.200001 138.398 176.3161
46.799999 138.443 175.9619
47.500000 138.454 175.3022
48.200001 138.435 174.5872
48.700001 138.413 174.0179
49.400002 138.352 173.1600
50.000000 138.273 172.5796
50.799999 138.181 172.1628
51.500000 138.129 171.8731
52.200001 138.067 171.6039
53.000000 137.993 171.5485
53.799999 137.959 171.5334
54.500000 137.942 171.2813
55.200001 137.915 170.9430
56.000000 137.892 170.6087
57.000000 137.868 170.1380
58.000000 137.802 169.8126
59.000000 137.756 169.5908
60.000000 137.727 168.9949
60.799999 137.681 168.5287
61.500000 137.643 168.3051
62.200001 137.614 168.1107
63.000000 137.572 167.8141
64.000000 137.508 167.3656
65.000000 137.435 166.8279
66.000000 137.356 166.3854
67.000000 137.292 165.7935
68.000000 137.217 165.0749
69.000000 137.189 164.4632
70.000000 137.202 163.7308
71.000000 137.216 163.3145
72.000000 137.262 163.3930
73.000000 137.274 163.6492
74.000000 137.188 164.0395
75.000000 137.042 164.2131
76.199997 136.828 163.6393
77.500000 136.714 162.1974
78.800003 136.786 160.9658
80.000000 136.928 161.5133
81.199997 136.825 162.7082
82.500000 136.521 162.3535
83.800003 136.456 160.1685
85.000000 136.670 160.0225
86.199997 136.577 161.3760
87.500000 136.278 160.9866
88.500000 136.287 159.6329
90.000000 136.425 160.0234
91.199997 136.208 160.5108
92.500000 136.133 159.2135
93.800003 136.202 159.2303
95.000000 136.079 159.6569
96.199997 135.968 158.9725
97.500000 136.011 158.8530
98.800003 135.908 159.0356
100.000000 135.811 158.4161
101.500000 135.813 158.5318
103.000000 135.722 158.4146
104.400002 135.674 158.0238
106.000000 135.639 158.1715
107.500000 135.525 157.9391
109.000000 135.485 157.6640
110.599998 135.436 157.8820
112.000000 135.327 157.4178
113.800003 135.285 156.9014
115.000000 135.237 157.7967
117.199997 135.134 157.5947
118.000000 135.164 157.1890
120.599998 135.040 157.0841
122.000000 135.025 157.0972
124.099998 134.937 157.1119
125.000000 134.858 156.8545
126.500000 134.885 157.1468
128.000000 134.648 156.4799
131.500000 134.667 157.4602
132.000000 134.740 156.8307
134.000000 134.515 157.3586
136.000000 134.418 156.0707
138.000000 134.533 156.3600
140.000000 134.353 157.0363
143.000000 134.237 156.7821
145.000000 134.235 156.4540
147.500000 134.136 156.7577
150.000000 134.084 156.5684
152.500000 134.027 156.7176
155.000000 133.873 156.8568
157.500000 133.862 155.8176
160.000000 133.868 156.9572
162.500000 133.613 156.7363
165.000000 133.717 156.3289
167.500000 133.552 157.1935
170.000000 133.548 156.7738
172.500000 133.465 157.0850
175.000000 133.401 157.3569
177.500000 133.421 157.3676
180.000000 133.208 157.6254
182.500000 133.219 158.5724
185.000000 133.129 156.8045
187.500000 132.947 157.6085
190.000000 133.130 158.0367
192.500000 133.084 157.2765
195.000000 132.849 158.1144
197.500000 132.843 158.6449
200.000000 132.882 158.1004
203.000000 132.812 158.2011
206.000000 132.722 158.6851
209.000000 132.632 158.6739
212.000000 132.563 158.6873
214.000000 132.564 159.3867
218.000000 132.527 159.5453
220.000000 132.461 158.7654
224.000000 132.361 159.0331
227.000000 132.306 160.1662
230.000000 132.187 160.1112
233.000000 132.273 160.1615
236.000000 132.143 160.7324
240.000000 132.072 160.2176
243.000000 132.118 160.4973
247.000000 132.043 160.6873
250.000000 132.087 160.8581
254.000000 131.949 161.7319
258.000000 131.915 161.6328
262.000000 131.779 162.2326
265.000000 131.790 162.1014
269.000000 131.667 162.1285
272.000000 131.735 162.6098
276.000000 131.649 162.7089
280.000000 131.562 163.0499
285.000000 131.556 163.2354
290.000000 131.493 163.4772
295.000000 131.404 163.9271
300.000000 131.391 164.3829
304.000000 131.387 164.5345
307.000000 131.346 164.5206
311.000000 131.251 164.6486
315.000000 131.218 165.1151
320.000000 131.192 165.5905
325.000000 131.148 165.8291
330.000000 131.104 165.9388
335.000000 131.068 166.1194
340.000000 131.048 166.4438
345.000000 131.022 166.7852
350.000000 130.981 167.3951
355.000000 130.917 167.7141
360.000000 130.891 168.1394
365.000000 130.858 168.6969
370.000000 130.762 168.9159
375.000000 130.746 168.7941
382.000000 130.680 169.4786
387.000000 130.728 169.6934
395.000000 130.673 170.0677
400.000000 130.581 170.5562
406.000000 130.585 171.0128
412.000000 130.553 171.5305
418.000000 130.525 171.7343
425.000000 130.477 172.2998
431.000000 130.453 172.7601
437.000000 130.407 173.0152
444.000000 130.385 173.0147
450.000000 130.399 173.4434
455.000000 130.389 173.7805
462.000000 130.301 174.5435
468.000000 130.309 174.3241
475.000000 130.276 175.5408
482.000000 130.317 175.3134
487.000000 130.255 176.0281
494.000000 130.263 176.1711
500.000000 130.151 176.5594
508.000000 130.178 176.8062
515.000000 130.133 177.3268
522.000000 130.135 177.8739
530.000000 130.123 178.2889
538.000000 130.097 178.6951
545.000000 130.075 179.0360
552.000000 130.087 179.6391
560.000000 130.065 179.8477
570.000000 130.027 -179.4196
580.000000 130.008 -178.7720
590.000000 130.012 -178.1495
600.000000 129.995 -177.6779
608.000000 129.972 -177.1758
615.000000 129.971 -176.9081
622.000000 129.960 -176.4098
630.000000 129.949 -175.9361
640.000000 129.929 -175.4337
650.000000 129.962 -174.9513
660.000000 129.929 -174.3495
670.000000 129.927 -173.5225
680.000000 129.905 -173.2862
690.000000 129.945 -172.5198
700.000000 129.933 -171.9265
710.000000 129.946 -171.2145
720.000000 129.929 -170.7985
730.000000 129.952 -169.7686
740.000000 130.016 -169.7518
750.000000 129.937 -169.0788
762.000000 129.971 -168.4262
775.000000 130.020 -167.4848
788.000000 130.047 -166.8049
800.000000 130.098 -165.6744
812.000000 130.135 -165.3979
825.000000 130.080 -164.9415
838.000000 130.227 -163.6801
850.000000 130.213 -163.6475
862.000000 130.301 -162.6511
875.000000 130.347 -162.1646
885.000000 130.355 -161.4787
900.000000 130.430 -160.6787
912.000000 130.510 -160.0674
925.000000 130.550 -159.3281
938.000000 130.661 -158.9495
950.000000 130.689 -158.2797
962.000000 130.752 -157.9641
975.000000 130.836 -157.2590
988.000000 130.891 -156.7726
1000.000000 131.028 -156.6730
1015.000000 131.139 -155.6945
1030.000000 131.204 -155.4300
1044.000000 131.325 -154.9754
1060.000000 131.393 -154.3112
1075.000000 131.513 -154.0213
1090.000000 131.631 -153.6587
1106.000000 131.733 -153.4624
1120.000000 131.813 -153.5414
1138.000000 131.934 -153.0869
1150.000000 132.045 -152.7989
1172.000000 132.173 -152.7553
1180.000000 132.209 -152.5657
1206.000000 132.364 -152.4367
1220.000000 132.449 -152.4198
1241.000000 132.575 -152.1902
1250.000000 132.590 -152.2885
1265.000000 132.675 -152.1478
1280.000000 132.750 -152.2914
1315.000000 132.947 -152.1986
1320.000000 132.925 -152.1548
1340.000000 133.050 -152.2513
1360.000000 133.174 -152.1046
1380.000000 133.217 -152.0120
1400.000000 133.304 -152.0920
1430.000000 133.426 -152.1526
1450.000000 133.494 -152.0865
1475.000000 133.589 -152.0301
1500.000000 133.691 -152.0232
1525.000000 133.787 -152.0121
1550.000000 133.859 -152.1112
1575.000000 133.968 -151.9187
1600.000000 134.054 -152.0878
1625.000000 134.139 -152.2142
1650.000000 134.205 -152.2265
1675.000000 134.312 -152.2410
1700.000000 134.395 -152.2131
1725.000000 134.480 -152.2229
1750.000000 134.568 -152.2764
1775.000000 134.658 -152.3503
1800.000000 134.745 -152.3232
1825.000000 134.844 -152.4492
1850.000000 134.925 -152.6295
1875.000000 135.014 -152.7199
1900.000000 135.104 -152.7965
1925.000000 135.196 -152.9383
1950.000000 135.293 -153.1062
1975.000000 135.372 -153.2844
2000.000000 135.476 -153.3391
2030.000000 135.577 -153.6613
2060.000000 135.689 -153.8825
2090.000000 135.791 -154.2216
2120.000000 135.903 -154.5792
2140.000000 135.977 -154.7576
2180.000000 136.108 -155.2538
2200.000000 136.184 -155.5048
2240.000000 136.325 -156.0746
2270.000000 136.423 -156.5569
2300.000000 136.522 -157.0967
2330.000000 136.615 -157.5488
2360.000000 136.706 -158.0830
2400.000000 136.829 -158.8676
2430.000000 136.917 -159.5224
2470.000000 137.025 -160.3467
2500.000000 137.099 -161.0143
2540.000000 137.188 -161.9214
2580.000000 137.273 -162.8630
2620.000000 137.353 -163.8432
2650.000000 137.408 -164.5615
2690.000000 137.469 -165.6231
2720.000000 137.512 -166.3358
2760.000000 137.565 -167.3444
2800.000000 137.611 -168.3842
2850.000000 137.656 -169.6547
2900.000000 137.684 -170.8685
2950.000000 137.702 -172.1671
3000.000000 137.696 -173.4564
3040.000000 137.717 -174.4032
3070.000000 137.713 -175.0841
3110.000000 137.693 -176.0701
3150.000000 137.680 -177.0689
3200.000000 137.656 -178.1628
3250.000000 137.625 -179.3220
3300.000000 137.573 179.5700
3350.000000 137.528 178.4764
3400.000000 137.468 177.4147
3450.000000 137.398 176.4542
3500.000000 137.319 175.4927
3550.000000 137.226 174.6097
3600.000000 137.132 173.8694
3650.000000 137.056 173.4280
3700.000000 137.000 172.9596
3750.000000 136.953 172.3541
3820.000000 136.903 171.4005
3870.000000 136.854 170.7596
3950.000000 136.757 169.4282
4000.000000 136.700 168.6042
4060.000000 136.592 167.9871
4120.000000 136.498 167.2195
4180.000000 136.387 166.5526
4250.000000 136.281 165.6675
4310.000000 136.167 165.0557
4370.000000 136.061 164.4998
4440.000000 135.930 163.8081
4500.000000 135.807 163.3527
4550.000000 135.703 162.8665
4620.000000 135.580 162.3581
4680.000000 135.461 161.9881
4750.000000 135.331 161.4657
4820.000000 135.182 161.0600
4870.000000 135.071 160.7910
4940.000000 134.918 160.3780
5000.000000 134.782 160.0432
5080.000000 134.601 159.9264
5150.000000 134.455 159.7776
5220.000000 134.299 159.7752
5300.000000 134.109 159.6853
5380.000000 133.942 159.7209
5450.000000 133.779 159.9342
5520.000000 133.634 159.9876
5600.000000 133.460 160.4417
5700.000000 133.262 160.7867
5800.000000 133.064 161.2882
5900.000000 132.906 162.0416
6000.000000 132.721 162.6136
6080.000000 132.611 163.1646
