* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 15, 2024 11:50:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L 4U up Jul 15
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 132.516 -105.9622
20.600000 132.617 -106.8199
20.900000 132.711 -107.5671
21.200001 132.809 -108.2974
21.400000 132.879 -108.7955
21.799999 133.021 -109.8410
22.000000 133.092 -110.3894
22.400000 133.221 -111.5070
22.700001 133.306 -112.3118
23.000000 133.381 -113.0422
23.299999 133.454 -113.6936
23.600000 133.528 -114.2978
24.000000 133.635 -115.1154
24.299999 133.715 -115.8033
24.700001 133.812 -116.8441
25.000000 133.869 -117.6696
25.400000 133.926 -118.7115
25.799999 133.977 -119.5568
26.200001 134.048 -120.1809
26.500000 134.124 -120.5738
26.900000 134.253 -121.1323
27.200001 134.358 -121.6564
27.600000 134.485 -122.5244
28.000000 134.577 -123.5152
28.500000 134.639 -124.7455
29.000000 134.674 -125.8312
29.500000 134.717 -126.7934
30.000000 134.784 -127.7274
30.400000 134.849 -128.4829
30.700001 134.900 -129.0471
31.100000 134.964 -129.7817
31.500000 135.020 -130.4930
32.000000 135.075 -131.3619
32.500000 135.117 -132.2290
33.000000 135.161 -133.1272
33.500000 135.224 -134.1087
34.000000 135.305 -135.2065
34.500000 135.387 -136.3420
35.000000 135.452 -137.3301
35.500000 135.502 -137.9971
36.000000 135.550 -138.3616
36.500000 135.604 -138.6363
37.000000 135.647 -139.0663
37.500000 135.659 -139.7286
38.200001 135.632 -140.8806
38.700001 135.622 -141.7471
39.500000 135.693 -143.2269
40.000000 135.776 -144.1779
40.599998 135.876 -145.1420
41.200001 135.947 -145.7414
41.799999 135.988 -146.0953
42.500000 135.997 -146.6174
43.099998 135.980 -147.3780
43.700001 135.967 -148.3392
44.400002 135.993 -149.4625
45.000000 136.048 -150.2771
45.500000 136.091 -150.8187
46.200001 136.123 -151.4203
46.799999 136.124 -151.9361
47.500000 136.117 -152.7243
48.200001 136.116 -153.6443
48.700001 136.124 -154.2370
49.400002 136.151 -154.8890
50.000000 136.176 -155.3809
50.799999 136.187 -156.0923
51.500000 136.181 -156.7636
52.200001 136.182 -157.4670
53.000000 136.187 -158.3060
53.799999 136.178 -159.0719
54.500000 136.171 -159.6050
55.200001 136.187 -160.1026
56.000000 136.219 -160.8318
57.000000 136.209 -161.8498
58.000000 136.183 -162.6060
59.000000 136.185 -163.4113
60.000000 136.169 -164.1545
60.799999 136.168 -164.6737
61.500000 136.166 -165.2535
62.200001 136.148 -165.8307
63.000000 136.129 -166.3418
64.000000 136.122 -166.9972
65.000000 136.102 -167.7298
66.000000 136.089 -168.4221
67.000000 136.077 -169.0705
68.000000 136.057 -169.6310
69.000000 136.037 -170.2401
70.000000 136.010 -170.8545
71.000000 135.989 -171.3935
72.000000 135.969 -171.9672
73.000000 135.944 -172.5224
74.000000 135.923 -173.0645
75.000000 135.895 -173.5898
76.199997 135.866 -174.1579
77.500000 135.832 -174.8114
78.800003 135.796 -175.4220
80.000000 135.768 -176.0114
81.199997 135.728 -176.5432
82.500000 135.686 -177.0030
83.800003 135.665 -177.5844
85.000000 135.627 -178.1123
86.199997 135.590 -178.5731
87.500000 135.546 -179.0721
88.500000 135.526 -179.4366
90.000000 135.474 -179.9687
91.199997 135.445 179.7076
92.500000 135.404 179.1973
93.800003 135.359 178.7735
95.000000 135.320 178.3552
96.199997 135.283 178.0193
97.500000 135.240 177.6928
98.800003 135.210 177.3076
100.000000 135.166 176.8731
101.500000 135.123 176.5965
103.000000 135.071 176.0773
104.400002 135.025 175.7939
106.000000 134.976 175.4312
107.500000 134.923 175.0538
109.000000 134.879 174.7609
110.599998 134.834 174.4767
112.000000 134.788 174.2119
113.800003 134.741 173.8007
115.000000 134.702 173.5820
117.199997 134.643 173.1046
118.000000 134.611 172.9310
120.599998 134.540 172.5775
122.000000 134.478 172.3727
124.099998 134.413 171.9826
125.000000 134.387 171.9586
126.500000 134.351 171.7293
128.000000 134.298 171.3625
131.500000 134.219 171.1273
132.000000 134.202 171.0095
134.000000 134.147 170.8431
136.000000 134.063 170.6370
138.000000 134.020 170.2967
140.000000 133.979 170.1551
143.000000 133.893 169.8910
145.000000 133.831 169.7605
147.500000 133.764 169.5839
150.000000 133.711 169.4466
152.500000 133.628 169.2099
155.000000 133.610 168.9066
157.500000 133.516 168.9315
160.000000 133.446 168.7469
162.500000 133.406 168.4721
165.000000 133.352 168.6340
167.500000 133.259 168.4073
170.000000 133.233 168.3843
172.500000 133.161 168.3819
175.000000 133.126 168.1361
177.500000 133.073 168.2600
180.000000 133.004 167.7781
182.500000 132.955 168.1196
185.000000 132.883 167.5770
187.500000 132.811 168.0021
190.000000 132.812 167.5519
192.500000 132.647 167.5250
195.000000 132.710 167.5902
197.500000 132.642 167.5839
200.000000 132.587 167.8176
203.000000 132.566 168.3749
206.000000 132.547 167.7531
209.000000 132.438 167.3157
212.000000 132.409 167.4177
214.000000 132.363 167.6413
218.000000 132.293 168.1388
220.000000 132.277 168.1627
224.000000 132.178 168.3185
227.000000 132.135 168.1810
230.000000 132.082 168.6083
233.000000 132.081 168.5040
236.000000 132.004 168.3931
240.000000 131.937 168.5897
243.000000 131.912 168.8452
247.000000 131.859 168.9360
250.000000 131.815 168.9815
254.000000 131.760 169.0609
258.000000 131.704 169.2525
262.000000 131.658 169.4264
265.000000 131.627 169.5040
269.000000 131.576 169.5950
272.000000 131.553 169.7255
276.000000 131.516 169.9849
280.000000 131.454 170.1276
285.000000 131.395 170.2947
290.000000 131.355 170.5109
295.000000 131.284 170.7253
300.000000 131.250 170.9719
304.000000 131.203 171.1448
307.000000 131.182 171.1669
311.000000 131.135 171.3502
315.000000 131.091 171.4871
320.000000 131.065 171.7615
325.000000 131.033 172.1478
330.000000 130.988 172.2277
335.000000 130.937 172.4381
340.000000 130.897 172.6032
345.000000 130.878 172.8199
350.000000 130.830 173.1410
355.000000 130.796 173.3445
360.000000 130.762 173.6687
365.000000 130.744 173.9036
370.000000 130.688 174.1489
375.000000 130.663 174.3046
382.000000 130.612 174.7203
387.000000 130.597 174.9931
395.000000 130.546 175.3970
400.000000 130.519 175.5762
406.000000 130.499 175.9473
412.000000 130.468 176.1447
418.000000 130.437 176.4724
425.000000 130.399 176.8503
431.000000 130.374 177.2037
437.000000 130.353 177.4518
444.000000 130.321 177.7705
450.000000 130.296 178.0981
455.000000 130.284 178.4086
462.000000 130.264 178.6731
468.000000 130.231 179.0059
475.000000 130.218 179.3482
482.000000 130.180 179.6189
487.000000 130.175 179.9753
494.000000 130.144 -179.7141
500.000000 130.129 -179.3180
508.000000 130.105 -178.9385
515.000000 130.082 -178.6394
522.000000 130.080 -178.3366
530.000000 130.054 -177.8824
538.000000 130.030 -177.4687
545.000000 130.013 -177.0546
552.000000 130.025 -176.7490
560.000000 129.986 -176.2967
570.000000 129.962 -175.9113
580.000000 129.954 -175.3664
590.000000 129.940 -174.7948
600.000000 129.927 -174.3510
608.000000 129.923 -173.8875
615.000000 129.909 -173.5595
622.000000 129.895 -173.1171
630.000000 129.892 -172.8421
640.000000 129.887 -172.2802
650.000000 129.880 -171.6989
660.000000 129.883 -171.1826
670.000000 129.881 -170.6446
680.000000 129.883 -170.0928
690.000000 129.890 -169.5939
700.000000 129.876 -169.1679
710.000000 129.892 -168.4561
720.000000 129.884 -168.0026
730.000000 129.890 -167.4355
740.000000 129.903 -166.9577
750.000000 129.915 -166.3193
762.000000 129.940 -165.6310
775.000000 129.957 -164.9451
788.000000 129.995 -164.2351
800.000000 130.012 -163.5627
812.000000 130.040 -162.9487
825.000000 130.095 -162.1982
838.000000 130.135 -161.5550
850.000000 130.167 -160.8555
862.000000 130.221 -160.1730
875.000000 130.277 -159.6524
885.000000 130.315 -159.1548
900.000000 130.381 -158.4283
912.000000 130.451 -157.9000
925.000000 130.508 -157.2998
938.000000 130.584 -156.6980
950.000000 130.661 -156.1953
962.000000 130.733 -155.6179
975.000000 130.803 -155.1303
988.000000 130.899 -154.6825
1000.000000 130.991 -154.1231
1015.000000 131.080 -153.8616
1030.000000 131.184 -153.3348
1044.000000 131.267 -152.9653
1060.000000 131.375 -152.5800
1075.000000 131.481 -152.2462
1090.000000 131.583 -151.9483
1106.000000 131.693 -151.6575
1120.000000 131.792 -151.5250
1138.000000 131.909 -151.2401
1150.000000 131.994 -151.0857
1172.000000 132.133 -150.8562
1180.000000 132.175 -150.8255
1206.000000 132.324 -150.6855
1220.000000 132.407 -150.6056
1241.000000 132.515 -150.5318
1250.000000 132.572 -150.5929
1265.000000 132.640 -150.5419
1280.000000 132.740 -150.4151
1315.000000 132.890 -150.5893
1320.000000 132.923 -150.5874
1340.000000 133.013 -150.5417
1360.000000 133.093 -150.4686
1380.000000 133.184 -150.4650
1400.000000 133.260 -150.4880
1430.000000 133.381 -150.5188
1450.000000 133.467 -150.5715
1475.000000 133.561 -150.5675
1500.000000 133.644 -150.6542
1525.000000 133.749 -150.6372
1550.000000 133.834 -150.7324
1575.000000 133.926 -150.6756
1600.000000 134.011 -150.7886
1625.000000 134.095 -150.8011
1650.000000 134.186 -150.8651
1675.000000 134.277 -150.8951
1700.000000 134.368 -150.9500
1725.000000 134.453 -151.0384
1750.000000 134.533 -151.1266
1775.000000 134.626 -151.1765
1800.000000 134.708 -151.2450
1825.000000 134.803 -151.3385
1850.000000 134.903 -151.4946
1875.000000 134.991 -151.5974
1900.000000 135.072 -151.7684
1925.000000 135.168 -151.9511
1950.000000 135.259 -152.0507
1975.000000 135.347 -152.2229
2000.000000 135.445 -152.5375
2030.000000 135.551 -152.6919
2060.000000 135.657 -152.9441
2090.000000 135.766 -153.2603
2120.000000 135.870 -153.5760
2140.000000 135.939 -153.8055
2180.000000 136.082 -154.2951
2200.000000 136.150 -154.5719
2240.000000 136.297 -155.1516
2270.000000 136.385 -155.6666
2300.000000 136.480 -156.1657
2330.000000 136.582 -156.6789
2360.000000 136.677 -157.2572
2400.000000 136.796 -158.0891
2430.000000 136.878 -158.6924
2470.000000 136.985 -159.6054
2500.000000 137.067 -160.1435
2540.000000 137.160 -161.1085
2580.000000 137.247 -162.0714
2620.000000 137.322 -163.0370
2650.000000 137.375 -163.8856
2690.000000 137.436 -164.8096
2720.000000 137.489 -165.5722
2760.000000 137.537 -166.6357
2800.000000 137.576 -167.6810
2850.000000 137.620 -168.9223
2900.000000 137.647 -170.2618
2950.000000 137.669 -171.5507
3000.000000 137.665 -172.8254
3040.000000 137.679 -173.7314
3070.000000 137.679 -174.4897
3110.000000 137.658 -175.4845
3150.000000 137.646 -176.3954
3200.000000 137.623 -177.5956
3250.000000 137.584 -178.7332
3300.000000 137.534 -179.8288
3350.000000 137.480 179.0544
3400.000000 137.418 178.0704
3450.000000 137.352 177.0174
3500.000000 137.271 176.1605
3550.000000 137.178 175.3910
3600.000000 137.093 174.8229
3650.000000 137.043 174.2924
3700.000000 136.981 173.7044
3750.000000 136.945 172.9682
3820.000000 136.895 171.9462
3870.000000 136.816 171.1227
3950.000000 136.715 170.0203
4000.000000 136.637 169.3705
4060.000000 136.557 168.4682
4120.000000 136.462 167.7134
4180.000000 136.364 166.9735
4250.000000 136.238 166.1546
4310.000000 136.139 165.5753
4370.000000 136.026 164.9507
4440.000000 135.905 164.2953
4500.000000 135.787 163.6943
4550.000000 135.696 163.3397
4620.000000 135.544 162.8285
4680.000000 135.433 162.3017
4750.000000 135.304 161.8615
4820.000000 135.148 161.4534
4870.000000 135.035 161.1589
4940.000000 134.868 160.8900
5000.000000 134.746 160.7031
5080.000000 134.568 160.4053
5150.000000 134.415 160.1746
5220.000000 134.274 160.1563
5300.000000 134.082 160.1291
5380.000000 133.928 160.1397
5450.000000 133.750 160.3953
5520.000000 133.590 160.4582
5600.000000 133.435 160.8251
5700.000000 133.210 161.1257
