* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 9, 2024 1:27:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L ORIGIN TANYA FILTER Feb
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 136.711 -128.3382
20.600000 136.766 -129.1073
20.900000 136.808 -129.8204
21.200001 136.843 -130.5313
21.400000 136.866 -130.9960
21.799999 136.911 -131.8926
22.000000 136.935 -132.3230
22.400000 136.993 -133.1566
22.700001 137.041 -133.7733
23.000000 137.090 -134.3931
23.299999 137.135 -135.0111
23.600000 137.176 -135.6147
24.000000 137.221 -136.3770
24.299999 137.253 -136.9147
24.700001 137.297 -137.6120
25.000000 137.332 -138.1508
25.400000 137.378 -138.9181
25.799999 137.418 -139.7227
26.200001 137.447 -140.4949
26.500000 137.464 -141.0080
26.900000 137.489 -141.5841
27.200001 137.513 -141.9563
27.600000 137.554 -142.4304
28.000000 137.597 -142.9404
28.500000 137.640 -143.6476
29.000000 137.669 -144.3726
29.500000 137.692 -145.0711
30.000000 137.722 -145.7695
30.400000 137.750 -146.3524
30.700001 137.770 -146.7977
31.100000 137.793 -147.3710
31.500000 137.814 -147.8936
32.000000 137.840 -148.4738
32.500000 137.871 -149.0275
33.000000 137.901 -149.6120
33.500000 137.924 -150.2250
34.000000 137.939 -150.8195
34.500000 137.951 -151.3602
35.000000 137.965 -151.8544
35.500000 137.984 -152.3415
36.000000 138.003 -152.8563
36.500000 138.019 -153.4024
37.000000 138.032 -153.9548
37.500000 138.045 -154.4905
38.200001 138.067 -155.2125
38.700001 138.081 -155.7095
39.500000 138.093 -156.4109
40.000000 138.100 -156.7898
40.599998 138.115 -157.2637
41.200001 138.131 -157.8133
41.799999 138.140 -158.3771
42.500000 138.150 -158.9527
43.099998 138.162 -159.3907
43.700001 138.173 -159.8207
44.400002 138.181 -160.3287
45.000000 138.186 -160.7886
45.500000 138.189 -161.1853
46.200001 138.195 -161.7005
46.799999 138.210 -162.0876
47.500000 138.231 -162.5601
48.200001 138.237 -163.0699
48.700001 138.229 -163.4056
49.400002 138.217 -163.8198
50.000000 138.215 -164.1699
50.799999 138.220 -164.6452
51.500000 138.227 -165.0605
52.200001 138.230 -165.4952
53.000000 138.225 -165.9771
53.799999 138.226 -166.4261
54.500000 138.235 -166.8597
55.200001 138.238 -167.3112
56.000000 138.232 -167.7242
57.000000 138.238 -168.1297
58.000000 138.245 -168.6681
59.000000 138.222 -169.1380
60.000000 138.214 -169.5309
60.799999 138.210 -169.9836
61.500000 138.200 -170.3530
62.200001 138.203 -170.6652
63.000000 138.211 -171.0685
64.000000 138.197 -171.5431
65.000000 138.185 -171.9241
66.000000 138.185 -172.3708
67.000000 138.185 -172.8125
68.000000 138.176 -173.1704
69.000000 138.161 -173.5172
70.000000 138.144 -173.9356
71.000000 138.138 -174.3580
72.000000 138.129 -174.7706
73.000000 138.109 -175.0503
74.000000 138.102 -175.3687
75.000000 138.090 -175.7830
76.199997 138.079 -176.1719
77.500000 138.065 -176.6187
78.800003 138.044 -177.0716
80.000000 138.028 -177.4169
81.199997 138.015 -177.7825
82.500000 137.993 -178.1886
83.800003 137.976 -178.5925
85.000000 137.957 -178.9060
86.199997 137.937 -179.2538
87.500000 137.919 -179.5981
88.500000 137.907 -179.8737
90.000000 137.880 179.7584
91.199997 137.866 179.4334
92.500000 137.843 179.0983
93.800003 137.824 178.7984
95.000000 137.803 178.5052
96.199997 137.785 178.2511
97.500000 137.761 177.9195
98.800003 137.739 177.6295
100.000000 137.719 177.4057
101.500000 137.694 177.0744
103.000000 137.668 176.7556
104.400002 137.641 176.4366
106.000000 137.616 176.1237
107.500000 137.587 175.8380
109.000000 137.558 175.5865
110.599998 137.534 175.2599
112.000000 137.507 175.0007
113.800003 137.472 174.7535
115.000000 137.450 174.4849
117.199997 137.411 174.1355
118.000000 137.384 173.9688
120.599998 137.362 173.4520
122.000000 137.324 173.4301
124.099998 137.286 173.0717
125.000000 137.268 172.9286
126.500000 137.219 172.7740
128.000000 137.206 172.5345
131.500000 137.140 172.0853
132.000000 137.133 172.0380
134.000000 137.089 171.7856
136.000000 137.059 171.5339
138.000000 137.016 171.3414
140.000000 136.982 171.1193
143.000000 136.922 170.7891
145.000000 136.885 170.5620
147.500000 136.835 170.3481
150.000000 136.786 170.1023
152.500000 136.743 169.8745
155.000000 136.694 169.6703
157.500000 136.646 169.4736
160.000000 136.590 169.3073
162.500000 136.547 169.1078
165.000000 136.503 168.9484
167.500000 136.455 168.7629
170.000000 136.411 168.6334
172.500000 136.370 168.4802
175.000000 136.317 168.3647
177.500000 136.273 168.2296
180.000000 136.224 168.1025
182.500000 136.186 167.9845
185.000000 136.135 167.8781
187.500000 136.094 167.7161
190.000000 136.055 167.6555
192.500000 136.004 167.5563
195.000000 135.961 167.4773
197.500000 135.916 167.4257
200.000000 135.871 167.3159
203.000000 135.815 167.2249
206.000000 135.767 167.1687
209.000000 135.719 167.1898
212.000000 135.672 167.0615
214.000000 135.643 167.1134
218.000000 135.575 167.0033
220.000000 135.539 166.9818
224.000000 135.476 166.9245
227.000000 135.430 166.8600
230.000000 135.383 166.8660
233.000000 135.336 166.8547
236.000000 135.296 166.9057
240.000000 135.233 166.8685
243.000000 135.189 166.8784
247.000000 135.132 166.8668
250.000000 135.074 166.9324
254.000000 135.033 166.9397
258.000000 134.964 166.9831
262.000000 134.915 167.0718
265.000000 134.873 167.0802
269.000000 134.819 167.1373
272.000000 134.782 167.1523
276.000000 134.722 167.2435
280.000000 134.675 167.3369
285.000000 134.609 167.4609
290.000000 134.548 167.6061
295.000000 134.491 167.6707
300.000000 134.433 167.7657
304.000000 134.379 167.9027
307.000000 134.350 168.0502
311.000000 134.298 168.1157
315.000000 134.255 168.2235
320.000000 134.198 168.3940
325.000000 134.138 168.5626
330.000000 134.086 168.7115
335.000000 134.028 168.8996
340.000000 133.990 169.0641
345.000000 133.939 169.2225
350.000000 133.883 169.4615
355.000000 133.833 169.6355
360.000000 133.783 169.8694
365.000000 133.750 170.0407
370.000000 133.695 170.3102
375.000000 133.656 170.4486
382.000000 133.606 170.8483
387.000000 133.553 171.0375
395.000000 133.484 171.3213
400.000000 133.454 171.5575
406.000000 133.402 171.9335
412.000000 133.355 172.1702
418.000000 133.307 172.4157
425.000000 133.263 172.7345
431.000000 133.214 173.0354
437.000000 133.174 173.2339
444.000000 133.119 173.6948
450.000000 133.096 174.0220
455.000000 133.055 174.1994
462.000000 133.021 174.6374
468.000000 132.985 174.8823
475.000000 132.936 175.2676
482.000000 132.899 175.6148
487.000000 132.875 175.9550
494.000000 132.837 176.2396
500.000000 132.807 176.5554
508.000000 132.767 177.0681
515.000000 132.726 177.3908
522.000000 132.691 177.8156
530.000000 132.659 178.2920
538.000000 132.619 178.6953
545.000000 132.595 179.1382
552.000000 132.568 179.5381
560.000000 132.542 179.9781
570.000000 132.499 -179.4198
580.000000 132.460 -178.8789
590.000000 132.444 -178.3353
600.000000 132.396 -177.7000
608.000000 132.375 -177.2431
615.000000 132.363 -176.8394
622.000000 132.341 -176.4601
630.000000 132.322 -175.9119
640.000000 132.302 -175.3184
650.000000 132.286 -174.7168
660.000000 132.253 -174.0766
670.000000 132.258 -173.4460
680.000000 132.245 -172.8137
690.000000 132.239 -172.1532
700.000000 132.229 -171.5404
710.000000 132.213 -170.8900
720.000000 132.210 -170.2730
730.000000 132.206 -169.5851
740.000000 132.211 -168.9444
750.000000 132.222 -168.2880
762.000000 132.223 -167.5572
775.000000 132.235 -166.7433
788.000000 132.253 -165.8941
800.000000 132.273 -165.1217
812.000000 132.298 -164.3797
825.000000 132.347 -163.4003
838.000000 132.371 -162.6231
850.000000 132.406 -161.8700
862.000000 132.460 -161.0933
875.000000 132.496 -160.1659
885.000000 132.546 -159.6630
900.000000 132.626 -158.7214
912.000000 132.681 -158.0845
925.000000 132.761 -157.3098
938.000000 132.842 -156.5572
950.000000 132.906 -155.9017
962.000000 132.992 -155.2595
975.000000 133.075 -154.6316
988.000000 133.169 -154.0963
1000.000000 133.264 -153.6686
1015.000000 133.376 -152.9656
1030.000000 133.492 -152.4657
1044.000000 133.597 -151.8671
1060.000000 133.731 -151.4307
1075.000000 133.842 -150.9807
1090.000000 133.955 -150.5655
1106.000000 134.080 -150.2627
1120.000000 134.197 -150.0026
1138.000000 134.320 -149.6808
1150.000000 134.416 -149.4917
1172.000000 134.575 -149.2310
1180.000000 134.618 -149.2173
1206.000000 134.807 -149.0066
1220.000000 134.897 -148.8909
1241.000000 135.032 -148.7601
1250.000000 135.082 -148.7343
1265.000000 135.172 -148.6758
1280.000000 135.262 -148.5963
1315.000000 135.459 -148.5140
1320.000000 135.481 -148.4981
1340.000000 135.584 -148.5038
1360.000000 135.694 -148.4914
1380.000000 135.791 -148.4837
1400.000000 135.887 -148.4504
1430.000000 136.029 -148.4450
1450.000000 136.119 -148.4402
1475.000000 136.243 -148.4869
1500.000000 136.359 -148.5213
1525.000000 136.474 -148.5572
1550.000000 136.578 -148.6367
1575.000000 136.690 -148.7226
1600.000000 136.802 -148.7415
1625.000000 136.911 -148.9224
1650.000000 137.012 -149.0557
1675.000000 137.117 -149.1411
1700.000000 137.222 -149.3663
1725.000000 137.312 -149.5252
1750.000000 137.408 -149.6987
1775.000000 137.508 -149.8598
1800.000000 137.586 -150.0141
1825.000000 137.681 -150.2123
1850.000000 137.773 -150.4420
1875.000000 137.850 -150.6288
1900.000000 137.942 -150.8573
1925.000000 138.034 -150.9751
1950.000000 138.116 -151.2023
1975.000000 138.201 -151.4634
2000.000000 138.287 -151.5549
2030.000000 138.385 -151.9446
2060.000000 138.491 -152.2864
2090.000000 138.595 -152.5136
2120.000000 138.699 -152.8823
2140.000000 138.770 -153.1308
2180.000000 138.902 -153.6008
2200.000000 138.968 -153.8194
2240.000000 139.101 -154.3715
2270.000000 139.195 -154.8440
2300.000000 139.298 -155.2590
2330.000000 139.393 -155.7219
2360.000000 139.494 -156.2229
2400.000000 139.620 -156.9046
2430.000000 139.715 -157.4333
2470.000000 139.835 -158.1853
2500.000000 139.921 -158.7516
2540.000000 140.037 -159.5859
2580.000000 140.151 -160.4693
2620.000000 140.258 -161.4007
2650.000000 140.337 -162.0504
2690.000000 140.434 -163.0473
2720.000000 140.509 -163.8002
2760.000000 140.602 -164.8036
2800.000000 140.682 -165.8893
2850.000000 140.783 -167.2709
2900.000000 140.871 -168.7452
2950.000000 140.950 -170.1406
3000.000000 141.012 -171.7708
3040.000000 141.058 -172.9285
3070.000000 141.082 -173.8997
3110.000000 141.110 -175.1723
3150.000000 141.136 -176.4590
3200.000000 141.148 -178.1406
3250.000000 141.139 -179.7765
3300.000000 141.125 178.4966
3350.000000 141.090 176.8886
3400.000000 141.040 175.1683
3450.000000 140.975 173.5942
3500.000000 140.904 171.9655
3550.000000 140.807 170.4222
3600.000000 140.701 168.8939
3650.000000 140.576 167.4023
3700.000000 140.449 166.0319
3750.000000 140.302 164.5947
3820.000000 140.082 162.8290
3870.000000 139.912 161.6511
3950.000000 139.612 159.9132
4000.000000 139.441 159.1030
4060.000000 139.187 157.9572
4120.000000 138.945 157.0283
4180.000000 138.697 156.2448
4250.000000 138.394 155.4768
4310.000000 138.135 154.9654
4370.000000 137.870 154.5583
4440.000000 137.579 154.3631
4500.000000 137.323 154.3239
4550.000000 137.106 154.2434
4620.000000 136.822 154.5705
4680.000000 136.585 154.9179
4750.000000 136.329 155.4073
4820.000000 136.105 156.1076
4870.000000 135.981 156.6581
4940.000000 135.805 157.2272
5000.000000 135.690 157.4844
5080.000000 135.520 158.1268
5150.000000 135.343 158.3777
5220.000000 135.153 158.6859
5300.000000 134.920 159.3031
5380.000000 134.690 159.9104
5450.000000 134.507 160.7918
5520.000000 134.297 161.6699
5600.000000 134.084 162.7433
5700.000000 133.843 164.0849
