* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 29, 2024 12:47:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L HYPE 2 Mar 29
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 143.501 13.0489
20.600000 143.504 12.5211
20.900000 143.500 12.0500
21.200001 143.497 11.5818
21.400000 143.496 11.2675
21.799999 143.497 10.6323
22.000000 143.499 10.3127
22.400000 143.502 9.6763
22.700001 143.504 9.2086
23.000000 143.504 8.7545
23.299999 143.502 8.3157
23.600000 143.499 7.8911
24.000000 143.493 7.3431
24.299999 143.488 6.9412
24.700001 143.482 6.4112
25.000000 143.478 6.0153
25.400000 143.473 5.4886
25.799999 143.469 4.9672
26.200001 143.463 4.4589
26.500000 143.457 4.0897
26.900000 143.449 3.6128
27.200001 143.442 3.2626
27.600000 143.433 2.7987
28.000000 143.423 2.3347
28.500000 143.409 1.7628
29.000000 143.395 1.2169
29.500000 143.386 0.6978
30.000000 143.379 0.1835
30.400000 143.373 -0.2375
30.700001 143.366 -0.5580
31.100000 143.353 -0.9812
31.500000 143.337 -1.3899
32.000000 143.317 -1.8771
32.500000 143.299 -2.3510
33.000000 143.282 -2.8230
33.500000 143.265 -3.2857
34.000000 143.248 -3.7257
34.500000 143.232 -4.1480
35.000000 143.217 -4.5759
35.500000 143.202 -5.0280
36.000000 143.182 -5.4943
36.500000 143.158 -5.9424
37.000000 143.133 -6.3480
37.500000 143.112 -6.7232
38.200001 143.089 -7.2713
38.700001 143.069 -7.7013
39.500000 143.026 -8.3631
40.000000 142.998 -8.7185
40.599998 142.973 -9.1213
41.200001 142.951 -9.5458
41.799999 142.924 -9.9739
42.500000 142.892 -10.4446
43.099998 142.866 -10.8536
43.700001 142.836 -11.2754
44.400002 142.797 -11.7343
45.000000 142.768 -12.1093
45.500000 142.745 -12.4518
46.200001 142.708 -12.9627
46.799999 142.672 -13.3598
47.500000 142.636 -13.7721
48.200001 142.603 -14.1910
48.700001 142.576 -14.4808
49.400002 142.537 -14.8450
50.000000 142.508 -15.1681
50.799999 142.466 -15.6579
51.500000 142.422 -16.0507
52.200001 142.383 -16.3835
53.000000 142.345 -16.7926
53.799999 142.297 -17.2353
54.500000 142.251 -17.5896
55.200001 142.210 -17.9201
56.000000 142.166 -18.3016
57.000000 142.111 -18.8011
58.000000 142.046 -19.2939
59.000000 141.981 -19.7339
60.000000 141.923 -20.1783
60.799999 141.874 -20.5255
61.500000 141.833 -20.8057
62.200001 141.793 -21.0946
63.000000 141.742 -21.4285
64.000000 141.676 -21.7827
65.000000 141.620 -22.1643
66.000000 141.554 -22.5742
67.000000 141.488 -22.9243
68.000000 141.424 -23.2789
69.000000 141.360 -23.6132
70.000000 141.296 -23.9479
71.000000 141.229 -24.2572
72.000000 141.167 -24.5710
73.000000 141.100 -24.8754
74.000000 141.033 -25.1407
75.000000 140.968 -25.4382
76.199997 140.889 -25.7975
77.500000 140.804 -26.1424
78.800003 140.715 -26.4739
80.000000 140.634 -26.7401
81.199997 140.557 -27.0093
82.500000 140.467 -27.2706
83.800003 140.384 -27.5488
85.000000 140.304 -27.8059
86.199997 140.218 -28.0157
87.500000 140.136 -28.2353
88.500000 140.070 -28.4087
90.000000 139.972 -28.6255
91.199997 139.890 -28.7929
92.500000 139.806 -28.9278
93.800003 139.718 -29.1250
95.000000 139.633 -29.2645
96.199997 139.558 -29.3260
97.500000 139.473 -29.4743
98.800003 139.389 -29.5891
100.000000 139.317 -29.7167
101.500000 139.217 -29.7833
103.000000 139.118 -29.8452
104.400002 139.035 -29.8928
106.000000 138.928 -29.9647
107.500000 138.837 -30.0144
109.000000 138.742 -30.0315
110.599998 138.639 -30.0358
112.000000 138.564 -29.9816
113.800003 138.444 -30.0151
115.000000 138.377 -29.9507
117.199997 138.239 -29.8782
118.000000 138.195 -29.8423
120.599998 138.055 -29.6209
122.000000 137.962 -29.5856
124.099998 137.861 -29.4757
125.000000 137.804 -29.3583
126.500000 137.727 -29.2666
128.000000 137.649 -28.9931
131.500000 137.394 -28.5912
132.000000 137.411 -28.7803
134.000000 137.343 -28.3924
136.000000 137.237 -28.1574
138.000000 137.147 -27.9245
140.000000 137.058 -27.5842
143.000000 136.929 -27.1626
145.000000 136.838 -26.8178
147.500000 136.737 -26.4561
150.000000 136.633 -26.0136
152.500000 136.538 -25.5203
155.000000 136.452 -25.1333
157.500000 136.358 -24.6124
160.000000 136.281 -24.1202
162.500000 136.205 -23.7053
165.000000 136.147 -23.2171
167.500000 136.061 -22.6308
170.000000 135.995 -22.1331
172.500000 135.927 -21.6684
175.000000 135.876 -21.1068
177.500000 135.811 -20.6677
180.000000 135.765 -20.1835
182.500000 135.729 -19.6775
185.000000 135.690 -19.2101
187.500000 135.646 -18.6400
190.000000 135.612 -18.1123
192.500000 135.557 -17.6827
195.000000 135.537 -17.1934
197.500000 135.510 -16.7325
200.000000 135.486 -16.2295
203.000000 135.451 -15.7127
206.000000 135.425 -15.1804
209.000000 135.408 -14.5970
212.000000 135.393 -14.1011
214.000000 135.378 -13.7750
218.000000 135.371 -13.1324
220.000000 135.355 -12.7781
224.000000 135.353 -12.2674
227.000000 135.337 -11.7817
230.000000 135.345 -11.2982
233.000000 135.336 -10.8757
236.000000 135.337 -10.4566
240.000000 135.326 -9.9462
243.000000 135.333 -9.6013
247.000000 135.339 -9.0865
250.000000 135.339 -8.7359
254.000000 135.344 -8.2326
258.000000 135.365 -7.8163
262.000000 135.359 -7.3560
265.000000 135.380 -7.1181
269.000000 135.391 -6.6556
272.000000 135.401 -6.4952
276.000000 135.409 -6.1169
280.000000 135.429 -5.8343
285.000000 135.439 -5.3134
290.000000 135.467 -5.0061
295.000000 135.473 -4.6659
300.000000 135.493 -4.3727
304.000000 135.509 -4.0901
307.000000 135.515 -3.9159
311.000000 135.525 -3.7608
315.000000 135.530 -3.3169
320.000000 135.565 -3.0960
325.000000 135.566 -2.9345
330.000000 135.579 -2.6374
335.000000 135.583 -2.3794
340.000000 135.592 -2.2833
345.000000 135.596 -2.1207
350.000000 135.675 -1.9488
355.000000 135.620 -1.6157
360.000000 135.659 -1.4151
365.000000 135.679 -1.2520
370.000000 135.669 -1.1598
375.000000 135.686 -0.9582
382.000000 135.692 -0.7611
387.000000 135.693 -0.6202
395.000000 135.698 -0.3528
400.000000 135.711 -0.2403
406.000000 135.719 -0.0860
412.000000 135.716 0.1162
418.000000 135.719 0.2389
425.000000 135.715 0.3421
431.000000 135.713 0.5780
437.000000 135.718 0.7838
444.000000 135.713 0.9011
450.000000 135.724 1.0927
455.000000 135.716 1.2059
462.000000 135.707 1.2972
468.000000 135.710 1.4552
475.000000 135.707 1.6173
482.000000 135.705 1.8035
487.000000 135.694 1.7840
494.000000 135.666 2.0454
500.000000 135.658 2.2831
508.000000 135.671 2.5810
515.000000 135.654 2.8098
522.000000 135.665 3.0028
530.000000 135.654 3.0426
538.000000 135.650 3.4166
545.000000 135.633 3.5351
552.000000 135.635 3.7037
560.000000 135.620 3.9690
570.000000 135.607 4.2511
580.000000 135.596 4.5166
590.000000 135.578 4.8697
600.000000 135.566 5.1663
608.000000 135.553 5.4036
615.000000 135.552 5.6004
622.000000 135.535 5.8406
630.000000 135.529 6.1577
640.000000 135.518 6.4786
650.000000 135.505 6.8442
660.000000 135.491 7.1918
670.000000 135.479 7.4916
680.000000 135.468 7.9446
690.000000 135.471 8.3251
700.000000 135.474 8.7140
710.000000 135.458 9.1013
720.000000 135.448 9.5275
730.000000 135.453 9.8587
740.000000 135.451 10.3186
750.000000 135.447 10.7786
762.000000 135.452 11.3026
775.000000 135.455 11.8891
788.000000 135.472 12.4384
800.000000 135.487 12.9980
812.000000 135.498 13.4977
825.000000 135.522 14.1341
838.000000 135.550 14.7356
850.000000 135.574 15.2297
862.000000 135.611 15.7932
875.000000 135.650 16.3302
885.000000 135.680 16.7555
900.000000 135.727 17.3811
912.000000 135.779 17.9029
925.000000 135.836 18.4594
938.000000 135.886 18.9486
950.000000 135.942 19.3718
962.000000 136.004 19.8345
975.000000 136.076 20.2441
988.000000 136.141 20.5947
1000.000000 136.198 20.8526
1015.000000 136.289 21.3858
1030.000000 136.374 21.6950
1044.000000 136.461 22.0198
1060.000000 136.544 22.2588
1075.000000 136.634 22.5070
1090.000000 136.708 22.7432
1106.000000 136.799 22.8783
1120.000000 136.868 22.9701
1138.000000 136.960 23.0958
1150.000000 137.019 23.1537
1172.000000 137.124 23.2462
1180.000000 137.151 23.2610
1206.000000 137.258 23.2477
1220.000000 137.315 23.2453
1241.000000 137.399 23.3083
1250.000000 137.426 23.2775
1265.000000 137.475 23.2377
1280.000000 137.524 23.2759
1315.000000 137.626 23.1879
1320.000000 137.630 23.1782
1340.000000 137.688 23.1666
1360.000000 137.728 23.1655
1380.000000 137.770 23.1357
1400.000000 137.808 23.1551
1430.000000 137.880 23.2082
1450.000000 137.921 23.1667
1475.000000 137.965 23.2222
1500.000000 138.023 23.3524
1525.000000 138.067 23.3098
1550.000000 138.123 23.2911
1575.000000 138.188 23.3368
1600.000000 138.229 23.3186
1625.000000 138.279 23.2951
1650.000000 138.325 23.1653
1675.000000 138.370 23.0779
1700.000000 138.386 22.8494
1725.000000 138.402 22.6792
1750.000000 138.397 22.4959
1775.000000 138.369 22.4455
1800.000000 138.331 22.5478
1825.000000 138.277 22.7509
1850.000000 138.243 23.0897
1875.000000 138.220 23.6816
1900.000000 138.196 24.3479
1925.000000 138.220 25.0889
1950.000000 138.256 25.8936
1975.000000 138.311 26.6512
2000.000000 138.373 27.3400
2030.000000 138.497 28.1115
2060.000000 138.628 28.8017
2090.000000 138.770 29.3188
2120.000000 138.911 29.8695
2140.000000 139.015 30.1086
2180.000000 139.218 30.5460
2200.000000 139.332 30.7581
2240.000000 139.543 31.0467
2270.000000 139.711 31.0978
2300.000000 139.879 31.1138
2330.000000 140.047 31.0229
2360.000000 140.214 30.9509
2400.000000 140.443 30.6377
2430.000000 140.602 30.3425
2470.000000 140.818 29.8071
2500.000000 140.973 29.4435
2540.000000 141.193 28.7631
2580.000000 141.408 27.8672
2620.000000 141.598 26.8284
2650.000000 141.734 26.0005
2690.000000 141.892 24.7068
2720.000000 141.993 23.7604
2760.000000 142.102 22.3987
2800.000000 142.190 21.0678
2850.000000 142.269 19.4583
2900.000000 142.329 17.8962
2950.000000 142.370 16.3821
3000.000000 142.397 15.0037
3040.000000 142.405 13.7601
3070.000000 142.402 12.9041
3110.000000 142.394 11.8025
3150.000000 142.376 10.7676
3200.000000 142.336 9.5134
3250.000000 142.290 8.3264
3300.000000 142.237 7.2143
3350.000000 142.165 6.1910
3400.000000 142.096 5.2482
3450.000000 142.026 4.4292
3500.000000 141.952 3.6815
3550.000000 141.878 3.0654
3600.000000 141.798 2.4556
3650.000000 141.734 1.9762
3700.000000 141.671 1.5223
3750.000000 141.614 1.0716
3820.000000 141.541 0.5452
3870.000000 141.499 0.1547
3950.000000 141.442 -0.4050
4000.000000 141.424 -0.7419
4060.000000 141.378 -1.0391
4120.000000 141.357 -1.4492
4180.000000 141.343 -1.8784
4250.000000 141.325 -2.3500
4310.000000 141.311 -2.9360
4370.000000 141.298 -3.4085
4440.000000 141.287 -4.1265
4500.000000 141.264 -4.8197
4550.000000 141.250 -5.4122
4620.000000 141.206 -6.2728
4680.000000 141.171 -6.9097
4750.000000 141.110 -7.8340
4820.000000 141.039 -8.7524
4870.000000 140.971 -9.3898
4940.000000 140.875 -10.2551
5000.000000 140.776 -10.9514
5080.000000 140.612 -11.9916
5150.000000 140.453 -12.6913
5220.000000 140.290 -13.2400
5300.000000 140.085 -13.9068
5380.000000 139.873 -14.2296
5450.000000 139.684 -14.4651
5520.000000 139.508 -14.6116
5600.000000 139.277 -14.6636
5700.000000 139.016 -14.5127
5800.000000 138.744 -14.3310
5900.000000 138.486 -13.8867
