* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 28, 2024 10:24:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R HYPE 10 Mar 28
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 146.025 20.6646
20.600000 146.036 20.0750
20.900000 146.042 19.5428
21.200001 146.048 19.0117
21.400000 146.053 18.6566
21.799999 146.064 17.9479
22.000000 146.071 17.5980
22.400000 146.084 16.9183
22.700001 146.094 16.4325
23.000000 146.102 15.9688
23.299999 146.109 15.5221
23.600000 146.116 15.0858
24.000000 146.123 14.5107
24.299999 146.127 14.0802
24.700001 146.132 13.5073
25.000000 146.136 13.0804
25.400000 146.141 12.5176
25.799999 146.145 11.9653
26.200001 146.147 11.4294
26.500000 146.147 11.0429
26.900000 146.145 10.5500
27.200001 146.146 10.1911
27.600000 146.150 9.7095
28.000000 146.158 9.2002
28.500000 146.167 8.5138
29.000000 146.169 7.8228
29.500000 146.160 7.2106
30.000000 146.148 6.7182
30.400000 146.143 6.3801
30.700001 146.141 6.1291
31.100000 146.140 5.7667
31.500000 146.138 5.3650
32.000000 146.130 4.8317
32.500000 146.120 4.3047
33.000000 146.113 3.8019
33.500000 146.109 3.3146
34.000000 146.105 2.8342
34.500000 146.097 2.3652
35.000000 146.086 1.9134
35.500000 146.075 1.4752
36.000000 146.065 1.0410
36.500000 146.056 0.6061
37.000000 146.048 0.1738
37.500000 146.039 -0.2491
38.200001 146.022 -0.8177
38.700001 146.010 -1.2110
39.500000 145.990 -1.8415
40.000000 145.979 -2.2441
40.599998 145.965 -2.7292
41.200001 145.949 -3.1970
41.799999 145.932 -3.6333
42.500000 145.913 -4.1114
43.099998 145.898 -4.5218
43.700001 145.883 -4.9472
44.400002 145.861 -5.4484
45.000000 145.841 -5.8632
45.500000 145.826 -6.1960
46.200001 145.806 -6.6526
46.799999 145.789 -7.0412
47.500000 145.767 -7.4855
48.200001 145.743 -7.9126
48.700001 145.726 -8.2119
49.400002 145.702 -8.6364
50.000000 145.681 -9.0023
50.799999 145.652 -9.4695
51.500000 145.630 -9.8619
52.200001 145.607 -10.2611
53.000000 145.578 -10.7223
53.799999 145.547 -11.1722
54.500000 145.521 -11.5547
55.200001 145.495 -11.9244
56.000000 145.463 -12.3359
57.000000 145.421 -12.8335
58.000000 145.384 -13.3073
59.000000 145.351 -13.8108
60.000000 145.308 -14.3004
60.799999 145.272 -14.6585
61.500000 145.243 -14.9827
62.200001 145.216 -15.3184
63.000000 145.182 -15.6844
64.000000 145.140 -16.1046
65.000000 145.096 -16.5303
66.000000 145.050 -16.9689
67.000000 145.006 -17.3783
68.000000 144.965 -17.7720
69.000000 144.922 -18.1589
70.000000 144.877 -18.5522
71.000000 144.832 -18.9174
72.000000 144.792 -19.2729
73.000000 144.744 -19.6495
74.000000 144.695 -19.9925
75.000000 144.651 -20.3678
76.199997 144.593 -20.7712
77.500000 144.534 -21.1821
78.800003 144.475 -21.5917
80.000000 144.417 -21.9738
81.199997 144.361 -22.3220
82.500000 144.294 -22.7344
83.800003 144.234 -23.0781
85.000000 144.176 -23.4231
86.199997 144.118 -23.7288
87.500000 144.054 -24.0808
88.500000 144.009 -24.3301
90.000000 143.936 -24.7116
91.199997 143.874 -24.9745
92.500000 143.810 -25.2912
93.800003 143.745 -25.5863
95.000000 143.691 -25.8820
96.199997 143.626 -26.0997
97.500000 143.571 -26.3514
98.800003 143.494 -26.6227
100.000000 143.443 -26.7953
101.500000 143.369 -27.1337
103.000000 143.296 -27.2878
104.400002 143.240 -27.6201
106.000000 143.138 -27.8208
107.500000 143.075 -28.0320
109.000000 143.005 -28.2768
110.599998 142.920 -28.4607
112.000000 142.858 -28.6082
113.800003 142.759 -28.7963
115.000000 142.698 -28.9238
117.199997 142.600 -29.2484
118.000000 142.548 -29.3203
120.599998 142.426 -29.4874
122.000000 142.371 -29.7011
124.099998 142.292 -29.8785
125.000000 142.252 -29.8687
126.500000 142.170 -29.8683
128.000000 142.073 -29.9617
131.500000 141.960 -30.3129
132.000000 141.934 -30.2277
134.000000 141.790 -30.2175
136.000000 141.743 -30.4418
138.000000 141.634 -30.2481
140.000000 141.558 -30.4491
143.000000 141.426 -30.4513
145.000000 141.352 -30.3888
147.500000 141.243 -30.3553
150.000000 141.138 -30.3124
152.500000 141.038 -30.2338
155.000000 140.943 -30.1730
157.500000 140.849 -30.0719
160.000000 140.757 -29.9553
162.500000 140.669 -29.8400
165.000000 140.576 -29.6927
167.500000 140.491 -29.5669
170.000000 140.409 -29.4001
172.500000 140.327 -29.2278
175.000000 140.245 -29.0563
177.500000 140.172 -28.8611
180.000000 140.096 -28.6475
182.500000 140.025 -28.4588
185.000000 139.945 -28.2212
187.500000 139.882 -28.0258
190.000000 139.814 -27.8359
192.500000 139.749 -27.5633
195.000000 139.688 -27.3558
197.500000 139.619 -27.0798
200.000000 139.568 -26.8609
203.000000 139.499 -26.5126
206.000000 139.429 -26.2747
209.000000 139.381 -25.8957
212.000000 139.307 -25.6498
214.000000 139.278 -25.4219
218.000000 139.206 -25.0562
220.000000 139.164 -24.8398
224.000000 139.107 -24.4668
227.000000 139.043 -24.0500
230.000000 139.010 -23.7970
233.000000 138.964 -23.5911
236.000000 138.914 -23.2050
240.000000 138.883 -22.8162
243.000000 138.831 -22.6021
247.000000 138.769 -22.0936
250.000000 138.762 -21.7293
254.000000 138.737 -21.6447
258.000000 138.638 -21.2245
262.000000 138.630 -20.5217
265.000000 138.631 -20.3161
269.000000 138.608 -20.1719
272.000000 138.568 -20.0421
276.000000 138.516 -19.6671
280.000000 138.478 -19.1398
285.000000 138.475 -18.6750
290.000000 138.456 -18.4051
295.000000 138.422 -18.1470
300.000000 138.390 -17.7558
304.000000 138.370 -17.4390
307.000000 138.361 -17.2638
311.000000 138.338 -16.9920
315.000000 138.323 -16.7213
320.000000 138.305 -16.3731
325.000000 138.289 -16.0456
330.000000 138.267 -15.7877
335.000000 138.253 -15.5230
340.000000 138.239 -15.1858
345.000000 138.227 -14.9777
350.000000 138.214 -14.7329
355.000000 138.200 -14.4098
360.000000 138.200 -14.1931
365.000000 138.181 -13.9908
370.000000 138.153 -13.7916
375.000000 138.134 -13.5045
382.000000 138.126 -13.2682
387.000000 138.112 -13.0840
395.000000 138.136 -12.7010
400.000000 138.119 -12.5147
406.000000 138.090 -12.1837
412.000000 138.071 -11.9477
418.000000 138.048 -11.9319
425.000000 138.075 -11.6092
431.000000 138.048 -11.3512
437.000000 138.030 -11.2623
444.000000 138.024 -11.0053
450.000000 138.008 -10.8292
455.000000 138.003 -10.6465
462.000000 137.993 -10.4574
468.000000 137.983 -10.2693
475.000000 137.971 -10.1141
482.000000 137.959 -9.8474
487.000000 137.950 -9.7890
494.000000 137.939 -9.5972
500.000000 137.907 -9.4284
508.000000 137.910 -9.1844
515.000000 137.891 -9.0297
522.000000 137.880 -8.8318
530.000000 137.868 -8.5992
538.000000 137.861 -8.4567
545.000000 137.840 -8.3146
552.000000 137.818 -8.1547
560.000000 137.802 -8.0580
570.000000 137.757 -7.9487
580.000000 137.731 -7.8278
590.000000 137.653 -7.9178
600.000000 137.528 -8.0314
608.000000 137.314 -7.9018
615.000000 137.052 -6.9001
622.000000 136.878 -4.2330
630.000000 137.151 -1.3362
640.000000 137.518 -0.6268
650.000000 137.667 -0.9969
660.000000 137.752 -1.3289
670.000000 137.784 -1.3197
680.000000 137.801 -1.3181
690.000000 137.819 -1.0911
700.000000 137.830 -0.9225
710.000000 137.838 -0.6721
720.000000 137.849 -0.4695
730.000000 137.869 -0.2502
740.000000 137.875 0.0942
750.000000 137.890 0.3572
762.000000 137.901 0.7860
775.000000 137.939 1.1779
788.000000 137.963 1.6406
800.000000 137.987 2.0649
812.000000 138.024 2.5118
825.000000 138.066 2.9378
838.000000 138.115 3.4030
850.000000 138.147 3.9332
862.000000 138.194 4.2634
875.000000 138.254 4.5968
885.000000 138.301 4.9422
900.000000 138.378 5.4255
912.000000 138.438 5.7653
925.000000 138.513 6.1107
938.000000 138.587 6.5180
950.000000 138.654 6.7563
962.000000 138.737 7.0427
975.000000 138.826 7.2896
988.000000 138.913 7.5683
1000.000000 138.987 7.9940
1015.000000 139.094 7.9073
1030.000000 139.204 8.0939
1044.000000 139.307 8.1538
1060.000000 139.422 8.2473
1075.000000 139.529 8.2838
1090.000000 139.632 8.2520
1106.000000 139.749 8.2205
1120.000000 139.845 8.1332
1138.000000 139.963 8.0047
1150.000000 140.049 7.8756
1172.000000 140.183 7.6449
1180.000000 140.232 7.5216
1206.000000 140.383 7.1652
1220.000000 140.463 6.9246
1241.000000 140.573 6.5839
1250.000000 140.618 6.4288
1265.000000 140.694 6.1646
1280.000000 140.763 5.8791
1315.000000 140.927 5.2788
1320.000000 140.947 5.1853
1340.000000 141.037 4.8218
1360.000000 141.119 4.4181
1380.000000 141.195 4.0412
1400.000000 141.283 3.6749
1430.000000 141.395 3.1926
1450.000000 141.468 2.8105
1475.000000 141.561 2.3576
1500.000000 141.655 1.8975
1525.000000 141.742 1.5000
1550.000000 141.833 1.0358
1575.000000 141.925 0.5809
1600.000000 142.019 0.1210
1625.000000 142.106 -0.3070
1650.000000 142.201 -0.7936
1675.000000 142.298 -1.2727
1700.000000 142.391 -1.7515
1725.000000 142.487 -2.2169
1750.000000 142.581 -2.7348
1775.000000 142.682 -3.2471
1800.000000 142.776 -3.7846
1825.000000 142.878 -4.3182
1850.000000 142.981 -4.9144
1875.000000 143.081 -5.4950
1900.000000 143.185 -6.0974
1925.000000 143.287 -6.7381
1950.000000 143.393 -7.4140
1975.000000 143.496 -8.1026
2000.000000 143.588 -9.0742
2030.000000 143.726 -9.7405
2060.000000 143.848 -10.6973
2090.000000 143.971 -11.6658
2120.000000 144.094 -12.7337
2140.000000 144.170 -13.4565
2180.000000 144.326 -14.9970
2200.000000 144.403 -15.8376
2240.000000 144.546 -17.5338
2270.000000 144.642 -18.8654
2300.000000 144.735 -20.2733
2330.000000 144.815 -21.7065
2360.000000 144.881 -23.1957
2400.000000 144.954 -25.2941
2430.000000 144.986 -26.8298
2470.000000 145.014 -28.9255
2500.000000 145.013 -30.5026
2540.000000 144.989 -32.5187
2580.000000 144.941 -34.4810
2620.000000 144.863 -36.3574
2650.000000 144.799 -37.6226
2690.000000 144.696 -39.2117
2720.000000 144.613 -40.2910
2760.000000 144.499 -41.6469
2800.000000 144.385 -42.8895
2850.000000 144.229 -44.2493
2900.000000 144.079 -45.4505
2950.000000 143.921 -46.4846
3000.000000 143.793 -47.2089
3040.000000 143.651 -47.8826
3070.000000 143.568 -48.2030
3110.000000 143.469 -48.5607
3150.000000 143.381 -48.8747
3200.000000 143.282 -49.1607
3250.000000 143.203 -49.3730
3300.000000 143.146 -49.5786
3350.000000 143.109 -49.7073
3400.000000 143.095 -49.8592
3450.000000 143.088 -50.0535
3500.000000 143.106 -50.3087
3550.000000 143.139 -50.6400
3600.000000 143.182 -51.0368
3650.000000 143.237 -51.4539
3700.000000 143.293 -52.0993
3750.000000 143.351 -52.7800
3820.000000 143.432 -53.8757
3870.000000 143.478 -54.8134
3950.000000 143.533 -56.3964
4000.000000 143.533 -57.3617
4060.000000 143.556 -58.6969
4120.000000 143.543 -60.0142
4180.000000 143.497 -61.2549
4250.000000 143.436 -62.5946
4310.000000 143.368 -63.7230
4370.000000 143.292 -64.7155
4440.000000 143.192 -65.7903
4500.000000 143.107 -66.6594
4550.000000 143.034 -67.2340
4620.000000 142.925 -68.0842
4680.000000 142.824 -68.7248
4750.000000 142.722 -69.3987
4820.000000 142.602 -70.0114
4870.000000 142.514 -70.4615
4940.000000 142.398 -70.9858
5000.000000 142.282 -71.2528
5080.000000 142.129 -71.8046
5150.000000 141.987 -72.1451
5220.000000 141.833 -72.3979
5300.000000 141.649 -72.5598
5380.000000 141.457 -72.5190
