* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 20, 2024 11:01:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L ORACLE MK3 25
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 139.293 14.7011
20.600000 139.298 14.2304
20.900000 139.300 13.7532
21.200001 139.299 13.2116
21.400000 139.296 12.8224
21.799999 139.282 12.0180
22.000000 139.273 11.6272
22.400000 139.255 10.9144
22.700001 139.247 10.4488
23.000000 139.246 10.0273
23.299999 139.250 9.6251
23.600000 139.253 9.2296
24.000000 139.249 8.7101
24.299999 139.239 8.3336
24.700001 139.221 7.8440
25.000000 139.209 7.4628
25.400000 139.198 6.9009
25.799999 139.191 6.2867
26.200001 139.183 5.7061
26.500000 139.178 5.3517
26.900000 139.181 4.9973
27.200001 139.188 4.7655
27.600000 139.193 4.3983
28.000000 139.173 3.9180
28.500000 139.103 3.2965
29.000000 139.042 2.8271
29.500000 139.058 2.3357
30.000000 139.120 1.5211
30.400000 139.132 0.7934
30.700001 139.098 0.4449
31.100000 139.024 0.4605
31.500000 138.976 0.8254
32.000000 138.991 0.8276
32.500000 139.001 -0.3744
33.000000 138.913 -1.9732
33.500000 138.823 -2.5412
34.000000 138.912 -2.0076
34.500000 139.109 -1.8404
35.000000 139.103 -2.5318
35.500000 138.772 -2.8717
36.000000 138.454 -2.3076
36.500000 138.557 -3.2271
37.000000 138.950 -8.2157
37.500000 139.161 -15.6935
38.200001 138.655 -21.5953
38.700001 138.130 -17.5590
39.500000 138.657 -6.5900
40.000000 139.086 -5.0989
40.599998 138.905 -6.4182
41.200001 138.438 -6.8191
41.799999 138.372 -6.7750
42.500000 138.604 -8.4183
43.099998 138.594 -9.4425
43.700001 138.492 -8.8866
44.400002 138.472 -8.4314
45.000000 138.438 -9.3348
45.500000 138.376 -10.1183
46.200001 138.358 -10.4578
46.799999 138.392 -10.5287
47.500000 138.347 -10.7229
48.200001 138.250 -10.9296
48.700001 138.211 -11.2183
49.400002 138.199 -11.7606
50.000000 138.207 -12.0109
50.799999 138.225 -12.1504
51.500000 138.198 -12.5454
52.200001 138.129 -13.0970
53.000000 138.079 -13.6676
53.799999 138.050 -14.2573
54.500000 137.980 -14.5961
55.200001 137.911 -14.6872
56.000000 137.883 -15.1230
57.000000 137.804 -16.1981
58.000000 137.703 -16.4780
59.000000 137.655 -16.3353
60.000000 137.616 -16.1834
60.799999 137.603 -16.4397
61.500000 137.573 -16.8878
62.200001 137.543 -17.2393
63.000000 137.526 -17.6510
64.000000 137.463 -18.1582
65.000000 137.405 -18.3503
66.000000 137.375 -18.5386
67.000000 137.339 -18.7519
68.000000 137.279 -19.2405
69.000000 137.207 -19.4117
70.000000 137.189 -19.2451
71.000000 137.120 -19.3773
72.000000 137.036 -19.9644
73.000000 136.983 -20.4347
74.000000 137.037 -20.1244
75.000000 136.871 -20.7027
76.199997 136.480 -19.5290
77.500000 136.778 -20.7059
78.800003 136.701 -21.2768
80.000000 136.672 -21.6379
81.199997 136.508 -21.9748
82.500000 136.575 -21.9056
83.800003 136.416 -22.3179
85.000000 136.354 -22.6923
86.199997 136.307 -22.8294
87.500000 136.250 -23.0089
88.500000 136.140 -23.2279
90.000000 136.141 -23.0697
91.199997 136.033 -23.6284
92.500000 135.979 -23.3902
93.800003 135.897 -23.5046
95.000000 135.870 -24.1335
96.199997 135.747 -24.4672
97.500000 135.789 -23.8551
98.800003 135.693 -23.9580
100.000000 135.569 -24.4446
101.500000 135.550 -24.6416
103.000000 135.423 -24.4621
104.400002 135.428 -24.4349
106.000000 135.294 -24.6758
107.500000 135.288 -23.8187
109.000000 135.072 -25.1026
110.599998 135.229 -25.1918
112.000000 135.098 -22.8971
113.800003 134.627 -25.0522
115.000000 135.229 -24.0639
117.199997 134.813 -22.7620
118.000000 134.973 -24.7552
120.599998 134.999 -23.9162
122.000000 134.376 -26.2051
124.099998 134.823 -24.6644
125.000000 134.453 -25.1227
126.500000 134.604 -24.1046
128.000000 134.333 -25.4084
131.500000 134.506 -24.0781
132.000000 134.383 -24.2439
134.000000 134.282 -22.4814
136.000000 134.063 -22.0237
138.000000 134.218 -21.5883
140.000000 133.928 -23.8879
143.000000 133.720 -23.3604
145.000000 133.552 -24.3344
147.500000 133.426 -23.6941
150.000000 133.078 -22.2970
152.500000 133.394 -26.1728
155.000000 133.258 -22.3344
157.500000 133.497 -23.6237
160.000000 133.387 -22.6331
162.500000 133.353 -21.9053
165.000000 133.315 -21.8027
167.500000 133.171 -21.5682
170.000000 133.157 -20.8784
172.500000 133.070 -21.2399
175.000000 133.021 -21.0918
177.500000 133.011 -20.4449
180.000000 132.872 -19.7818
182.500000 132.874 -20.4840
185.000000 132.935 -19.8148
187.500000 132.749 -19.1119
190.000000 132.733 -20.2084
192.500000 132.718 -19.1649
195.000000 132.504 -18.8710
197.500000 132.661 -19.0816
200.000000 132.503 -17.7476
203.000000 132.460 -18.5987
206.000000 132.512 -17.4667
209.000000 132.491 -17.7495
212.000000 132.150 -19.0274
214.000000 131.945 -15.9886
218.000000 132.370 -15.5417
220.000000 132.295 -15.0520
224.000000 132.303 -15.3930
227.000000 132.177 -15.2913
230.000000 132.105 -14.6081
233.000000 132.105 -15.1441
236.000000 132.111 -15.0473
240.000000 132.192 -14.2064
243.000000 131.966 -13.9201
247.000000 132.072 -14.0144
250.000000 132.130 -13.2415
254.000000 131.871 -13.9320
258.000000 131.957 -12.5177
262.000000 131.965 -12.8343
265.000000 131.878 -12.3480
269.000000 131.839 -11.9762
272.000000 131.824 -11.9024
276.000000 131.822 -11.3524
280.000000 131.861 -11.8676
285.000000 131.612 -10.5352
290.000000 131.672 -11.0440
295.000000 131.615 -10.4778
300.000000 131.706 -9.4731
304.000000 131.589 -9.5010
307.000000 131.618 -9.7964
311.000000 131.721 -9.0268
315.000000 131.633 -8.3043
320.000000 131.577 -7.9673
325.000000 131.583 -7.9125
330.000000 131.551 -7.5822
335.000000 131.542 -7.5032
340.000000 131.546 -7.0441
345.000000 131.545 -6.7136
350.000000 131.503 -6.3798
355.000000 131.491 -5.8557
360.000000 131.481 -5.7897
365.000000 131.462 -5.5685
370.000000 131.442 -4.9447
375.000000 131.426 -4.6923
382.000000 131.418 -4.7706
387.000000 131.448 -4.5731
395.000000 131.463 -3.9946
400.000000 131.434 -4.0032
406.000000 131.313 -2.9184
412.000000 131.342 -3.7744
418.000000 131.449 -2.9974
425.000000 131.386 -2.6852
431.000000 131.313 -2.4616
437.000000 131.364 -1.6195
444.000000 131.312 -1.4649
450.000000 131.287 -0.9283
455.000000 131.332 -0.9328
462.000000 131.318 -0.7443
468.000000 131.240 -0.4323
475.000000 131.287 -0.0526
482.000000 131.330 -0.0778
487.000000 131.262 0.4302
494.000000 131.233 1.2254
500.000000 131.332 0.8725
508.000000 131.238 1.6493
515.000000 131.264 1.4242
522.000000 131.205 1.6260
530.000000 131.176 2.5096
538.000000 131.217 3.0526
545.000000 131.198 3.2494
552.000000 131.221 3.6996
560.000000 131.175 3.8312
570.000000 131.142 4.3574
580.000000 131.135 4.7794
590.000000 131.087 5.0664
600.000000 131.109 5.5359
608.000000 131.096 6.0335
615.000000 131.098 6.4848
622.000000 131.108 6.6528
630.000000 131.088 6.9002
640.000000 131.054 7.5434
650.000000 131.058 7.9235
660.000000 131.075 8.4208
670.000000 131.024 8.6113
680.000000 131.005 9.2672
690.000000 131.037 9.8337
700.000000 131.050 9.7357
710.000000 131.051 11.1999
720.000000 131.066 11.2968
730.000000 131.071 11.8285
740.000000 131.058 12.1896
750.000000 131.075 12.7815
762.000000 131.077 13.4332
775.000000 131.096 13.9962
788.000000 131.101 14.7183
800.000000 131.111 15.3098
812.000000 131.167 15.8059
825.000000 131.173 16.6594
838.000000 131.219 17.2112
850.000000 131.238 17.9648
862.000000 131.256 18.4998
875.000000 131.288 19.1761
885.000000 131.320 19.5899
900.000000 131.383 20.2787
912.000000 131.428 20.8075
925.000000 131.489 21.3644
938.000000 131.533 22.0441
950.000000 131.589 22.5386
962.000000 131.660 23.1031
975.000000 131.724 23.6669
988.000000 131.789 24.1789
1000.000000 131.825 24.4208
1015.000000 131.932 25.1664
1030.000000 131.997 25.6051
1044.000000 132.096 26.0452
1060.000000 132.180 26.4703
1075.000000 132.242 26.9068
1090.000000 132.347 27.2318
1106.000000 132.432 27.6336
1120.000000 132.516 27.8277
1138.000000 132.614 28.1483
1150.000000 132.679 28.3606
1172.000000 132.799 28.6450
1180.000000 132.830 28.7179
1206.000000 132.945 29.0899
1220.000000 133.025 29.2020
1241.000000 133.107 29.4182
1250.000000 133.164 29.5454
1265.000000 133.216 29.7105
1280.000000 133.262 29.7486
1315.000000 133.403 29.9690
1320.000000 133.421 30.1655
1340.000000 133.491 30.2068
1360.000000 133.560 30.5174
1380.000000 133.636 30.6800
1400.000000 133.691 30.8488
1430.000000 133.781 31.1320
1450.000000 133.858 31.3333
1475.000000 133.929 31.6239
1500.000000 134.010 31.8584
1525.000000 134.093 32.0940
1550.000000 134.184 32.4537
1575.000000 134.253 32.7666
1600.000000 134.345 33.0179
1625.000000 134.433 33.3430
1650.000000 134.523 33.6073
1675.000000 134.617 33.8517
1700.000000 134.726 34.2434
1725.000000 134.827 34.4122
1750.000000 134.934 34.6498
1775.000000 135.044 34.8696
1800.000000 135.158 34.9916
1825.000000 135.267 35.1628
1850.000000 135.389 35.3576
1875.000000 135.512 35.4286
1900.000000 135.634 35.5098
1925.000000 135.761 35.5705
1950.000000 135.885 35.5631
1975.000000 136.026 35.5607
2000.000000 136.118 35.4819
2030.000000 136.303 35.3368
2060.000000 136.466 35.0846
2090.000000 136.611 34.8864
2120.000000 136.770 34.5542
2140.000000 136.875 34.2222
2180.000000 137.074 33.6299
2200.000000 137.170 33.3415
2240.000000 137.361 32.5291
2270.000000 137.502 31.8824
2300.000000 137.636 31.1794
2330.000000 137.757 30.4252
2360.000000 137.879 29.5083
2400.000000 138.010 28.3268
2430.000000 138.111 27.3168
2470.000000 138.225 25.9380
2500.000000 138.301 24.8795
2540.000000 138.379 23.3651
2580.000000 138.417 21.7527
2620.000000 138.436 20.1516
2650.000000 138.439 18.9316
2690.000000 138.410 17.2715
2720.000000 138.356 16.0900
2760.000000 138.270 14.5719
2800.000000 138.154 13.1300
2850.000000 137.959 11.5847
2900.000000 137.756 10.3313
2950.000000 137.514 9.3101
3000.000000 137.264 8.8288
3040.000000 137.078 8.2553
3070.000000 136.940 8.1376
3110.000000 136.746 8.1485
3150.000000 136.581 8.1019
3200.000000 136.374 8.2761
3250.000000 136.170 8.6219
3300.000000 135.999 9.0430
3350.000000 135.840 9.4534
3400.000000 135.700 10.0922
3450.000000 135.582 10.6544
3500.000000 135.479 11.3407
3550.000000 135.371 12.0322
3600.000000 135.298 12.6963
3650.000000 135.224 13.4071
3700.000000 135.185 14.1597
3750.000000 135.136 14.9065
3820.000000 135.121 15.8214
3870.000000 135.104 16.5265
3950.000000 135.110 17.5108
4000.000000 135.155 18.0759
4060.000000 135.172 18.7060
4120.000000 135.242 19.1697
4180.000000 135.310 19.6477
4250.000000 135.407 19.9763
4310.000000 135.482 20.0541
4370.000000 135.588 19.9827
4440.000000 135.688 19.7132
4500.000000 135.783 19.1964
4550.000000 135.837 18.7761
4620.000000 135.896 17.7605
4680.000000 135.925 16.7970
4750.000000 135.893 15.5149
4820.000000 135.812 14.3539
4870.000000 135.718 13.4206
4940.000000 135.528 12.5398
5000.000000 135.330 12.0903
5080.000000 135.085 12.1133
5150.000000 134.924 12.5870
5220.000000 134.801 13.4941
5300.000000 134.802 14.4904
5380.000000 134.886 15.3681
5450.000000 135.032 15.6202
5520.000000 135.226 15.6215
5600.000000 135.459 14.8827
5700.000000 135.743 13.1906
5800.000000 136.018 10.6367
5900.000000 136.221 7.3701
6000.000000 136.347 3.5837
