* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Oct 11, 2023 9:41:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: C0 Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	55.070	133.5089
1.015000	54.936	132.7067
1.030000	54.799	131.8903
1.044000	54.668	131.1146
1.060000	54.514	130.2107
1.075000	54.365	129.3453
1.090000	54.213	128.4616
1.106000	54.046	127.5034
1.120000	53.896	126.6829
1.138000	53.698	125.6559
1.150000	53.562	124.9847
1.172000	53.307	123.7725
1.180000	53.212	123.3351
1.206000	52.897	121.9138
1.220000	52.724	121.1420
1.241000	52.458	119.9646
1.250000	52.342	119.4499
1.265000	52.148	118.5744
1.280000	51.950	117.6726
1.315000	51.480	115.4379
1.320000	51.411	115.1010
1.340000	51.136	113.7019
1.360000	50.858	112.2115
1.380000	50.577	110.6178
1.400000	50.294	108.9089
1.430000	49.866	106.1037
1.450000	49.578	104.0548
1.475000	49.213	101.2732
1.500000	48.812	98.2507
1.525000	48.374	95.0087
1.550000	47.908	91.5685
1.575000	47.424	87.9515
1.600000	46.931	84.1790
1.625000	46.437	80.2723
1.650000	45.953	76.2527
1.675000	45.486	72.1416
1.700000	45.047	67.9603
1.725000	44.644	63.7301
1.750000	44.287	59.4724
1.775000	43.984	55.2085
1.800000	43.745	50.9596
1.825000	43.579	46.7472
1.850000	43.491	42.4931
1.875000	43.472	37.9974
1.900000	43.515	33.3008
1.925000	43.613	28.4543
1.950000	43.758	23.5091
1.975000	43.944	18.5163
2.000000	44.163	13.5271
2.030000	44.461	7.6166
2.060000	44.783	1.8730
2.090000	45.119	-3.6153
2.120000	45.456	-8.7599
2.140000	45.675	-11.9552
2.180000	46.083	-17.6652
2.200000	46.265	-20.1282
2.240000	46.636	-24.3661
2.270000	46.935	-27.0384
2.300000	47.248	-29.3307
2.330000	47.570	-31.2916
2.360000	47.897	-32.9699
2.400000	48.336	-34.8516
2.430000	48.661	-36.0590
2.470000	49.083	-37.4893
2.500000	49.385	-38.4904
2.540000	49.761	-39.8219
2.580000	50.101	-41.2142
2.620000	50.412	-42.3991
2.650000	50.631	-43.1239
2.690000	50.906	-43.9033
2.720000	51.102	-44.3691
2.760000	51.353	-44.8636
2.800000	51.595	-45.2496
2.850000	51.891	-45.6395
2.900000	52.186	-45.9984
2.950000	52.486	-46.2322
3.000000	52.778	-46.2691
3.040000	53.004	-46.3203
3.070000	53.171	-46.3669
3.110000	53.391	-46.4347
3.150000	53.607	-46.5030
