* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\TinHiFi C2 Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\TinHiFi C2 Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: TinHiFi C2 Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	61.891	136.1659
1.015000	61.772	135.7237
1.030000	61.651	135.3031
1.044000	61.536	134.9311
1.060000	61.403	134.5318
1.075000	61.277	134.1841
1.090000	61.148	133.8634
1.106000	61.008	133.5492
1.120000	60.881	133.2787
1.138000	60.712	132.9341
1.150000	60.596	132.7081
1.172000	60.376	132.3063
1.180000	60.294	132.1653
1.206000	60.022	131.7316
1.220000	59.872	131.5168
1.241000	59.645	131.2242
1.250000	59.546	131.1110
1.265000	59.382	130.9407
1.280000	59.217	130.7951
1.315000	58.831	130.5648
1.320000	58.777	130.5457
1.340000	58.559	130.5071
1.360000	58.345	130.5333
1.380000	58.134	130.6297
1.400000	57.929	130.8018
1.430000	57.633	131.2143
1.450000	57.446	131.6001
1.475000	57.222	132.2215
1.500000	56.993	133.0383
1.525000	56.758	134.0394
1.550000	56.519	135.2010
1.575000	56.281	136.4998
1.600000	56.047	137.9121
1.625000	55.819	139.4145
1.650000	55.601	140.9834
1.675000	55.396	142.5953
1.700000	55.207	144.2267
1.725000	55.038	145.8540
1.750000	54.892	147.4537
1.775000	54.772	149.0023
1.800000	54.681	150.4762
1.825000	54.623	151.8520
1.850000	54.601	153.1632
1.875000	54.614	154.5259
1.900000	54.660	155.9288
1.925000	54.735	157.3551
1.950000	54.834	158.7879
1.975000	54.955	160.2103
2.000000	55.093	161.6054
2.030000	55.277	163.2197
2.060000	55.475	164.7412
2.090000	55.679	166.1406
2.120000	55.884	167.3888
2.140000	56.019	168.1225
2.180000	56.272	169.3148
2.200000	56.387	169.7562
2.240000	56.624	170.3445
2.270000	56.815	170.5594
2.300000	57.013	170.6033
2.330000	57.217	170.4971
2.360000	57.424	170.2614
2.400000	57.701	169.7817
2.430000	57.905	169.3247
2.470000	58.169	168.6251
2.500000	58.357	168.0597
2.540000	58.589	167.2909
2.580000	58.797	166.5302
2.620000	58.989	165.6451
2.650000	59.124	164.8901
2.690000	59.295	163.7832
2.720000	59.415	162.8923
2.760000	59.566	161.6450
2.800000	59.708	160.3541
2.850000	59.873	158.7197
2.900000	60.026	157.1107
2.950000	60.170	155.5637
3.000000	60.296	153.9820
3.040000	60.385	152.6847
3.070000	60.446	151.7009
3.110000	60.521	150.3845
3.150000	60.589	149.0735
3.200000	60.668	147.4606
3.250000	60.743	145.8984
3.300000	60.817	144.4097
3.350000	60.884	142.9715
3.400000	60.941	141.5615
3.450000	60.990	140.1872
3.500000	61.036	138.8560
3.550000	61.081	137.5753
3.600000	61.128	136.3524
3.650000	61.180	135.1950
3.700000	61.237	134.1097
3.750000	61.292	133.0947
3.820000	61.370	131.7761
3.870000	61.428	130.8962
3.950000	61.533	129.5728
4.000000	61.609	128.7856
4.060000	61.712	127.8785
4.120000	61.826	127.0525
4.180000	61.950	126.2916
4.250000	62.105	125.4522
4.310000	62.248	124.7455
4.370000	62.398	124.0238
4.440000	62.584	123.1515
4.500000	62.756	122.4154
4.550000	62.907	121.8055
4.620000	63.124	120.9440
4.680000	63.314	120.1866
4.750000	63.534	119.2655
4.820000	63.753	118.2950
4.870000	63.913	117.5781
4.940000	64.140	116.5485
5.000000	64.333	115.6485
5.080000	64.584	114.4342
5.150000	64.793	113.3660
5.220000	64.997	112.2712
5.300000	65.223	110.9964
5.380000	65.441	109.7218
5.450000	65.624	108.6272
5.520000	65.798	107.5665
5.600000	65.985	106.3683
5.700000	66.206	104.9008
5.800000	66.414	103.4990
5.900000	66.611	102.1933
6.000000	66.793	100.9714
6.080000	66.932	100.0506
6.150000	67.049	99.2867
6.220000	67.166	98.5624
6.300000	67.297	97.7901
6.400000	67.454	96.9064
6.500000	67.609	96.0890
6.600000	67.765	95.3120
6.700000	67.922	94.5881
6.800000	68.078	93.9165
6.900000	68.234	93.2663
7.000000	68.389	92.6116
7.100000	68.546	91.9700
7.200000	68.701	91.3356
7.300000	68.853	90.6941
7.400000	69.000	90.0358
7.500000	69.145	89.3678
7.620000	69.312	88.5593
7.750000	69.481	87.6798
7.880000	69.640	86.7892
8.000000	69.778	85.9734
8.120000	69.906	85.1784
8.250000	70.034	84.3323
8.380000	70.154	83.5103
8.500000	70.259	82.7818
8.620000	70.357	82.0804
8.750000	70.459	81.3433
8.850000	70.535	80.7901
9.000000	70.646	79.9889
9.120000	70.732	79.3574
9.250000	70.824	78.6730
9.380000	70.914	77.9941
9.500000	70.995	77.3622
9.620000	71.075	76.7193
9.750000	71.161	76.0148
9.880000	71.235	75.3021
10.000000	71.288	74.6350
10.150000	71.339	73.7913
10.300000	71.380	72.9475
10.440000	71.409	72.1583
10.600000	71.436	71.2616
10.750000	71.459	70.4330
10.900000	71.480	69.6138
11.060000	71.502	68.7544
11.200000	71.519	68.0148
11.380000	71.540	67.0772
11.500000	71.556	66.4606
11.720000	71.584	65.3448
11.800000	71.595	64.9427
12.060000	71.630	63.6505
12.200000	71.648	62.9635
12.410000	71.678	61.9455
12.500000	71.697	61.5147
12.650000	71.738	60.8035
12.800000	71.783	60.1021
13.150000	71.889	58.5066
13.200000	71.904	58.2836
13.400000	71.963	57.4033
13.600000	72.022	56.5443
13.800000	72.079	55.7067
14.000000	72.134	54.8939
14.300000	72.214	53.7233
14.500000	72.264	52.9783
14.750000	72.326	52.0856
15.000000	72.385	51.2340
15.250000	72.441	50.4164
15.500000	72.496	49.6252
15.750000	72.548	48.8559
16.000000	72.598	48.1034
16.250000	72.647	47.3683
16.500000	72.696	46.6514
16.750000	72.739	45.9549
17.000000	72.778	45.2787
17.250000	72.813	44.6211
17.500000	72.845	43.9792
17.750000	72.875	43.3465
18.000000	72.903	42.7198
18.250000	72.930	42.0958
18.500000	72.954	41.4728
18.750000	72.976	40.8510
19.000000	72.997	40.2306
19.250000	73.018	39.6127
19.500000	73.037	38.9976
19.750000	73.056	38.3852
20.000000	73.075	37.7758
20.299999	73.099	37.0491
20.600000	73.125	36.3288
20.900000	73.149	35.6171
21.200001	73.175	34.9168
21.400000	73.191	34.4580
21.799999	73.224	33.5624
22.000000	73.241	33.1270
22.400000	73.274	32.2830
22.700001	73.300	31.6734
23.000000	73.324	31.0827
23.299999	73.348	30.5095
23.600000	73.370	29.9533
24.000000	73.398	29.2382
24.299999	73.417	28.7224
24.700001	73.440	28.0611
25.000000	73.455	27.5818
25.400000	73.474	26.9581
25.799999	73.489	26.3439
26.200001	73.502	25.7367
26.500000	73.509	25.2873
26.900000	73.517	24.6979
27.200001	73.522	24.2618
27.600000	73.528	23.6825
28.000000	73.534	23.0984
28.500000	73.540	22.3608
29.000000	73.542	21.6329
29.500000	73.544	20.9358
30.000000	73.549	20.2700
30.400000	73.555	19.7467
30.700001	73.561	19.3534
31.100000	73.568	18.8282
31.500000	73.573	18.3121
32.000000	73.576	17.7004
32.500000	73.578	17.1339
33.000000	73.582	16.5931
33.500000	73.588	16.0513
34.000000	73.589	15.5041
34.500000	73.585	14.9723
35.000000	73.579	14.4727
35.500000	73.574	13.9956
36.000000	73.570	13.5147
36.500000	73.567	13.0169
37.000000	73.561	12.5139
37.500000	73.551	12.0257
38.200001	73.538	11.3771
38.700001	73.531	10.9263
39.500000	73.519	10.2154
40.000000	73.511	9.7880
40.599998	73.503	9.2962
41.200001	73.498	8.8116
41.799999	73.493	8.3187
42.500000	73.483	7.7370
43.099998	73.469	7.2531
43.700001	73.453	6.7982
44.400002	73.437	6.3016
45.000000	73.427	5.8823
45.500000	73.419	5.5217
46.200001	73.406	5.0100
46.799999	73.393	4.5916
47.500000	73.379	4.1263
48.200001	73.365	3.6525
48.700001	73.353	3.3121
49.400002	73.332	2.8639
50.000000	73.314	2.5092
50.799999	73.292	2.0508
51.500000	73.273	1.6573
52.200001	73.256	1.2679
53.000000	73.238	0.8084
53.799999	73.216	0.3437
54.500000	73.196	-0.0477
55.200001	73.177	-0.4299
56.000000	73.153	-0.8553
57.000000	73.123	-1.3498
58.000000	73.096	-1.8337
59.000000	73.066	-2.3170
60.000000	73.035	-2.7663
60.799999	73.012	-3.1277
61.500000	72.989	-3.4444
62.200001	72.966	-3.7429
63.000000	72.941	-4.0739
64.000000	72.907	-4.4939
65.000000	72.872	-4.8895
66.000000	72.839	-5.2881
67.000000	72.802	-5.6789
68.000000	72.767	-6.0332
69.000000	72.735	-6.4086
70.000000	72.699	-6.7699
71.000000	72.667	-7.1224
72.000000	72.630	-7.4708
73.000000	72.595	-7.7836
74.000000	72.560	-8.0957
75.000000	72.525	-8.3952
76.199997	72.481	-8.7517
77.500000	72.435	-9.1053
78.800003	72.393	-9.4799
80.000000	72.351	-9.8180
81.199997	72.308	-10.1487
82.500000	72.260	-10.4791
83.800003	72.214	-10.8066
85.000000	72.170	-11.1002
86.199997	72.126	-11.3607
87.500000	72.084	-11.6418
88.500000	72.051	-11.8652
90.000000	71.999	-12.1814
91.199997	71.957	-12.4239
92.500000	71.909	-12.6848
93.800003	71.862	-12.9288
95.000000	71.818	-13.1522
96.199997	71.777	-13.3570
97.500000	71.733	-13.5851
98.800003	71.690	-13.7893
100.000000	71.650	-13.9825
101.500000	71.599	-14.2101
103.000000	71.546	-14.4350
104.400002	71.498	-14.6236
106.000000	71.446	-14.8511
107.500000	71.396	-15.0487
109.000000	71.350	-15.2252
110.599998	71.299	-15.4154
112.000000	71.254	-15.5668
113.800003	71.194	-15.7636
115.000000	71.155	-15.8919
117.199997	71.086	-16.0951
118.000000	71.063	-16.1727
120.599998	70.980	-16.4095
122.000000	70.934	-16.5065
124.099998	70.869	-16.6701
125.000000	70.843	-16.7449
126.500000	70.802	-16.8588
128.000000	70.764	-16.9685
131.500000	70.673	-17.1471
132.000000	70.661	-17.1692
134.000000	70.610	-17.2710
136.000000	70.559	-17.3878
138.000000	70.508	-17.4885
140.000000	70.456	-17.5571
143.000000	70.386	-17.6439
145.000000	70.337	-17.7137
147.500000	70.279	-17.7929
150.000000	70.221	-17.8501
152.500000	70.163	-17.8771
155.000000	70.106	-17.9065
157.500000	70.050	-17.9349
160.000000	69.993	-17.9666
162.500000	69.929	-17.9654
165.000000	69.861	-17.9689
167.500000	69.797	-17.9503
170.000000	69.732	-17.9326
172.500000	69.667	-17.9054
175.000000	69.600	-17.8690
177.500000	69.540	-17.8333
180.000000	69.483	-17.7959
182.500000	69.422	-17.7454
185.000000	69.366	-17.6793
187.500000	69.305	-17.6222
190.000000	69.248	-17.5473
192.500000	69.192	-17.4836
195.000000	69.138	-17.4171
197.500000	69.085	-17.3469
200.000000	69.034	-17.2605
203.000000	68.976	-17.1405
206.000000	68.920	-17.0197
209.000000	68.867	-16.9077
212.000000	68.817	-16.7892
214.000000	68.781	-16.7027
218.000000	68.717	-16.5255
220.000000	68.686	-16.4467
224.000000	68.623	-16.2634
227.000000	68.577	-16.1230
230.000000	68.532	-16.0023
233.000000	68.486	-15.8777
236.000000	68.441	-15.7429
240.000000	68.385	-15.5298
243.000000	68.344	-15.3834
247.000000	68.290	-15.1919
250.000000	68.249	-15.0412
254.000000	68.195	-14.8411
258.000000	68.144	-14.6217
262.000000	68.096	-14.4142
265.000000	68.060	-14.2540
269.000000	68.009	-14.0250
272.000000	67.973	-13.8634
276.000000	67.929	-13.6278
280.000000	67.886	-13.3867
285.000000	67.834	-13.1107
290.000000	67.780	-12.8028
295.000000	67.729	-12.4980
300.000000	67.680	-12.1809
304.000000	67.644	-11.9423
307.000000	67.615	-11.7610
311.000000	67.576	-11.5162
315.000000	67.543	-11.2647
320.000000	67.496	-10.9556
325.000000	67.456	-10.6186
330.000000	67.416	-10.3107
335.000000	67.376	-10.0046
340.000000	67.337	-9.6625
345.000000	67.300	-9.3548
350.000000	67.265	-9.0384
355.000000	67.232	-8.7299
360.000000	67.198	-8.4012
365.000000	67.165	-8.0752
370.000000	67.134	-7.7478
375.000000	67.104	-7.4235
382.000000	67.060	-6.9776
387.000000	67.031	-6.6557
395.000000	66.985	-6.1502
400.000000	66.958	-5.8358
406.000000	66.930	-5.4437
412.000000	66.902	-5.0535
418.000000	66.876	-4.6644
425.000000	66.843	-4.2110
431.000000	66.816	-3.8191
437.000000	66.792	-3.4641
444.000000	66.763	-3.0365
450.000000	66.742	-2.6206
455.000000	66.725	-2.2862
462.000000	66.697	-1.8521
468.000000	66.679	-1.4613
475.000000	66.657	-1.0165
482.000000	66.634	-0.5841
487.000000	66.619	-0.2631
494.000000	66.601	0.1803
500.000000	66.587	0.5648
508.000000	66.569	1.0847
515.000000	66.556	1.5344
522.000000	66.543	1.9839
530.000000	66.529	2.5014
538.000000	66.512	3.0155
545.000000	66.502	3.4441
552.000000	66.495	3.8864
560.000000	66.485	4.4007
570.000000	66.473	5.0572
580.000000	66.466	5.6817
590.000000	66.461	6.3189
600.000000	66.453	6.9672
608.000000	66.450	7.4676
615.000000	66.447	7.9142
622.000000	66.446	8.3657
630.000000	66.445	8.8862
640.000000	66.448	9.5303
650.000000	66.451	10.1593
660.000000	66.457	10.7975
670.000000	66.466	11.4579
680.000000	66.473	12.1161
690.000000	66.484	12.7756
700.000000	66.498	13.4307
710.000000	66.515	14.0910
720.000000	66.533	14.7457
730.000000	66.553	15.4353
740.000000	66.577	16.0898
750.000000	66.603	16.7386
762.000000	66.637	17.5471
775.000000	66.679	18.4254
788.000000	66.734	19.2647
800.000000	66.781	20.0288
812.000000	66.833	20.8028
825.000000	66.895	21.5894
838.000000	66.968	22.3768
850.000000	67.045	23.0074
862.000000	67.125	23.5115
875.000000	67.215	23.8280
885.000000	67.260	23.8687
900.000000	67.244	23.8921
912.000000	67.179	24.3059
925.000000	67.114	25.2516
938.000000	67.104	26.5571
950.000000	67.155	27.7541
962.000000	67.240	28.7948
975.000000	67.344	29.7615
988.000000	67.453	30.5853
1000.000000	67.560	31.2571
1015.000000	67.701	32.0289
1030.000000	67.846	32.7027
1044.000000	67.981	33.2704
1060.000000	68.132	33.8513
1075.000000	68.272	34.3237
1090.000000	68.411	34.7779
1106.000000	68.557	35.2069
1120.000000	68.684	35.5427
1138.000000	68.841	35.8990
1150.000000	68.945	36.1237
1172.000000	69.129	36.4756
1180.000000	69.194	36.5880
1206.000000	69.396	36.9225
1220.000000	69.502	37.0753
1241.000000	69.655	37.2825
1250.000000	69.715	37.3578
1265.000000	69.797	37.4886
1280.000000	69.870	37.6146
1315.000000	70.038	37.8430
1320.000000	70.060	37.8767
1340.000000	70.149	38.0015
1360.000000	70.234	38.1245
1380.000000	70.318	38.2368
1400.000000	70.400	38.3604
1430.000000	70.520	38.5215
1450.000000	70.599	38.6377
1475.000000	70.694	38.7799
1500.000000	70.790	38.9151
1525.000000	70.886	39.0397
1550.000000	70.982	39.1735
1575.000000	71.077	39.2920
1600.000000	71.181	39.4165
1625.000000	71.309	39.5136
1650.000000	71.443	39.6086
1675.000000	71.579	39.6885
1700.000000	71.714	39.7577
1725.000000	71.851	39.8290
1750.000000	71.988	39.8731
1775.000000	72.126	39.9048
1800.000000	72.263	39.9130
