* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\TinHiFi P1 - Deep Fit - Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\TinHiFi P1 - Deep Fit - Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: TinHiFi P1 - Deep Fit - Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	74.449	-59.3948
1.015000	74.279	-60.2737
1.030000	74.102	-61.1509
1.044000	73.931	-61.9682
1.060000	73.729	-62.9002
1.075000	73.532	-63.7719
1.090000	73.327	-64.6415
1.106000	73.104	-65.5907
1.120000	72.923	-66.5686
1.138000	72.711	-68.0354
1.150000	72.580	-69.1247
1.172000	72.356	-71.3055
1.180000	72.278	-72.1451
1.206000	72.028	-74.9843
1.220000	71.892	-76.5501
1.241000	71.678	-78.8922
1.250000	71.581	-79.8790
1.265000	71.410	-81.4810
1.280000	71.223	-83.0082
1.315000	70.711	-86.1407
1.320000	70.627	-86.5255
1.340000	70.261	-87.8706
1.360000	69.838	-88.8613
1.380000	69.351	-89.4387
1.400000	68.793	-89.5436
1.430000	67.804	-88.6862
1.450000	67.032	-87.3518
1.475000	65.909	-84.6989
1.500000	64.451	-80.7354
1.525000	62.679	-75.5754
1.550000	60.657	-69.4001
1.575000	58.450	-62.3907
1.600000	56.123	-54.7285
1.625000	53.741	-46.5947
1.650000	51.368	-38.1704
1.675000	49.069	-29.6369
1.700000	46.909	-21.1753
1.725000	44.952	-12.9670
1.750000	43.264	-5.1931
1.775000	41.909	1.9651
1.800000	40.952	8.3265
1.825000	40.458	13.7099
1.850000	40.483	18.1811
1.875000	41.004	22.2485
1.900000	41.958	25.9503
1.925000	43.277	29.3018
1.950000	44.897	32.3180
1.975000	46.753	35.0139
2.000000	48.778	37.4048
2.030000	51.339	39.8922
2.060000	53.937	41.9881
2.090000	56.458	43.7184
2.120000	58.789	45.1093
2.140000	60.181	45.8608
2.180000	62.427	46.9770
2.200000	63.215	47.3551
2.240000	64.370	47.3617
2.270000	64.995	46.6754
2.300000	65.441	45.4936
2.330000	65.736	43.9032
2.360000	65.907	41.9915
2.400000	65.986	39.0933
2.430000	65.969	36.7707
2.470000	65.895	33.6408
2.500000	65.835	31.3817
2.540000	65.802	28.6528
2.580000	65.860	26.3780
2.620000	65.902	24.1851
2.650000	65.902	22.5301
2.690000	65.862	20.3189
2.720000	65.801	18.6634
2.760000	65.681	16.4689
2.800000	65.518	14.2997
2.850000	65.254	11.6411
2.900000	64.925	9.0622
2.950000	64.540	6.5276
3.000000	64.144	3.6266
3.040000	63.807	1.1293
3.070000	63.531	-0.7534
3.110000	63.117	-3.1626
3.150000	62.635	-5.3259
3.200000	61.910	-7.4678
3.250000	61.015	-8.7256
3.300000	59.915	-8.8257
3.350000	58.368	-8.1555
3.400000	56.370	-6.9935
3.450000	54.141	-5.1582
3.500000	51.903	-2.4679
3.550000	49.876	1.2589
3.600000	48.279	6.2037
3.650000	47.334	12.5483
3.700000	47.211	21.1173
3.750000	47.798	32.8878
3.820000	49.448	52.5047
3.870000	50.956	67.0627
3.950000	53.411	87.8439
4.000000	54.672	97.3172
4.060000	55.689	103.3764
